end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfRevenue,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGrossNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,DirectOperatingCommunicationsCosts,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestPaid,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,OfficersCompensation,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherCostOfOperatingRevenue,OtherExpenses,OtherNonoperatingIncome,OtherOperatingIncome,PaidInKindInterest,PaymentsForProceedsFromOtherInterestEarningAssets,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromPartnershipContribution,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,RelatedPartyCosts,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncreaseDecreaseInDueToEmployeesCurrent,StockIssuedDuringPeriodValueOther
2017-06-30,2017-10-23,10-K,Frontera Group Inc.,FRTG,CIK0001602813,USD,,12200.0,,115975.0,7825.0,7825.0,7825.0,-1175.0,,0.0,1000000000.0,307280000.0,307280000.0,3073.0,,,-8089.0,26067.0,,,26067.0,,,10713.0,0.0,0.0,0.34,-0.34,0.06,2490.0,,,,,,,8089.0,,,12615.0,,,,,,,,,,22913.0,7825.0,22913.0,10000.0,-11175.0,-23790.0,,,,23790.0,,134136.0,,,,,,,,,,,10000.0,,21300.0,-23790.0,,-134136.0,,,-15088.0,-15088.0,,,,307280000.0,,
2017-09-30,2017-11-27,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,9741.0,,115975.0,1766.0,1766.0,1766.0,-6059.0,,0.0,1000000000.0,307280000.0,307280000.0,3073.0,,,-1224.0,,46830.0,46830.0,,,,10713.0,0.0,0.0,0.34,-0.34,,,,,,,,,1224.0,,,-2459.0,,,,,,,,,,20454.0,1766.0,20454.0,,-6059.0,-3600.0,600.0,,,3600.0,,137736.0,,,,,,,,,,,,,3000.0,-3600.0,,-137736.0,,,-18688.0,,,,,307280000.0,,
2017-12-31,2018-03-28,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,9741.0,,121025.0,3216.0,3216.0,3216.0,,,0.0,1000000000.0,307280150.0,307280150.0,3073.0,,,-756.0,,29681.0,29681.0,,,,10713.0,0.0,0.0,0.21,-0.21,,550.0,,-3600.0,,,,,-16682.0,17438.0,,,,,,,,,,,,20454.0,3216.0,20454.0,,,-3600.0,550.0,,,3600.0,,,,,,,,,,,,5000.0,,,3050.0,-3600.0,,-141336.0,,,-17238.0,,,50.0,,307280062.0,,
2018-03-31,2018-06-19,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,9741.0,,121025.0,216.0,216.0,216.0,,,0.0,1000000000.0,307280150.0,307280150.0,3073.0,,,-630.0,,30311.0,30311.0,,,,10713.0,0.0,0.0,0.21,-0.21,,,,-3000.0,,,,,630.0,,,,,,,,,,,,,20454.0,216.0,20454.0,,,-3000.0,,,,3000.0,,,,,,,,,,,,,,,3000.0,-3000.0,,-144336.0,,,-20238.0,,,,,307280150.0,,
2018-06-30,2018-11-23,10-K,Frontera Group Inc.,FRTG,CIK0001602813,USD,,15573.0,,125300.0,216.0,216.0,216.0,-7609.0,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,-4265.0,,32433.0,32433.0,,,,10713.0,0.0,0.0,0.21,-0.21,,3257.0,,-20307.0,,,,,4265.0,17438.0,,3373.0,,,,,,,,50.0,,26286.0,216.0,26286.0,9275.0,-16884.0,-30414.0,3257.0,,,20307.0,,154443.0,,,,,,,,,,13550.0,9275.0,,17050.0,-20307.0,,-154443.0,,,-26070.0,-26070.0,,50.0,,307280150.0,,
2018-09-30,2018-12-31,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18573.0,,125300.0,216.0,216.0,216.0,-216.0,,0.0,1000000000.0,307280150.0,307280150.0,3073.0,,,-756.0,,33063.0,33063.0,,,,10713.0,0.0,0.0,0.21,-0.21,,,,-3000.0,,,,,756.0,,,2784.0,,,,,,,,,,29286.0,216.0,29286.0,,-216.0,-3000.0,,,,3000.0,,157443.0,,,,,,,,,,,,,3000.0,-3000.0,,-157443.0,,,-29070.0,,,,,307280150.0,,
2018-12-31,2021-09-01,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,0.0,0.21,-0.21,,,,10713.0,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,10713.0,,,,,,157443.0,,,,,10713.0,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2019-03-31,2021-09-01,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,10713.0,,,,,,157443.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2019-06-30,2021-09-01,10-K,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,-216.0,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,-630.0,,30813.0,30813.0,,,,,,0.0,0.21,-0.21,,,,7713.0,,,,,630.0,,,2784.0,,,,,,,,,,18357.0,0.0,18357.0,,-216.0,7713.0,,,,3000.0,-3000.0,157443.0,,,,10713.0,10713.0,,,,,,10713.0,,3000.0,-3000.0,,-146730.0,,,-18357.0,,,,,307280150.0,,
2019-09-30,2021-09-01,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,,,,,,,157443.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2019-12-31,2021-09-01,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,,,,,,,154443.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2020-03-31,2021-09-01,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,,,,,,,157443.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2020-06-30,2021-09-01,10-K,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,,,,,,,157443.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2020-09-30,2021-09-01,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,,,,,,,157443.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2020-12-31,2021-09-01,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,,,,,,,157443.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2021-03-31,2021-09-01,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,,,,,,,157443.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2021-06-30,2021-09-01,10-K,Frontera Group Inc.,FRTG,CIK0001602813,USD,,18357.0,,125300.0,0.0,,,,,1e-05,1000000000.0,307280150.0,307280150.0,3073.0,,,,,30813.0,30813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357.0,0.0,18357.0,,,,,,,,,146730.0,,,,,,,,,,,,,,,,-146730.0,,,-18357.0,,,,,307280150.0,,
2021-09-30,2021-11-18,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,28357.0,,131162.0,3000.0,3000.0,3000.0,3000.0,,1e-05,1000000000.0,21030150.0,21030150.0,211.0,,,,,33843.0,33843.0,,,,14425.0,,,,,,,,-24425.0,,,,,,,,10000.0,,,,,,,,,,42782.0,3000.0,42782.0,17425.0,-14425.0,-24425.0,,,,24425.0,,161155.0,,,,,,,,,3000.0,,,,24425.0,,,-171155.0,,,-39782.0,,,,3000.0,191540651.0,,
2021-12-31,2022-02-18,10-Q,Frontera Group Inc.,FRTG,CIK0001602813,USD,,29312.0,,134925.0,7000.0,7000.0,7000.0,,,1e-05,1000000000.0,44780150.0,44780150.0,448.0,,,,,36143.0,36143.0,,,,14425.0,,,,,,,,-955.0,,,,,,,,,,,,,,,,,,43737.0,7000.0,43737.0,,,-955.0,,,,955.0,,172110.0,,,,,,,,,,,,,955.0,,,-172110.0,,,-36737.0,,,,4000.0,45011251.0,,
