end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdvertisingExpense,Assets,AssetsCurrent,AvailableForSaleSecuritiesCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesDeferredRevenue,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,DebtSecuritiesRealizedGainLoss,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DueFromAffiliates,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,GainLossOnInvestments,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InventoryNet,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LossContingencyAccrualPayments,LossContingencyAccrualProvision,MarketableSecurities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherInterestAndDividendIncome,OtherNonoperatingIncomeExpense,PaymentsToAcquireMarketableSecurities,PaymentsToAcquireProductiveAssets,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromPreviousAcquisition,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RealizedInvestmentGainsLosses,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SalesRevenueNet,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,UnrealizedGainLossOnInvestments,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-12-31,2019-04-15,10-K,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,12427.0,,83973.0,,65197.0,46974.0,274496.0,274496.0,,,,,,,,87010.0,9131.0,87010.0,9131.0,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,674511.0,,,-20592.0,,26119.0,,26119.0,26119.0,,,60225.0,149849.0,-0.01,,0.21,-0.21,,57498.0,233844.0,,-98055.0,,,-12536.0,-12536.0,46087.0,,,105182.0,-78777.0,18150.0,85363.0,,162276.0,274496.0,,,,,,,9131.0,-98055.0,331899.0,,106000.0,,,,,452091.0,18150.0,,,,132351.0,,,,,95076.0,45490.0,908355.0,,,,112220.0,,,,,,21000.0,15326150.0
2019-03-31,2019-05-15,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,12031.0,,85307.0,,65197.0,14912.0,216782.0,216782.0,,,,,,,,54228.0,-32782.0,54228.0,-32782.0,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,170141.0,,,,,,,,,,,48807.0,144082.0,,,,,,15070.0,24681.0,,,,,-397.0,-397.0,1333.0,,,-5767.0,-8116.0,-18150.0,77247.0,,156113.0,216782.0,,,,,,,-32782.0,-51551.0,76232.0,,,,,,,518750.0,,,,,28250.0,,,,,18000.0,-6061.0,194822.0,,,,60668.0,,,,,,,15326150.0
2019-06-30,2019-08-14,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,43117.0,,123677.0,,65197.0,7423.0,298595.0,298595.0,,,,,,,,71070.0,,71070.0,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,152089.0,,,,,,,,,,,58567.0,187481.0,,,,,,30406.0,100118.0,,,,,,,,,,,,,103848.0,,230598.0,298595.0,,,,,,,,7329.0,92789.0,,,,,,,,,,,,36960.0,,,,,18000.0,1267.0,252207.0,,,,67997.0,,,,,,,15326150.0
2019-09-30,2019-11-14,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,85640.0,,143828.0,,65197.0,12708.0,278660.0,278660.0,,,,,,,,80783.0,,80783.0,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,180990.0,,,,,,,,,,,36887.0,145276.0,,,,,,45241.0,80591.0,,,,,,,,,,,,,54049.0,,230916.0,278660.0,,,,,,,,-20253.0,100844.0,,,,,,,,,,,,24895.0,,,,,18000.0,-18986.0,261581.0,,,,47744.0,,,,,,,15326150.0
2019-12-31,2020-03-30,10-K,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,126469.0,,127518.0,,65197.0,47624.0,244937.0,244937.0,,,,,,,,41962.0,,41962.0,-45048.0,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,647190.0,,,-29833.0,,55952.0,,55952.0,55952.0,,,21918.0,148308.0,-0.01,0.0,0.21,-0.21,,125197.0,228155.0,,-142060.0,,,,114042.0,43545.0,,,-1541.0,-9906.0,-18150.0,75457.0,,274777.0,244937.0,274777.0,,100000.0,,,,-45048.0,-142060.0,370215.0,,106000.0,,,,,518750.0,,,,,125394.0,,,,,72000.0,-96570.0,875345.0,,,,-29840.0,,,,,,30000.0,15326150.0
2020-03-31,2020-05-15,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,121559.0,,75900.0,,65197.0,6870.0,229529.0,229529.0,,,,,,,,83004.0,,83004.0,41042.0,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,140966.0,,,,,,,,,,,14912.0,141302.0,,,,,,1694.0,39631.0,,-3492.0,,,,-4909.0,-51617.0,,,-7006.0,-4832.0,,70625.0,,262861.0,229529.0,,,100000.0,,,,41042.0,-3492.0,43123.0,,,,,,,114665.0,,,,,34559.0,-3492.0,,,,,-100062.0,180597.0,,,,-33332.0,,,,,,,15326150.0
2020-06-30,2020-08-14,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,112720.0,,93241.0,,65197.0,14217.0,249170.0,249170.0,,,,,,,,58503.0,,58503.0,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,183037.0,,,,,,,,,,,38760.0,165150.0,,,,,,6310.0,48954.0,0.0,4632.0,,,,,,,,,,,97426.0,,277870.0,249170.0,,,,,,,,4632.0,44322.0,,,,,,,,,,,,23795.0,4632.0,,,,,-95430.0,231991.0,,,,-28700.0,,,,,,,15326150.0
2020-09-30,2020-11-16,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,117610.0,,51778.0,,65197.0,16630.0,253953.0,253953.0,,,,,,,,118338.0,,118338.0,,0.0001,,50000000.0,15326150.0,15326150.0,1533.0,173706.0,,,,,,,,,0.0,,43948.0,170338.0,,,,,,3069.0,36924.0,0.0,-5295.0,,,,,,,,,,,83837.0,,287948.0,253953.0,,,,,,,,-5295.0,42219.0,,,,,,,,,,,,22520.0,-5295.0,,,,,-100725.0,210630.0,,,,-33995.0,,,,,,,15326150.0
2020-12-31,2021-04-15,10-K,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,77241.0,,48490.0,35.0,337427.0,63122.0,633404.0,629434.0,,15000.0,366223.0,29665.0,15000.0,4005.0,272563.0,108126.0,,108126.0,66164.0,0.0001,,50000000.0,15659483.0,15659483.0,1866.0,645140.0,,,5184.0,50768.0,50768.0,50768.0,50768.0,,35.0,332553.0,40935.0,167324.0,,-2.06,0.21,-2.27,,14383.0,212875.0,,24688.0,-50768.0,,,-57228.0,-79028.0,,-15000.0,19016.0,14040.0,,89497.0,,,633404.0,315225.0,41822.0,58178.0,,,29665.0,36499.0,75456.0,188187.0,,210000.0,,,,,584550.0,,,29665.0,,110682.0,,4005.0,3970.0,,,-21114.0,858015.0,,,,318179.0,,272563.0,,70660.0,,56000.0,15339849.0
2021-03-31,2021-05-18,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,104531.0,,75605.0,235.0,337427.0,16060.0,736702.0,732932.0,421038.0,,,,,,,113422.0,,113422.0,5296.0,0.0001,,50000000.0,15659483.0,15659483.0,1866.0,190328.0,,,,13942.0,,,,,200.0,,47494.0,190883.0,,,,,,5028.0,144351.0,,66391.0,13942.0,,,27290.0,27116.0,,,23559.0,-3456.0,,86041.0,,,736702.0,366074.0,41822.0,58178.0,421038.0,,,90306.0,52449.0,81434.0,,,,,,85010.0,156975.0,,,,,60346.0,62917.0,4005.0,3770.0,,,31335.0,334679.0,,,,370628.0,,170000.0,,70660.0,3474.0,,15659483.0
2021-06-30,2021-08-13,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,65332.0,,85978.0,435.0,337427.0,20425.0,646489.0,642919.0,80909.0,,,,,,,372474.0,,372474.0,,0.0001,,50000000.0,15659483.0,15659483.0,1866.0,195155.0,,-37621.0,,,,,,,200.0,,37403.0,163792.0,,,,,,13341.0,166018.0,0.0,51996.0,10919.0,,,,,,,,,,77651.0,0.0,,646489.0,234784.0,,,80909.0,,,,41077.0,109720.0,,,,2.0,,,,,,,,75954.0,56298.0,4005.0,3570.0,,,72412.0,361173.0,,,,411705.0,,,,5660.0,33317.0,,15659483.0
2021-09-30,2021-11-22,10-Q,"Quarta-Rad, Inc.",QURT,CIK0001549631,USD,72074.0,,106778.0,635.0,337427.0,17140.0,629824.0,626454.0,,,,,,,,165843.0,,165843.0,,0.0001,,50000000.0,15659483.0,15659483.0,1866.0,152914.0,,186.0,,,,,,,200.0,,42350.0,168739.0,,,,,,10043.0,65574.0,0.0,-35891.0,-7537.0,,,,,,,,,,103416.0,,,629824.0,246473.0,,,216973.0,,,,-28354.0,87301.0,,,,6.0,,,,,,,,60118.0,-21727.0,4005.0,3370.0,,,44058.0,218488.0,,,,383351.0,,,,5660.0,-14356.0,,15659483.0
