end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableInterestBearingCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,CostOfRevenue,DebtConversionOriginalDebtAmount1,DeferredCosts,DeferredCostsCurrentAndNoncurrent,DeferredRevenueRefundPayments,Depreciation,DepreciationDepletionAndAmortization,DepreciationExpense,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectiveIncomeTaxRateReconciliationDeductionsOther,EffectiveIncomeTaxRateReconciliationDispositionOfAssets,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExtinguishmentOfDebtAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpense,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsFutureAmortizationExpense,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FutureAmortizationExpenseAfterYearFive,FutureAmortizationExpenseRemainderOfFiscalYear,FutureAmortizationExpenseYearFive,FutureAmortizationExpenseYearFour,FutureAmortizationExpenseYearOne,FutureAmortizationExpenseYearThree,FutureAmortizationExpenseYearTwo,GainLossOnSaleOfOtherAssets,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InterestAndDividendsPayableCurrent,InterestExpense,InterestPaid,InterestPayableCurrent,InvestmentIncomeNet,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,MediumtermNotesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpense,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAdditionalCapital,OtherAssetImpairmentCharges,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherGeneralExpense,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherOperatingActivitiesCashFlowStatement,OtherSellingGeneralAndAdministrativeExpense,OtherShortTermBorrowings,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireSoftware,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShortTermBorrowings,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,TravelAndEntertainmentExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WriteOffOfDeferredDebtIssuanceCost
2012-06-30,2012-08-10,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,212115.0,,,7833.0,,-5270.0,7259700.0,6000.0,,,,,,118077.0,,4998.0,3640.0,33003.0,33003.0,,,,,,,,199683.0,,,,,18494.0,,,,,,5800.0,,0.0,,,,,,,,,68399.0,,,,,,,,,129981.0,59146.0,,,,,,,,,,,,,,,-120674.0,-120674.0,,,,,,,,,,,,,80076.0,,,,,,,,,118077.0,225748.0,,,,,,-120674.0,,,,120674.0,,,,,,,2932.0,,,,,,5581.0,,,,,,33003.0,,,,,,,,,,40728.0,,,,4665.0,,,,,,,,-7567054.0,,69165.0,,,,,,-107671.0,,,,,2268.0,,199682865.0,
2012-09-30,2012-11-09,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,210411.0,,,6273.0,,-5602.0,7357700.0,6000.0,,,,,,124681.0,,4665.0,3640.0,42376.0,42376.0,,,,,,,,201683.0,,,,,18494.0,,,,,,5800.0,,-0.01,,,,,,,,,70835.0,,,,,,,,,129981.0,59146.0,,,,,,,,,,,,,,,-90132.0,-90132.0,,,,,,,,,,,,,77640.0,,,,,,,,,124681.0,222484.0,,,,,,-90132.0,,,,90132.0,,,,,,,2893.0,,,,,,2681.0,,,,,,42376.0,,,,,,,,,,17842.0,,,,4665.0,,,,,,,,-7657186.0,,66691.0,,,,,,-97803.0,,,,,25.0,,200661126.0,
2012-12-31,2013-03-05,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,209702.0,,,21.0,,-5934.0,7485100.0,6000.0,-10983.0,,,,,156057.0,,4333.0,3640.0,76520.0,76520.0,63115.0,,,,,,,204283.0,,,,,18.495,3332.0,,,1326.0,,5800.0,,0.01,0.0,0.34,-0.3355,-0.0045,,,0.0,,73272.0,9657.0,,,,,,,56709.0,129981.0,56709.0,21693.0,2437.0,5527.0,5527.0,9743.0,5527.0,8692.0,,,,,,,,-419900.0,-419900.0,,,,,60530.0,,,,,,,,75204.0,,,,,,,,,156057.0,215523.0,,,538000.0,-5438.0,-469447.0,-419900.0,,,,419900.0,,,,,,,11753.0,,,,,,19212.0,,,-5092.0,-3678.0,,76520.0,,,,538000.0,,532000.0,,,,116989.0,,,,4333.0,,,,,,,,-7748849.0,,268610.0,,,,,,-59466.0,,538000.0,,,3336.0,,200442427.0,
2013-03-31,2013-05-01,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,221702.0,,,29104.0,,-7180.0,7485100.0,,-2767.0,,,,,104068.0,,4002.0,3640.0,19252.0,19252.0,-57268.0,,,,,,,204283.0,,,,,26541.0,-8046.0,,,331.0,,5800.0,,0.01,,,,,,,,,75708.0,2436.0,,,,,,,,129981.0,54273.0,,,,,,,,,,,,,,,-93072.0,-93072.0,,,,,-41083.0,,,,,,,,80814.0,,,,,,,,,104068.0,256606.0,,,,-8046.0,-49222.0,-93072.0,,,,93072.0,,,,,,,3027.0,,,,,,4026.0,,,,,,19252.0,,,,,,,,,,16419.0,,,,3087.0,,,,,,,,-7841921.0,,69600.0,,,,,,-152538.0,,,,,,,204282865.0,
2013-06-30,2013-08-13,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,229752.0,,,89350.0,,-6591.0,7506255.0,,,,,,,95485.0,,3676.0,3640.0,12909.0,12909.0,,,,,,,,205138.0,,,,,27063.0,,,,,,5800.0,,0.01,,,,,,,,,78144.0,,,,,,,,,129981.0,51837.0,,,,,,,,,,,,,,,-98783.0,-98888.0,,,,,,,,,,,,,78900.0,,,-105.0,,,,,,95485.0,324902.0,,,,,,-98888.0,,,,98783.0,,,,,,,3167.0,,,,,,2665.0,,,,,,12909.0,,,,,,,,,,23349.0,,,,3676.0,,,,,,,,-7940810.0,,69165.0,,,,,,-229417.0,,,,,437.0,,204538309.0,
2013-09-30,2013-11-12,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,233646.0,,,135020.0,,-6591.0,7554000.0,,,,,,,106931.0,,3382.0,3640.0,15016.0,15016.0,,,,,,,,207893.0,,,,,18440.0,,,,,,5800.0,,0.01,,,,,,,,,81002.0,,,,,,,,,151095.0,70093.0,,,,,,,,,,,,,,,-88064.0,-88618.0,,,,,,,,,,,,,88533.0,,,-554.0,,,,,,106931.0,374466.0,,,,,,-88618.0,,,,88064.0,,,,,,,3272.0,,,,,,3355.0,,,,,,15016.0,,,,,,,,,,12041.0,,,,3676.0,,,,,,,,-8029428.0,,69165.0,,,,,,-267535.0,,,,,231.0,,206382309.0,
2013-12-31,2014-03-28,10-K,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,16736.0,16736.0,,162383.0,162383.0,7180.0,7601300.0,,-12044.0,,,,,105409.0,13995.0,3087.0,3640.0,13995.0,13995.0,-62525.0,,,,,,,211093.0,,,,,21302.0,-2807.0,1143.0,,1143.0,,,,0.01,0.0,0.34,-0.3355,-0.0045,,,0.0,,84070.0,10798.0,,,,,,,67025.0,151095.0,67025.0,23565.0,3068.0,8059.0,8059.0,11224.0,8059.0,8059.0,,,-213240.0,,,,,-349506.0,-350494.0,,,,,-176836.0,,,,,,,,88327.0,,,-988.0,988.0,,,,,105409.0,179119.0,,,123010.0,-23921.0,-161614.0,-137254.0,,,,349506.0,,,,,,,13099.0,,,,,,14806.0,,,21114.0,,,13995.0,,,,123010.0,,123010.0,,,,55767.0,,,6627.0,3087.0,,,,,,,,-7886103.0,,264673.0,,,,,,-73710.0,,123010.0,,,1161.0,,206509386.0,
2014-03-31,2014-05-15,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,25430.0,,,162497.0,,7473.0,7626936.0,,3362.0,,,,3069.0,107352.0,,2794.0,3640.0,14647.0,14647.0,652.0,,,,,,,213657.0,,,,,25955.0,-4653.0,293.0,,293.0,,,,0.0,,,,,,,,,87139.0,3069.0,,,,,,,63956.0,151095.0,63956.0,23565.0,,8059.0,8059.0,8155.0,8059.0,8059.0,,,,,,,,-34908.0,-35065.0,,,,,8808.0,,,,,,,,89911.0,,,-157.0,157.0,,,,,107352.0,187927.0,,,28200.0,-4653.0,-22895.0,35065.0,,,,34908.0,,,,,,,3752.0,,,,,,2442.0,,,,,,14647.0,,,,28200.0,,,,,,14279.0,,,,2794.0,,,,,,,,-7921168.0,,13971.0,,,,,,-80575.0,,28200.0,,,464.0,,212627589.0,
2014-06-30,2014-08-14,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,32135.0,,,162470.0,-7766.0,7659731.0,,,,,,,117205.0,,2501.0,3640.0,24383.0,24383.0,,,,,,,,216712.0,,,,,29434.0,,,,,,,,0.0,,,,,,,,,90208.0,,,,,,,,,151095.0,60887.0,,,,,,,,,,,,,,,-32192.0,-32675.0,,,,,,,,,,,,,90321.0,,,-483.0,,,,,,117205.0,194605.0,,,,,,-32675.0,,,,32192.0,,,,,,,325.0,,,,,,5748.0,,,,,,24383.0,,,,,,,,,,10638.0,,,,2501.0,,,,,,,,-7953843.0,,14753.0,,,,,,-67740.0,,,,,728.0,,214958654.0,
2014-09-30,2014-11-12,10-Q,"ADVANCED VOICE RECOGNITION SYSTEMS, INC.",AVOI,CIK0001342936,USD,,45168.0,,,162437.0,-7766.0,7665731.0,,,,,,,97601.0,,2207.0,3640.0,8145.0,8145.0,,,,,,,,217312.0,,,,,29434.0,,,,,,,0.0,0.01,,,,,,,,,93280.0,,,,,,,,,151095.0,57815.0,,,,,,,,,,,5560.0,,,,-38526.0,-39205.0,-39205.0,,,,,,,,,,,,87249.0,679.0,,679.0,,,,,,97601.0,207605.0,,,,,,-39205.0,,,,38526.0,-38526.0,,,,,,125.0,,125.0,,,,5560.0,,,,,,8145.0,,,,,,,,,,19735.0,-39205.0,,,2207.0,,,,,,,,-7993047.0,,13106.0,,,,,,-110004.0,,,,,,,217272471.0,
