end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromOfficersOrStockholders,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInPrepaidExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PaymentsForRepurchaseOfCommonStock,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2017-02-28,2018-11-15,10-K,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,2015.0,,37578.0,15678.0,4462.0,4462.0,,1727.0,-2030.0,1727.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,7212.0,,12866.0,12866.0,,19033.0,,0.0,,0.34,34343.0,,,2015.0,2735.0,,21048.0,4462.0,21048.0,,33033.0,-35063.0,-34343.0,34343.0,,61264.0,240605.0,2735.0,,243605.0,11000.0,19033.0,,,,,,-61264.0,,,,,,-16586.0,,,243605.0,,,,240605.0,6815068.0,
2017-05-31,2018-12-04,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,925.0,,37578.0,,4712.0,4712.0,,1727.0,,,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,25913.0,,0.0,,,5540.0,,,-1090.0,250.0,,26838.0,4712.0,26838.0,,6880.0,-6880.0,-5540.0,5540.0,,,,2985.0,,,,6880.0,,,,,,-66804.0,,,,,,-22126.0,,,,,,,,7100000.0,
2017-08-31,2018-12-06,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,400.0,,37578.0,,3297.0,3297.0,,1727.0,,1727.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,76738.0,,0.0,,,1715.0,,,,,,27138.0,3297.0,27138.0,,,,-1715.0,1715.0,,,,1570.0,,,,,,,,,,-68519.0,,,,,,-23841.0,,,,,,,,7100000.0,
2017-11-30,2018-12-06,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,740.0,,37578.0,,51727.0,51727.0,,51727.0,,,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,50000.0,76738.0,,0.0,,,1910.0,,,,,,77478.0,51727.0,77478.0,,,,-1910.0,1910.0,,,,,,,,,,,,,,-70429.0,,,,,,-25751.0,,,,,,,,7100000.0,
2018-02-28,2018-12-17,10-K,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,100.0,,37578.0,,51455.0,51455.0,,39720.0,37993.0,39720.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,1847.0,,14713.0,14713.0,,76738.0,,0.0,,0.21,8797.0,,,-1915.0,9000.0,300.0,76838.0,51455.0,76838.0,,57705.0,-19712.0,-8797.0,8797.0,,70061.0,,11735.0,,,,57705.0,,9000.0,,,,-70061.0,,,,,,-25383.0,,,,,,,,7100000.0,
2018-05-31,2019-02-04,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,300.0,,37578.0,,49940.0,49940.0,,37955.0,-1765.0,37955.0,-1765.0,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,76738.0,,0.0,,,1715.0,,,200.0,250.0,,77038.0,49940.0,77038.0,,,-1765.0,-1715.0,1715.0,,,,11985.0,,,,,,,,,,-71776.0,,,,0.06,,-27098.0,,,,,,,,7100000.0,
2018-08-31,2019-02-14,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,200.0,,37578.0,,48125.0,48125.0,,37555.0,,37555.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,76738.0,,0.0,,,1715.0,,,,,,76938.0,48125.0,76938.0,,,,-1715.0,1715.0,,,,10570.0,,,,,,,,,,-73491.0,,,,,,-28813.0,,,,,,,,7100000.0,
2018-11-30,2019-03-27,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,953.0,,37578.0,,40590.0,40590.0,,35625.0,,35625.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,78403.0,,0.0,,,9953.0,,,,,,79356.0,40590.0,79356.0,,,,-9953.0,9953.0,,,,4965.0,,,,,,,,,,-83444.0,,,,,,-38766.0,,,,,,,,7100000.0,
2019-02-28,2019-05-06,10-K,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,300.0,,37578.0,,21897.0,21897.0,,17662.0,-22058.0,17662.0,-22058.0,0.001,75000000.0,7100000.0,7100000.0,7100.0,6249.0,,20962.0,20962.0,,76738.0,,0.0,,0.21,29758.0,,,200.0,-7500.0,300.0,77038.0,21897.0,77038.0,,,-22058.0,-29758.0,29758.0,,99819.0,,4235.0,,,,,,1500.0,,,,-99819.0,,,,,,-55141.0,,,,,,,,7100000.0,
2019-05-31,2021-06-04,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,200.0,,37578.0,,12544.0,12544.0,,7259.0,,7259.0,-10403.0,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,76738.0,,0.0,,,9253.0,,,-100.0,1050.0,,76938.0,12544.0,76938.0,,,-10403.0,-9253.0,9253.0,,,,5285.0,,,,,,,,,,-109072.0,,,,,,-64394.0,,,,,,,,7100000.0,
2019-08-31,2021-06-04,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,200.0,,37578.0,,10830.0,10830.0,,6960.0,,6960.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,76738.0,,0.0,,,1715.0,,,,,,76938.0,10830.0,76938.0,,,,-1714.0,1715.0,,,,3870.0,,,,,,,,,,-110786.0,,,,,,-66108.0,,,,,,,,7100000.0,
2019-11-30,2021-06-11,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,1865.0,,37578.0,,10925.0,10925.0,,6660.0,,6660.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,76738.0,,0.0,,,1570.0,,,,,,78603.0,10925.0,78603.0,,,,-1570.0,1570.0,,,,4265.0,,,,,,,,,,-112356.0,,,,,,-67678.0,,,,,,,,7100000.0,
2020-02-29,2021-06-22,10-K,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,,,37578.0,,7559.0,7559.0,,2830.0,,2830.0,-14832.0,0.001,75000000.0,7100000.0,7100000.0,7100.0,2948.0,,23910.0,23910.0,,76738.0,,0.0,,0.21,14038.0,,,-300.0,494.0,,76738.0,7559.0,76738.0,,,-14832.0,-14038.0,14038.0,,113857.0,,4729.0,,,,,,2300.0,,,,-113857.0,,,,,,-69179.0,,,,,,,,7100000.0,
2020-05-31,2021-06-22,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,300.0,,37578.0,,6139.0,6139.0,,1160.0,,1160.0,-1670.0,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,76738.0,,0.0,,,1720.0,,,300.0,250.0,,77038.0,6139.0,77038.0,,,-1670.0,-1720.0,1720.0,,,,4979.0,,,,,,,,,,-115577.0,,,,,,-70899.0,,,,,,,,7100000.0,
2020-08-31,2021-06-22,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,600.0,,37578.0,,19724.0,19724.0,,16160.0,,16160.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,91738.0,,0.0,,,1715.0,,,,,,92338.0,19724.0,92338.0,,,,-1715.0,1715.0,,,,3564.0,,,,,,,,,,-117292.0,,,,,,-72614.0,,,,,,,,7100000.0,
2020-11-30,2021-06-22,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,950.0,,37578.0,,17860.0,17860.0,,13895.0,,13895.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,91738.0,,0.0,,,2214.0,,,,,,92688.0,17860.0,92688.0,,,,-2214.0,2214.0,,,,3965.0,,,,,,,,,,-119506.0,,,,,,-74828.0,,,,,,,,7100000.0,
2021-02-28,2021-06-30,10-K,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,200.0,,37578.0,,15913.0,15913.0,,11175.0,,11175.0,8345.0,0.001,75000000.0,7100000.0,7100000.0,7100.0,1438.0,,25348.0,25348.0,,91738.0,,0.0,,0.21,6846.0,,120703.0,200.0,9.0,,91938.0,15913.0,91938.0,,15000.0,-6655.0,-6846.0,6846.0,,120703.0,,4738.0,,,,15000.0,,,,,,-120703.0,,,,,,-76025.0,,,,,,,,7100000.0,
2021-05-31,2021-06-30,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,100.0,,37578.0,,39508.0,39508.0,,14320.0,,14320.0,3145.0,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,30000.0,121738.0,,0.0,,,6305.0,,,-100.0,20450.0,,121838.0,39508.0,121838.0,,30000.0,-26855.0,-6305.0,6305.0,,,,25188.0,,,,60000.0,,,,,,-127008.0,,,,,,-82330.0,,,,,,,,7100000.0,
2021-08-31,2021-10-20,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,750.0,,37578.0,,15593.0,15593.0,,14320.0,,14320.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,121738.0,,0.0,,,24565.0,,,,,,122488.0,15593.0,122488.0,,,,-24565.0,24565.0,,,,1273.0,,,,,,,,,,-151573.0,,,,,,-106895.0,,,,,,,,7100000.0,
2021-11-30,2022-01-13,10-Q,TOUCAN INTERACTIVE CORP.,TCNT,CIK0001602143,USD,200.0,,37578.0,,10941.0,10941.0,,8530.0,,8530.0,,0.001,75000000.0,7100000.0,7100000.0,7100.0,,,,,,121738.0,,0.0,,,4102.0,,,,,,121938.0,10941.0,121938.0,,,,-4102.0,4102.0,,,,2411.0,,,,,,,,,,-155675.0,,,,,,-110997.0,,,,,,,,7100000.0,
