end,filed,form,Name,Ticker,CIK,Currency,AcceleratedShareRepurchasesSettlementPaymentOrReceipt,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableOtherCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,Assets,AssetsNet,CapitalUnitsOutstanding,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ConcentrationRiskPercentage1,DebtInstrumentInterestRateIncreaseDecrease,DeferredRevenue,DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsDeclared,DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsDeclaredPerUnit,DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsPaidPerUnit,DistributionMadeToLimitedPartnerCashDistributionsPaid,DistributionMadeToLimitedPartnerDistributionsPaidPerUnit,DividendsPayableAmountPerShare,DueFromAffiliates,DueToAffiliateCurrentAndNoncurrent,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestments,FairValueMeasuredOnRecurringBasisGainLossIncludedInEarnings,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionLossBeforeTax,GainLossOnInvestments,GeneralAndAdministrativeExpense,IncentiveFeeExpense,IncreaseDecreaseDueFromAffiliates,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueFromAffiliatesCurrent,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInDueToAffiliatesCurrent,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDividendIncomeOperating,InterestAndFeeIncomeLoansAndLeases,InterestExpenseDebt,InterestIncomeDepositsWithFinancialInstitutions,InterestPaid,InterestPaidNet,InterestReceivable,InterestRevenueExpenseNet,InvestmentIncomeInterest,InvestmentIncomeInterestAndDividend,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedUnrecognizedUnrealizedDepreciation,Investments,Liabilities,LiabilityForUncertainTaxPositionsCurrent,LoansReceivableNet,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestExpenseInvestmentAdvisoryFees,NoninterestExpenseOfferingCost,NotesReceivableGross,OfferingCostsPartnershipInterests,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherExpenses,OtherReceivables,PaidInKindInterest,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountDistributions,PartnersCapitalAccountPeriodIncreaseDecrease,PartnersCapitalAccountPrivatePlacementOfUnits,PartnersCapitalAccountPublicSaleOfUnits,PartnersCapitalAccountTreasuryUnitsPurchases,PartnersCapitalAccountUnitsSoldInPrivatePlacement,PartnersCapitalAccountUnitsTreasury,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForRepurchaseOfOtherEquity,PaymentsOfStockIssuanceCosts,PaymentsToAcquireInvestments,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromInterestReceived,ProceedsFromIssuanceOfCommonLimitedPartnersUnits,ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,ProceedsFromNotesPayable,ProceedsFromPartnershipContribution,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProfessionalFees,ProfitLoss,RealizedInvestmentGainsLosses,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,SeniorNotes,SponsorFees,StockIssuedDuringPeriodValueDividendReinvestmentPlan,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2015-09-30,2015-11-13,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,4702.0,,,,105871726.0,,12267151.0,,8299752.0,,,,,,,,,,,,,,1486837.0,72846.0,,429525.0,0.18,,,0.0,,,,,,,93018379.0,,,,,142716.0,401712.0,,,,,,,,,,2008560.0,,,,,,,,,,,3006290.0,17910.0,2715510.0,2733420.0,2008560.0,93018379.0,93018379.0,,,1033896.0,0.0,,,,,,,,,526824.0,526823.0,,,,,,,,,5873211.0,,724860.0,,,,,,104837830.0,,,,,,,,,,,,,60468.0,,,,,,,113310.0,,,,,,,,,,11072604.0
2015-12-31,2016-03-30,10-K,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,171528.0,,6289.0,5833.0,,,139783516.0,,16226368.0,,33246769.0,25370852.0,,,,,,7565310.0,4808358.0,,0.72,,,,1874932.0,472057.0,,548700.0,0.8999999999999999,,,0.0,,138369032.0,90475779.0,,,,101028104.0,,,,,645747.0,1576895.0,1083844.0,,2816217.0,,,,,,254840.0,10101094.0,,3973.0,,2794.0,,,,,,,3580530.0,88582.0,9568481.0,12644567.0,10737942.0,101346528.0,101028104.0,,,1162909.0,0.0,,,,,,,,,2006532.0,135863.0,,69207130.0,,-43836278.0,,,4383644.0,393430.0,7822366.0,,1772586.0,,,,,225993.0,138620607.0,,7565310.0,76330615.0,,76329872.0,171528.0,8962414.0,19006.0,,,3941076.0,138143039.0,53181.0,,78128092.0,2756952.0,,,90475779.0,740057.0,,,,,,,,,0.0,10511262.0
2016-03-31,2016-05-13,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,13533.0,5000.0,,,168726443.0,,19129421.0,,36879526.0,3632757.0,,,,,,3189074.0,1857749.0,,0.179,,,,2144985.0,146710.0,,662106.0,0.18,,,0.0,,49897194.0,24994660.0,,,,125876561.0,,,,,201876.0,650348.0,270053.0,,198946.0,,,,,,113406.0,3192665.0,,7244.0,,-7286.0,,,,,,,3779476.0,92269.0,3249585.0,3341854.0,3251742.0,126254063.0,125876561.0,,,5551288.0,0.0,,,,,,,,,816326.0,225975.0,,25539500.0,,-21906743.0,,,1645498.0,571112.0,9467864.0,,90112.0,,,,,,163175155.0,,3189074.0,24554548.0,,24550957.0,4611631.0,3414037.0,510984.0,,,1970845.0,49897194.0,45895.0,,29476761.0,1331325.0,,,24994660.0,289031.0,,,,,,,,,0.0,17816842.0
2016-06-30,2016-08-15,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,21602.0,,,,196232897.0,,22716074.0,,26323028.0,,,,,,,,,,,,,,2731776.0,602303.0,,710279.0,0.18,,,0.0,,,,,,,161932491.0,,,,,236239.0,745727.0,,,,,,,,,,3728632.0,,,,,,,,,,,5206993.0,63980.0,4716749.0,4780729.0,3728632.0,162309992.0,161932491.0,,,3754749.0,0.0,,,,,,,,,973916.0,973915.0,,,,,,,,735324.0,11203416.0,,1052097.0,,,,,,192478148.0,,,,,,,,,,,,,38609.0,,,,,,,252664.0,,,,,,,,,,20811419.0
2016-09-30,2016-11-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,31058.0,,,,230786254.0,,26372641.0,,54509894.0,,,,,,,,,,,,,,2726761.0,104055.0,,833721.0,0.2,,,0.0,,,,,,,168419754.0,,,,,239075.0,971204.0,,,,,,,,,,4507165.0,,,,,,,,,,,5073748.0,58767.0,6356418.0,6415185.0,4507165.0,168797255.0,168419754.0,,,7676935.0,0.0,,,,,,,,,1122904.0,1122906.0,,,,,,,,887020.0,13144764.0,,1908020.0,,,,,,223109319.0,,,,,,,,,,,,,56097.0,,,,,,,150309.0,,,,,,,,,,23074683.0
2016-12-31,2017-03-31,10-K,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,10362875.0,,52901.0,496068.0,,,258678335.0,,29607381.0,,44790312.0,11543543.0,,,,,,16470671.0,9258169.0,0.002,0.78,,,,3175656.0,68312.0,,934805.0,1.0,,,0.0,,252220803.0,150208509.0,,,,203795813.0,,,,,927586.0,3319149.0,1300724.0,,3285902.0,,,,,,386105.0,21584012.0,,46612.0,,-3059.0,,,16228.0,,,,6866432.0,309495.0,20130867.0,26342956.0,21006241.0,203854890.0,203795813.0,,,7922420.0,0.0,,,,,,,,,4172643.0,1166147.0,,100925581.0,,-89382038.0,,,6721325.0,1403416.0,14543691.0,,4193472.0,,50122.0,,,,250755915.0,,16470671.0,112135308.0,,112099742.0,10362875.0,14529254.0,1148241.0,,,7125070.0,252220803.0,50122.0,,123878440.0,7212502.0,1635000.0,,150208509.0,903896.0,,,,,,1635000.0,,,0.0,21194302.0
2017-03-31,2017-05-11,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,62073.0,293823.0,,,313014667.0,,35739018.0,,68634169.0,23843857.0,,,,,,,3060697.0,,0.18,,,,3287475.0,560818.0,,1071891.0,0.15,,,0.0,,74703583.0,60583156.0,,,,218210063.0,,,,,280555.0,960348.0,111819.0,,1397615.0,,,,,,137086.0,4801740.0,,9172.0,,-5955.0,,,19742.0,,16228.0,,8264047.0,87922.0,6590163.0,6678085.0,4801740.0,218269140.0,218210063.0,,,10340924.0,0.0,,,,,,,,,1520974.0,1520975.0,,34458760.0,,-10614903.0,,,2401853.0,2171976.0,16945544.0,,1876345.0,,,,,,302673743.0,,5565733.0,51917828.0,,,3125167.0,6477916.0,346279.0,,,1909347.0,74703583.0,44167.0,,48836929.0,2505036.0,225000.0,,60583156.0,365179.0,,,,,,1860000.0,,,0.0,31423215.0
2017-06-30,2017-08-11,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,164911.0,,,,315243438.0,,36336584.0,,67589384.0,,,,,,,,,,,,,,3869516.0,,,1150247.0,0.15,,,0.0,,,,,,,234068318.0,,,,,385677.0,868510.0,,,,,,,,,,5408617.0,,,,,,,21349.0,,,,9485788.0,161897.0,6789264.0,6951161.0,5408617.0,234127394.0,234068317.0,,,8277146.0,0.0,,,,,,,,,1542544.0,1542545.0,,,,,,,,2643795.0,17012540.0,,1542544.0,,,,,0.0,306966292.0,,,,,,,,,,,,,230433.0,,,,,,,304022.0,,,,,,1860000.0,,,,36086638.0
2017-09-30,2017-11-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,255431.0,,,,337025375.0,,36914426.0,,10859240.0,,,,,,,,,,,,,,4063517.0,,,1181228.0,0.18,,,0.0,,,,,,,312364636.0,,,,,323273.0,1447154.0,,,,,,,,,,6661271.0,,,,,,,215449.0,,,,9629592.0,82008.0,9659965.0,9741973.0,6661271.0,312423713.0,312364636.0,,,24955351.0,0.0,,17360000.0,,5000000.0,10500000.0,,225000.0,1635000.0,1658314.0,1658315.0,,,,,,,,2269845.0,17079531.0,,3080702.0,,,,,667792.0,312070024.0,,,,,,,,,,,,,108390.0,,,,,,,254790.0,,,,,,17360000.0,,,,36665626.0
2017-12-31,2018-04-02,10-K,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,8699994.0,,360742.0,1217065.0,,,358307796.0,,38183103.0,,9641457.0,-35148855.0,9641457.0,,,,,,14285443.0,0.002,0.73,,,,3997314.0,,,1295293.0,0.76,,,0.0,,323243049.0,196587426.0,,-6000000.0,,335269492.0,,,,,1421712.0,4599941.0,821658.0,,2343998.0,,,,,,360488.0,27463018.0,,307841.0,,,,,606943.0,,294980.0,294980.0,9210430.0,359682.0,32494392.0,42336929.0,27463018.0,335328569.0,335269492.0,,,36951059.0,0.0,,28160000.0,410000.0,,5000000.0,22750000.0,,,6484850.0,1763018.0,74702359.0,74702359.0,-109851214.0,-109851214.0,,,2612810.0,1960157.0,17156501.0,,10686751.0,,189103.0,,,3600991.0,321356737.0,,25552855.0,70600822.0,,,8699994.0,9539710.0,963988.0,,,2681122.0,323243049.0,,,74019746.0,11267412.0,27804350.0,,196587426.0,1187220.0,,,1450000.0,,,28160000.0,,,0.0,35541295.0
2018-03-31,2018-05-14,10-Q,"TriLinc Global Impact Fund, LLC",TRLC,CIK0001550453,USD,,,427634.0,330109.0,,,408833416.0,,44187642.0,,8985543.0,-655914.0,,,,,,,4401276.0,,0.17,,,,3758946.0,,,1452939.0,0.11,,,0.0,,86782375.0,37045877.0,,,,385375392.0,40174.0,40174.0,,,325172.0,1403506.0,-238368.0,,1328268.0,,,,,,157646.0,4804697.0,,66892.0,,,10181734.0,,448620.0,,367868.0,367868.0,10538698.0,54548.0,10127186.0,10181734.0,5614026.0,386243553.0,385375392.0,,,38386602.0,0.0,,28060000.0,,,5000000.0,22750000.0,,310000.0,2009600.0,2012618.0,45153279.0,45153278.0,-45809193.0,-45809192.0,,,27765.0,2091708.0,17184266.0,,4567708.0,5614026.0,174837.0,,,848622.0,370446814.0,,7103800.0,49090077.0,,,3338976.0,6397037.0,392498.0,,,27765.0,86782375.0,,,51835397.0,2702524.0,,,37045877.0,326435.0,,,100000.0,,,28060000.0,,,0.0,42272734.0
