end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedSalariesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,CustomerDepositsCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleConversionRatio1,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,DepositsAssetsNoncurrent,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EquityMethodInvestmentOwnershipPercentage,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestIncomeExpenseNet,InterestPaid,LeaseAndRentalExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MinorityInterestOwnershipPercentageByNoncontrollingOwners,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherExpenses,OtherNonoperatingIncome,OtherReceivablesNetCurrent,PaymentsToAcquireLongtermInvestments,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireRestrictedInvestments,PaymentsToDevelopSoftware,PrepaidExpenseCurrent,ProceedsFromInterestReceived,ProceedsFromIssuanceOfCommonStock,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfRelatedPartyDebt,RestrictedCashAndInvestments,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DebtSecuritiesGainLoss,ForeignCurrencyExchangeRateTranslation1,ForeignCurrencyExchangeRateTranslation1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,OperatingLeaseExpense,OperatingLeaseExpense,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets
2012-12-31,2013-02-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,4975.0,0.0,298.0,,,,-1098.0,803226.0,419410.0,355897.0,,355599.0,,0.0001,500000000.0,47900000.0,,4790.0,-84532.0,,,9466.0,,,,,,,,35420.0,,,,,,,,232829.0,0.0,,,0.0,,,88719.0,,-84135.0,,,,,,,,,,,,,,,,0.0,,,,247270.0,419410.0,,,,,,-84135.0,0.0,88719.0,-84135.0,,,,,,,,,,,-397.0,,,,,,,,,0.0,,,,,,28093.0,,,,,,-634777.0,,4584.0,,172140.0,,,47900000.0,47900000.0,,,,,,,,,,,,,
2013-03-31,2013-05-15,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,6883.0,0.0,0.0,,,,1207.0,803226.0,377582.0,317313.0,,317313.0,,0.0001,500000000.0,47900000.0,,4790.0,-75921.0,,,10369.0,,,,,,,,35283.0,,,,,,,,262613.0,0.0,,,-2895.0,,,78403.0,4569.0,-76729.0,0.0,,,,,,,,,,,,,,,0.0,,,,279865.0,377582.0,,,,,,-76729.0,-2895.0,78403.0,-73834.0,,,,,,,,,,,808.0,,,,,,,,,0.0,,,,,,24986.0,,,,,,-711506.0,,4569.0,,97716.0,,,47900000.0,47900000.0,,,,,,,,,,,,,
2013-06-30,2013-11-01,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,10654.0,0.0,0.0,0.0,,0.0,3551.0,803226.0,278691.0,221835.0,56856.0,221835.0,-105379.0,0.0001,500000000.0,47900000.0,47900000.0,4790.0,-258062.0,0.0,1128.0,22856.0,,,,,,,,34996.0,13571.0,,,0.0,,,199996.0,199996.0,-0.01,,,-6120.0,,,279315.0,24201.0,-261213.0,0.0,0.0,-5048.0,0.0,-723.0,14961.0,0.0,0.0,,,0.0,0.0,-24700.0,,0.0,21.0,0.0,,,233506.0,278691.0,233506.0,,105690.0,109.0,-212306.0,-261213.0,-6099.0,279315.0,-255114.0,,,,,,,,,,,3151.0,3151.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,105690.0,109.0,21860.0,,,,,,-766382.0,,24201.0,,45185.0,,,47900000.0,47900000.0,,,,,,,,,,,,,
2013-09-30,2013-11-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,10636.0,,,191.0,,,3576.0,803226.0,120013.0,66268.0,,66077.0,-155758.0,0.001,5000000.0,47900000.0,47900000.0,4790.0,-52477.0,,1870.0,12427.0,,,,,,,,35313.0,3458.0,,,,,,,104242.0,0.0,,,-483.0,,,61442.0,9423.0,-483.0,,0.0,-1764.0,-10567.0,0.0,0.0,,-10567.0,,,0.0,0.0,0.0,,,0.0,0.0,,,127305.0,120013.0,127305.0,,-96252.0,0.0,-61375.0,-52502.0,-52502.0,61442.0,-52019.0,,,,,,,,,,,25.0,25.0,,,,,,,,,0.0,,,0.0,0.0,18432.0,,,,96252.0,,-818884.0,,9423.0,,-7292.0,,,47900000.0,47900000.0,,,,,,,,,,,,,
2013-12-31,2014-02-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,28874.0,,267.0,,,,4815.0,803226.0,67509.0,34309.0,,22978.0,,0.001,500000000.0,47900000.0,47900000.0,4790.0,-64421.0,,,110347.0,,,,,,,,18103.0,,,,11064.0,,,0.0,,0.0,,,-38.0,,,70433.0,,-65659.0,,,,,,,,,,,,,,,,0.0,,,,139221.0,67509.0,139221.0,,,,,-65659.0,-38.0,,-65621.0,,,,,,,,,,,1238.0,,,,,,,,,,,,,,,15097.0,,,,,,-884543.0,,4812.0,,-71712.0,,,47900000.0,,,,,,,,,,,,,,
2014-03-31,2014-05-12,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,21170.0,,,397.0,,,1433.0,803226.0,53872.0,11524.0,,11127.0,,0.001,500000000.0,47900000.0,47900000.0,4790.0,-31138.0,,,0.0,,,,,,,,27644.0,,,,0.0,,,135574.0,,0.0,,,-3.0,,,28147.0,,-27210.0,568.0,,,,,,,,,,,,,,,20.0,,,,156744.0,53872.0,156744.0,,,,,-27778.0,17.0,,-27227.0,,,,,,,,,,,-3360.0,,,,,,,,,,,,,,,14704.0,,,,,,-912321.0,,920.0,,-102872.0,,,47900000.0,,,,,,,,,,,,,,
2014-06-30,2014-09-30,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,13902.0,,,2208.0,,1528.0,-660.0,803226.0,39473.0,17259.0,22214.0,14569.0,-207265.0,0.0001,500000000.0,63438300.0,63438300.0,4790.0,-176660.0,3363.0,-4211.0,0.0,,,,,,,,14058.0,13704.0,,,0.0,,,159069.0,,0.0,,,0.0,,,198313.0,19091.0,,,0.0,3248.0,,2208.0,-22856.0,,-40927.0,,,1528.0,481.0,-20938.0,,2.0,20.0,2.0,,,174499.0,39473.0,174499.0,,0.0,0.0,-203054.0,-176000.0,3222.0,198313.0,-179222.0,,,,,,,,,,,-660.0,-4211.0,,3204.0,481.0,,,,,,20.0,0.0,,0.0,0.0,8156.0,,,,,,-942382.0,,22454.0,,-135026.0,,,47900000.0,,,,,,,,,,,,,,
2014-09-30,2014-11-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,4526.0,,,399.0,,3014.0,7.0,803226.0,32978.0,14982.0,17996.0,14583.0,13.0,0.0001,500000000.0,47900000.0,47900000.0,4790.0,-18260.0,,-520.0,49.0,,,,,,,,13394.0,3435.0,,,,,,178675.0,,0.0,,,1095.0,0.0,,20879.0,857.0,,,0.0,-7519.0,,-2011.0,50.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,186264.0,32978.0,186264.0,,21483.0,0.0,-20950.0,-18927.0,1095.0,20879.0,-20022.0,,,,,,,,,,,667.0,667.0,,,0.0,,,,,,0.0,,,21483.0,,4602.0,,,,0.0,,-961309.0,,857.0,,-153286.0,,,47900000.0,,,,,,,,,,,,,,
2014-12-31,2015-02-17,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,26790.0,,,350.0,,0.0,2233.0,957055.0,27822.0,13296.0,14526.0,10877.0,,0.0001,500000000.0,63438300.0,63438300.0,6344.0,-26985.0,,,,,,,,,,,12930.0,,,,2069.0,,,25920.0,,0.0,,,-3201.0,,,26909.0,,-29211.0,,,,,,,,,,,,,,,,0.0,,,,52710.0,27822.0,52710.0,,,,,-29211.0,-3201.0,,-26010.0,,,,,,,,,,,2226.0,,,,0.0,,,,,,,,,,,1596.0,,,,,,-990520.0,,899.0,,-24888.0,,,59169536.0,,,,,,,,,,,,,,
2015-03-31,2015-05-14,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,37794.0,,,752.0,,0.0,5748.0,957055.0,24411.0,12569.0,11842.0,11817.0,,0.0001,500000000.0,63438300.0,63438300.0,6344.0,-14414.0,,,,,,,,,,,11842.0,,,,,,,25920.0,,0.0,,,-3314.0,,,18051.0,,-17930.0,0.0,,,,,,,,,,,,,,,0.0,,,,63714.0,24411.0,63714.0,,,,,-17930.0,-3314.0,,-14616.0,,,,,,,,,,,3516.0,,,,0.0,,,,,,,,,,,0.0,,,,,,-1008450.0,,3435.0,,-39303.0,,,56779000.0,,,,,,,,,,,,,,
2015-06-30,2015-09-28,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,7128.0,,603.0,603.0,,2142.0,4106.0,957055.0,23505.0,11496.0,12009.0,10893.0,-3676.0,0.0001,500000000.0,63438300.0,63438300.0,6344.0,-76375.0,3031.0,-1218.0,0.0,,,,,,,,12009.0,7965.0,,,,,,27841.0,,0.0,,,-3556.0,,,81928.0,4343.0,,,0.0,-5562.0,,-1823.0,0.0,,0.0,,,0.0,85.0,0.0,,0.0,0.0,0.0,,,79523.0,23505.0,79523.0,,74542.0,0.0,-77000.0,-81141.0,-3556.0,81928.0,-77585.0,,,,,,,,,,,4766.0,4766.0,,0.0,0.0,,,,,0.0,0.0,45128.0,,29414.0,0.0,0.0,,,,,,-1023523.0,,7374.0,,-56018.0,,155383.0,58443846.0,,,,,,,,,,,,,,
2015-09-30,2015-11-04,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,35660.0,,,509.0,,0.0,7488.0,957055.0,16656.0,5416.0,11240.0,4301.0,-6592.0,0.0001,500000000.0,63438300.0,63438300.0,6344.0,-7402.0,,-2238.0,1124.0,,,,,,,,11240.0,0.0,,,,,,3597.0,,0.0,,,-1684.0,-3320.0,,9716.0,616.0,,,0.0,-14.0,,-69.0,1146.0,,,,,,,-76.0,,,,0.0,,,80076.0,16656.0,80076.0,,1833.0,0.0,-6187.0,-10784.0,-1684.0,9716.0,-9100.0,,,,,,,,,,,3382.0,3382.0,,,,,,,,606.0,0.0,0.0,,1833.0,,,,,,,,-1034307.0,,616.0,,-63420.0,,,63483300.0,,,,,,,,,,,,,,
2015-12-31,2016-02-09,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,26900.0,,482.0,,,0.0,11893.0,957055.0,18775.0,7937.0,10838.0,7253.0,,0.0001,500000000.0,63438300.0,63438300.0,6344.0,-8391.0,,,0.0,,,,,,,,10838.0,,,,,,,5202.0,,0.0,,,-7446.0,,,7298.0,,-12796.0,,,,,,,,,,,,,,,,0.0,,,,90586.0,18775.0,90586.0,,,,,-12796.0,-7446.0,,-5350.0,,,,,,,,,,,4405.0,,,,,,,,,202.0,,,,,,,,,,,,-1047103.0,,1948.0,,-71811.0,,,63483300.0,,,,,,,,,,,,,,
2016-03-31,2016-05-13,10-Q,W&E Source Corp.,WESC,CIK0001368275,USD,26998.0,,556.0,,,0.0,6556.0,957055.0,14583.0,3033.0,11550.0,2477.0,,0.0,500000000.0,63438300.0,63438300.0,6344.0,-8627.0,,,,,,,,,,,11550.0,,,,,,,9702.0,,0.0,,,6761.0,,,11821.0,,-4669.0,,,,,,,,,,,,,,,,0.0,,,,96400.0,14583.0,96400.0,,,,,-4669.0,6761.0,,-11430.0,,,,,,,,,,,-3958.0,,,,,,,,,0.0,,,,,,,,,,,,-1051772.0,,391.0,,-81817.0,,,63483300.0,,,,,,,,,,,,,,
2016-06-30,2016-09-28,10-K,W&E Source Corp.,WESC,CIK0001368275,USD,13245.0,,824.0,824.0,,0.0,8651.0,957055.0,18084.0,6471.0,11613.0,5647.0,-5246.0,0.0001,500000000.0,63468300.0,63468300.0,6344.0,-44161.0,1757.0,4252.0,,,,,,,,,11613.0,0.0,,,,,,25920.0,,0.0,,,-5142.0,,,45525.0,1961.0,,,0.0,4025.0,,0.0,,,-1809.0,,,,163.0,-75.0,,,,0.0,,,118263.0,18084.0,118263.0,,37080.0,,-46578.0,-48706.0,-5142.0,45525.0,-43564.0,,,,,,,,,,,4545.0,4545.0,,,0.0,,,,,0.0,0.0,37080.0,,0.0,,,0.0,,,,,-1072229.0,,3718.0,,-100179.0,,,63438300.0,,,,,,,,,,,,,,
