end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrentAndNoncurrent,AdjustmentForAmortization,Assets,AssetsNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashSegregatedUnderOtherRegulations,CommonUnitIssued,CostsAndExpenses,DeferredOfferingCosts,DueFromCorrespondentBrokers,DueToRelatedPartiesCurrentAndNoncurrent,ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GeneralInsuranceExpense,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInReceivables,IncreaseDecreaseInRestrictedCashForOperatingActivities,IncreaseDecreaseOfRestrictedInvestments,InterestExpense,InterestReceivable,InvestmentIncomeInterest,InvestmentIncomeInvestmentExpense,InvestmentIncomeNet,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentsFairValueDisclosure,LegalFees,Liabilities,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseCommissionExpense,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OpenOptionContractsWrittenAtFairValue,OtherAccruedLiabilitiesCurrentAndNoncurrent,OtherAssets,OtherCostAndExpenseOperating,OtherLiabilities,OtherOperatingIncomeExpenseNet,PaymentForManagementFee,PaymentsForRepurchaseOfCommonStock,PostageExpense,ProceedsFromIssuanceOfCommonStock,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RealizedInvestmentGainsLosses,RestrictedCash,SaleOfStockNumberOfSharesIssuedInTransaction,SellingAndMarketingExpense,SharesSubjectToMandatoryRedemptionSettlementTermsAmount,SponsorFees,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodValue,TaxesOther,TrusteeFees,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnDerivativesAndCommodityContracts
2017-09-30,2017-11-13,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,50000.0,127336.0,,,,4408.0,-108735.0,-108735.0,3779.0,,-237.0,,5178.0,,,,,218612.0,-122072.0,5555530.0,,,53644.0,89527.0,-35883.0,26589366.0,,,8823.0,,1576.0,5677515.0,-5677515.0,76872.0,8159.0,1576.0,14040.0,,,,5599.0,,,,1148230.0,6553.0,6825745.0,21086.0,,,-108735.0,,,,,8137.0,,5677515.0,6825745.0,-1148230.0,6301.0,1260.0,221490.0,112755.0
2017-12-31,2018-02-13,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,,,,,,145510.0,,,,4410.0,623759.0,623759.0,3781.0,,,,,,,,,,,,,,80232.0,123180.0,-42948.0,33106857.0,,,8823.0,,1576.0,,,643981.0,10738.0,1576.0,14040.0,,,,5274.0,,,,,6482.0,,21537.0,,,,,,,,11244.0,,5872510.0,10548270.0,-4675760.0,6301.0,1260.0,63170.0,686929.0
2018-03-31,2018-05-15,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,45436658.0,,,,,,,,2162042.0,,199683.0,,,36256.0,4721.0,1668846.0,1668846.0,4069.0,,,,,,,,,,,,,3816.0,118917.0,109610.0,9307.0,43634090.0,1.0,42143825.0,9741.0,1802568.0,6780.0,,,673158.0,16408.0,6780.0,15219.0,56469.0,,,5652.0,,,,,6904.0,,34904.0,,,,,,,1126975.0,21575.0,,9854075.0,10981050.0,-1126975.0,27826.0,,-1004995.0,663851.0
2018-06-30,2018-09-28,10-K,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,55896193.0,,33280.0,,32280.0,3361892.0,,,3328612.0,,837872.0,,,51137.0,22014.0,2692162.0,2692162.0,19109.0,,4537.0,,25877.0,,3189.0,,-59885.0,,2807397.0,30215688.0,,5249.0,464917.0,495894.0,-30977.0,55072777.0,,52447372.0,47334.0,823416.0,22398.0,32356085.0,-32323805.0,1880713.0,58933.0,22398.0,72195.0,70664.0,3189.0,,27368.0,,,,8141475.0,31408.0,40497560.0,124480.0,,,2692162.0,,,,,90928.0,,32356085.0,40497560.0,-8141475.0,97400.0,,-780472.0,1911690.0
2018-09-30,2018-11-14,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,65795820.0,,,,-33280.0,,,,2925041.0,,372689.0,,,60261.0,8568.0,-420122.0,-420122.0,7562.0,,3445.0,,9124.0,-790489.0,856.0,,,790489.0,-403571.0,8417554.0,,8694.0,295865.0,204396.0,91469.0,65599718.0,,61989916.0,20166.0,196102.0,12602.0,9310482.0,-9343762.0,1216459.0,25365.0,12602.0,29667.0,42891.0,4045.0,,10315.0,,,,2475570.0,13106.0,11786052.0,37859.0,,,-420122.0,,,,,53640.0,,9310482.0,11786052.0,-2475570.0,57598.0,,1545112.0,1124990.0
2018-12-31,2019-02-14,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,65346894.0,,,,,,,,4006213.0,,379573.0,,,63722.0,8568.0,-470824.0,-470824.0,7562.0,,,,,,,,,,,,,3267.0,384625.0,219998.0,164627.0,62926444.0,,61289314.0,20166.0,2420450.0,12602.0,,,-3496397.0,25590.0,12602.0,29667.0,251594.0,,,10315.0,,,,,13106.0,,37859.0,,,,,,,,56609.0,,823123.0,12510953.0,-11687830.0,57598.0,,-3190200.0,-3661024.0
2019-03-31,2019-05-14,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,37082608.0,,4706340.0,,,,,,,,335836.0,,2323128.0,37183.0,8382.0,-3414702.0,-3414702.0,7398.0,,,,,,,,,,,,,6046.0,261390.0,147464.0,113926.0,32060535.0,,29909446.0,19727.0,5022073.0,12328.0,,,-2033367.0,21356.0,12328.0,29023.0,53711.0,,21906.0,10091.0,26289.0,,,,12822.0,,37434.0,,,,,,,,50073.0,,-28832542.0,1795803.0,-30628345.0,49314.0,,1267409.0,-2147293.0
2019-06-30,2019-09-30,10-K,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,16600220.0,,,,-33280.0,3197026.0,3197026.0,-164866.0,391415.0,,1361021.0,,,21550.0,33993.0,-4680765.0,-4680765.0,30002.0,309735.0,1008.0,,-29587.0,,1277.0,,-309735.0,,-131586.0,-43368969.0,,6257.0,1041904.0,653864.0,388040.0,16228411.0,,13005522.0,80006.0,371809.0,50000.0,-35305287.0,35140421.0,-3539079.0,86958.0,50000.0,117700.0,19336.0,,,41563.0,4466.0,,,62562010.0,51998.0,27256723.0,132599.0,,,4680765.0,3197026.0,,,,210184.0,,-35305287.0,27256723.0,-62562010.0,189444.0,,753646.0,-3927119.0
2019-09-30,2019-11-12,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,2737.0,,8209666.0,,,,,1401313.0,,-1795713.0,1401313.0,,265487.0,,,10944.0,7883.0,635509.0,635509.0,7540.0,-304940.0,-3316.0,,-10606.0,304940.0,-1729.0,,,,-1795713.0,-7683669.0,,2941.0,56653.0,53626.0,3027.0,8184360.0,,6718937.0,20108.0,25306.0,12578.0,-9444162.0,7648449.0,1400111.0,10163.0,12578.0,30027.0,11625.0,,,6404.0,,,,9444162.0,5304.0,,35797.0,,,635509.0,1401313.0,,,,50272.0,,-9444162.0,,-9444162.0,25136.0,,761575.0,1397084.0
2019-12-31,2020-02-14,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,8171688.0,,,,,2069455.0,,,2069455.0,,258785.0,,,10142.0,7883.0,-550056.0,-550056.0,7540.0,,,,,,,,,,,,14.0,2010.0,37492.0,39639.0,-2147.0,8047267.0,,6084345.0,20108.0,124421.0,12584.0,,,-278942.0,8129.0,12584.0,30027.0,5906.0,,,6404.0,3248.0,,,,5304.0,,35797.0,,,,2069455.0,,,,50272.0,,141849.0,1151130.0,-1009281.0,25136.0,,273261.0,-276795.0
2020-03-31,2020-05-15,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,26107631.0,,,,,15427374.0,,,15427374.0,,330149.0,,,45727.0,7796.0,-2894956.0,-2894956.0,7458.0,,,,,,,,,,,,21.0,2180.0,36923.0,137050.0,-100127.0,23652537.0,,7430127.0,19889.0,2455094.0,12373.0,,,-5311050.0,62528.0,12373.0,29701.0,18867.0,,,6334.0,14146.0,,,,5246.0,,35604.0,,,,15427374.0,,,,49725.0,,20916320.0,21611870.0,-695550.0,24864.0,,-2315967.0,-5210923.0
2020-06-30,2020-09-28,10-K,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,49671005.0,49343668.0,,,,28222274.0,28222274.0,25025248.0,28222274.0,,1304189.0,,,88459.0,31360.0,-2469836.0,-2469836.0,29998.0,8190140.0,-5712.0,,66909.0,,32587.0,,,,,-6195935.0,238.0,545.0,151565.0,569529.0,-417964.0,49343668.0,1.0,12866631.0,79996.0,327337.0,49965.0,27476177.0,-2450929.0,5639080.0,213611.0,49965.0,119455.0,4148.0,,,26113.0,37053.0,-569529.0,,12675293.0,21101.0,40151470.0,124602.0,5639080.0,49343668.0,-2469836.0,28222274.0,,,,199996.0,49343668.0,27476177.0,40151470.0,-12675293.0,99998.0,,8526880.0,6057044.0
2020-09-30,2020-11-13,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,33413810.0,,,,,27145420.0,,-1076854.0,27145420.0,,466944.0,,,87802.0,7817.0,10070514.0,10070514.0,7562.0,-7066400.0,-461.0,,-657.0,,-28986.0,,,,,-11119212.0,194.0,84.0,6101.0,362574.0,-356473.0,33309397.0,,4753151.0,20166.0,104413.0,12602.0,-18683530.0,17606676.0,2649259.0,76455.0,12602.0,16995.0,3121.0,,,6253.0,8067.0,,,20131083.0,5294.0,1447553.0,40442.0,,,10070514.0,27145420.0,,,,50755.0,33309397.0,-18683530.0,1447553.0,-20131083.0,19383.0,,-7064782.0,3005732.0
2020-12-31,2021-02-16,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,,,13545258.0,,,,,384650.0,,,,5217.0,-3586156.0,-3586156.0,5014.0,,,,,,,,,,,,108.0,,574.0,333686.0,-333112.0,25180185.0,,,24220.0,,8356.0,,,-1121987.0,84011.0,8356.0,21076.0,,,,4304.0,,,,,3539.0,,50399.0,,,,13545258.0,,,,37329.0,25180185.0,-7007225.0,653748.0,-7660973.0,10653.0,,2797281.0,-788875.0
2021-03-31,2021-05-14,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,,,,,1123395.0,,33129791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45398091.0,,,,,,,,,,,,,,,,,,,,,,,,,,32006396.0,,,,,,,,,,,,
2021-06-30,2021-09-10,10-K,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,4926.0,,,,,,50040588.0,50040588.0,21818314.0,,,2081931.0,24071.0,,,20823.0,48086075.0,48086075.0,20015.0,,-102.0,,146612.0,,93454.0,,,,,,366.0,,8657.0,,-1897188.0,,,,86610.0,,38355.0,5392123.0,16426191.0,59341361.0,520040.0,33355.0,83282.0,,,,32154.0,,-1905845.0,,90382155.0,11451.0,95774278.0,123858.0,59341361.0,,48086075.0,50040588.0,,16316.0,,155205.0,,5392123.0,95774278.0,-90382155.0,100960.0,,13152474.0,61238549.0
2021-09-30,2021-11-12,10-Q,ETF Managers Group Commodity Trust I,BDRY,CIK0001610940,USD,,12235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
