end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,Assets,AssetsCurrent,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DeferredTaxLiabilities,DeferredTaxLiabilitiesOther,DividendsPayableAmountPerShare,DividendsPayableCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FederalDepositInsuranceCorporationPremiumExpense,IncomeLossFromContinuingOperations,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherReceivables,InterestAndOtherIncome,InterestExpense,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherIncome,OtherNoncashIncomeExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivables,OtherSellingGeneralAndAdministrativeExpense,PaymentsOfDividends,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProfessionalFees,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipBeforeTransaction,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,ValuationAllowanceAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-10-31,2012-12-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,,,,312894.0,312894.0,,,312894.0,312894.0,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,,,,,,,-3450.0,,,,,,,,,,152.0,152.0,,,,312894.0,0.0,,,,,-3298.0,,,-3450.0,,,,,,,,,,0.001,1000000.0,,,0.0,,-3298.0,,,,-2067096.0,,,,0.0,3450.0,,312894.0,,,,,7350540.0
2013-01-31,2013-02-28,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,2372640.0,,,,308430.0,308430.0,,,308430.0,,,,,308430.0,0.0,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,117.0,117.0,,,0.0,308430.0,,,,,,-4464.0,,4581.0,4581.0,,,-4581.0,,,,,,,0.001,1000000.0,,,0.0,,,,,,-2071560.0,,,,0.0,4581.0,,308430.0,,,,,7350540.0
2013-04-30,2013-07-24,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,,,,305904.0,305904.0,,305904.0,305904.0,,-22548.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,23060.0,,,0.0,0.0,168000.0,168000.0,-157000.0,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,512.0,,305904.0,0.0,,,-22548.0,-22548.0,-22548.0,,23060.0,-23060.0,0.0,0.0,512.0,,512.0,,,,,0.001,1000000.0,,,0.0,,-22548.0,,,,-2074086.0,,,,0.0,23060.0,305904.0,305904.0,,,0.0,,7350540.0
2013-07-31,2013-09-20,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,9600.0,,,,2372640.0,,,,304021.0,304021.0,,304021.0,304021.0,,-1883.0,-1883.0,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,9600.0,,,0.0,,,,,76.0,0.0,,,,304021.0,9600.0,0.0,0.0,-1883.0,,-11483.0,,,11559.0,,,,,,,,,,0.001,1000000.0,,,0.0,,-11483.0,,,,-2085569.0,,,,0.0,11559.0,,294421.0,,,,7350540.0,7350540.0
2013-10-31,2013-12-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,,,,291170.0,291170.0,101000000.0,291170.0,291170.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,73.0,,,,,291170.0,0.0,,,,,-3252.0,,,-3325.0,,,,,,,,,,0.001,1000000.0,,,0.0,,,,,,-2088821.0,,,,0.0,3325.0,,291170.0,,,,7350540.0,7350540.0
2014-01-31,2014-03-12,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,,,,288664.0,288664.0,101000000.0,288664.0,288664.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,2578.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,73.0,,,,,288664.0,0.0,,,,,-2505.0,,,-2578.0,,,-2578.0,,,,,,,0.001,1000000.0,,,0.0,,,,,,-2091326.0,,,,0.0,2578.0,,288664.0,,,,7350540.0,7350540.0
2014-04-30,2014-07-29,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,,,,284287.0,284287.0,,272087.0,272087.0,,-33817.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,21907.0,,,,0.0,178000.0,-168000.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,-12200.0,-12200.0,,,,,,0.0,,290.0,0.0,284287.0,0.0,,,-33817.0,-33817.0,-21617.0,,,-21907.0,0.0,0.0,290.0,,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-21617.0,,,,-2095703.0,,,,0.0,21907.0,286287.0,284287.0,,,,7350540.0,7350540.0
2014-07-31,2014-09-15,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,8000.0,,,,2372640.0,,,,284235.0,284235.0,,284235.0,284235.0,,12148.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,8000.0,,12200.0,12200.0,,,,,68.0,0.0,,68.0,,284235.0,8000.0,0.0,0.0,12148.0,,-8052.0,,,-8120.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-8052.0,,,,-2103755.0,,,,0.0,8120.0,,276235.0,,,,7350540.0,7350540.0
2014-10-31,2014-12-12,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,2372640.0,,,,272932.0,272932.0,,272932.0,272932.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,67.0,,,,0.0,272932.0,,,,,,-3303.0,,,-3370.0,,,,,,,,,,0.001,1000000.0,,,0.0,,-3303.0,,,,-2107058.0,,,,0.0,3370.0,,272932.0,,,,7350540.0,
2015-01-31,2015-03-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,2372640.0,,,,269167.0,269167.0,,269167.0,269167.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,3830.0,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,66.0,,,,0.0,269167.0,,,,,,-3764.0,,3830.0,-3830.0,,,,,,,,,,0.001,1000000.0,,,0.0,,,,,,-2110823.0,,,,0.0,3830.0,,269167.0,,,,7350540.0,
2015-04-30,2015-07-29,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,0.0,,2372640.0,,,,264422.0,264422.0,,264422.0,264422.0,,-7665.0,,,264422.0,,0.001,100000000.0,7350540.0,7350540.0,7350.0,20130.0,,,,0.0,186000.0,186000.0,,0.0,,,,1800.0,0.0,,,0.0,,,,,,,0.0,0.0,,12200.0,12200.0,0.0,,,,,0.0,,265.0,0.0,264422.0,0.0,,,-7665.0,,-19865.0,,,-20130.0,0.0,0.0,,,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-19865.0,,,,-2115568.0,,,,0.0,20130.0,,264422.0,264422.0,,,7350540.0,
2015-07-31,2015-10-02,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,8625.0,,,,2372640.0,,,,264471.0,264471.0,,,264471.0,,49.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,8625.0,,0.0,,,,,,,0.0,,66.0,,264471.0,8625.0,,,49.0,,-8576.0,,,-8642.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-8576.0,,,,-2124144.0,,,,0.0,8642.0,,255846.0,,,,7350540.0,7350540.0
2015-10-31,2015-12-10,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,2372640.0,,,,251896.0,251896.0,,,251896.0,,,,,251896.0,,,,,,7350.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,65.0,65.0,,,,0.0,251896.0,,,,,,,,,-4015.0,,,,,,,,,,,,,,0.0,,-3950.0,,,,-2128094.0,,,,0.0,4015.0,,251896.0,,,,7350540.0,
2016-01-31,2016-03-10,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,2372640.0,,,,249223.0,249223.0,,,249223.0,,,,,249223.0,,0.001,100000000.0,7350540.0,7350540.0,7350.0,2735.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,63.0,63.0,,,,0.0,249223.0,,,,,,-2672.0,,2735.0,-2735.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-2672.0,,,,-2130767.0,,,,0.0,2735.0,,249223.0,,,,7350540.0,
2016-04-30,2016-07-21,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,1500.0,1450.0,1450.0,,2372640.0,,,,247424.0,247424.0,,247424.0,247424.0,,-16998.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,0.0,0.0,194000.0,194000.0,,0.0,,,,0.0,1450.0,,,0.0,,,,,,,0.0,1500.0,,,0.0,1450.0,,,,,0.0,,255.0,,247424.0,2950.0,,,-16998.0,-16998.0,-19948.0,,,-20203.0,0.0,0.0,,-1450.0,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-19948.0,,,,-2135516.0,,,,0.0,20203.0,,244474.0,244474.0,,,7350540.0,
2016-07-31,2016-09-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,5000.0,,,,2372640.0,,,,240851.0,240851.0,,240851.0,240851.0,,-6573.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,3500.0,,,,,,,,,0.0,,62.0,,240851.0,5000.0,,,-6573.0,-6573.0,-8623.0,,,-8685.0,,,,,,,,,,0.001,1000000.0,,,0.0,,-8623.0,,,1450.0,-2144139.0,,,,0.0,8685.0,,235851.0,,,,7350540.0,
2016-10-31,2016-12-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,5000.0,,0.0,,2372640.0,,,,236526.0,236526.0,,236526.0,236526.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,60.0,,,,60.0,,236526.0,5000.0,,,,,-4325.0,,,-4385.0,,,,,,,,,,0.001,1000000.0,,,0.0,,-4325.0,,,,-2148464.0,,,,0.0,4385.0,,231526.0,,,,7350540.0,
2017-01-31,2017-03-17,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,0.0,,2372640.0,,,,229339.0,229339.0,,229339.0,229339.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,2245.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,58.0,,,,58.0,,229339.0,0.0,,,,,-2187.0,,,-2245.0,,,,,,,,,,0.001,1000000.0,,,0.0,,-2187.0,,,,-2150651.0,,,,0.0,2245.0,,229339.0,,,,7350540.0,
2017-04-30,2017-07-24,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,2125.0,0.0,,,2372640.0,,,,226035.0,226035.0,,,226035.0,,-21389.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,0.0,203000.0,0.0,,203000.0,203000.0,,0.0,,,,,,,,0.0,,,,,,,0.0,625.0,,,,,,,,,0.0,,235.0,,226035.0,2125.0,,,,-21389.0,-20564.0,,,-20799.0,,,,1450.0,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-20564.0,,,,-2156080.0,,,,0.0,20799.0,,223910.0,223910.0,,,7350540.0,
2017-07-31,2017-09-14,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,6426.0,,,,2372640.0,,,,221092.0,221092.0,,,221092.0,,-4943.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,4301.0,,,,,,,,,0.0,,56.0,,221092.0,6426.0,,,-4943.0,-4943.0,-9244.0,,,-9300.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-9244.0,,,0.0,-2165324.0,,,,0.0,9300.0,,214666.0,,,,7350540.0,7350540.0
2017-10-31,2017-12-13,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,2372640.0,,,,211360.0,211360.0,,,211360.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,54.0,,211360.0,,,,,,-3306.0,,,-3360.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,,,,,,,-2168630.0,,,,,3360.0,,211360.0,,,,7350540.0,7350540.0
2018-01-31,2018-03-16,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,0.0,,,,2372640.0,,,,207331.0,207331.0,,,207331.0,,,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,51.0,,207331.0,0.0,,,,,-4029.0,,,-4080.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,0.0,,,,,,-2172659.0,,,,0.0,4080.0,,207331.0,,,,7350540.0,7350540.0
2018-04-30,2018-07-24,10-K,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,1500.0,,,,2372640.0,,,,205636.0,205636.0,,,205636.0,,-20399.0,,,,,0.001,10000000.0,7350540.0,7350540.0,7350.0,,0.0,,0.0,,149000.0,149000.0,,0.0,,,,,,,,0.0,,,,,,,0.0,-625.0,,,,,,,,,0.0,,211.0,,205636.0,1500.0,,,-20399.0,-20399.0,-19774.0,,,-19985.0,,,,,,,,,,0.001,1000000.0,0.0,0.0,0.0,,-19774.0,,,,-2175854.0,,,,0.0,19985.0,,204136.0,,,,7350540.0,7350540.0
2018-07-31,2018-09-19,10-Q,"Liaoning Shuiyun Qinghe Rice Industry Co., Ltd.",SYQH,CIK0000710782,USD,,,,,2190644.0,,-181996.0,,96.0,96.0,,,96.0,,-205540.0,,,,,0.001,100000000.0,7350540.0,7350540.0,7350.0,,,,,,,,,,,0.0248,181996.0,,,,0.0,0.0,,,,,250000.0,,,-1500.0,,,,,,,,,,,133.0,,96.0,,-181996.0,,-23544.0,,-22044.0,,,-22177.0,,,,,,,,,181996.0,0.001,1000000.0,,,,,,,,,-2197898.0,,,,,22177.0,,96.0,96.0,,,,7350540.0
