end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNet,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EscrowDepositDisbursementsRelatedToPropertyAcquisition1,ExplorationExpense,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentLossesRelatedToRealEstatePartnerships,ImpairmentOfLongLivedAssetsHeldForUse,ImpairmentOfOngoingProject,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InventoryFinishedGoods,InventoryNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OtherNonoperatingIncomeExpense,PaymentsForProceedsFromRealEstatePartnershipInvestmentNet,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireBusinessesGross,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,RevenueFromRelatedParties,Revenues,SalariesAndWages,SaleOfStockPricePerShare,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,SponsorFees,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2019-04-29,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2012-12-31,2019-04-29,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,1137408.0,1137408.0,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,3345317.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2013-03-31,2019-04-29,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2013-06-30,2019-04-29,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2013-09-30,2019-04-30,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2013-12-31,2019-04-30,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,1137408.0,1137408.0,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,3345317.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2014-03-31,2019-04-30,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2014-06-30,2019-04-30,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2014-09-30,2019-04-30,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2014-12-31,2019-04-30,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,1137408.0,1137408.0,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,3345317.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2015-03-31,2019-04-30,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2015-06-30,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2015-09-30,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2015-12-31,2019-05-01,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,1137408.0,1137408.0,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,3345317.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2016-03-31,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2016-06-30,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2016-09-30,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2016-12-31,2019-05-01,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,1137408.0,1137408.0,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,3345317.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2017-03-31,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2017-06-30,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2017-09-30,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2017-12-31,2019-05-01,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,1137408.0,1137408.0,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,3345317.0,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2018-03-31,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2018-06-30,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2018-09-30,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0
2018-12-31,2019-05-01,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3358628.0,,0.0,,,,,,,,,,0.001,,290000000.0,140235.0,140235.0,27000.0,140.0,,,,728500.0,728500.0,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,20515.0
2019-03-31,2019-05-01,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,7000.0,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,20515.0
2019-06-30,2019-08-20,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,24261.0,,3222739.0,,2118.0,2118.0,,,,,,,,,0.001,,290000000.0,141029000.0,141029000.0,27000.0,141029.0,,,,,,,24419.0,0.0,,,,14941.0,,,,,,,,,,,,,,,2118.0,,,,,,,2118.0,48680.0,,,,,,-44562.0,44562.0,-44562.0,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,26101.0,,,,,-3437330.0,,,,3520.0,,,,-7000.0,,,,,,,,,,,,20515.0
2019-09-30,2019-11-15,10-Q,CANNONAU CORP,CNNC,CIK0001410187,USD,24761.0,,3317739.0,,11092.0,11092.0,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,45856.0,0.0,,,,1883.0,,,,,,,,,,,,,,,11092.0,,,,,,,11092.0,70617.0,,,,,,-7963.0,7963.0,-7963.0,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,500.0,,,,,-3445293.0,,,,5580.0,,,,-7000.0,,,,,,,,,,,,20515.0
2019-12-31,2020-05-12,10-K,CANNONAU CORP,CNNC,CIK0001410187,USD,3291.0,,3361585.0,,11114.0,11114.0,,,,,,70.0,70.0,,0.001,,290000000.0,182735.0,182735.0,27000.0,183.0,,,,746200.0,746200.0,,86102.0,-1.48,0.21,,,14241.0,,,,,,-16019.0,16019.0,-3709.0,,,11044.0,,,,11044.0,,,,37260.0,,,11114.0,89393.0,,89102.0,,-89032.0,,-74279.0,74279.0,-74279.0,,,,3554000.0,,,2000.0,,,,,0.001,10000000.0,,,,,,,91102.0,,,22778.0,,,,,-3467047.0,,,,,,,,-78462.0,5000.0,,,5000.0,,,,,-2000.0,2000.0,,50049.0
