end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivableRecoveries,Assets,AssetsCurrent,AssetsDesignatedToClosedBlockCashAndCashEquivalents,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConvertibleLongTermNotesPayable,ConvertiblePreferredStockSharesOutstanding,CostOfGoodsAndServicesSoldAmortization,CostOfRevenue,CustomerDepositsCurrent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPaymentPrincipal,DeferredIncomeTaxesAndTaxCredits,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxExpenseFromStockOptionsExercised,DepositLiabilitiesAccruedInterest,Depreciation,DepreciationDepletionAndAmortization,DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DirectTaxesAndLicensesCosts,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationTaxContingencies,EffectOfExchangeRateOnCashAndCashEquivalents,FacilityCosts,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationTaxCredits,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerAdvances,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCash,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InterestExpense,InterestExpenseOther,InterestPaid,InterestPaidNet,InventoryNet,LeaseCost,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,MachineryAndEquipmentGross,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,NetInvestmentIncome,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseImpairmentLoss,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsCurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherLiabilitiesCurrent,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivablesNetCurrent,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidTaxes,ProceedsFromConvertibleDebt,ProceedsFromDebtNetOfIssuanceCosts,ProceedsFromHedgeFinancingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,ProfitLossFromRealEstateOperations,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedParty,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SecuritiesBorrowed,SellingAndMarketingExpense,SharesIssued,ShortTermLeaseCost,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityOther,StockholdersEquityQualifiedForNetCapital,StockIssuedDuringPeriodSharesConversionOfUnits,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,TaxAdjustmentsSettlementsAndUnusualProvisions,TaxesPayableCurrent,TemporaryEquityForeignCurrencyTranslationAdjustments,TravelAndEntertainmentExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2014-09-30,2014-11-10,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,10969.0,,,,,,10969.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5775.0,,,,,,,,,,,,,,,,,,,,,,,-5775.0,,,,,,,,,,10969.0,,,,,,,-5775.0,-5775.0,,,,,5775.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,5775.0,-5775.0,,0.0,,,-39031.0,,,,,,10969.0,,,,,,,,,,,,,,5000000.0
2014-12-31,2015-01-23,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,5569.0,,,,,,5569.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5569.0,,,,,,,,-5400.0,,,,,5400.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,,,,,,-44431.0,,,,,,5569.0,,,,,,,,,,,,,,5000000.0
2015-03-31,2015-04-27,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,3885.0,,,,,,3885.0,,,,0.0,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3885.0,,,,,,,,-1684.0,,,,,1684.0,-1684.0,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,,,,,,-46115.0,,,,,,3885.0,,,,,,,,,,,,,5000000.0,5000000.0
2015-06-30,2015-09-25,10-K,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,16463.0,1579.0,,,,,,1579.0,1579.0,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,16463.0,,,,,,,,,,,,,0.0,,0.34,,,,,,,15165.0,,-15165.0,,,,,,,,,,,,,,,,,,,,,-15165.0,,,,,,,,,,1579.0,,,,,,,-15165.0,-15165.0,,,,,15165.0,,,,,,,,,48421.0,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,-15165.0,-15165.0,,0.0,,,-48421.0,,,,,,1579.0,,,1579.0,,,,,,,,,,,5000000.0
2015-09-30,2015-11-10,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,37.0,,,,,,37.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,53463.0,,,,,0.0,,,,,,,,,5042.0,,,,,,,,,,,,,,,,,,,,,,,-1542.0,,,,,,,,,,37.0,3500.0,3500.0,,,-3500.0,,-5042.0,-5042.0,,,,,5042.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,-3500.0,,,,5042.0,,3500.0,,,-53463.0,,,,,,,,,-3463.0,,,,,,,,,,,5000000.0
2015-12-31,2016-02-08,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,95.0,,,,,,95.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,5100.0,5100.0,,,,,,-1542.0,,,,,1542.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,-1542.0,,,,,-55005.0,,,,,,,,,-5005.0,,,,,,,,,,,5000000.0
2016-03-31,2016-04-29,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,2203.0,,,,,,2461.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203.0,7100.0,7100.0,,,,,,108.0,,,,,1592.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,108.0,,,,,-54897.0,1700.0,,,,,,,,-4897.0,,,,,,,,,,,5000000.0
2016-06-30,2016-09-28,10-K,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,2461.0,,,,,2461.0,2461.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,54639.0,18577.0,,,,,,54639.0,,,7100.0,,0.0,,,,,,,,,15360.0,,-6218.0,,,18577.0,,,,,,-7100.0,,,,-7100.0,,,,,,,,2590.0,,,,,,,,,,2461.0,7100.0,7100.0,,,4000.0,,-1410.0,-11760.0,,,,,15360.0,,,,,,,,,,54639.0,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,4000.0,,,-6218.0,-11860.0,,7100.0,,,-54639.0,3500.0,,,,,-4639.0,,,-4639.0,,,,-18577.0,,,,18577.0,,,10000000.0
2016-09-30,2016-11-14,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,4169.0,,,,,,4169.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,56931.0,,,,,0.0,,,,,,,,,2292.0,,,,,,,,,,,,,,,,,,,,,,,1708.0,,,,,,,,,,4169.0,11100.0,11100.0,,,-4000.0,,-2292.0,-2292.0,,,,,2292.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,-4000.0,,,,2292.0,,11100.0,,,-56931.0,,,,,,,,,-6931.0,,,,,,,,,,,5000000.0
2016-12-31,2017-02-07,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,49500.0,,,527.0,,,,,527.0,527.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.0,13100.0,13100.0,,,,,,-5642.0,,,,,5642.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,-5642.0,,,,,-62573.0,,,,,,,,,-12573.0,,,,,,,,,,,5000000.0
2017-03-31,2017-05-05,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,50980.0,,,243.0,,,,,243.0,285.0,,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,16200.0,16200.0,,,,,,-1742.0,,,,,1742.0,,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,-1742.0,,,,,-67437.0,,,,,,,,,-15957.0,,,,,,,,,,,5000000.0
2017-06-30,2017-09-28,10-K,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,16200.0,,,,,50980.0,1480.0,,243.0,,243.0,,,243.0,243.0,-2218.0,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,67437.0,,67437.0,,,,,67437.0,,,,,0.0,,,,,,,,,13060.0,,,,,23602.0,,,,23602.0,,,,,,-9100.0,,,,,9100.0,,,-2218.0,,1480.0,1480.0,,,,,,16200.0,243.0,16200.0,16200.0,,,,,-2218.0,-14540.0,,,,,13060.0,-11318.0,,,,,,,,,67437.0,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,,,,,-13060.0,,14600.0,,,-67437.0,,,,,,-15957.0,,,-15957.0,,,,-23602.0,,,,,,,10000000.0
2017-09-30,2017-11-07,10-Q,GLOBAL SEED CORP,GLBD,CIK0001524829,USD,,,,,,,,50980.0,,,2524.0,,,,,2524.0,2524.0,2281.0,,,,0.0001,8999886999.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,,,,,,,,70406.0,,,,,0.0,,,,,,,,,2969.0,,,,,,,,,,,,,,,,,,,,,,,2281.0,,,0.0,,,,,,,2524.0,21450.0,21450.0,,,5250.0,,-2969.0,-2969.0,,,,0.0,-2969.0,-2969.0,,,,,,,,,,,,,,,,,,0.0001,9989886988.0,0.0,0.0,,,,,,,,5250.0,5250.0,,,-2969.0,,21450.0,,,-70406.0,,,,,,,,,-18926.0,,,,,,,,,,5000000.0,5000000.0
