end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableFairValueDisclosure,AccountsReceivableGrossCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccumulatedAmortizationDeferredFinanceCosts,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForLoanAndLeaseLossesAdjustmentsNet,AllowanceForLoanAndLeaseLossesRealEstate,AllowanceForLoanAndLeaseLossesWriteOffs,AllowanceForLoanAndLeaseLossesWriteoffsNet,AllowanceForNotesAndLoansReceivableCurrent,AllowanceForNotesAndLoansReceivableNoncurrent,AmortizationOfDeferredLoanOriginationFeesNet,AmortizationOfFinancingCosts,AmortizationOfFinancingCostsAndDiscounts,AssetManagementFees1,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockAdditionalSeriesSharesIssued,CommonStockAdditionalSeriesSharesOutstanding,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtDefaultLongtermDebtAmount,DebtInstrumentFairValue,DebtInstrumentIncreaseDecreaseForPeriodNet,DebtWeightedAverageInterestRate,DeferredFinanceCostAmortizationExpense,DeferredFinanceCostsNet,DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsNet,DeferredIncomeCurrent,DeferredOfferingCosts,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,DepositsMoneyMarketDeposits,Dividends,DividendsCash,DividendsCommonStockCash,DividendsPayable,DividendsPayableCurrent,DueToRelatedPartiesCurrent,EarnestMoneyDeposits,EarningsPerShareBasicAndDiluted,EquitySecuritiesFvNi,FairValueDisclosureOffbalanceSheetRisksFaceAmountLiability,FinancialInstrumentsOwnedCorporateDebtAtFairValue,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,FinancingReceivableModificationsRecordedInvestment,ImpairedFinancingReceivableRecordedInvestment,ImpairedFinancingReceivableWithRelatedAllowanceUnpaidPrincipalBalance,ImpairmentOfRealEstate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInLongTermReceivablesCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidExpense,InterestAndFeeIncomeLoansAndLeases,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestReceivable,InterestReceivableCurrent,InventoryRealEstateHeldForSale,InvestmentIncomeNet,Investments,LettersOfCreditOutstandingAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfAssetsHeldForSale,LineOfCredit,LineOfCreditFacilityIncreaseDecreaseForPeriodNet,LoanProcessingFee,LoansAndLeasesReceivableImpairedNonperformingNonaccrualOfInterest,LoansAndLeasesReceivableNetReportedAmount,LoansReceivableCommercialMortgage,LoansReceivableFairValueDisclosure,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,ManagementFeeAmountPaid,ManagementFeePayable,MoneyMarketFundsAtCarryingValue,MortgageLoansInProcessOfForeclosureAmount,MortgageLoansOnRealEstateCarryingAmountOfMortgages,MortgageLoansOnRealEstateNewMortgageLoans,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetInterestIncomeLossAfterProvisionForLoanLosses,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherIncome,OtherThanTemporaryImpairmentCreditLossesRecognizedInEarningsCreditLossesOnDebtSecuritiesHeld,PaymentsForRepurchaseOfEquity,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromLinesOfCredit,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromRepaymentsOfFirstMortgageBond,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromSaleOfOtherRealEstateHeldforinvestment,ProvisionForLoanAndLeaseLosses,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLossesExpensed,ProvisionForOtherLosses,RealEstateHeldforsale,RealEstateOwnedValuationAllowanceComponent,RealEstateOwnedValuationAllowancePeriodIncreaseDecrease,RealEstateWriteDownOrReserveAmount,RetainedEarningsAccumulatedDeficit,SecuredDebtCurrent,StockholdersEquity,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-12-31,2013-03-28,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,20041.0,,139572.0,,,-937352.0,19113458.0,,,140394.0,174836.0,,-49976.0,-798758.0,,114688.0,-75596.0,,40030571.0,4355601.0,,1183787.0,571796.0,,,,,,0.38,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,817526.0,,,,,,,282239.0,218114.0,-594813.0,,,218114.0,,20000.0,-0.34,,,,,500000.0,,1084399.0,,-51159.0,,-5889.0,1907.0,,,,-2295.0,3161111.0,1882663.0,1278448.0,1882663.0,,134083.0,1407000.0,,,,26465755.0,40030571.0,1341155.0,61600.0,,,109500.0,2308000.0,,848734.0,,,,,,,,,,,282329.0,,30020399.0,-1574019.0,-450664.0,460962.0,561498.0,-594994.0,,,-600098.0,703710.0,5104.0,,,,5467.0,,-138911.0,657215.0,,,812809.0,848734.0,174836.0,,,713297.0,,95645.0,-5565420.0,1103000.0,13564816.0,,,-402452.0,1745880.0,,
2013-03-31,2013-05-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,78352.0,,243050.0,,,-638053.0,19113458.0,,,855074.0,6340.0,,-21249.0,-833825.0,,28339.0,,,39787408.0,4193709.0,,1722600.0,538813.0,,,,,,0.1,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,6.63,,790822.0,,,,,,,,167780.0,-218114.0,,,167780.0,,,0.01,,,,,,,1210356.0,,58311.0,,-103478.0,3114.0,,,,-9444.0,774098.0,457599.0,316499.0,457599.0,,130969.0,1407000.0,,,,26378732.0,39787408.0,1769132.0,61600.0,,,,1767000.0,,,,,,,,,,,,,11000.0,,28967327.0,-86843.0,-314749.0,717194.0,136368.0,11640.0,,,11520.0,148864.0,120.0,,,,14911.0,,,14922.0,,,848734.0,855074.0,6340.0,,,563322.0,,,-5721560.0,1523000.0,13408676.0,,,,1677798.0,,
2013-06-30,2013-08-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,25656.0,,208798.0,,,-666968.0,19113458.0,,,867915.0,12841.0,,-24639.0,-843276.0,,,,,39525725.0,4960944.0,,2270712.0,,,,,,,0.1,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,761907.0,,,,,,,,,,,,167780.0,,,0.07,,,,,,,1193455.0,,,,,,,,,,757697.0,461458.0,296239.0,,,131806.0,1407000.0,,,,26175036.0,39525725.0,1486436.0,61600.0,,,,1089000.0,,,,,,,,,,,,,751.0,,,,,,,109792.0,,,109719.0,173679.0,73.0,,,,11940.0,,,,,,,,,,,563122.0,,,-5779547.0,1293000.0,13350689.0,,,,1677798.0,,
2013-09-30,2013-11-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,26405.0,,294338.0,,,-699055.0,19113458.0,,,60634.0,41453.0,,-34352.0,-875016.0,,,,,39371535.0,4634352.0,,1618846.0,,,,,,,0.1,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,735851.0,,,,,,,19805.0,,,,,167780.0,,,0.05,,,,,,844000.0,1176514.0,,,,,,,,,,744229.0,466965.0,277264.0,,,133252.0,,,,,26100785.0,39371535.0,1822185.0,61600.0,,,,,,909368.0,,,,,,,,,,,,,,,,,,87841.0,,,87766.0,148045.0,75.0,,,,10413.0,,,,,,,,,,,562822.0,,,-5859486.0,1628000.0,13270750.0,,,,1677798.0,,
2013-12-31,2014-03-28,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,21565.0,,197687.0,,,-728012.0,19113458.0,,,,100959.0,,949693.0,-924424.0,,118297.0,-165666.0,,39206557.0,4934164.0,,3143377.0,1959590.0,,,,,,0.4,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,709919.0,,,,,,,160808.0,218114.0,-721453.0,,,167780.0,,20000.0,0.22,,,,,180000.0,493000.0,1049673.0,149775.0,1524.0,,-58115.0,4111.0,,,,-1171.0,3146620.0,1848050.0,1298570.0,1729753.0,,129972.0,,,,,25945945.0,39206557.0,2065345.0,61600.0,,,13293.0,,,949693.0,,,,,,,,,,,,,26675361.0,-1091943.0,-1203143.0,2646104.0,516629.0,366915.0,,,364121.0,833490.0,2794.0,,,,6638.0,,,447106.0,,,848734.0,949693.0,100959.0,,,562722.0,,,-5869624.0,1876000.0,13260612.0,,,,1677798.0,,
2014-03-31,2014-05-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,30778.0,,208831.0,,,-728012.0,19113458.0,,,,20943.0,,-25532.0,-945104.0,,26235.0,-6286.0,,38879807.0,4264396.0,,2362606.0,-780771.0,,,,,,0.09,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,6.62,,692484.0,,,,,,,780.0,151002.0,-167780.0,,,151002.0,,,0.06,,,,,,844000.0,1040106.0,,9213.0,,-11144.0,1541.0,,,,-8618.0,716133.0,447067.0,269066.0,420832.0,,128431.0,,,,,25661380.0,38879807.0,1897780.0,61600.0,,,,,,970636.0,,,,,,,,,,,,,26396107.0,-475000.0,-453580.0,-467892.0,140701.0,108817.0,,,108672.0,139451.0,145.0,,,,15256.0,,,262554.0,,,949693.0,970636.0,20943.0,,,562422.0,,,-5911809.0,1716000.0,13218427.0,,,,1677798.0,,
2014-06-30,2014-08-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,41428.0,,216851.0,,,-782070.0,19113458.0,,,,51502.0,,-28107.0,-994031.0,,,,90000.0,38267335.0,4605645.0,,2707875.0,,,,,,,0.08,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,668303.0,,,,,,,996.0,,,,,134224.0,,,-0.01,,,,,,889000.0,,,,,,,,,,,720188.0,441017.0,279171.0,,,127873.0,,,,,25165252.0,38267335.0,2396652.0,,,,,,,1022138.0,,,,,,,,,,,,,25385384.0,,,,,17879.0,,,9199.0,173470.0,8680.0,,,,10037.0,,,,,,,,,,,,,,-6028153.0,2221000.0,13102083.0,,,,1677798.0,,
2014-09-30,2014-11-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,25303.0,,267695.0,,,-805131.0,19113458.0,,,,110872.0,,1158319.0,-1101616.0,,,,,39154905.0,5584146.0,,3591461.0,,,,,,,0.1,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,776029.0,,,,,,,61580.0,,,,,167780.0,,,-0.01,,1840000.0,,,,889000.0,,,,,,,,,,,680645.0,438620.0,242025.0,,,137348.0,,,,,26234683.0,39154905.0,2429083.0,,,,,,,1133010.0,,,,,,,,,,,,,27221356.0,,,,,-14082.0,,,-14462.0,145615.0,380.0,,,,9076.0,,,,,,,,,,,,,,-6210014.0,2236000.0,12920222.0,,,,167798.0,,
2014-12-31,2015-03-31,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,22429.0,,245125.0,,,-844443.0,19113458.0,,,,227538.0,,1177231.0,-1131472.0,,116432.0,113474.0,,40708780.0,5996792.0,,3767102.0,623725.0,,,,,,0.4,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,860992.0,,,,,,,569505.0,167780.0,-620785.0,,,167780.0,,20000.0,0.04,,,,,180000.0,638000.0,1536652.0,45000.0,874.0,,-47438.0,1072.0,,,,759.0,2782206.0,1822354.0,959852.0,1704923.0,,128900.0,,,,,27997809.0,40708780.0,2530209.0,,,,164845.0,,,1177231.0,,,,,,,,,,,,,28014033.0,-4025903.0,1162710.0,-1067840.0,528855.0,71144.0,,,61761.0,670553.0,9383.0,,,,5879.0,,,2254089.0,,,,,,,,517422.0,,,-6419265.0,2340000.0,12710971.0,,,,1677798.0,,
2015-03-31,2015-05-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,27103.0,,188350.0,,,-876771.0,19113458.0,,,,83234.0,,-43396.0,-1172404.0,,32328.0,48188.0,,40824494.0,5950406.0,,4835549.0,1068447.0,,,,,,0.09,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,855052.0,,,,,,,77546.0,151002.0,-167780.0,,,151002.0,,,-0.01,,,,,,844000.0,1513726.0,,4674.0,,56775.0,-31558.0,,,,-9194.0,711713.0,489650.0,222063.0,457322.0,,160458.0,,,,,28280705.0,40824494.0,2153105.0,,,,,,,1206212.0,,,,,,,,,,,,,27278543.0,-708379.0,100833.0,853600.0,114014.0,-16180.0,,,-20233.0,159062.0,4053.0,,,,15073.0,,,121866.0,,,848734.0,949693.0,100959.0,,,517422.0,,,-6586447.0,1975000.0,12543789.0,,,,1677798.0,,
2015-06-30,2015-08-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,41578.0,,172628.0,,,-910735.0,19113458.0,,,,12777.0,,-39731.0,-1179258.0,,,,91000.0,41164517.0,6760460.0,,5598116.0,,,,,,,0.08,0.01,30000000.0,1677798.0,1677798.0,16778.0,,,,,,871838.0,,,,,,,1400.0,,,,,83890.0,,,0.08,,,,,,503000.0,1531041.0,,,,,,,,,,814163.0,499926.0,314237.0,,,163225.0,,,,,28565068.0,41164517.0,1736468.0,,,,,,,1218989.0,,,,,,,,,,,,,25465340.0,,,,,139532.0,,,139532.0,161928.0,,,,,14396.0,,,,,,,,,,,517422.0,,,-6530787.0,1611000.0,12599449.0,,,,1677798.0,,
