end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccretionExpense,AdditionalPaidInCapital,AdjustmentOfWarrantsGrantedForServices,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalUnitsTotalCostToInvestors,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,CommercialPaper,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,CompensatingBalanceAmount,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfServicesLicensesAndServices,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentFaceAmount,DebtInstrumentPeriodicPaymentPrincipal,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DepositLiabilityCurrent,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DerivativeLossOnDerivative,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FairValueAssumptionsExercisePrice,FairValueAssumptionsExpectedDividendRate,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,GeneralAndAdministrativeExpense,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherPrepaidExpenseCurrent,OtherResearchAndDevelopmentExpense,PaymentsOfFinancingCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,PrepaidExpenseNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommercialPaper,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromLoans,ProceedsFromMinorityShareholders,ProceedsFromRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,RelatedPartyTransactionAmountsOfTransaction,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RoyaltyExpense,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockConsiderationReceivedPerTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharePrice,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockOptionPlanExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,IncomeTaxesPaid,InterestPaidNet,NetCashProvidedByUsedInInvestingActivities,OfficersCompensation,OtherExpenses,Retains,Revenues
2019-09-30,2019-11-14,10-Q,QRONS INC.,QRON,CIK0001689084,USD,83580.0,56735.0,,6076041.0,,,,,,80212.0,80212.0,,47496.0,,,100000.0,0.0001,100000000.0,13079809.0,13079809.0,,1308.0,,25000.0,,8626.0,,,,,25000.0,,,,,,,,,6828.0,44456.0,,,50000.0,,,-0.04,,,,,,,308735.0,,,,,,,,1243.0,,459771.0,80212.0,,459771.0,190362.0,,,,,-454158.0,5585.0,,459743.0,-459743.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,32716.0,7187.0,,,,,,,,,,,14928.0,,136080.0,-6456910.0,,,,,,,,,52000.0,1553336.0,1.98,,,1715000.0,1.97,161664.0,1.85,,,,,,40250.0,-379559.0,,74500.0,,,,,12966485.0,,,,,,,,
2019-12-31,2020-03-30,10-K,QRONS INC.,QRON,CIK0001689084,USD,140967.0,34907.0,945.0,6561047.0,36410.0,,126875.0,,3239501.0,123290.0,123290.0,,67025.0,-76837.0,,100000.0,0.0001,100000000.0,13089789.0,13089789.0,,1309.0,,25000.0,6171.0,35219.0,,,,,,,,1462180.0,,1115500.0,346800.0,,,12234.0,89367.0,,185000.0,50000.0,26811.0,,-0.12,,0.0,,,,,789279.0,-145500.0,324800.0,-179300.0,31486.0,-12234.0,117643.0,4280.0,42574.0,74500.0,631412.0,123290.0,64774.0,631412.0,256106.0,470000.0,,-546837.0,,-1546772.0,-30340.0,,1516432.0,-1516432.0,,93300.0,,80006.0,,0.001,10000.0,2000.0,2000.0,2.0,56265.0,15812.0,25000.0,70000.0,100000.0,,,65000.0,470000.0,,185000.0,100000.0,75677.0,,651476.0,-7070480.0,50000.0,,,,,1.62,52000.0,70000.0,70000.0,2331669.0,1.98,50000.0,950000.0,2515000.0,1.98,183331.0,1.98,92500.0,2.0,2.0,,1.0,126875.0,-508122.0,70000.0,74500.0,36410.0,,219095.0,,12998973.0,,,,,,,,
2020-03-31,2020-05-15,10-Q,QRONS INC.,QRON,CIK0001689084,USD,153785.0,37488.0,8390.0,6632001.0,3400.0,3400.0,,,3357423.0,49811.0,49811.0,,22961.0,-44064.0,,100000.0,0.0001,100000000.0,13089789.0,13089789.0,,1309.0,,25000.0,16646.0,8625.0,,,,,,,,,,,,,,-6910.0,104192.0,,240000.0,50000.0,27214.0,,-0.02,,,,,,,23746.0,,,,2581.0,6910.0,12818.0,-29415.0,14284.0,,727111.0,49811.0,7915.0,727111.0,19500.0,65000.0,,-109064.0,,-240132.0,-21194.0,,218938.0,-218938.0,,93300.0,,18895.0,,0.001,10000.0,2000.0,2000.0,2.0,26850.0,7187.0,25000.0,10000.0,,,,,65000.0,,55000.0,,23624.0,,171568.0,-7310612.0,50000.0,,,,,1.6,,10000.0,80000.0,2423335.0,1.98,,50000.0,2565000.0,1.987,141665.0,1.98,,2.0,2.0,,,,-677300.0,,,,,67554.0,,13089789.0,,,,,,,,
2020-06-30,2020-08-14,10-Q,QRONS INC.,QRON,CIK0001689084,USD,84919.0,39476.0,,6661718.0,,,,,,16178.0,16178.0,,8527.0,,,100000.0,0.0001,100000000.0,13089789.0,13089789.0,,1309.0,,25000.0,25577.0,917.0,,,,,,,,,,,,,,9672.0,94520.0,,261000.0,50000.0,27214.0,0.0,0.0,0.0,,,,,,3805.0,,,,,,,,12814.0,,680492.0,16178.0,,680492.0,4000.0,,,,,-16731.0,-3142.0,,13589.0,-13589.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,7651.0,,25000.0,,,,,,,,,,6893.0,,2891.0,-7327343.0,,,,,,,,,80000.0,2433335.0,1.98,,,2565000.0,1.987,131665.0,1.98,,,,,,,-664314.0,,,,,,17610815.0,13089789.0,13089789.0,,,,,,,
2020-09-30,2020-11-16,10-Q,QRONS INC.,QRON,CIK0001689084,USD,78484.0,45952.0,,6781538.0,,,,,,94201.0,94201.0,,92458.0,,,100000.0,0.0001,100000000.0,13289789.0,13289789.0,,1329.0,,25000.0,34607.0,0.0,,,,,,,,,,,,,,-78045.0,172565.0,,286000.0,50000.0,32175.0,,-0.01,,,,,,,20977.0,,,,,,,,12460.0,,792608.0,94201.0,,792608.0,807.0,,,,,-153933.0,-90505.0,,63428.0,-63428.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,1743.0,,25000.0,,,,,,,,,,9010.0,,33441.0,-7481276.0,,,100000.0,,,,,,180000.0,2448344.0,1.98,,,2540000.0,1.987,91666.0,1.98,,,,,,,-698407.0,,,100000.0,,,,13182180.0,,,,,,,,
2020-12-31,2021-03-31,10-K,QRONS INC.,QRON,CIK0001689084,USD,49059.0,43768.0,35380.0,7037796.0,3400.0,3400.0,,,4301460.0,57632.0,57632.0,,57632.0,-9393.0,,100000.0,0.0001,100000000.0,13289789.0,13289789.0,,1329.0,,25000.0,43636.0,,,,,,,,,1601380.0,,1193900.0,395600.0,,,-57203.0,154485.0,,286000.0,50000.0,28475.0,,-0.05,,0.21,,,,,247561.0,-48800.0,139200.0,-90400.0,8861.0,57203.0,-91908.0,56265.0,52019.0,,751948.0,57632.0,0.0,751948.0,0.0,211000.0,,-220393.0,,-662963.0,-109222.0,,553741.0,-553741.0,,93300.0,,,,0.001,10000.0,2000.0,2000.0,2.0,,,25000.0,10000.0,,,,100000.0,211000.0,,101000.0,,47560.0,,258620.0,-7733443.0,50000.0,,,,,1.98,,110000.0,180000.0,2331669.0,1.98,38334.0,800000.0,3276666.0,2.0,183331.0,1.98,,2.0,2.0,,1.0,,-694316.0,10000.0,,3400.0,,159839.0,,13163286.0,,0.0,0.0,0.0,213530.0,,,0.0
2021-03-31,2021-05-13,10-Q,QRONS INC.,QRON,CIK0001689084,USD,66682.0,41372.0,8833.0,7040896.0,,,,,4167469.0,35443.0,35443.0,,29443.0,-28189.0,,100000.0,0.0001,100000000.0,13289789.0,13289789.0,,1329.0,,25000.0,52469.0,,,,,,,,,,,,,,,-185960.0,340445.0,,286000.0,50000.0,,,-0.02,,,,,,,10887.0,,,,-2396.0,185960.0,17623.0,6000.0,10986.0,,961968.0,35443.0,,961968.0,0.0,,,-28189.0,,-235309.0,-196946.0,,38363.0,-38363.0,,93300.0,,0.0,,0.001,10000.0,2000.0,2000.0,2.0,6000.0,,,,,,,,,,,,15640.0,,11836.0,-7968752.0,50000.0,,,,,1.31,,,180000.0,3168333.0,2.0,75000.0,,3201666.0,2.0,33333.0,2.0,,2.0,,,,,-926525.0,,,,,3100.0,,13289789.0,,,,,,,,
2021-06-30,2021-08-16,10-Q,QRONS INC.,QRON,CIK0001689084,USD,63200.0,41261.0,,7043996.0,,,,,,88383.0,88383.0,,84383.0,,,100000.0,0.0001,100000000.0,13289789.0,13289789.0,,1329.0,,25000.0,66126.0,,,,,,,,,,,,,,,189130.0,345647.0,,286000.0,50000.0,,0.0,,0.0,,,,,,23148.0,,,,,,,,111758.0,,977234.0,88383.0,,977234.0,,,,,,34574.0,77372.0,,42798.0,-42798.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,4000.0,,,,,,,,,,,,8300.0,,11350.0,-7934178.0,,,,,,,,,295000.0,3191666.0,2.0,,,3191666.0,2.0,,,,,,,,,-888851.0,,,,,,17610815.0,,13089789.0,,,,,,,
2021-09-30,2021-11-15,10-Q,QRONS INC.,QRON,CIK0001689084,USD,71458.0,39848.0,,7043996.0,,,,,,59174.0,59174.0,,57174.0,,,100000.0,0.0001,100000000.0,13289789.0,13289789.0,,1329.0,,25000.0,103905.0,,,,,,,,,,,,,,,-6047.0,351694.0,,286000.0,50000.0,,,-0.01,,,,,,,9363.0,,,,,,,,43526.0,,1027905.0,59174.0,,1027905.0,,,,,,-79880.0,-49573.0,,30307.0,-30307.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,2000.0,,,,,,,,,,,,11868.0,,9076.0,-8014058.0,,,,,,,,,295000.0,3185000.0,2.0,,,3185000.0,2.0,,,,,,,,,-968731.0,,,,,,,13289789.0,,,,,,,,
2021-12-31,2022-03-11,10-K,QRONS INC.,QRON,CIK0001689084,USD,90976.0,38192.0,98049.0,7697351.0,0.0,,,,5357445.0,35065.0,35065.0,,35065.0,-22567.0,,100000.0,0.0001,100000000.0,13289789.0,13289789.0,,1329.0,,25000.0,141685.0,,,,,,,,,,,,,,,-57140.0,405957.0,,286000.0,50000.0,,,-0.08,,,,,,,495323.0,,,,-5576.0,57140.0,41917.0,0.0,208892.0,,1137810.0,35065.0,51009.0,1137810.0,0.0,100000.0,,-122567.0,,-1067984.0,-266032.0,,801952.0,-801952.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,,,,100000.0,,,,0.0,100000.0,,0.0,,48332.0,,258297.0,-8801427.0,500000.0,,,,,2.0,,115000.0,295000.0,3243333.0,2.0,153334.0,975000.0,4098332.0,2.0,33333.0,2.0,,2.0,2.0,,,,-1102745.0,,,,,223985.0,,13289789.0,,0.0,0.0,0.0,435570.0,26809.0,0.0,0.0
