end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccrualForTaxesOtherThanIncomeTaxesCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdditionsToNoncurrentAssets,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,BuildingsAndImprovementsGross,CapitalExpendituresIncurredButNotYetPaid,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashDividends,CashEquivalentsAtCarryingValue,CertificatesOfDepositAtCarryingValue,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValueOutstanding,ContractWithCustomerLiabilityRevenueRecognized,CostOfGoodsSold,CostOfRevenue,CurrentStateAndLocalTaxExpenseBenefit,CustomerAdvancesAndDepositsCurrent,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsInventory,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsCompensatedAbsences,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DefinedContributionPlanEmployerDiscretionaryContributionAmount,Depreciation,DepreciationAndAmortization,Dividends,DividendsCash,DividendsCommonStock,DividendsCommonStockCash,DividendsPayableAmountPerShare,DividendsPayableCurrent,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationDeductionsOther,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnDispositionOfAssets,GainLossOnDispositionOfProperty,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationDeductionsOther,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,InterestAndOtherIncome,InventoryFinishedGoods,InventoryGross,InventoryNet,InventoryRawMaterials,InventoryValuationReserves,InventoryWorkInProcess,InvestmentIncomeInterest,Land,LandAndLandImprovements,LandImprovements,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherAssetsCurrent,OtherEmployeeRelatedLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsOfDividendsCommonStock,PaymentsToAcquireHeldToMaturitySecurities,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidTaxes,ProceedsFromIncomeTaxRefunds,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,PropertyPlantAndEquipmentOtherNet,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueRemainingPerformanceObligation,Revenues,SalesRevenueNet,SellingExpense,SellingGeneralAndAdministrativeExpense,StockholdersEquity,TreasuryStockShares,TreasuryStockValue,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2012-11-06,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1229279.0,5453193.0,,,494576.0,28961678.0,,447134.0,66626.0,,26550739.0,18818832.0,6188535.0,,1306506.0,,,,6056282.0,,0.15,,,,,1138096.0,,6612846.0,,,125622.0,,,,422191.0,,,,,,766275.0,,,251364.0,,,,,,,,,,,,,,847726.0,,,,1924793.0,673342.0,,0.48,210000.0,,,,,,,,,,,,,,,8185.0,1568745.0,5805361.0,5214761.0,2032904.0,-590600.0,2203172.0,8185.0,923587.0,,314563.0,3463478.0,26550739.0,2697203.0,,29266900.0,,,,463342.0,661557.0,,,8150878.0,365899.0,,3600.0,,,,,,,,,,,,,,1169681.0,36693585.0,7731907.0,,,25424129.0,,,,,8537639.0,-504524.0,1263236.0,23087261.0,,-3922098.0,,,966132.0
2012-12-31,2013-03-28,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1003647.0,4577932.0,91547.0,,460245.0,28900113.0,,447134.0,1187746.0,,25911503.0,17833637.0,6244064.0,94987.0,392810.0,-311535.0,-869518.0,,7088000.0,,0.9,,,,,1138096.0,,26572370.0,,42000.0,84905.0,171000.0,274826.0,-536084.0,416191.0,130.0,,89785.0,51450.0,,952275.0,-952275.0,277000.0,993951.0,,-869518.0,,,,,,0.324,0.34,,-0.027,,0.011,409695.0,624000.0,67946.0,67946.0,7651402.0,2582741.0,,1.81,837000.0,837000.0,812298.0,,-69000.0,878000.0,,28000.0,-59606.0,-179506.0,-66747.0,34731.0,275668.0,6651.0,-74595.0,118099.0,1606851.0,5486372.0,4936372.0,2009691.0,550000.0,1869830.0,34138.0,923587.0,,314563.0,2910767.0,25911503.0,1958492.0,,29495765.0,-869518.0,-2221359.0,2779342.0,1745741.0,2464642.0,32000.0,90618.0,8319333.0,422332.0,278080.0,16015.0,118099.0,-869518.0,-6368000.0,-1092759.0,1187746.0,,,,0.0,,,5160000.0,79400.0,4548947.0,36977979.0,8077866.0,,,25337604.0,,,,,34223772.0,-2084305.0,5186760.0,23000736.0,,3922098.0,,,966132.0
2013-03-31,2013-05-10,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1534591.0,5863016.0,,,475072.0,29165694.0,,447134.0,82590.0,,26928708.0,19033833.0,6257974.0,31602.0,1755131.0,1362321.0,-144920.0,,5385000.0,,0.15,,,,,1138096.0,,7115475.0,,,73696.0,-84000.0,,,428191.0,,,,,,880275.0,,,265581.0,,-144920.0,,,,,,,,,,,,655726.0,,,,2010261.0,670532.0,,0.47,217000.0,,,,,,,,499342.0,-1285084.0,-11209.0,246031.0,-348120.0,14827.0,104329.0,8485.0,1485401.0,5844492.0,5284492.0,2095188.0,560000.0,2263903.0,8485.0,923587.0,,314563.0,3619360.0,26928708.0,2739085.0,,29564445.0,-144920.0,1652012.0,-144771.0,453532.0,658447.0,,,7886325.0,318003.0,,3600.0,,-144920.0,-747000.0,-50988.0,82590.0,,,,0.0,,,2450000.0,,1208580.0,37060569.0,7894875.0,,,25646216.0,,,,,9125736.0,-546533.0,1351814.0,23309348.0,,-3922098.0,,,966132.0
2013-06-30,2013-08-09,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1483596.0,5801140.0,,,625654.0,29312482.0,,447134.0,1892359.0,,27754227.0,18279945.0,6280657.0,,876983.0,,,,5908248.0,,0.15,,,,,1138096.0,,7115077.0,,,197611.0,,,,433191.0,,,,,,889275.0,,,265238.0,,,,,,,,,,,,,,755449.0,,42486.0,,2212566.0,937213.0,0.66,0.66,299000.0,,,,,,,,,,,,,,,7000.0,1562953.0,5594252.0,4992252.0,1929681.0,602000.0,2101618.0,7000.0,923587.0,,314563.0,3951585.0,27754227.0,3062310.0,,31267957.0,,,,638213.0,883639.0,,,7486553.0,268131.0,,4088.0,,,,,1892359.0,,,,0.0,,,,,1403323.0,38786764.0,9474282.0,,,26139510.0,,,,,9327643.0,-515596.0,1328927.0,23802642.0,,3922098.0,,966132.0,966132.0
2013-09-30,2013-11-08,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1426371.0,6248403.0,,,697772.0,29233800.0,,447134.0,785371.0,,28789173.0,18801155.0,6382545.0,,914445.0,,,,5958348.0,,0.15,,,,,1138096.0,,6931307.0,,,210773.0,,,,435191.0,,,,,,1011275.0,,,270870.0,,,,,,,,,,,,,,965056.0,,74235.0,,2530471.0,1224205.0,0.85,0.85,404000.0,,,,,,,,,,,,,,,7801.0,1555298.0,5526521.0,4894521.0,1835909.0,632000.0,2135314.0,7801.0,923587.0,,314563.0,4311247.0,28789173.0,3299972.0,,31601123.0,,,,820205.0,1138569.0,,,7658231.0,350247.0,,3600.0,,,,,785371.0,,,,0.0,,,,,1681812.0,39221818.0,9988018.0,,,26814794.0,,,,,9461778.0,-539643.0,1391902.0,24477926.0,,3922098.0,,966132.0,966132.0
2013-12-31,2014-03-21,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,924943.0,5510770.0,91957.0,,609846.0,-29073155.0,,447134.0,,,28157346.0,17748226.0,6438022.0,29982.0,443608.0,50798.0,,,6207348.0,,0.63,,,,,1138096.0,,28254775.0,,61000.0,126066.0,119000.0,256474.0,-655084.0,410191.0,903.0,,100314.0,52500.0,0.0,1065275.0,-1065275.0,392000.0,1093062.0,,-608663.0,,,144920.0,0.15,,0.316,0.34,,-0.035,,0.011,560114.0,967000.0,114658.0,,8863055.0,3626029.0,2.57,2.57,1147000.0,,877494.0,,-127000.0,1233000.0,,41000.0,-108686.0,-932838.0,41161.0,150419.0,55584.0,149601.0,126811.0,160835.0,1806315.0,5444788.0,4880788.0,2130718.0,-564000.0,1507755.0,30802.0,923587.0,1238150.0,314563.0,3286244.0,28157346.0,2220969.0,0.0,30532728.0,-608663.0,-2399024.0,3058485.0,2479029.0,3465194.0,27000.0,125944.0,7356668.0,295521.0,391945.0,15375.0,160835.0,608663.0,6207348.0,3444876.0,3474858.0,,,,0.0,0.0,,7088000.0,165200.0,5602893.0,39482275.0,10409120.0,1273375.0,,27207970.0,,,,,37117830.0,-2137699.0,5397861.0,24871102.0,,3922098.0,0.0,,966132.0
2014-03-31,2014-05-09,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1793079.0,6458610.0,,,592872.0,29310181.0,,447134.0,,,29206558.0,18552146.0,6438022.0,13030.0,737073.0,293465.0,,,5460348.0,,0.58,,,,,1138096.0,,7688116.0,,,75706.0,7000.0,,,423191.0,,,,,,1085275.0,,,305326.0,,-560357.0,,,,,,,,,,,,780508.0,,17000.0,,2262308.0,858373.0,0.59,0.59,290000.0,,,,,,,,855106.0,-947840.0,-50360.0,220394.0,-272644.0,-16974.0,-23971.0,6517.0,1784359.0,5737432.0,5153432.0,2180351.0,584000.0,1772722.0,6517.0,923587.0,,314563.0,4327440.0,29206558.0,3242165.0,,32288421.0,-560357.0,226412.0,627410.0,568373.0,848256.0,,,6940104.0,319492.0,,3600.0,10117.0,560357.0,498000.0,537588.0,550618.0,,,,0.0,,,1245000.0,17000.0,1393030.0,39964593.0,10654412.0,,,27215986.0,,,,,9950424.0,-541174.0,1414052.0,24879118.0,,3922098.0,,966132.0,966132.0
2014-06-30,2014-08-08,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1472679.0,6194099.0,,,480435.0,29522568.0,,447134.0,,,29186517.0,18596046.0,6438022.0,,1063500.0,,,,5361100.0,,0.18,,,,,1138096.0,,7260171.0,,,54727.0,,,,433191.0,,,,,,1066275.0,,,313410.0,,,,,,,,,,,,,,838132.0,,1700.0,,2240507.0,871054.0,0.59,,302000.0,,,,,,,,,,,,,,,6345.0,1994820.0,5845125.0,5214225.0,2278007.0,630900.0,1572298.0,6345.0,923587.0,,314563.0,3912248.0,29186517.0,2845973.0,,32436867.0,,,,569054.0,860621.0,,,7187722.0,329931.0,,4088.0,10433.0,,,,249469.0,,,,0.0,,,,,1386819.0,40113039.0,10590471.0,,,27611137.0,,,,,9500678.0,-523810.0,1379886.0,25274269.0,,3922098.0,,966132.0,
2014-09-30,2014-11-07,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1295116.0,5961305.0,,,553281.0,29825757.0,,447134.0,,,29612714.0,18788045.0,6462384.0,,851331.0,,,,5809000.0,,0.18,,,,,1138096.0,,6910132.0,,,90968.0,,,,448191.0,,,,,,1009275.0,,,313764.0,,,,,,,,,,,,,,1022952.0,,-1087.0,,2085693.0,768757.0,0.56,,228000.0,,,,,,,,,,,,,,,6375.0,1868835.0,5912951.0,5282751.0,2210806.0,630200.0,1833310.0,6375.0,923587.0,,323333.0,3971592.0,29612714.0,2962317.0,,32941122.0,,,,540757.0,758782.0,,,7543989.0,435467.0,,3600.0,9975.0,,,,549049.0,,,,0.0,,,,,1268318.0,40650426.0,10824669.0,,,27977990.0,,,,,8995825.0,-504849.0,1326911.0,25641122.0,,3922098.0,,966132.0,
2014-12-31,2015-03-20,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,923819.0,5669654.0,92901.0,,520723.0,-30077932.0,,447134.0,,,28967635.0,18089640.0,6494896.0,78811.0,231252.0,-212356.0,,,6058000.0,75.0,,,,,,1138096.0,,28830043.0,,42000.0,69866.0,6000.0,283359.0,-661084.0,446191.0,565.0,108642.0,108642.0,53625.0,0.0,1107275.0,-1107275.0,314000.0,1262725.0,,-1082068.0,,,,0.58,560360.0,0.329,0.34,,-0.021,,0.01,605029.0,907000.0,15659.0,,8305164.0,2906889.0,2.02,,955000.0,,1160769.0,,-61000.0,988000.0,,28000.0,-79935.0,-158884.0,-56200.0,44915.0,-281686.0,-89123.0,-226548.0,41280.0,1961003.0,5780474.0,5162474.0,2154572.0,-618000.0,1664899.0,25904.0,923587.0,1270242.0,346655.0,3226712.0,28967635.0,2119437.0,0.0,32032724.0,-1082068.0,-1487782.0,2357494.0,1951889.0,2865609.0,24000.0,113667.0,7257512.0,348413.0,314155.0,15376.0,41280.0,1082068.0,3984000.0,1656230.0,1735041.0,,,,0.0,173656.0,,4133348.0,19100.0,,40955927.0,10877995.0,1158065.0,,28077791.0,,,,,37135207.0,,5439555.0,25740923.0,,3922098.0,0.0,,966132.0
2015-03-31,2015-05-06,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1282362.0,6267309.0,,,278049.0,30370831.0,,447134.0,,,29419771.0,18441825.0,6498846.0,42468.0,457693.0,226441.0,,,5809000.0,,0.43,,,,,1138096.0,,7189926.0,,,184718.0,-24000.0,,,448191.0,,,,,,1085275.0,,,312645.0,,-415437.0,,,,,,,,,,,,801408.0,,-1088.0,,2093865.0,678473.0,0.48,,216000.0,,,,,,,,316075.0,-597655.0,114852.0,196379.0,126926.0,-242674.0,97985.0,6833.0,1945210.0,5653548.0,5035548.0,1904715.0,618000.0,1803623.0,,923587.0,,346655.0,3631812.0,29419771.0,2546537.0,,33579689.0,-415437.0,-122216.0,764094.0,462473.0,668040.0,,,6690777.0,424084.0,,,10433.0,415437.0,1594000.0,371216.0,413684.0,,,,0.0,0.0,,1843000.0,0.0,,41348777.0,10977946.0,,,28124827.0,,,,,9283791.0,,1425825.0,25787959.0,,3922098.0,,966132.0,
2015-06-30,2015-08-07,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1173018.0,5906646.0,,,386161.0,30628391.0,,447134.0,,,29880047.0,18746391.0,6521533.0,,1602497.0,,,,5320000.0,,0.18,,,,,1138096.0,,6958664.0,,,174828.0,,,,448191.0,,,,,,1071275.0,,,314830.0,,,,,,,,,,,,,,889749.0,,,,2247510.0,848961.0,0.59,,278000.0,,,,,,,,,,,,,,,6217.0,1914398.0,5627529.0,5010529.0,2053477.0,617000.0,1659654.0,,923587.0,,346655.0,3695031.0,29880047.0,2623756.0,,33970272.0,,,,570961.0,838656.0,,,7829216.0,458528.0,,,10305.0,,,,473171.0,,,,0.0,0.0,,,,,41762047.0,11133656.0,,,28521884.0,,,,,9206174.0,,1408854.0,26185016.0,,3922098.0,,966132.0,
2015-09-30,2015-11-06,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1275949.0,5902138.0,,,450997.0,30135229.0,,447134.0,,,30371927.0,19117764.0,6528761.0,,1080803.0,,,,6316000.0,,0.18,,,,,1138096.0,,7107714.0,,,228688.0,,,,448191.0,,,,,,1069275.0,,,316120.0,,,,,,,,,,,,,,913435.0,,,,1910558.0,628471.0,0.44,,206000.0,,,,,,,,,,,,,,,5929.0,1771769.0,5481052.0,4864052.0,2018773.0,617000.0,1690510.0,,923587.0,,358395.0,3938344.0,30371927.0,2869069.0,,33578649.0,,,,422471.0,616418.0,,,8351574.0,489468.0,,,12053.0,,,,455262.0,,,,0.0,17112.0,,,,,41389392.0,11254163.0,,,28770451.0,,,,,9018272.0,,1294140.0,26433583.0,,3922098.0,,966132.0,
2015-12-31,2016-03-21,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,768111.0,5438332.0,92526.0,,465662.0,-30150074.0,,447134.0,,,29697946.0,17999503.0,7271006.0,22995.0,800894.0,569642.0,,,6565000.0,,,,,,,1138096.0,,28279125.0,,35000.0,467189.0,233000.0,263723.0,-894084.0,425191.0,-1350.0,109193.0,,53625.0,0.0,894084.0,-1319275.0,273000.0,1261446.0,,-937148.0,,,,0.43,415437.0,0.333,0.34,,-0.016,,0.009,611484.0,576000.0,-17504.0,,7895479.0,2531641.0,1.75,,844000.0,,710456.0,,-40000.0,861000.0,,23000.0,-178703.0,231322.0,397323.0,6455.0,624262.0,-55061.0,-134996.0,44443.0,1584891.0,5115212.0,4538212.0,1923932.0,-577000.0,1606389.0,26544.0,923587.0,1281982.0,358395.0,3206530.0,29697946.0,2312446.0,0.0,32020937.0,-937148.0,-2583403.0,4090193.0,1687641.0,2487198.0,26000.0,99898.0,8022959.0,383953.0,273238.0,17899.0,44443.0,937148.0,7810000.0,2081272.0,2104267.0,,,,0.0,273112.0,,7303000.0,4869.0,,41848517.0,11698443.0,1274592.0,11698443.0,28828284.0,,,,,36174604.0,,5408281.0,26491416.0,,3922098.0,0.0,,966132.0
2016-03-31,2016-05-05,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1420080.0,6111917.0,,,337372.0,30192944.0,,447134.0,,,30448686.0,18450217.0,7531420.0,2550.0,965148.0,164254.0,,,6067000.0,,0.43,,,,,1138096.0,,7167778.0,,,448189.0,-8000.0,,,,,,,,,886084.0,,,299355.0,,-415437.0,,,,,,,,,,,,633925.0,,1022.0,,2428617.0,983057.0,0.67,,336000.0,,,,,,,,649419.0,-673585.0,-19000.0,22441.0,-381492.0,-128290.0,270617.0,8759.0,1920906.0,5495704.0,4919704.0,1782163.0,-576000.0,1792635.0,,923587.0,,358395.0,3725650.0,30448686.0,2839566.0,,33378011.0,-415437.0,-97809.0,677500.0,647057.0,969898.0,,,7418596.0,386448.0,,,13159.0,415437.0,996000.0,596831.0,599381.0,,,,0.0,,,1494000.0,1022.0,,42191413.0,11998469.0,,,29059904.0,,,,,9596395.0,,1458719.0,26723036.0,,3922098.0,,966132.0,
2016-06-30,2016-08-05,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1240204.0,6278622.0,,,470217.0,30488131.0,,447134.0,,,31090140.0,19061818.0,7478507.0,,907384.0,,,,6565000.0,,0.18,,,,,1138096.0,,7211820.0,,,263732.0,,,,,,,,,,879084.0,,,308122.0,,,,,,,,,,,,,,892712.0,,,,2608910.0,1175059.0,0.82,,380000.0,,,,,,,,,,,,,,,9563.0,1539058.0,5550208.0,4991208.0,2034329.0,-559000.0,1976821.0,,923587.0,,501102.0,3745949.0,31090140.0,2866865.0,,33613257.0,,,,795059.0,1159008.0,,,7791988.0,319604.0,,,16051.0,,,,339315.0,,,,0.0,,,,,,42516453.0,12028322.0,,,29681059.0,,,,,9820730.0,,1449902.0,27344191.0,,3922098.0,,966132.0,
2016-09-30,2016-11-04,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1122334.0,5896286.0,,,476841.0,30791599.0,,447134.0,,,31444964.0,18884367.0,7730120.0,,896107.0,,,,6814000.0,,0.18,,,,,1138096.0,,6869074.0,,,272393.0,,,,,,,,,,994084.0,,,311915.0,,,,,,,,,,,,,,946696.0,,,,1985200.0,679329.0,0.48,,217000.0,,,,,,,,,,,,,,,10193.0,1637834.0,5367294.0,4804294.0,1855819.0,-563000.0,1873641.0,,923587.0,,501102.0,3812348.0,31444964.0,2818264.0,,34197387.0,,,,462329.0,663136.0,,,8183787.0,368568.0,,,16193.0,,,,844190.0,,,,0.0,105112.0,,,,,43352196.0,12560597.0,,,29969484.0,,,,,8854274.0,,1322064.0,27632616.0,,3922098.0,,966132.0,
2016-12-31,2017-03-20,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,703467.0,5323519.0,92044.0,,604174.0,-30755266.0,,447134.0,,,31204309.0,18753751.0,7908780.0,0.0,353475.0,-447419.0,,,8059000.0,,,,,,,1138096.0,,27980217.0,,52000.0,286133.0,134000.0,240647.0,-1028084.0,,-327.0,110246.0,,53625.0,0.0,1028084.0,-1432275.0,384000.0,1242357.0,,-956471.0,,,,0.55,531372.0,0.336,0.34,,-0.014,,0.01,690526.0,1005000.0,-29658.0,,9042161.0,3547980.0,2.44,,1191000.0,,840000.0,,-49000.0,1206000.0,,34000.0,-64644.0,114813.0,-181056.0,79042.0,519.0,138512.0,177001.0,65255.0,1740229.0,5099693.0,4537693.0,1675143.0,-562000.0,1684321.0,41880.0,923587.0,1424689.0,501102.0,3312384.0,31204309.0,2284300.0,0.0,32559468.0,-956471.0,-3518130.0,4027182.0,2356980.0,3482725.0,26000.0,127855.0,8892539.0,423952.0,384275.0,23375.0,65255.0,956471.0,7719000.0,2027860.0,2027860.0,,,,0.0,56112.0,,6225000.0,3730.0,,43205824.0,12450558.0,1312887.0,12450558.0,30228793.0,,,,,37022378.0,,5559436.0,27891925.0,,3922098.0,0.0,,966132.0
2017-03-31,2017-05-05,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1352096.0,6173784.0,,,477063.0,31058463.0,,447134.0,,,31742181.0,19417506.0,7917521.0,1852.0,751534.0,398059.0,,,6814000.0,,0.55,,,,,1138096.0,,7226816.0,,,345295.0,-17000.0,,,,,,,,,1011084.0,,,303197.0,,-531373.0,,,,,,,,,,,,685169.0,,400.0,,2256511.0,770922.0,0.53,,260000.0,,,,,,,,646777.0,-850265.0,59162.0,-5357.0,-749749.0,-127111.0,89318.0,14683.0,1881294.0,5819442.0,5287442.0,1930432.0,-532000.0,2007716.0,,923587.0,,501102.0,3870707.0,31742181.0,2859623.0,,34040928.0,-531373.0,1069938.0,-140506.0,510922.0,750239.0,,,7956280.0,390746.0,,,20683.0,531373.0,747000.0,175462.0,177314.0,,,,0.0,,,1992000.0,400.0,,43383138.0,12324675.0,,,30208342.0,,,,,9483327.0,,1506272.0,27871474.0,,3922098.0,,966132.0,
2017-06-30,2017-08-08,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,994469.0,5952843.0,,,546117.0,31331753.0,,447134.0,,,31765137.0,19128588.0,7984453.0,,893210.0,,,,6814000.0,,0.2,,,,,1138096.0,,7366100.0,7366100.0,,251738.0,,,,,,,,,,980084.0,,,309970.0,,,,,,,,,,,,,,852126.0,,,,2069408.0,671355.0,0.48,,209000.0,,,,,,,,,,,,,,,16034.0,1944503.0,5527273.0,4995843.0,1879625.0,-531430.0,1703145.0,,923587.0,,611847.0,3624534.0,31765137.0,2644450.0,,34448415.0,,,,462355.0,648833.0,,,8179902.0,472692.0,,,22522.0,,,,621844.0,,,,0.0,,,,,,43968302.0,12636549.0,,,30477471.0,9435508.0,,,9435508.0,9435508.0,,1420575.0,28140603.0,,3922098.0,,966132.0,
2017-09-30,2017-11-06,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1165125.0,5871092.0,,,472912.0,31356355.0,,447134.0,,,32010691.0,19411434.0,8010023.0,,759138.0,,,,7312000.0,,0.2,,,,,1138096.0,,6632070.0,6632070.0,,240851.0,,,,,,,,,,958084.0,,,309180.0,,,,,,,,,,,,,,890507.0,,,,1754686.0,500835.0,0.35,,165000.0,,,,,,,,,,,,,,,18795.0,1953005.0,5599117.0,5088117.0,2024739.0,-511000.0,1621373.0,,923587.0,,611847.0,3727479.0,32010691.0,2769395.0,,34410155.0,,,,335835.0,476040.0,,,8452225.0,381087.0,,,24795.0,,,,271888.0,,,,0.0,,,,,,43955612.0,12599257.0,,,30620080.0,8386756.0,,,8386756.0,8386756.0,,1278646.0,28283212.0,,3922098.0,,966132.0,
2017-12-31,2018-03-20,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,737040.0,5326650.0,92620.0,,495132.0,31625819.0,,447134.0,,140000.0,31816302.0,19259349.0,8039831.0,3953.0,1152569.0,799094.0,,,7810000.0,,1.15,1.0,4000000.0,1138096.0,966132.0,1138096.0,,27850992.0,27850992.0,31000.0,312775.0,-291000.0,149460.0,737084.0,,-683.0,70973.0,,31500.0,0.0,737084.0,-988334.0,266000.0,1231546.0,,-1111052.0,,,,0.51,492727.32,0.157,0.34,-0.175,-0.016,,0.008,674316.0,647000.0,-1700.0,,7913722.0,2466082.0,2.15,,387000.0,,706000.0,-432000.0,-39000.0,838000.0,,20000.0,29620.0,-3131.0,26642.0,-16210.0,9593.0,-109042.0,38034.0,100901.0,1674630.0,5092100.0,4528100.0,1812603.0,-564000.0,1604867.0,75926.0,923587.0,1571552.0,611847.0,2956347.0,31816302.0,2219263.0,0.0,33208675.0,-1111052.0,-1083288.0,2993434.0,2079082.0,2365181.0,30000.0,136114.0,9404599.0,357918.0,266398.0,24975.0,100901.0,1111052.0,6814000.0,1333988.0,1337941.0,0.0,500000.0,0.0,0.0,84112.0,,7063000.0,1700.0,,44182772.0,12556953.0,1362714.0,12556953.0,31196823.0,,35764714.0,,35764714.0,35764714.0,,5548541.0,28859955.0,171964.0,3922098.0,0.0,,966132.0
