end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,AssetsNet,AssetsNoncurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayable,CostsAndExpenses,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentInterestRateAtPeriodEnd,DebtInstrumentUnamortizedDiscount,DeferredIncomeTaxExpenseBenefit,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBookOverdrafts,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,InterestRevenueExpense,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesAssumed1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesReceivableNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherNotesPayable,PartnersCapitalAccountContributions,PaymentsForRepurchaseOfCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromBankDebt,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromInsuranceSettlementInvestingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfNotesReceivable,ProceedsFromUnsecuredNotesPayable,ProFormaWeightedAverageSharesOutstandingDiluted,ProfitLoss,RelatedPartyDepositLiabilities,RelatedPartyTaxExpenseDueFromAffiliatesCurrent,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfConvertibleDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SharesIssued,StandardizedMeasureOfDiscountedFutureNetCashFlowOfProvedOilAndGasReservesPeriodIncreaseDecrease,StockholdersEquity,StockRepurchasedAndRetiredDuringPeriodValue,TransferOfInvestments,TreasuryStockValue,ValuationAllowanceAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2012-11-01,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,997.0,,,92776.0,,,10966.0,10966.0,,,0.0,,10966.0,,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,0.06,,0.0,,,,,,,,,,-170039.0,,,0.0,,,-7858.0,,6852.0,,,,-7858.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1006.0,,,6232.0,,,,77229.0,10966.0,77229.0,,,,,-7858.0,,-7858.0,,,,,70000.0,,,,-6852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-66263.0,,,,,,,,11000000.0
2012-12-31,2013-03-29,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,0.0,,,92776.0,,,4505.0,4505.0,,,,,4505.0,-2484.0,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,0.0,,0.0,,0.0,0.0,26300.0,,-26300.0,,,,-176562.0,,0.0,0.0,,,-26045.0,,22484.0,,,,-26045.0,,,,,,0.0,3900.0,,0.0,-3900.0,0.0,,,,,,,,,3561.0,,,0.0,,,-3561.0,,0.0,7291.0,,,,77291.0,4505.0,77291.0,,20000.0,0.0,-22484.0,-26045.0,,-26045.0,,,,,70000.0,,,,-22484.0,26300.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,20000.0,,,,,,,,,-26045.0,,,,,,,,0.0,,,,-72786.0,,,,-26300.0,,,,11000000.0
2013-03-31,2013-05-08,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,5366.0,,,92776.0,,,3595.0,3595.0,,,,,3595.0,-910.0,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,,,,,,,,,,-183873.0,,,0.0,,,-7311.0,,6276.0,,,,-7311.0,,,,,0.0,0.0,,,,,5366.0,,,,,,,,,1035.0,,,,,0.0,-1035.0,,0.0,8326.0,,,,83692.0,3595.0,83692.0,,0.0,0.0,-910.0,-7311.0,,-7311.0,,,,,70000.0,,,,-6276.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,-7311.0,,,,,,,,0.0,,,,-80097.0,,,,,,,,11000000.0
2013-06-30,2013-08-14,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,423.0,,,,,,5500.0,5500.0,,,,,5500.0,,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,,,,,,,,,,-188156.0,,,0.0,,,-4282.0,,3151.0,,,,-4282.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1131.0,,,9457.0,,,,89880.0,5500.0,89880.0,,,,,-4282.0,,-4282.0,,,,,80000.0,,,,-3151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4282.0,,,,,,,,0.0,,,,-84380.0,,,,,,,,11000000.0
2013-09-30,2013-11-12,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,0.0,,,,,,529.0,529.0,,,,,529.0,,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,4548.0,0.0,,,,0.0,,,,,,,,,,-193914.0,,,0.0,,,-5758.0,,4548.0,,,,5758.0,,,,,,,,,,,,,,,,,,,,,,,,,,1210.0,,,10667.0,,,,90667.0,529.0,90667.0,,,,,5758.0,,5758.0,,,,,80000.0,,,,-4548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,-90138.0,,,,,,,,11000000.0
2013-12-31,2014-03-21,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,3795.0,,,92776.0,,,359.0,359.0,,,,359.0,359.0,-4146.0,359.0,0.001,150000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,,0.0,,29700.0,,-29700.0,,,,199089.0,,,0.0,0.0,,,0.0,17941.0,,,,-22527.0,,,,0.0,,0.0,3400.0,,0.0,-3400.0,3795.0,,,,,,,,,4586.0,,,,,0.0,-4586.0,0.0,0.0,11877.0,,,,95672.0,359.0,95672.0,,10000.0,0.0,-14146.0,-22527.0,,-22527.0,,,,,80000.0,,,17941.0,-17941.0,0.0,,,-4586.0,,,,0.01,25000000.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,10000.0,,,,,,,,,-22527.0,,,,,,,-199089.0,0.0,,,,-95313.0,,,,,,11000000.0,,11000000.0
2014-03-31,2014-05-20,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,2773.0,,,92776.0,,,3036.0,3036.0,,,,2656.0,2656.0,-2297.0,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,,,,,,,,,,-207632.0,,,0.0,0.0,,,,7301.0,,,,-8543.0,,,,0.0,0.0,0.0,,,,,-1022.0,,,,,,,,,1242.0,,,,,-380.0,-1242.0,0.0,0.0,13119.0,,,,106892.0,3036.0,106892.0,,11000.0,0.0,-8703.0,-8543.0,,-8543.0,,,,,91000.0,,,,-7301.0,,,,,,,,,,,,,380.0,,,,,,0.0,,,0.0,11000.0,,,,,,,,,-8543.0,,,,,,,,0.0,,,,-103856.0,,,,,,11000000.0,,11000000.0
2014-06-30,2014-08-19,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,8439.0,,,92776.0,,,2926.0,2926.0,,,,2546.0,2546.0,,,0.001,150000000.0,11000000.0,11000000.0,116000.0,,,,,,,,,,,,,,,,,,,,-214289.0,,,0.0,,,,,5776.0,,,-881.0,-6657.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,881.0,,,,,,,8439.0,2926.0,8439.0,,,,,-6657.0,,-6657.0,,,,,,,,,-5776.0,,,,,,,,,,,,,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5513.0,,,,,,,,
2014-09-30,2014-11-12,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,1634.0,,,97913.0,,,438.0,438.0,,,,58.0,58.0,,58.0,0.001,150000000.0,116000000.0,11000000.0,116000.0,,,,,995.0,0.0,,,,0.0,,,,,,,,,,215284.0,,,0.0,,,,-187500.0,995.0,,-995.0,,995.0,-188495.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.0,,1809.0,,,,,-188495.0,,995.0,,,,,175.0,,,995.0,,,,-187500.0,,,,,,,,,,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1371.0,,,,,,,,116000000.0
2014-12-31,2015-03-30,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,0.0,,,285414.0,,,19134.0,19134.0,,,,11634.0,11634.0,11275.0,11634.0,0.001,150000000.0,116000000.0,116000000.0,116000.0,,,,,,,,,,,,0.0,,32900.0,,-60900.0,,,,,,,,0.0,,,187500.0,18568.0,,-18568.0,,-208191.0,-208191.0,0.0,,0.0,,0.0,31200.0,,0.0,-31200.0,-3795.0,,,,,,,2123.0,,2123.0,,,,,-7500.0,-2123.0,0.0,,0.0,,,,25000.0,19134.0,25000.0,,41138.0,0.0,-29863.0,-208191.0,,,,,,25000.0,25000.0,,,18568.0,-18568.0,218000.0,105000.0,-189623.0,-189623.0,25000.0,5138.0,,0.01,25000000.0,,,0.0,7500.0,7500.0,,36000.0,,,5138.0,,,,36000.0,,,,,,,,,-208191.0,,,,,,,-407280.0,0.0,,116000000.0,,-5866.0,,,,,,67383562.0,,67383562.0
2015-03-31,2015-05-15,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,4500.0,,,285414.0,,,10294.0,10294.0,,,,,4669.0,-6965.0,,0.001,150000000.0,116000000.0,116000000.0,116000.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,12590.0,,-12590.0,,-13340.0,-13340.0,0.0,,0.0,,0.0,,,,,4500.0,,,,,,,,,0.0,,,,,1875.0,-750.0,750.0,,,,,,29500.0,10294.0,29500.0,,0.0,0.0,-6965.0,-13340.0,,-13340.0,,,,,25000.0,,,12590.0,-12590.0,,,-750.0,,,,,0.01,25000000.0,,,0.0,5625.0,,,,,,,,,,0.0,,,,,,,,,-13340.0,,,,,,,-420620.0,0.0,,,,-19206.0,,,,,,116000000.0,,116000000.0
2015-06-30,2015-08-11,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,1800.0,,285413.0,,,3769.0,3769.0,,,,19.0,19.0,,,,,,,116000.0,,,,,,,,,,,,,,,,,750.0,,,,,,,,,,,3825.0,,-3825.0,-750.0,,-4575.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,-750.0,,,,,,,27550.0,3769.0,27550.0,,,,,-4575.0,,,,,,25000.0,,,,3825.0,-3825.0,,,-750.0,,,,,,,,,,,3750.0,,,,,,,,,,,,,,,,,,,,,,,,,-425194.0,,,,,-23781.0,,,,,,,,116000000.0
2015-09-30,2015-11-10,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,6128.0,,385414.0,,,94754.0,94754.0,,,,92879.0,92879.0,,92879.0,,,,,116000.0,,,,16667.0,,,,,,,,,,,,,1836.0,,,,,,,,,,,13343.0,,-13343.0,,,-32596.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-19253.0,,,,,,,51131.0,94754.0,51131.0,,,,,-32596.0,,,,,,,,,,13343.0,,,,-19253.0,,25000.0,,,,,,,,,1875.0,,,,,,,,,,,,,,,,,,,1500.0,,,,,,-457791.0,,,,,43623.0,,,,,,,,116000000.0
