end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertiblePreferredStockSharesIssuedUponConversion,DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Dividends,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidDiscontinuedOperations,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherIncome,OtherNonoperatingIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,RestructuringCharges,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGrantDateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,ValuationAllowancesAndReservesDeductions,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2012-12-31,2013-04-16,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,179.0,17500.0,,,609614.0,,,,0.0,0.0,-668.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,228631.0,-228631.0,,25145.0,,0.0,,,43492.0,,-43492.0,,0.0,0.0,,,,,179.0,,,25145.0,17500.0,,,0.0,,,42824.0,0.0,,,0.0,0.0,-668.0,-43492.0,,,,228631.0,17500.0,,,,0.001,10000000.0,0.0,0.0,20006.0,,,14787.0,,-672444.0,,0.0,0.6,0.0361,152599.0,0.001,,,,,,,152599.0,0.001,,0.0,,,-42824.0,,-14787.0,20006402.0,20006402.0,20006402.0,
2013-03-31,2013-05-20,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,179.0,,,,609614.0,,,,,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,25145.0,,0.0,,,4559.0,,-4559.0,,,0.0,,,,,0.0,,,0.0,4559.0,,,0.0,,,47383.0,0.0,,,0.0,0.0,0.0,-4559.0,,,,,22059.0,,,,0.001,10000000.0,0.0,0.0,,,,,,-677003.0,,0.0,0.6,0.0361,152599.0,0.001,,,,,,,152599.0,0.001,,,,,-47383.0,,,,20006402.0,,
2013-06-30,2013-08-16,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,179.0,,,,-683592.0,,,,,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,609614.0,,,,,,,,48793.0,,0.0,,,6589.0,,-6589.0,,0.0,,,,,,,,,,,,,,,,53972.0,,,,,,,-6589.0,,,,,5000.0,,0.0,,0.001,10000000.0,0.0,0.0,20006.0,,,,,,,,,,152599.0,0.001,,,,,,,152599.0,0.001,,,,,-53972.0,,,,20006402.0,,
2013-09-30,2013-11-14,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,928.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,54493.0,,0.0,,,11449.0,,-11449.0,,0.0,,,,,,,,,,,,,,,,65421.0,0.0,,,,,,-11449.0,,,,,10000.0,,0.0,,0.001,10000000.0,0.0,0.0,,,,,,-695041.0,,,,,152599.0,0.001,,,,,,,152599.0,0.001,,,,,-65421.0,,,,20006402.0,,
2013-12-31,2014-04-15,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,1459.0,,,,609614.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,240330.0,-240330.0,,54493.0,,0.0,,,34409.0,,-34409.0,,0.0,0.0,,,,,1281.0,,,29348.0,3780.0,,,0.0,,,77233.0,0.0,,,0.0,0.0,0.0,-34409.0,,,,,21281.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,11699.0,,-706853.0,,0.0,0.6,0.0361,0.0,0.0,0.0,152599.0,-0.001,0.0,0.0,,0.0,0.0,0.0,0.0,,,-77233.0,,-11699.0,,20006402.0,,
2014-03-31,2014-05-15,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,1459.0,,,,609614.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,64592.0,,0.0,,,10117.0,,-10117.0,,0.0,0.0,,,,,0.0,,,10099.0,18.0,,,0.0,,,87350.0,0.0,,,0.0,0.0,0.0,-10117.0,,,,,21299.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-716970.0,,0.0,0.6,0.0361,,,,,,,,,,,,,,,-87350.0,,,,20006402.0,,
2014-06-30,2014-08-15,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,2041.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,80873.0,,0.0,,,5563.0,,-5563.0,,0.0,,,,,,,,,,,,,,,,92914.0,0.0,,,,,,-5563.0,,,,,10000.0,,0.0,,0.001,10000000.0,0.0,0.0,0.0,,,,,-722533.0,,,,,,,,,,,,,,,,,,,-92914.0,,,,20006402.0,,
2014-09-30,2014-11-14,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,2078.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,94130.0,,0.0,,,8295.0,,-8295.0,,0.0,,,,,,,,,,,,,,,,101208.0,0.0,,,,,,-8295.0,,,,,5000.0,,0.0,,0.001,10000000.0,0.0,0.0,0.0,,,,,-730828.0,,,,,,,,,,,,,,,,,,,-101208.0,,,,20006402.0,,
2014-12-31,2015-03-31,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,183.0,,,,609614.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,253084.0,-253084.0,,101763.0,,0.0,,,37512.0,,-37512.0,,0.0,0.0,,,,,-1277.0,,,47271.0,-8482.0,,,0.0,,,114745.0,0.0,,,0.0,0.0,0.0,-37512.0,,,,,12799.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,12754.0,,-744365.0,,,,,,,,,,,,,,,,,,,-114745.0,,-12754.0,,20006402.0,,
2015-03-31,2015-05-14,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,673.0,,,,-749392.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,609614.0,,,,,,,,111874.0,,0.0,,,5027.0,,-5027.0,,0.0,0.0,,,,,490.0,,,10111.0,-5574.0,,,0.0,,,119772.0,0.0,,,0.0,0.0,0.0,-5027.0,,,,,7225.0,,,,0.001,10000000.0,0.0,0.0,20006.0,,,,,,,,,,,,,,,,,,,,,,,,-119772.0,,,,20006402.0,,
2015-06-30,2015-08-11,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,31.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,119171.0,,0.0,,,5155.0,,-5155.0,,0.0,,,,,,,,,,,,,,,,124927.0,0.0,,,,,,-5155.0,,,,,5725.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-754547.0,,,,,,,,,,,,,,,,,,,-124927.0,,,,20006402.0,,
2015-09-30,2015-11-16,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,5700.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,124887.0,,,,,11385.0,,-11385.0,,0.0,,,,,,,,,,,,,,,,136312.0,0.0,,,,,,-11385.0,,,,,5725.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-765932.0,,,,,,,,,,,,,,,,,,,-136312.0,,,,20006402.0,,
2015-12-31,2016-03-30,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,264309.0,264309.0,,136311.0,,0.0,,,33016.0,,-33016.0,,0.0,0.0,,,,,-183.0,,,34548.0,-1349.0,,,0.0,,,147761.0,0.0,,,0.0,0.0,0.0,-33016.0,,,,,11450.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,11225.0,,-777381.0,,,,,,,,,,,,,,,,,,,-147761.0,,-11225.0,,20006402.0,,
2016-03-31,2016-05-13,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,147303.0,,0.0,,,5992.0,,-5992.0,,0.0,0.0,,,,,0.0,,,10992.0,-5000.0,,,0.0,,,153753.0,0.0,,,0.0,0.0,0.0,-5992.0,,,,,6450.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-783373.0,0.0,,,,,,,,,,,,,,,,,,-153753.0,,,,20006402.0,,
2016-06-30,2016-08-09,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,939.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,152872.0,,0.0,,,6508.0,,-6508.0,,0.0,,,,,,,,,,,,,,,,160261.0,0.0,,,,,,-6508.0,,,,,6450.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-789881.0,,,,,,,,,,,,,,,,,,,-160261.0,,,,20006402.0,,
2016-09-30,2016-11-04,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,5700.0,,,,609614.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,160740.0,,,,,11179.0,,-11179.0,,0.0,,,,,,,,,,,,,,,,171440.0,0.0,,,,,,-11179.0,,,,,5000.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-801060.0,0.0,,,,,,,,,,,,,,,,,,-171440.0,,,,20006402.0,,
2016-12-31,2017-03-10,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,276431.0,276431.0,,171914.0,,0.0,,,35653.0,,-35653.0,,0.0,0.0,,,,,0.0,,,35603.0,50.0,,,0.0,,,183414.0,0.0,,,0.0,0.0,0.0,-35653.0,,,,,11500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,12122.0,,-813034.0,,,,,,,,,,,,,,,,,,,-183414.0,,-12122.0,,20006402.0,,
2017-03-31,2017-05-15,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,183024.0,,0.0,,,6110.0,,-6110.0,,0.0,0.0,,,,,0.0,,,11110.0,-5000.0,,,0.0,,,189524.0,0.0,,,0.0,0.0,0.0,-6110.0,,,,,6500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-819144.0,0.0,,,,,,,,,,,,,,,,,,-189524.0,,,,20006402.0,,
2017-06-30,2017-08-04,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,188059.0,,0.0,,,6035.0,,-6035.0,,0.0,,,,,,,,,,,,,,,,195559.0,0.0,,,,,,-6035.0,,,,,7500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-825179.0,0.0,,,,,,,,,,,,,,,,,,-195559.0,,,,20006402.0,,
2017-09-30,2017-10-27,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,200762.0,,,,,11703.0,,-11703.0,,0.0,,,,,,,,,,,,,,,,207262.0,0.0,,,,,,-11703.0,,,,,6500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-836882.0,0.0,,,,,,,,,,,,,,,,,,-207262.0,,,,20006402.0,,
2017-12-31,2018-03-08,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,0.0,,,,609614.0,,,0.0,0.0,0.0,0.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,0.0,287939.0,287939.0,,205762.0,,0.0,,,33848.0,,-33848.0,,0.0,0.0,,,,,0.0,,,33848.0,0.0,,,0.0,,,217262.0,0.0,,,0.0,0.0,0.0,-33848.0,,,,,11500.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,11508.0,,-846882.0,,,,,,,,,,,,,,,,,,,-217262.0,,-11508.0,,20006402.0,,
