end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockValue,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DepreciationAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,FDICIndemnificationAssetPeriodIncreaseDecrease,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,FiniteLivedPatentsGross,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxesPaidNet,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaid,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LitigationSettlementExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseDirectorsFees,NumberOfReportableSegments,NumberOfReportableSegments,OfficersCompensation,OperatingExpenses,OperatingLossCarryforwards,OtherAdditionalCapital,OtherGeneralAndAdministrativeExpense,OtherPrepaidExpenseCurrent,OtherTaxExpenseBenefit,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromWarrantExercises,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainageDeposit,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,SharePrice,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockOptionPlanExpense,StockRepurchasedAndRetiredDuringPeriodValue,TreasuryStockSharesAcquired,WarrantsAndRightsOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2019-01-11,10-K,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,112935.0,,,,45198281.0,,2333741.0,,138200.0,,4416825.0,3499275.0,3175523.0,,3163366.0,3175523.0,,250000.0,0.04,,,6306000.0,0.001,2000000000.0,1575001801.0,1276653.0,6815000.0,-2121000.0,,138200.0,11000.0,,-0.01,2925523.0,634866.0,917550.0,1552416.0,8401548.0,-8401548.0,0.0,,,-203598.0,-12000.0,,0.0,,3882196.0,934540.0,112935.0,4416825.0,,5407060.0,,-2243694.0,-9356992.0,763000.0,,1.0,,,33311000.0,477320.0,359446.0,323752.0,536000.0,,,0.01,0.0,,,,57000.0,3402060.0,2005000.0,3529061.0,-8401548.0,,,323752.0,-42648364.0,2552808.0,,,,39850000.0,18500000.0,,,,,18500000.0,,39850000.0,0.058,,0.04,0.18,,0.18,39850000.0,,0.058,,,,4303890.0,,585721.0,,,,4946312.0,3853185.0,,,2552808.0,,,,1603496390.0
2018-12-31,2019-02-13,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,94156.0,,,,50762227.0,34739.0,,,34739.0,,4256383.0,3361655.0,3024202.0,,-151321.0,3024202.0,-151321.0,250000.0,,,,,0.001,3000000000.0,2053175963.0,1424447.0,,,,,,,0.0,2774202.0,669417.0,882999.0,1552416.0,5871403.0,-5871403.0,0.0,,,-18779.0,,,0.0,,307500.0,237408.0,94156.0,4256383.0,,342240.0,-11917.0,-481644.0,-5871403.0,290600.0,,,6600.0,5871403.0,,495320.0,74287.0,337453.0,,,11917.0,0.01,1000000.0,,,,,90000.0,252240.0,110694.0,,,11729.0,,-48519767.0,5080000.0,,,,39850000.0,,,,,,10000000.0,,49850000.0,0.06,,,,,0.065,49850000.0,,0.058,,,,4162227.0,,585721.0,,,,307500.0,90000.0,,5080000.0,5080000.0,,,,1690841578.0
2019-03-31,2019-05-15,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,105832.0,,,,50929440.0,34737.0,,,34737.0,,3741565.0,2881574.0,2501436.0,,,2501436.0,,250000.0,,,6306000.0,,0.001,3000000000.0,1952267592.0,1428734.0,,,,,,,0.0,,703966.0,848450.0,1552416.0,751994.0,,,,,,,,,,,288635.0,105832.0,3741565.0,,,,,-751994.0,155729.0,,,,751994.0,,549320.0,77542.0,360138.0,,,,0.01,1000000.0,,20000.0,,,,,161551.0,,,11541.0,,-49271761.0,,,,,39850000.0,,,,,,,,49850000.0,0.06,,0.04,,,,49850000.0,,0.058,0.022,,,3635733.0,,,,,,96500.0,129000.0,,,,,,,1950139362.0
2019-06-30,2019-08-13,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,32355.0,,,,50950530.0,34738.0,,,,,3145431.0,2320178.0,1941889.0,,,1941889.0,,250000.0,,,6306000.0,,0.001,3000000000.0,1952267592.0,1429844.0,,,,34550.0,,,0.0,,738516.0,813900.0,1552416.0,598857.0,,,,,,,,,,,239599.0,32355.0,3145431.0,,,,,-598857.0,107354.0,,,,598857.0,,603320.0,60762.0,353289.0,,,,0.01,1000000.0,,25000.0,,,,,142275.0,,,11353.0,,-49870618.0,,,,,39850000.0,,,,,,,,49850000.0,0.06,,0.04,,,,49850000.0,,0.058,,,,3113076.0,,,,,,76200.0,,,,,,,,1952267592.0
2019-09-30,2020-01-13,10-K,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,836938.0,,,752.0,51542780.0,138952.0,,,138952.0,,2568186.0,1777671.0,960490.0,960490.0,-2215033.0,960490.0,-2215033.0,250000.0,,,6306000.0,,0.001,3000000000.0,1956377592.0,1432844.0,6000.0,-2291000.0,,138952.0,,,0.0,,773066.0,779350.0,1552416.0,9073332.0,-9073332.0,0.0,6000.0,,724003.0,19500.0,,0.0,,949450.0,1185455.0,836938.0,2568186.0,533765.0,471240.0,-11917.0,-2674356.0,-10924410.0,1135230.0,,,,9073332.0,41386000.0,477320.0,304644.0,,1067000.0,,11917.0,0.01,1000000.0,19500.0,19500.0,,86030.0,219000.0,252240.0,597624.0,-9073332.0,11917.0,11165.0,797681.0,-51721696.0,5080000.0,0.0,1.617,0.0384,39850000.0,,,,,,10000000.0,0.06,49850000.0,0.059,,0.04,,,0.065,49850000.0,,0.059,,,,1731248.0,,,17410000.0,,,1418700.0,219000.0,,5080000.0,,,,,1886976459.0
2019-12-31,2020-02-12,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,350272.0,,,941.0,51859780.0,34739.0,,28080.0,,,1437093.0,681317.0,390025.0,,,390025.0,-570465.0,250000.0,,,,,0.001,3000000000.0,1969377592.0,1445844.0,,,,,,,0.0,,807616.0,744800.0,1552416.0,,,,,,-486666.0,-5750.0,,,,330000.0,376938.0,350272.0,1437093.0,,,,-570465.0,-974427.0,82080.0,,,28080.0,974427.0,,,43263.0,,,,,,,13750.0,,,,,,429100.0,,11917.0,10976.0,277542.0,-52696123.0,,,,,39850000.0,,,,,,,,49850000.0,0.06,,,,,,,,,,,,1086821.0,,,13000000.0,,,330000.0,,,,,,,,1962475418.0
2020-03-31,2020-05-12,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,410845.0,,,1505.0,51968336.0,35114.0,,,,,1213766.0,493104.0,356760.0,,,356760.0,,250000.0,,,,,0.001,3000000000.0,1977131592.0,1453598.0,,,,,,,0.0,,842166.0,710250.0,1552416.0,,,,,,,,,,,,165614.0,410845.0,1213766.0,,,,,-400210.0,67167.0,,,,400210.0,,,18436.0,,,,,,,13750.0,,,,,,109226.0,,11917.0,10412.0,122594.0,-53096333.0,,,,,39850000.0,,,,,,,,49850000.0,0.059,,,,,,,,,,0.025,,802921.0,,,,,,,,,,,,,,1972791881.0
2020-06-30,2020-08-11,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,429676.0,,,2069.0,51979586.0,35384.0,,,,,927337.0,241789.0,143804.0,,,143804.0,,250000.0,,,,,0.001,3000000000.0,1978381592.0,1454848.0,,,,,,,0.0,,876716.0,675700.0,1552416.0,,,,,,,,,,,,79893.0,429676.0,927337.0,,,,,-318030.0,67013.0,,,,318030.0,,,62617.0,,,,,,,13750.0,,,,,,69310.0,,11917.0,9848.0,84235.0,-53414093.0,,,,,39850000.0,,,,,,,,49850000.0,0.059,,,,,,,,,,,,497661.0,,,,,,,,,,,,,,1969994259.0
2020-09-30,2020-12-16,10-K,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,472758.0,,,3010.0,52434457.0,140458.0,270942.0,96907.0,,0.0,829430.0,179373.0,,113538.0,,113538.0,-846952.0,250000.0,,,,,0.001,3000000000.0,2033981592.0,1510448.0,,,,,,,0.0,,911266.0,641150.0,1552416.0,,,,,,-364180.0,-5750.0,,,,534500.0,741445.0,472758.0,829430.0,,299310.0,,-1146262.0,-2995317.0,280507.0,,,,2343857.0,41386000.0,,156896.0,,,,,,,13750.0,,,,299310.0,,862636.0,,11917.0,8907.0,52085.0,-54065553.0,135471.0,0.0,0.0,0.0,34850000.0,,30000000.0,0.062,30000000.0,,15000000.0,0.009,34850000.0,0.037,135471.0,,,0.062,0.01,,,,,,135471.0,356672.0,,,33250000.0,44354000.0,,726500.0,,,,,,,,1976098865.0
2020-12-31,2021-02-12,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,450954.0,,,3575.0,52640970.0,35115.0,,7200.0,,,683684.0,68742.0,,28132.0,,28132.0,-85406.0,,,,,,0.001,3000000000.0,2053483092.0,1529950.0,,,,,,,0.0,,945816.0,606600.0,1552416.0,,,,,,68196.0,8750.0,,,,101000.0,149684.0,450954.0,683684.0,,125015.0,,-210421.0,-349957.0,57600.0,,,,439957.0,,,40975.0,,,,,,,5000.0,,,,125015.0,,150500.0,,11917.0,8342.0,35610.0,-53999510.0,101000.0,,,,34850000.0,,,,,,,,34850000.0,0.036,,,,,,,,,,,,232730.0,,,5000000.0,14501500.0,,101000.0,,,,,,,,2046303516.0
