end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvertisingExpense,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxesBusinessCombinationValuationAllowanceAllocatedToContributedCapital,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsAndInterestPaid,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EquityIssuancePerShareAmount,ExplorationExpense,ExplorationExpenseMining,FederalDepositInsuranceCorporationPremiumExpense,GeneralAndAdministrativeExpense,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOptionPremiumContractsPayable,IncreaseDecreaseInPrepaidExpense,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LossesGainsOnSalesOfAssetsAndAssetImpairmentCharges,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayable,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherMaterialNoncashItems,OtherNoncashExpense,OtherPrepaidExpenseCurrent,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueMineralSales,Revenues,SalesRevenueNet,SalesRevenueServicesNet,SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1,SharesIssuedPricePerShare,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,ValuationAllowanceForImpairmentOfRecognizedServicingAssetsPeriodIncreaseDecrease,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,AccountsPayableRelatedPartiesCurrent,CapitalUnitsAuthorized,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,IncreaseDecreaseInAccountsAndOtherReceivables,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ManagementFeeExpense,ProceedsFromSaleOfPropertyPlantAndEquipment,RepaymentsOfNotesPayable,StockholdersEquityNoteSubscriptionsReceivable
2017-09-30,2017-10-31,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,4551.0,,31000.0,,0.0,,,100.0,,-100.0,-1312.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,103000.0,,0.0,,,,,,,,,,1335.0,,,-3006.0,,0.0,,,,,-4306.0,,,,,,,,,,,,107651.0,,6000.0,6000.0,0.0,0.0,-7312.0,-7312.0,-3006.0,,,,3006.0,,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,,,,0.0,6000.0,,,1671.0,,,-149651.0,0.0,,,0.0,0.0,,,,-107651.0,,,,,,11000000.0,,,,,,,,,,,
2017-12-31,2018-02-02,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,4238.0,,31000.0,,,1379.0,1379.0,,,1079.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,108000.0,,0.0,,,,,,,,,,1158.0,,,-3208.0,,0.0,,,,,,,,,,,,,,,,1379.0,112238.0,,,,,,,,-3208.0,,,,3208.0,,,,,,,,,,0.001,10000000.0,,,0.0,300.0,,,,,,2050.0,,,-152859.0,0.0,,0.0,0.0,0.0,,,,-110859.0,,,,,,11000000.0,,,,,,,,,,,
2018-03-31,2018-05-02,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,3570.0,,31000.0,,,300.0,300.0,,,,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,110000.0,,0.0,,,,,,,,,,956.0,,,-3006.0,,0.0,,,,,,,,,,,,,,,,300.0,114165.0,,,,,,,,-3006.0,,,,3006.0,,,,,,,,,,0.001,10000000.0,,,,300.0,,,,,,2050.0,,,-155865.0,,,,0.0,0.0,,,595.0,-113865.0,,,,,,11000000.0,,,,,,,,,,,
2018-06-30,2018-09-06,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5450.0,,31000.0,,,1248.0,1248.0,,,1248.0,36.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,0.0,60459.0,60459.0,,,0.0,116000.0,,0.0,0.21,,,,,,,,,6621.0,,,-15557.0,,0.0,,0.0,-3267.0,3267.0,-3407.0,,,,,,,,,,,1248.0,121450.0,,19000.0,,0.0,,-18964.0,,-15557.0,,,,15557.0,,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,,,,,19000.0,,,8936.0,,,-162202.0,0.0,,,,,,,,-120202.0,,,,,,11000000.0,,,,,,,,,,,
2018-09-30,2018-10-22,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,4454.0,,31000.0,,,1537.0,,,,1537.0,289.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,123500.0,,0.0,,,,,,,,,,2092.0,,,-6215.0,,0.0,,0.0,,,-996.0,,,,,,,,,0.0,,1537.0,127954.0,,7500.0,,0.0,,-7211.0,,-6215.0,,,,6215.0,,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,,,,,7500.0,,,4123.0,,,-168417.0,0.0,,,,,,,,-126417.0,,,,,,11000000.0,,,,,,,,,,,
2018-12-31,2019-01-22,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,3629.0,,31000.0,,,6405.0,,,,6405.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,133500.0,,0.0,,,,,,,,,,1957.0,,,-4307.0,,0.0,,,,,,,,,,,,,,,,6405.0,137129.0,,,,,,,,-4307.0,,,,4307.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,2350.0,,,-172724.0,0.0,,0.0,,,,,,-130724.0,,,,,,11000000.0,,,,,,,,,,,
2019-03-31,2019-05-15,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,4048.0,,31000.0,,,3495.0,,,,3495.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,133500.0,,0.0,,,,,,,,,,1129.0,,,-3329.0,,0.0,,,,,,,,,,,,,,,,3495.0,137548.0,,,,,,,,-3329.0,,,,3329.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,2200.0,,,-176053.0,,,,,,,,,-134053.0,,,,,,11000000.0,,,,,,,,,,,
2019-06-30,2019-09-06,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,7725.0,,31000.0,,,80.0,80.0,,,0.0,-1248.0,0.0,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,0.0,65219.0,-65219.0,,,0.0,134500.0,,0.0,0.21,-0.21,,0.0,0.0,,,,,8717.0,,,-22665.0,,0.0,,0.0,4760.0,4760.0,2275.0,,,,,-80.0,,,,0.0,,80.0,142947.0,,19222.0,,0.0,,-20470.0,,-22665.0,,,,22665.0,,,,,80.0,,,,,0.001,10000000.0,0.0,0.0,0.0,80.0,722.0,,18500.0,722.0,,13948.0,,,-184867.0,,,0.0,,,,,722.0,-142867.0,,,,,,11000000.0,,,,,,,,,,,
2019-09-30,2019-11-06,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,6367.0,,31000.0,,,44.0,,,,44.0,44.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,142465.0,,0.0,,,,,,,,,,2423.0,,,-5921.0,,0.0,,0.0,,,-1358.0,,,,,80.0,,,,0.0,,44.0,148832.0,,7243.0,,0.0,,-7199.0,,-5921.0,,,,5921.0,,,,,,,,,,0.001,10000000.0,,,,,,,7965.0,-722.0,,3498.0,,,-190788.0,,,0.0,,,,,,-148788.0,,,,,,11000000.0,,,,,,,,,,,
2019-12-31,2020-02-14,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5573.0,,31000.0,,,1065.0,,,,1065.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,149445.0,,0.0,,,,,,,,,,2425.0,,,-5165.0,,0.0,,,,,,,,,,,,,,,,1065.0,155018.0,,,,,,,,-5165.0,,,,5165.0,,,,,,,,,,0.001,10000000.0,,,0.0,,,,,,,2740.0,,,-195953.0,,,,,,,,,-153953.0,,,,,,11000000.0,,,,,,,,,,,
2020-03-31,2020-05-05,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,7171.0,,31000.0,,,1557.0,,,,1557.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,152425.0,,0.0,,,,,,,,,,1736.0,,,-4086.0,,0.0,,,,,,,,,,,,,,,,1557.0,159596.0,,,,,,,,-4086.0,,,,4086.0,,,,,,,,,,0.001,10000000.0,,,0.0,,,,,,,2350.0,,,-200039.0,,,,,,,,,-158039.0,,,,,,11000000.0,,,,,,,,,,,
2020-06-30,2020-09-08,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,13320.0,13320.0,0.0,31000.0,,,1347.0,1347.0,,1347.0,1347.0,1347.0,1347.0,,0.0,0.001,300000000.0,44000000.0,44000000.0,,44000.0,0.0,44389.0,44389.0,,,,157405.0,,0.0,0.21,-0.21,0.8,0.0,0.0,,,,250000.0,12238.0,,,-26511.0,-26511.0,0.0,0.0,0.0,5567.0,-5567.0,5595.0,22905.0,,,,80.0,,,0.0,0.0,170725.0,1347.0,170725.0,,-722.0,,,,-2069.0,,-26511.0,,,,26511.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,,22905.0,-722.0,,14273.0,,0.0,-213378.0,,,0.0,,,,,0.0,-169378.0,,,,,,44000000.0,,,,,,,,,,,
2020-09-30,2020-10-28,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,7788.0,31000.0,,,,825.0,825.0,,,825.0,-522.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,167405.0,,0.0,,,,,,,,,,2512.0,,,-4990.0,-4990.0,0.0,0.0,0.0,,,-5532.0,,,,,0.0,,,0.0,0.0,,825.0,175193.0,,0.0,,,,-522.0,,-4990.0,,,,4990.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,0.0,0.0,,2478.0,,,-216368.0,,,0.0,,,,,,-174368.0,,,,,,44000000.0,,,,,-522.0,-5532.0,,,,,
2020-12-31,2021-01-29,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,6965.0,31000.0,,,,1949.0,1949.0,,,1949.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,172385.0,,0.0,,,,,,,,,,683.0,,,-3033.0,,0.0,,,,,,,,,,,,,,,,1949.0,179350.0,,,,,,,,-3033.0,,,,3033.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,2350.0,,,-219401.0,,,0.0,,,,,,-177401.0,,,,,,44000000.0,,,,,,,,0.0,,,
2021-03-31,2021-05-24,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,7595.0,31000.0,,,,0.0,0.0,,,0.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,173616.0,,0.0,,,,,,,,,,1460.0,,,-3810.0,,0.0,,,,,,,,,,,,,,,,0.0,181211.0,,,,,,,,-3810.0,,,,3810.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,2350.0,,,-223211.0,,,,,,,,,-181211.0,,,,,,11000000.0,,,,,,,,,,,
2021-06-30,2021-10-14,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,79110.0,,0.0,,,,0.0,0.0,,0.0,0.0,-1347.0,,,0.0,0.001,300000000.0,44000000.0,44000000.0,0.0,44000.0,0.0,68192.0,68192.0,,,,203615.0,,0.0,0.21,,,,,,,,,69253.0,,,-113347.0,-113347.0,0.0,0.0,,-23803.0,-23803.0,65790.0,46210.0,,,,0.0,,,0.0,,282725.0,0.0,282725.0,,0.0,,,,-1347.0,,-113347.0,,,,113347.0,325000.0,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,46210.0,0.0,,44094.0,,0.0,-326725.0,,,0.0,,,,,,-282725.0,,,,,,44000000.0,,,0.0,,,,,,,,
2021-09-30,2021-11-12,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,222740.0,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.001,300000000.0,44000000.0,44000000.0,,44000.0,,,,,,,595760.0,,-0.01,,,,,,,,,,6136.0,,-595575.0,-595775.0,-23327.0,0.0,0.0,0.0,,,-986.0,,,,,,,,0.0,0.0,878500.0,0.0,878500.0,,392145.0,,,,-392145.0,,-595775.0,,,,595775.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,392145.0,,,589639.0,,,-922500.0,,,0.0,,,,,,-878500.0,,,,,,44000000.0,,,60000.0,,0.0,143630.0,,,,,
2021-12-31,2022-02-22,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,135028.0,,649675.0,,,,1115065.0,1115065.0,,,1115065.0,,,,,0.001,300000000.0,44000000.0,44000000.0,1000000.0,44000.0,,,,,,,627420.0,,-0.01,,,,,,,,,,27740.0,,,-483883.0,,0.0,,,,,,,,,,,,,,,1827448.0,1115065.0,1827448.0,,,,,,,,-483883.0,,,,483883.0,,,,,,,,,,0.001,10000000.0,325000.0,325000.0,325.0,,,,,,,301763.0,,,-1406383.0,,,0.0,,,,,,-712383.0,,,,,,44000000.0,,,,,,,,154380.0,,,8350000.0
