end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrentAndNoncurrent,AccountsPayableInterestBearingInterestRate,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtInstrumentDecreaseForgiveness,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtraordinaryItemsGross,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPayable,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OtherExpenses,OtherExtraordinaryGainLoss,OtherMaterialNoncashItems,OtherOperatingIncomeExpenseNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,OtherTaxExpenseBenefit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributedCapital,ProceedsFromRelatedPartyDebt,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CurrentFederalTaxExpenseBenefit,EffectiveIncomeTaxRateContinuingOperations
2019-03-31,2019-05-15,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,213902.0,0.1,,,1350000.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,57336.0,,-0.03,-0.03,,,0.0,,53699.0,21010.0,,21010.0,0.0,,371310.0,,2449507.0,0.0,2449507.0,,3637.0,0.0,-3637.0,-78346.0,,,514295.0,57336.0,,,,,-21010.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,3637.0,0.1,-2575209.0,0.0,-2449507.0,-2449507.0,,,,,2458590.0,2458590.0,,
2019-06-30,2019-08-14,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,209039.0,0.1,,,1386690.0,125456.0,0.0,0.0,0.0,0.0,,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,49231.0,,-0.03,-0.03,,,,,,,,22071.0,,,393381.0,,2520810.0,0.0,2520810.0,,,,,-71302.0,,,531700.0,49231.0,,,,,-22071.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-2646512.0,0.0,-2520810.0,-2520810.0,,,,,2458590.0,2458590.0,,
2019-09-30,2019-11-14,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,246730.0,0.1,,,1420913.0,125456.0,0.0,0.0,0.0,0.0,,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,73054.0,,-0.04,-0.04,,,,,,,,23086.0,,,416466.0,,2616949.0,0.0,2616949.0,,,,,-96140.0,,,532840.0,73054.0,,,,,-23086.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-2742651.0,0.0,-2616949.0,-2616950.0,,,,,2458590.0,2458590.0,,
2019-12-31,2020-03-30,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,321605.0,0.1,,,1440000.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,0.0,230910.0,488894.0,719804.0,,,,,,304804.0,,-0.16,-0.16,,-102665.0,0.0,0.0,251402.0,90062.0,,90062.0,0.0,,440362.0,,2766027.0,0.0,2766027.0,,53402.0,0.0,-53402.0,-394866.0,,,564060.0,304804.0,888100.0,,,,-90062.0,,53775.0,0.0001,10000000.0,0.0,0.0,0.0,,,,53402.0,,-2891729.0,0.0,-2766027.0,-2766027.0,,,48890.0,,2458590.0,2458590.0,,
2020-03-31,2020-05-11,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,342930.0,0.1,,,1473462.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,65408.0,,-0.04,-0.04,,,0.0,,54787.0,24770.0,,24770.0,0.0,,465132.0,,2856205.0,0.0,2856205.0,,10621.0,0.0,-10621.0,-90178.0,,,574681.0,65408.0,,,,,-24770.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,10621.0,0.1,-2981907.0,0.0,-2856205.0,-2856205.0,,,,,2458590.0,2458590.0,,
2020-06-30,2020-08-10,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,379040.0,0.1,,,1506858.0,125456.0,0.0,0.0,0.0,0.0,,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,69506.0,,-0.04,-0.04,,,,,,,,25639.0,,,490771.0,,2951350.0,0.0,2951350.0,,,,,-95145.0,,,574681.0,69506.0,,,,,-25639.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-3077052.0,0.0,-2951350.0,-2951350.0,,,,,2458590.0,2458590.0,,
2020-09-30,2020-11-09,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,383726.0,0.1,,,1530000.0,125456.0,0.0,0.0,0.0,0.0,,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,48213.0,,-0.03,-0.03,,,,,,,,26281.0,,,517052.0,,3025844.0,0.0,3025844.0,,,,,-74494.0,,,595066.0,48213.0,,,,,-26281.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-3151546.0,0.0,-3025844.0,-3025844.0,,,,,2458590.0,2458590.0,,
2020-12-31,2021-03-31,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,381377.0,0.1,,,1563246.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,0.0,206833.0,442686.0,649519.0,,,,,,220052.0,,-0.13,-0.13,,-68139.0,0.0,0.0,183018.0,104419.0,,104419.0,0.0,,544781.0,,3090498.0,0.0,3090498.0,,37034.0,0.0,-37034.0,-324471.0,,,601094.0,220052.0,984900.0,,,,-104419.0,,47810.0,0.0001,10000000.0,0.0,0.0,0.0,,,,37034.0,,-3216200.0,0.0,-3090498.0,-3090498.0,,,-20329.0,,2458590.0,2458590.0,-68139.0,
2021-03-31,2021-05-17,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,406056.0,0.1,,,1596699.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,59517.0,,-0.04,-0.04,,,0.0,,58132.0,27944.0,,27944.0,0.0,,572725.0,,3177959.0,0.0,3177959.0,,1385.0,0.0,-1385.0,-87461.0,,,602479.0,59517.0,,,,,-27944.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,1385.0,0.1,-3303661.0,0.0,-3177959.0,-3177959.0,,,,,2458590.0,2458590.0,,
2021-06-30,2021-08-16,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,409794.0,0.1,,,1629945.0,125456.0,,,,,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,36984.0,,-0.03,,,,,,,,,28978.0,,,601703.0,,3243921.0,,3243921.0,,,,,-65962.0,,,602479.0,36984.0,,,,,-28978.0,,,0.0001,10000000.0,0.0,0.0,,,,,,,-3369623.0,,-3243921.0,,,,,,2458590.0,,,
2021-09-30,2021-11-22,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,412044.0,0.1,,,1663191.0,125456.0,,,,,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,36746.0,,-0.03,,,,,,,,,30027.0,,,631730.0,,3310694.0,,3310694.0,,,,,-66773.0,,,603729.0,36746.0,,,,,-30027.0,,,0.0001,10000000.0,0.0,0.0,,,,,,,-3436396.0,,-3310694.0,,,,,,2458590.0,,,
2021-12-31,2022-03-17,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,416236.0,0.1,,,1683339.0,125456.0,,,,,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,217504.0,492677.0,710181.0,,,,,,170907.0,,-0.12,-0.12,,,,,154952.0,117961.0,,117961.0,,,662742.0,,3379366.0,,3379366.0,,15955.0,,-272913.0,-288868.0,,,617049.0,170907.0,1035700.0,,,,-117961.0,,49991.0,0.0001,10000000.0,0.0,0.0,,,,,15955.0,,-3505068.0,,-3379366.0,,,,-10671.0,,2458590.0,2458590.0,-60662.0,0.26
