end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableTradeCurrent,AccountsReceivableFromSecuritization,AccruedPayrollTaxesCurrent,AccruedSalariesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionCostOfAcquiredEntityEquityInterestsIssuedAndIssuable,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,CapitalLeasesOfLesseeContingentRentalsBasisSpreadOnVariableRate,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConversionOfStockSharesConverted1,DebtAndCapitalLeaseObligations,DebtInstrumentInterestRateIncreaseDecrease,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsCommonStockCash,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,EmployeeRelatedLiabilitiesCurrent,EquityMethodInvestmentOwnershipPercentage,FederalDepositInsuranceCorporationPremiumExpense,FinanceLeaseRightOfUseAsset,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitIntraperiodTaxAllocation,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseOther,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestExpenseDebt,InterestIncomeExpenseAfterProvisionForLoanLoss,InterestPaid,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtAndCapitalLeaseObligations,LongTermDebtAndCapitalLeaseObligationsCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayableCurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,OtherGeneralAndAdministrativeExpense,PaymentsForRent,PaymentsOfCapitalDistribution,PreferredStockParOrStatedValuePerShare,PreferredStockRedemptionAmount,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLeasePayments,ProceedsFromNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,RentalProperties,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueEmployeeBenefitPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TemporaryEquitySharesIssued,TemporaryEquitySharesSubscribedButUnissuedSubscriptionsReceivable,TreasuryStockShares,TreasuryStockValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-06-30,2012-08-20,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6043317.0,,4848242.0,240951.0,4607291.0,,,,215951.0,215951.0,,,,0.001,100000000.0,8803400.0,8803400.0,40.0,8803.0,-142422.0,,,,25300.0,28560.0,70300.0,,,2740031.0,,-0.02,,,,,649683.0,,,,0.0,4007249.0,,,-142422.0,,,,,,,,,,,,,,,,,,,,22500.0,,4848242.0,1531113.0,,,,,,,-142422.0,,,,19500.0,142222.0,-142222.0,,,,,,,,,,,720072.0,,100222.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,25000.0,,,,,,,,-142422.0,600042.0,,,,,,,,,,,,,3317129.0,,,,,,,,,,,,8329288.0
2012-09-30,2012-11-15,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6056727.0,,4804037.0,196746.0,4607291.0,,,,158246.0,158246.0,,,,0.001,100000000.0,8803400.0,8803400.0,40.0,8893.0,-115743.0,,,,65540.0,48300.0,112840.0,,,2855774.0,,-0.01,,,,,672183.0,,,,0.0,4007249.0,,,-115743.0,,,,,,,,,,,,,,,,,,,,31500.0,,4804037.0,1589151.0,,,,,,,-115743.0,,,,22500.0,115743.0,-115743.0,,,,,,,,,,,755610.0,,61743.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,,,,,,,-115743.0,600042.0,,,,,,,,,,,,,3214886.0,,,,,,,,,,,,8832059.0
2012-12-31,2013-04-01,10-K,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6056727.0,,4753164.0,145873.0,4607291.0,,,,107373.0,107373.0,84866.0,,,0.001,100000000.0,8893400.0,8893400.0,40.0,8893.0,-431032.0,,,,356000.0,505000.0,861000.0,,,2964397.0,,-0.05,,0.34,,,694683.0,,,,0.0,4007249.0,,,-431032.0,,,,,,-146500.0,76500.0,,,,,-6800.0,90000.0,115788.0,13500.0,,0.0,,,100500.0,,4753164.0,1646901.0,,,,303280.0,,-218414.0,-431032.0,,,,90000.0,431032.0,-431032.0,,,,,,,,,,36400.0,790860.0,,240532.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,303280.0,,,,,,,600042.0,,,,,,,,,,,,3106263.0,,,,,,,,,,,,62000.0,8202311.0
2013-03-31,2013-05-15,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6061762.0,,4709251.0,101960.0,4607291.0,,,,63460.0,63460.0,-43913.0,,,0.001,100000000.0,8928400.0,8928400.0,0.0,8897.0,-106663.0,,,,18100.0,17900.0,36000.0,,,3071059.0,,-0.01,,0.34,,,717183.0,,,,0.0,4007249.0,,,-106663.0,,,,,,-36000.0,17900.0,,18100.0,,,,22500.0,35250.0,,,,,,30000.0,,4709251.0,1704651.0,,,,5000.0,,-48913.0,-106663.0,,,,22500.0,106663.0,-106663.0,,,,,,,,,,,826110.0,,54163.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,5000.0,,,,,,,600042.0,,,,,,,,,,,,3004600.0,,,,,,,,,,,,36000.0,8912844.0
2013-06-30,2013-08-13,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6076620.0,,4689146.0,81855.0,4607291.0,,,,43355.0,43355.0,,,,0.001,100000000.0,8803400.0,8803400.0,,8999.0,-92855.0,,,,32040.0,35700.0,67740.0,,,3163875.0,,-0.01,,,,,739683.0,,,,0.0,4007249.0,,,-92855.0,,,,,,,,,,,,,,,,,,,,30000.0,,4689146.0,1762402.0,,,,,,,-92855.0,,,,22500.0,92855.0,-92855.0,,,,,,,,,,,861361.0,,40355.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,,,,,,,,600042.0,,,,,,,,,,,,2926744.0,,,,,,,,,,,,,8939565.0
2013-09-30,2013-11-15,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6094046.0,,4671914.0,64623.0,4607291.0,,,,26123.0,26123.0,,,,0.001,100000000.0,9147300.0,9147300.0,,9147.0,-92556.0,,,,45750.0,53550.0,99300.0,,,3256431.0,,-0.01,,,,,762184.0,,,,0.0,4007249.0,,,-92556.0,,,,,,,,,,,,,,,,,,,,30000.0,,4671914.0,1820152.0,,,,,,,-92556.0,,,,22500.0,92556.0,-92556.0,,,,,,,,,,,896610.0,,40056.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,,,,,,,,600042.0,,,,,,,,,,,,2851762.0,,,,,,,,,,,,,9087815.0
2013-12-31,2014-03-28,10-K,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6116440.0,,4665335.0,58044.0,4607291.0,,,,19544.0,19544.0,-87829.0,,,0.001,100000000.0,8893400.0,8893400.0,,9295.0,-389905.0,,,,565500.0,575000.0,1140500.0,,,3354301.0,,-0.04,,0.34,,,784683.0,,,,0.0,4007249.0,,,-389905.0,,,,,,-132600.0,70000.0,,62600.0,,,,90000.0,152000.0,,,0.0,,,131000.0,,4665335.0,1888901.0,,,,60076.0,,-147905.0,-389905.0,,,,90000.0,389905.0,-389905.0,,,,,,,,,,33800.0,942860.0,,168905.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,60076.0,,,,,,,600042.0,,,,,,,,,,,,2776434.0,,,,,,,,,,,,280000.0,9035008.0
2014-03-31,2014-05-12,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6194050.0,,4704311.0,97020.0,4607291.0,,,,,58520.0,38975.0,,,0.001,100000000.0,9863585.0,9863585.0,,9865.0,-93205.0,,,,18100.0,15500.0,32000.0,,,3447505.0,,-0.01,,0.34,,,807183.0,,,,0.0,4007249.0,,,-93205.0,,,,,,-32000.0,16500.0,,15500.0,,,,22500.0,31500.0,,,,,,25500.0,,4704311.0,1942901.0,,,,78180.0,,-39205.0,-93205.0,,,,22500.0,93205.0,-93205.0,,,,,,,,,,,974360.0,,45205.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,78180.0,,,,,,,,,,,,,,,,,,,2761410.0,,,,,,,,,,,,32000.0,9498447.0
2014-06-30,2014-08-07,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6194050.0,,4678665.0,71374.0,4607291.0,,,,,32874.0,,,,0.001,100000000.0,9863585.0,9863585.0,,9865.0,-88146.0,,,,26129.0,35530.0,61659.0,,,3535651.0,,-0.01,,,,,829683.0,,,,0.0,4007249.0,,,-88146.0,,,,,,,,,,,,,,,,,,,,34000.0,,4678665.0,2005401.0,,,,,,,-88146.0,,,,22500.0,88146.0,-88146.0,,,,,,,,,,,1014360.0,,31646.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,,,,,,,,,,,,,,,,,,,,2673264.0,,,,,,,,,,,,,9294030.0
2014-09-30,2014-11-19,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,161358.0,,,,,6224998.0,,4682692.0,75401.0,4607291.0,,,,,36901.0,,,,0.001,100000000.0,10066285.0,10066285.0,,10068.0,-87373.0,,,,37136.0,54230.0,91366.0,,,3623025.0,,-0.01,,,,,852183.0,,,,0.0,4007249.0,,,-87373.0,,,,,,,,,,,,,,,,,,,,32500.0,,4682692.0,2065651.0,,,,,,,-87373.0,,,,22500.0,87373.0,-87373.0,,,,,,,,,,,1052110.0,,32373.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,,,,,,,,,,,,,,,,,,,,2617041.0,,,,,,,,,,,,31000.0,9881353.0
2014-12-31,2015-03-30,10-K,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,158858.0,,,,,6271865.0,,4694082.0,86791.0,4607291.0,,,,,48291.0,25747.0,,,0.001,100000000.0,9294030.0,9294030.0,,10404.0,-361787.0,,,,613330.0,650140.0,1263470.0,,,3716088.0,,-0.03,,0.34,,,874683.0,,,,0.0,4007249.0,,,-361787.0,,,,,,-124093.0,75140.0,,48953.0,,,-2500.0,90000.0,146000.0,,,,,,128000.0,,4694082.0,2122901.0,,,,154034.0,,-128287.0,-361787.0,,,,90000.0,361787.0,-361787.0,,,,,,,,,,,1089360.0,,143787.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,38500.0,,154034.0,,,,,,,,,,,,,,,,,,,2571181.0,,,,,,,,,,,,123000.0,10402145.0
