end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedAmortizationOfOtherDeferredCosts,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockSharesConverted1,ConvertibleNotesPayableCurrent,ConvertiblePreferredStockConvertedToOtherSecurities,ConvertiblePreferredStockSharesIssued,CostOfRevenue,DebtConversionOriginalDebtAmount1,DebtDefaultLongtermDebtAmount,DebtDefaultShorttermDebtAmount,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationExpense,DerivativeLiabilitiesCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtraordinaryItemsGross,FairValueAdjustmentOfWarrants,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,FairValueOptionChangesInFairValueGainLoss1,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionLossBeforeTax,GainLossOnDerivativeInstrumentsNetPretax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxContingencies,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsGrossExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,IntangibleAssetsNetIncludingGoodwill,InterestExpense,InterestExpenseShortTermBorrowings,InterestIncomeExpenseNet,InterestOnConvertibleDebtNetOfTax,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesAssumed1,NotesPayableCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherCommitment,OtherIntangibleAssetsNet,OtherNoncashIncome,OtherNonoperatingIncomeExpense,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToSuppliers,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromSaleOfOtherAssets1,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentsOfDebt,RepaymentsOfOtherDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,SharesIssued,StockConvertedFromOneClassToAnotherClassShares,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2015-03-31,2015-11-16,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,21025.0,,,,,112782.0,,,,,,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,,,,,,,,,,,,,,,21469.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2410.0,,,,,,,,,,15.0,15.0,,,,,,43731.0,,43731.0,1237.0,,,,,-2425.0,,,,2410.0,-2410.0,,,,,,-15.0,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,-167591.0,,,2410.0,,,,-43731.0,,,,,,11077750.0,
2015-06-30,2015-11-16,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,68225.0,,,,,112782.0,,,,,,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,,,,,,,,,,,,,,,21469.0,0.0,0.0,0.0,,,,,3152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10516.0,,,,,,,90947.0,,90947.0,1253.0,,,,,-54564.0,,,,47200.0,-47200.0,,,22500.0,,,-7364.0,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,-214807.0,,,47200.0,,,,-90947.0,,,,,11077750.0,11077750.0,11077750.0
2015-09-30,2015-12-02,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,71775.0,,,,,112782.0,,,2051.0,2051.0,,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,,,,,,,,,,,,,,,33169.0,-0.01,0.0,-0.01,,,,,-93671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15766.0,,,,,,,106213.0,2051.0,106213.0,1269.0,,,,,-128636.0,,,,19199.0,-19199.0,,,,,,-109437.0,,,,0.001,10000000.0,,,,2051.0,,,,,,,,,,,,,,,,,-228022.0,,,19199.0,,,,-104162.0,,,,,11077750.0,11077750.0,11077750.0
2015-12-31,2016-11-08,10-K,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,71365.0,,,,,126916.0,31500.0,,2051.0,2051.0,0.0,,0.001,140000000.0,11626857.0,11626857.0,11627.0,,26855.0,,,,7000.0,,,,24500.0,0.014,,,96507.0,,,,,,20225.0,,21319.0,,-0.01,,,,,,4203.0,4203.0,,,,,,7072.0,,,,,,,,,-96507.0,,79198.0,,,10031.0,,,-2051.0,,,,34529.0,,,31500.0,,63.0,2355.0,143149.0,2051.0,143149.0,3385.0,,,,,-114475.0,2100.0,,,84149.0,-84149.0,279641.0,,,,31500.0,-30326.0,,,,0.001,10000000.0,,,,2051.0,,,,,,,,,,,,,,,,,-279641.0,,,84149.0,,,,-141098.0,549107.0,7611.0,,,,11121378.0,
2016-03-31,2017-06-06,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,69190.0,,,,,126916.0,,,,,,,0.001,140000000.0,11626857.0,11626857.0,11627.0,,27344.0,,,,,,,,,,,,,,,,,,60278.0,,25294.0,,0.0,,,,,,-40053.0,,,,,,,,,,,,,,,,,,2305.0,,,,,,-2051.0,,,,505.0,,,,,,,185507.0,,185507.0,3401.0,,,,,-44409.0,,,,3851.0,-3851.0,,,,,,-40558.0,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,-324050.0,,,3851.0,,,,-185507.0,,,,,,11626857.0,
2016-06-30,2017-06-06,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,60050.0,,,,,126916.0,,,,,,,0.001,140000000.0,11626857.0,11626857.0,11627.0,,27832.0,,,,,,,,,,,,,,,,,,28696.0,,40734.0,0.0,0.0,0.0,,,,,31582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.0,,,,,,,160729.0,,160729.0,3417.0,,,,,24777.0,,,,6300.0,-6300.0,,,,,,31077.0,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,-299272.0,,,6300.0,,,,-160729.0,,,,,14576887.0,,11626857.0
2016-09-30,2017-06-06,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,60900.0,,,,,126916.0,,,,,,,0.001,140000000.0,11626857.0,11626857.0,11627.0,,28326.0,,,,,,,,,,,,,,,,,,20260.0,,41234.0,0.0,0.0,0.0,,,,,8436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,,,,,,,154154.0,,154154.0,3434.0,,,,,6576.0,,,,1350.0,-1350.0,,,,,,7926.0,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,-292697.0,,,1350.0,,,,-154154.0,,,,,13843049.0,,11626857.0
2016-12-31,2017-07-31,10-K,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,63750.0,,,,,126916.0,,,0.0,,0.0,0.0,0.001,140000000.0,11626857.0,11626857.0,11627.0,,28821.0,,,,,,,,24500.0,,,,103080.0,,,,,,23347.0,,45264.0,,0.0,,,,,3122.0,3122.0,,,,,26085.0,-3122.0,,18381.0,,,,,0.0,,,-103080.0,,18361.0,,,,,,-2051.0,,,,2031.0,,,,0.0,188.0,4321.0,164632.0,0.0,164632.0,3450.0,0.0,,,0.0,-23534.0,,,45264.0,18381.0,-18381.0,-303175.0,,,,,-5153.0,,,,0.001,10000000.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,-303175.0,0.0,,18381.0,,,,-164632.0,,0.0,,,,11626857.0,
2017-03-31,2017-10-18,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,60250.0,,,,,133456.0,,,,,0.0,0.0,0.001,140000000.0,12199333.0,12199333.0,12199.0,,26466.0,,,,,31500.0,,,22500.0,,0.24,,,,,,,,30641.0,,66064.0,,0.0,,,-4278.0,4278.0,11572.0,3122.0,,,,,,-11572.0,,17300.0,,,,,0.0,,,,,17796.0,,,,,,0.0,,,,496.0,,,,0.0,17.0,3966.0,186888.0,,186888.0,3467.0,0.0,,,0.0,-29368.0,,,,17300.0,-17300.0,,,,,,-12068.0,,,,0.001,10000000.0,,,,,,,,,,,,0.0,,,,,,,0.0,,-332543.0,0.0,,17300.0,,,,-186888.0,,2834.0,,,,11696826.0,
2017-06-30,2017-10-18,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,72216.0,,,,,169757.0,,,,,0.0,,0.001,140000000.0,14111631.0,14111631.0,14111.0,,22946.0,,,,,31500.0,,,19815.0,,0.24,,,,,,,,29548.0,,99264.0,,-0.01,,,,,,-33159.0,,,,,,-33159.0,,45165.0,,,,,,,,,,,,,,,,,,,,459.0,,,,,34.0,3132.0,227458.0,,227458.0,3484.0,,,,,-78783.0,,,,45165.0,-45165.0,,,,,,-33618.0,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,-411326.0,0.0,,45165.0,,,,-227458.0,,,,,12507595.0,12507595.0,12507595.0
2017-09-30,2017-11-14,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,57565.0,,,,,194547.0,,,,,0.0,,0.001,140000000.0,20819457.0,20819457.0,20819.0,,12643.0,,,,,31500.0,,,12643.0,,,,,,,,,,21771.0,,142779.0,,0.0,,,,,,-13158.0,,,,,,-13158.0,,28865.0,,,,,,,,,,,,,,,,,,,,276.0,,,,,,,238259.0,,238259.0,3501.0,,,,,-42299.0,,,,28865.0,-28865.0,,,,,,-13434.0,,,,0.001,10000000.0,,,,,,,,,,,,,,,,,,,,,-453625.0,0.0,,28865.0,,,,-238259.0,,,,,17069714.0,17069714.0,17069714.0
2017-12-31,2019-04-15,10-K,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,70282.0,22500.0,,,,471595.0,,,42101.0,,0.0,0.0,0.001,140000000.0,29890066.0,29890066.0,29890.0,,0.0,,,,24500.0,31500.0,,,0.0,,,31500.0,,,,,,,0.0,,,,-0.02,,0.34,96692.0,,102227.0,82872.0,,,,,26085.0,-102226.0,,158477.0,,,,0.0,0.0,194744.0,,-194744.0,,15429.0,,,,,,42100.0,,,,8897.0,,,,0.0,,0.0,,42101.0,111301.0,3519.0,194044.0,,,-194044.0,-269600.0,,,37500.0,158477.0,-158477.0,572775.0,,22500.0,,,-111123.0,,,,0.001,10000000.0,2090000.0,2090000.0,2090.0,,42101.0,,,515000.0,,201808.0,,135015.0,,,,,,,142779.0,,-572775.0,0.0,,,,,,-69200.0,18263209.0,37648.0,,,,16721721.0,
2018-03-31,2019-05-09,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,71491.0,,,,,471595.0,,,0.0,,0.0,0.0,0.001,140000000.0,29890066.0,29890066.0,29890.0,,,,,,,31500.0,,,,,,31500.0,,,,,,,,,,,0.0,,,4278.0,,0.0,0.0,,,,,,0.0,,11617.0,,,,,0.0,,,,,1226.0,,,,,,-42101.0,,,,17.0,,,,0.0,,,,0.0,80834.0,3536.0,-31693.0,,,31693.0,-11634.0,,,5807.0,11617.0,-11617.0,,,,,,-17.0,,,,0.001,10000000.0,2090000.0,2090000.0,2090.0,,0.0,,,515000.0,,,,10408.0,,,,,,,42101.0,,-584409.0,0.0,,,2.73,,,-80834.0,572476.0,0.0,,,,29890066.0,
2018-06-30,2019-05-09,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,79158.0,,,,,471595.0,,,0.0,,0.0,,0.001,140000000.0,29890066.0,29890066.0,29890.0,,,,,,,31500.0,,,,,,31500.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,7667.0,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,0.0,88518.0,3553.0,,,,,-7685.0,,,5807.0,7667.0,-7667.0,,,,,,-18.0,,,,0.001,10000000.0,2090000.0,2090000.0,2090.0,,0.0,,,,,,,,,,,,,,,,-592093.0,0.0,,,,,,-88519.0,,,,,,29890066.0,
