end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountIssued1,ConversionOfStockSharesIssued1,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,ConvertiblePreferredDividendsNetOfTax,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseDecreaseOtherNet,DebtInstrumentInterestRateStatedPercentage,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,DeferredTaxAssetsValuationAllowance,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DerivativeLiabilitiesNoncurrent,DilutiveSecurities,DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,Dividends,DividendsPayableCurrent,DividendsPayableCurrentAndNoncurrent,DividendsPreferredStock,DividendsPreferredStockCash,DividendsPreferredStockStock,DueFromRelatedPartiesCurrent,DueFromRelatedPartiesNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,EmployeeRelatedLiabilitiesCurrentAndNoncurrent,ExtraordinaryItemGainOrLossNetOfTaxAttributableToNoncontrollingInterest,GainLossOnDispositionOfIntangibleAssets,GainLossOnInvestments,GainLossOnSaleOfOtherAssets,GainLossOnSalesOfLoansNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GoodwillAndIntangibleAssetImpairment,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IntangibleAssetsCurrent,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPaidCapitalized,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,MarketableSecuritiesUnrealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayable,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrentAndNoncurrent,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherExpenses,OtherLoansPayable,OtherNotesPayable,OtherOperatingIncome,OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireOtherProductiveAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfIntangibleAssets,ProceedsFromStockOptionsExercised,ProfitLoss,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfConvertibleDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueVested,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TreasuryStockAcquiredAverageCostPerShare,TreasuryStockShares,TreasuryStockValue,UnrealizedGainLossOnInvestments,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DebtConversionConvertedInstrumentRate,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare
2012-06-30,2012-08-20,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1688241.0,,,,1037006.0,,,,7085809.0,,,,3049811.0,42311.0,28924.0,,,,,,0.001,200000000.0,92264007.0,,88237.0,,,,220000.0,67096.0,,,,,,0.33,,,,,,,,,,,,,,,26826.0,,26110.0,,-26826.0,,,,,-0.01,,,,,,,,,,,,,,411254.0,,,,,,,,,,,,,,,,,,3007500.0,,-243766.0,,,,,,3333217.0,3049811.0,3333217.0,,68000.0,,,,,,-749978.0,,,506212.0,-506212.0,,,-243766.0,,,,,,,,,,13387.0,,,,,,,,,,,,,,,94958.0,-7662003.0,,,-283406.0,,,,,,4428360.0,4428.0,,,,,,,,
2012-09-30,2013-01-15,10-K,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1655052.0,,,,1132840.0,,130450.0,,7274799.0,,63903.0,,3095913.0,88413.0,34074.0,,,,,29678.0,0.001,200000000.0,93836324.0,89407964.0,93836.0,,,,,,,,,,,,,2348856.0,,2904101.0,,,5900000.0,,-2904101.0,,,,,,108134.0,,,-108134.0,-108134.0,,,,,-0.04,-0.34,,,,-0.06,,569412.0,,,,,,,1394122.0,,,,,,,,915725.0,,,320141.0,,,,,,66291.0,3007500.0,,-787719.0,,,2019.0,,,3550395.0,3095913.0,3550395.0,,10000.0,,1088607.0,,-1058929.0,-3146658.0,-3146658.0,,42160.0,2358939.0,-2358939.0,2219.0,,-787719.0,,,,,,,,,,54339.0,1105690.0,,,,,,,,,,,,10000.0,,964817.0,-8187901.0,,,-454482.0,,,,,,4428360.0,,,,,,,,,
2012-12-31,2013-02-14,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1666030.0,,,,1276068.0,,,,7931404.0,,3349.0,,3086001.0,78501.0,38982.0,,,,,4908.0,0.001,200000000.0,104423324.0,99994964.0,104424.0,,,,,,,,,,,,,,,,,,,,,,33924.0,,,,11695.0,,,,-11695.0,,,,,-0.01,,,,,,,,,,,,,,307226.0,,,,,,,,10978.0,,,156291.0,,,,,,14820.0,3007500.0,,-249129.0,,,428.0,,,3555819.0,3086001.0,3555819.0,,10000.0,,140748.0,,-135840.0,,-557065.0,,32908.0,307226.0,-307226.0,,,-249839.0,,,,,,,,,,39519.0,150000.0,,,,,,,,,,,,,,,-8744966.0,,,-469818.0,,,,,,4428360.0,,,,,,,,,
2013-03-31,2013-05-20,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1680385.0,,,,1334423.0,,,,8171870.0,,,,3056687.0,49187.0,24487.0,,,,,,0.001,200000000.0,107553324.0,103124964.0,107554.0,,,,,,,,,,,,,,,,,,,,,,,65661.0,,,23002.0,,,,-11307.0,,,,,0.0,,,,,,,,,,,,,,176613.0,,,,,,,,,,,,,,,,,,3007500.0,,-106940.0,,,,,,3647788.0,3056687.0,3582127.0,,10000.0,,,,,,-286139.0,,18843.0,176613.0,-176613.0,,,-109526.0,,,,,,,,,,24700.0,,,,,,,,,,,,,,,,-9031105.0,,,-591101.0,,,,,,4428360.0,,,,,,,,,
2013-06-30,2013-08-19,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1417470.0,,,,1365208.0,,,,8396906.0,,,,3063614.0,56114.0,46234.0,,,,,,0.001,200000000.0,112531009.0,108102649.0,112533.0,,,,,,,,,,,,,,,,,,,,,-559413.0,,854869.0,,,11307.0,,,,-11501.0,,,,,-0.01,,,,,,,,,,,,,,166095.0,,,,,,,,,,,,,,,,,,3007500.0,,-210087.0,,,,,,4211564.0,3063614.0,3356695.0,,10000.0,,,,,,-935595.0,,,166095.0,-166095.0,,,-769500.0,,,,,,,,,,9880.0,,,,,,,,,,,,,,,,,,,-1147950.0,,,,,,4428360.0,,,,,,,,,
2013-09-30,2014-01-14,10-K,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1392481.0,,,,1475002.0,,166802.0,,8501390.0,,170053.0,,96335.0,88835.0,22500.0,22500.0,,,,-11574.0,0.001,200000000.0,120159000.0,115730649.0,120160.0,,,,,264417.0,,,,,,,,2698087.0,1200000.0,4649584.0,,,7100000.0,,4649584.0,140369.0,,438779.0,,,,,,-46198.0,46198.0,,,,,-0.05,-0.34,,,,-0.06,,792907.0,,,,,,,917763.0,3000000.0,3000000.0,-4904812.0,-0.05,-0.05,,,31129.0,,,293481.0,,,,,,45896.0,7500.0,,-766680.0,,,1664.0,,,4236073.0,96335.0,4236073.0,,10000.0,,673568.0,,-685142.0,-4904812.0,-4904812.0,,52220.0,3997763.0,-3997763.0,,,-907049.0,,52220.0,,,,,,,,66335.0,715000.0,,,,,,,,,,,,,,80000.0,-13092713.0,,,-4139738.0,,,89370.0,,,4428360.0,,,,109139729.0,,109139729.0,,,
2013-12-31,2014-02-19,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1367636.0,,,,1593620.0,,,,8671606.0,,79863.0,,98953.0,91453.0,43209.0,,,,,20709.0,0.001,200000000.0,124037760.0,119609400.0,124040.0,-47489.0,,,,318689.0,,,,,,,,,,,,,,,,-195729.0,,130253.0,,,,,,,17845.0,,,,,0.0,,,,,,,,,,,,,,171714.0,,,-47489.0,0.0,0.0,,,-24845.0,,,119171.0,,,,,,18091.0,7500.0,,-43948.0,,,1683.0,,,4002872.0,98953.0,4002872.0,,10000.0,,81694.0,,-60985.0,-47489.0,-47489.0,,29274.0,199270.0,-199270.0,,,151781.0,,,,,,,,,,48244.0,75000.0,,,,,,,,,,,,,,,-13140202.0,27556.0,,-3903919.0,,,,,,4428360.0,,,,124645668.0,,124645668.0,,,
2014-03-31,2014-05-20,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1511988.0,,,,1686774.0,,,,8854244.0,,,,40892.0,33392.0,3239.0,,,,,,0.001,200000000.0,130272541.0,125844181.0,130275.0,-343268.0,,,,308365.0,,,,,,,,,,,,,,,,-30995.0,,90452.0,,,,,,,17458.0,,,,,0.0,,,,,,,,,,,,,,288230.0,,,-343268.0,0.0,0.0,,,,,,,,,,,,,7500.0,,-86033.0,,,,,,4192825.0,40892.0,4192825.0,,10000.0,,,,,-343268.0,-343268.0,,17644.0,288230.0,288230.0,,,-55038.0,,,,,,,,,,30153.0,,,,,,,,,,,,,,,,-13483470.0,0.0,,-4151933.0,,,,,,4428360.0,,,,131213492.0,,131213492.0,,,
2014-06-30,2014-08-19,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1397997.0,,,,1857490.0,,,,8883873.0,,,,19921.0,12421.0,360.0,,,,,,0.001,200000000.0,133598152.0,129169792.0,133601.0,-308864.0,,,,305239.0,,,,,,,,,,,,,,,,143763.0,,212213.0,,,,,,,17652.0,,,,,0.0,,,,,,,,,,,,,,88547.0,,,-308864.0,0.0,0.0,,,,,,,,,,,,,7500.0,,-76554.0,,,,,,4370281.0,19921.0,4370281.0,,10000.0,,,,,-308864.0,-308864.0,,,88547.0,-88547.0,,,-220317.0,,,,,,,,,,12061.0,,,,,,,,,,,,,,,,-13792334.0,,,-4350360.0,,,,,,4428360.0,,,,136432523.0,,136432523.0,,,
2014-09-30,2015-01-13,10-K,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1393605.0,,,,1740090.0,,216472.0,,8897799.0,27556.0,155576.0,,2886454.0,2878954.0,492.0,492.0,,,,-22008.0,0.001,200000000.0,139598152.0,135169792.0,139601.0,,,960000.0,,295617.0,,2440000.0,,,,,-2829000.0,2850535.0,1200000.0,4945712.0,2829000.0,2829000.0,4200000.0,,2116712.0,-269396.0,,5164.0,44250000.0,14209256.0,,251242.0,,-70800.0,70800.0,,,,,,-0.34,,,,-0.06,,1163389.0,2069322.0,,,,,,698339.0,,3000000.0,-688878.0,0.02,0.01,-2829000.0,,1124.0,,,420151.0,,,,,,68486.0,7500.0,,-232379.0,,,4453.0,,640.0,4403148.0,2886454.0,4403148.0,,10000.0,,189837.0,,-211845.0,2140122.0,,,,725895.0,-725895.0,,,37017.0,,51613.0,,,,,,,,49462.0,100000.0,,,,,,-2090.0,,,,,,,,,-10952591.0,27556.0,,-1516694.0,,,35851.0,,,4428360.0,,,,191425784.0,,132966528.0,,,
