end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayable,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToAffiliateCurrent,DueToRelatedParties,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,ExplorationCosts,ExplorationExpense,ExplorationExpenseMining,FinitelivedIntangibleAssetsAcquired1,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfProperties,GainLossOnSaleOfUnprovedProperty,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRecourseDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InvestmentIncomeInterest,InvestmentIncomeNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicenseCosts,LoansAssumed1,LongTermNotesPayable,ManagementFeeExpense,MarketableSecuritiesCurrent,MarketableSecuritiesGainLoss,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MineralPropertiesNet,MinorityInterestOwnershipPercentageByParent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,NonoperatingIncomeExpense,NotesAssumed1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherComprehensiveIncomeLossBeforeTaxPeriodIncreaseDecrease,OtherNonoperatingIncomeExpense,OtherSellingGeneralAndAdministrativeExpense,PaidInKindInterest,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleOfOilAndGasPropertyAndEquipment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RetailLandSalesDepositMethodPropertyCarryingValue,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssuedPricePerShare,SharesOutstanding,SponsorFees,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,UnsecuredDebt,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2012-06-30,2012-08-20,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,45589.0,,,,,113032.0,,,,,,0.0,,0.0,0.0,,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,,,,,,,,,,,,-365909.0,,,18950.0,,,,0.0,,,,,0.0,,0.0,,,,,,,591.0,,,,,,,,,,,-3253.0,,,,,,,,,,,211465.0,0.0,,,,,,,,,,,,,,,,,,-25904.0,,,,,146926.0,,,,21841.0,-21841.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,15250.0,-25094.0,,,,,,,365909.0,0.0,,,,-211465.0,,,,,,,,,,,,,,,,41412559.0,,
2012-09-30,2012-11-19,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,39696.0,,18370.0,,114029.0,,,,,,0.0,,,0.0,,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,,,0.06,,,,,,,,,-379013.0,29300.0,35131.0,,,,,0.0,,,,,0.0,,0.0,,,,0.0,,,301.0,,,,,,,,,,,-3553.0,,,,,11021.0,,,,,,223572.0,0.0,,,,,,,,,,,,,,,,,,-13104.0,,,,,154576.0,,119445.0,,9551.0,-9551.0,,,,-3553.0,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,3250.0,,,,,,,,379013.0,0.0,,,,-223572.0,,,,,,,,,,,,,,,,41412559.0,,
2012-12-31,2013-04-15,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,45512.0,45511.0,0.0,,,114914.0,,,,,,0.0,,0.0,0.0,-1398.0,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,0.0,,0.0,,,,,,,,,,,-403482.0,34569.0,,,34569.0,,,0.0,,,,,0.0,,0.0,,,,,,,9671.0,,,,0.0,,,,9775.0,24619.0,,-14568.0,,,,0.0,,,,,,,247156.0,0.0,,,,,,,,,,,,45170.0,,0.0,,-46568.0,,-84839.0,,,,20500.0,146576.0,,,,70271.0,-70271.0,,-70271.0,,,,,,0.0,,,0.001,10000000.0,,,0.0,,,0.0,24670.0,0.0,20500.0,,,36600.0,-84839.0,,,0.0,,0.0,,,0.0,,-247156.0,,-247156.0,,,,,,,,,,,,20500.0,,,,41412559.0,,
2013-03-31,2013-05-20,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,53505.0,,0.0,,,115780.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,0.0,,,,,,,,,,,-426936.0,39069.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,,4645.0,,,,0.0,,,,7993.0,4500.0,,-3809.0,,,,0.0,,,,,,,269744.0,0.0,,0.0,,,6000.0,,,,,,,10095.0,,0.0,,-10095.0,,-23454.0,,,,20500.0,156670.0,,,,19645.0,-19645.0,,-19645.0,,,,,,0.0,,,0.001,10000000.0,,,0.0,,,0.0,0.0,0.0,10095.0,,,9000.0,-23454.0,,,0.0,,0.0,,,0.0,,,,-269744.0,,,,,,,,,0.0,,,20500.0,,,,41412559.0,,
2013-06-30,2013-08-12,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,52569.0,,,,116656.0,,,,,,0.0,,0.0,0.0,,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,,,,,,,,,,,,-445581.0,,,,45069.0,,,0.0,,,,,0.0,,0.0,,,,,,,791.0,,,,,,,,,,,-4254.0,-4254.0,,,,,,,,,,287513.0,0.0,,0.0,,,6000.0,,,,,,,,,,,,,-18645.0,,,,20500.0,169375.0,,,,14391.0,-14391.0,,-14391.0,,,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,7600.0,,,,,,,,,0.0,,,,-287513.0,,,,,,,,,,,,,,,,41412559.0,,
2013-09-30,2013-11-08,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,35448.0,,,,117542.0,,,,,,8500.0,,8500.0,8500.0,,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,,,,,,,,,,,,-446846.0,,,,36069.0,,,0.0,,,,,0.0,,0.0,,,,19100.0,19100.0,,1935.0,,,,,,,,,,,-4830.0,-4830.0,,,,,,,,,,296392.0,8500.0,,,,,6000.0,,,,,,,,,,,,,-1265.0,,,,55500.0,169375.0,,,,15535.0,-15535.0,,-15535.0,,14270.0,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,7600.0,-1265.0,,,,,,,,0.0,,,,-287892.0,,,,,,,,,,,,,,,,41412559.0,,
2013-12-31,2014-04-04,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,41789.0,436.0,,,124428.0,,,,,,4524.0,,4524.0,4524.0,4524.0,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,6000.0,,-19100.0,,,,,,5564.0,,,,,470486.0,,,,42069.0,,,0.0,,,,,0.0,,0.0,,,,,,,10172.0,,,,0.0,,,,15378.0,7500.0,,-18196.0,,,,0.0,,,,,,,309170.0,4524.0,308734.0,,,436.0,24000.0,,,,,,,63800.0,63800.0,0.0,,-59276.0,-59276.0,-67004.0,,,,55500.0,169376.0,,,436.0,67472.0,-67472.0,,-67472.0,,,,3514.0,,0.0,,,0.001,10000000.0,,,0.0,,,0.0,41000.0,22800.0,22800.0,,,33300.0,-67004.0,,,19100.0,,0.0,,,0.0,,-304646.0,,-304646.0,-304646.0,,,,,,,,,,,,,,,41412559.0,,
2014-03-31,2014-05-20,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,46298.0,1479.0,,,536894.0,,,10000.0,,,809.0,,809.0,809.0,-3715.0,0.001,100000000.0,45612559.0,45612559.0,45612.0,,,,,,,,0.0,,,,,,,,,,,-901705.0,,,,46919.0,,,-0.01,,,,,0.0,396000.0,0.0,,,,0.0,,,690.0,,,,0.0,,,,4509.0,4850.0,,-6729.0,,,,0.0,,,,,,,320008.0,809.0,318093.0,396000.0,,,6000.0,,,,,,,10000.0,,0.0,,-13715.0,,-431219.0,,,,55500.0,169376.0,,,1915.0,424490.0,-424490.0,,-424490.0,,-6729.0,,866.0,,0.0,,,0.001,10000000.0,,,0.0,,,0.0,10000.0,0.0,0.0,,,12000.0,-431219.0,,,0.0,,0.0,,,0.0,,,,-319199.0,,,,,,,,,9800.0,,,,,,,43650755.0,,
2014-06-30,2014-08-15,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,49593.0,,,,545805.0,,,,,,149.0,,149.0,149.0,,0.001,100000000.0,45612559.0,45612559.0,45612.0,,,,,,,,,,,,,,19414.0,,,,,-927631.0,,,,53799.0,,,0.0,,,,,,,,,,,,,,720.0,,,,,,,,,,,,-8014.0,,,,,,,,,,336369.0,149.0,328268.0,0.0,,8101.0,6000.0,,,,,,,,,,,,,-25932.0,,,,55500.0,169376.0,,,,17918.0,-17918.0,,-17918.0,,,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,11198.0,,,,,,,,,0.0,,,,-336220.0,,,,,,,,,,,,,,,,45612559.0,,
2014-09-30,2014-11-19,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,54052.0,,,,551641.0,,,,,,22.0,,22.0,22.0,,0.001,100000000.0,45612559.0,45612559.0,45612.0,,,,,,,,,,,,,,,,,,,,,,,59799.0,470.0,,0.0,,,,,,,,,,,,,,504.0,,,,,,,,,,,,-10704.0,,,,,,,,,,351006.0,22.0,338727.0,,,11809.0,6000.0,,,,,,,,,,,,,-20600.0,,,,55500.0,169376.0,,,,9896.0,-9896.0,,-9896.0,,,,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,3392.0,-20600.0,,,,,,,,0.0,,,,,-350984.0,,,,,,,,,,,,,,,45612559.0,,
2014-12-31,2015-04-13,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,58834.0,11455.0,,,554926.0,,25385.0,25385.0,,,256.0,,256.0,256.0,-4268.0,0.001,500000000.0,45612559.0,45612559.0,45612.0,,165536.0,,,,25385.0,,,,,,,,,,325353.0,325353.0,,-968812.0,,,,65799.0,4862.0,,-0.01,,,,,,,,,,,,,,2923.0,,,,,,,,17045.0,23730.0,,,,,,,,,,,9800.0,9800.0,368530.0,256.0,352945.0,396000.0,,10723.0,24000.0,,,,,,,,32515.0,,,,-36783.0,-498326.0,,-34707.0,,58936.0,169376.0,,,4862.0,463619.0,-463619.0,,,,,,3513.0,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,21515.0,11000.0,,,,30896.0,,,,,,,,-968812.0,,,,,-368274.0,,396000.0,,,,,,,9800.0,,396000.0,,165536.0,,,45128827.0,,
