end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsGrossCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,Depreciation,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedPartiesCurrent,InterestExpense,InterestPaid,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherDepreciationAndAmortization,OtherNoncashIncomeExpense,PaymentsToAcquireProductiveAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSecuredNotesPayable,ProceedsFromUnsecuredNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,RestructuringCostsAndAssetImpairmentCharges,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,SaleOfStockPricePerShare,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensationGross,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-10-31,2019-05-08,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,13660.0,,,,5000.0,,825166.0,,,,426180.0,426180.0,,0.0,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,426180.0,207821.0,,-0.001,,,,,822.0,,,,-13589.0,,,,,,,,-3038.0,,,-12506.0,4121.0,,,,221481.0,426180.0,221481.0,,,,,,0.0,,-13589.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,12767.0,,,,,,-621821.0,,,,,,,204699.0,,,,,,,,,13537000.0,
2018-01-31,2019-05-08,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,223903.0,,,,5000.0,,825166.0,,,,423255.0,423255.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,423255.0,,,-0.0004,,,,,747.0,,,,-5347.0,,,,,,,,,,,,,,,,223903.0,423255.0,223903.0,,,,,,,,-5347.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,4600.0,,,,,,-627168.0,,,,,,,199352.0,,,,,,,,,13537000.0,
2018-04-30,2019-05-08,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,217566.0,,,,5000.0,,825166.0,,,,408037.0,408037.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,408037.0,,,-0.0006,,,,,5249.0,,,,-8881.0,,,,,,,,,,,,,,,,217566.0,408037.0,217566.0,,,,,,,,-8881.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,3632.0,,,,,,-636049.0,,,,,,,190471.0,,,,,,,,,13537000.0,
2018-07-31,2019-05-08,10-K,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,224842.0,214842.0,,,1000.0,,825166.0,,,,386669.0,386669.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,139586.0,,,386669.0,,,-0.004,,,,,32381.0,,,-56461.0,-56461.0,,,,,,,,208144.0,,,52017.0,-203700.0,,,,224842.0,386669.0,224842.0,,,,,,,,-56461.0,,,664693.0,,,,,0.0001,10000000.0,,,,,,,,,,,24080.0,,,,,,-664693.0,,,,,,,161827.0,,,,,,,,,13537000.0,
2018-10-31,2019-06-21,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,227342.0,,,,12500.0,,825166.0,,,,377804.0,377804.0,,0.0,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,377804.0,,,-0.0008,,,,,11365.0,,,,-11365.0,-11365.0,,,,,,,2500.0,,,-8865.0,,,,,227342.0,377804.0,227342.0,,,,,,0.0,,-11365.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-676058.0,,,,,,,150462.0,,,,,,,,,13537000.0,
2019-01-31,2019-06-21,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,229842.0,,,,15000.0,,825166.0,,,,374455.0,374455.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,374455.0,,,-0.0004,,,,,5849.0,,,,-5849.0,-5849.0,,,,,,,,,,,,,,,229842.0,374455.0,229842.0,,,,,,,,-5849.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-681907.0,,,,,,,144613.0,,,,,,,,,13537000.0,
2019-04-30,2019-06-21,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,232342.0,,,,17500.0,,825166.0,,,,373355.0,373355.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,373355.0,,,-0.0003,,,,,3600.0,,,,-3600.0,-3600.0,,,,,,,,,,,,,,,232342.0,373355.0,232342.0,,,,,,,,-3600.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-685507.0,,,,,,,141013.0,,,,,,,,,13537000.0,
2019-07-31,2019-10-11,10-K,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,240142.0,214842.0,,,25300.0,,825166.0,,,,337688.0,337688.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,153085.0,,,337688.0,,,-0.005,,,,,64281.0,,,-64281.0,-64281.0,-64281.0,,,,,,,15300.0,,,-48981.0,,,,,240142.0,337688.0,240142.0,,,,,,64281.0,,0.0,,,728974.0,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-728974.0,,,,,,,97546.0,,,,,,,,,13537000.0,
2019-10-31,2019-12-12,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,225142.0,,,,10300.0,,825166.0,,,,311410.0,311410.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,311410.0,,,-0.0008,,,,,11278.0,,,,,-11278.0,,,,,,,-15000.0,,,-26278.0,,,,,225142.0,311410.0,225142.0,,,,,,,,-11278.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-740252.0,,,,,,,86268.0,,,,,,,,,13537000.0,
2020-01-31,2020-03-06,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,220761.0,,,,5919.0,,825166.0,,,,300487.0,300487.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,300487.0,,,-0.0004,,,,,6542.0,,,,,-6542.0,,,,,,,,,,,,,,,220761.0,300487.0,220761.0,,,,,,,,-6542.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-746794.0,,,,,,,79726.0,,,,,,,,,13537000.0,
2020-04-30,2020-06-04,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,220922.0,,,,6080.0,,825166.0,,,,293199.0,293199.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,293199.0,,,-0.0006,,,,,7449.0,,,,,-7449.0,,,,,,,,,,,,,,,220922.0,293199.0,220922.0,,,,,,,,-7449.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-754243.0,,,,,,,72277.0,,,,,,,,,13537000.0,
2020-07-31,2020-10-22,10-K,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,222912.0,214842.0,214842.0,,8070.0,,825166.0,,,,284116.0,284116.0,0.0,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,160716.0,,,284116.0,,,-0.003,,,,,36342.0,,,-36342.0,-36342.0,-36342.0,,,,,,,-17230.0,,,-53572.0,,,,,222912.0,284116.0,222912.0,,,,,,36342.0,,-36342.0,,,765316.0,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,-765316.0,,,,,,,61204.0,,,,,,,,,13537000.0,
2020-10-31,2020-12-03,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,228017.0,,214842.0,,13175.0,,825166.0,,,,276687.0,276687.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,276687.0,,,-0.0009,,,,,12534.0,,,,-12534.0,-12534.0,,,,,,,5105.0,,,-7429.0,,,,,228017.0,276687.0,228017.0,,,,,,,,-12534.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-777850.0,,,,,,,48670.0,,,,,,,,,13537000.0,
2021-01-31,2021-03-12,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,222732.0,,214842.0,,7890.0,,825166.0,,,,264096.0,264096.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,264096.0,,,-0.0005,,,,,7306.0,,,,,-7306.0,,,,,,,,,,,,,,,222732.0,264096.0,222732.0,,,,,,,,-7306.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-785156.0,,,,,,,,,,,,,,,,13537000.0,
2021-04-30,2021-06-08,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,220442.0,,214842.0,,5600.0,,825166.0,,,,255806.0,255806.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,255806.0,,,-0.0005,,,,,6000.0,,,,,-6000.0,,,,,,,,,,,,,,,220442.0,255806.0,220442.0,,,,,,,,-6000.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,-791156.0,,,,,,,35364.0,,,,,,,,,13537000.0,
2021-07-31,2021-10-21,10-K,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,225742.0,214842.0,214842.0,,10900.0,,825166.0,,,,248656.0,248656.0,0.0,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,168757.0,,,248656.0,,,-0.003,,,,,38290.0,,,-38290.0,-38290.0,,,,,,,,2830.0,,,-35460.0,,,,,225742.0,248656.0,225742.0,,,,,,38290.0,,-38290.0,,,803606.0,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,-803606.0,,,,,,,22914.0,,,,,,,,,13537000.0,
2021-10-31,2021-12-13,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,220142.0,,214842.0,,5300.0,,825166.0,,,,234204.0,234204.0,0.0,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,234204.0,0.0,,-0.0007,,,,,8852.0,,,,-8852.0,,,,,,,,-5600.0,,,-14452.0,,,,,220142.0,234204.0,220142.0,,,,,,,,-8852.0,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,-812458.0,,,,,,,14062.0,,,,,,,,,13537000.0,
