end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccountsPayableTradeCurrentAndNoncurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesForCommissionsExpenseAndTaxes,AccruedSalariesCurrent,AccruedSalariesCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulOtherReceivablesCurrent,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtorReorganizationItemsGainLossOnSettlementOfOtherClaimsNet1,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedParties,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,FairValueAdjustmentOfWarrants,ForeignCurrencyTransactionGainLossBeforeTax,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GuaranteedBenefitLiabilityGrossPeriodIncreaseDecrease,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestIncomeExpenseNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherExpenses,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromUnsecuredNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,SharePrice,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockOptionPlanExpense,UnrecognizedTaxBenefits,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2015-06-30,2015-08-06,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,1564.0,,,,,,,,,,30290289.0,,,,,0.0,1138216.0,1138216.0,1138216.0,,,,,,,,,,,,,22013.0,,,,-195840.0,,,,,,,,-0.01,,,,,,,161618.0,,-195840.0,-195840.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,1564.0,1138216.0,1564.0,,,,-195840.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,34222.0,-29075650.0,0.0,,,,,,,,,1136652.0,,,,,,,,22012562.0,,
2015-09-30,2015-11-16,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,1564.0,,,,,,,,,,30290289.0,,,,,0.0,1002227.0,1002227.0,1002227.0,,,,,,,,,-100000.0,,,,22013.0,,,,-135989.0,,,0.0,,,,,-0.01,,,,,,,81679.0,,-135989.0,-135989.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,1564.0,1002227.0,1564.0,,,,-135989.0,,,,135989.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,54310.0,-29211639.0,0.0,,,,,,,,,1000663.0,,,,,,,,22012562.0,,
2015-12-31,2016-04-14,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,,1564.0,,0.0,,,1564.0,,,,,30770545.0,,,,,,880639.0,880639.0,880639.0,880639.0,-496197.0,,,,-496197.0,,,-100000.0,,,,220.0,,,,-1121160.0,,,,,,,,-0.05,,,,,,,-929421.0,,-1121160.0,-1121160.0,,,,,0.0,,-3500.0,,0.0,,,,,,,0.0,0.0,,,,,,1564.0,880639.0,1564.0,,170000.0,-666197.0,-1121160.0,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,-191739.0,-29791690.0,0.0,,,,,,,,,879075.0,,,,,,,,22012562.0,,
2016-03-31,2016-05-16,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,,,,30885161.0,,,,,0.0,705054.0,,705054.0,,,,,,-175585.0,,,-100000.0,,,,220.0,,,,-290201.0,,,,,,,,-0.01,,,,,,,251753.0,,,-290201.0,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,1564.0,705054.0,,,0.0,-175585.0,-290201.0,,,,,290201.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,38448.0,,0.0,,,,,,,,,703490.0,,,,,,,,22012562.0,22012562.0,
2016-06-30,2016-08-15,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,1564.0,,,,,,,,,,30999776.0,,,,,0.0,630091.0,630091.0,630091.0,630091.0,,,,,,,,-100000.0,,,,220.0,,,,-204943.0,,,,,,,,-0.01,,,,,,,197634.0,,-204943.0,-204943.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,16929.0,630091.0,16929.0,,,,-204943.0,,,,204943.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,7309.0,-30286834.0,0.0,,,,,,,,,613162.0,,,,,,,,22012562.0,,
2016-09-30,2016-11-21,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,1564.0,,,,,,45360.0,,,,31115652.0,,,,,0.0,436560.0,436560.0,436560.0,,,,,,,,,-100000.0,,,,220.0,,,,-339402.0,,,0.0,,,,,-0.02,,,,,,,206069.0,,-339402.0,-339402.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,46924.0,436560.0,46924.0,,,,-339402.0,,,,339402.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,133333.0,-30626236.0,0.0,,,,,,,,,389636.0,,,,,,,,22012562.0,,
2016-12-31,2017-03-31,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,1564.0,1564.0,,62816.0,62816.0,,1564.0,,,,,31171843.0,,401298.0,401298.0,0.0,,408108.0,408108.0,292976.0,292976.0,-587663.0,,,,,,0.0,0.0,500000000.0,22012562.0,22012562.0,220.0,,,,,,,,,1282879.0,1282879.0,,-0.04,,,,,281400.0,,912627.0,,,-973829.0,-973829.0,,,,0.0,,0.0,,62816.0,,,,,,,52316.0,,,,,,52316.0,1564.0,408108.0,1564.0,,0.0,-587663.0,-973829.0,,-973829.0,,,1255229.0,-1255229.0,,,,,,,281400.0,0.0,20000000.0,,,0.0,,115132.0,115132.0,52316.0,52316.0,,,,,,,,342602.0,-30765519.0,0.0,,401298.0,,,,,,,406544.0,,,,,,,,22012562.0,,
2017-03-31,2017-05-15,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,104882.0,,1564.0,,,,,31277841.0,,,,,,172183.0,172183.0,67301.0,67301.0,-225675.0,,,,-225675.0,,,,,,,220.0,,,,,,,,,,,,-0.02,,,,,,,209078.0,,,-341923.0,-341923.0,,,,0.0,,5000.0,,-5000.0,,,,,,,-5250.0,,,,,,,1564.0,172183.0,1564.0,,0.0,-225675.0,-341923.0,,,,,341923.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,132845.0,-31107442.0,0.0,,,,,,,,,170619.0,,,,,,105998.0,,22012562.0,,
2017-06-30,2017-08-18,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,47194.0,,,,,31318144.0,,,,,,107252.0,107252.0,7620.0,7620.0,,,,,,,,,,,,222.0,,,,,,,,,,,,-0.01,,,,,,,189751.0,,,-229038.0,229038.0,,,,0.0,,,,,,,,,,,,,,,,,,104366.0,107252.0,104366.0,57172.0,,,229038.0,,,,229038.0,229038.0,,,,,,,,,,,,,0.0,,99632.0,,,,,,,,,,,39287.0,-31336480.0,0.0,,,,,,,,,2886.0,,,,,,,,22188111.0,,
2017-09-30,2017-11-15,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,161269.0,,,,,,,,,,31321131.0,,,,,,105035.0,105035.0,15653.0,15653.0,,,,,,,,21000.0,,,,222.0,,,,,,,,,,,,-0.01,,,,,,,141155.0,,-167362.0,,-167362.0,,,,0.0,,,,,,,,,,,,-2987.0,,2987.0,,,,269511.0,105035.0,269511.0,,,,-170349.0,,-2987.0,108242.0,,167362.0,,,,,,-2987.0,,,,,,,0.0,,,89382.0,,,,,,,,,,26207.0,-31506829.0,0.0,,,,,,,,,-164476.0,,,,,,,,22411263.0,,
2017-12-31,2018-04-17,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,1564.0,1564.0,,,,,228150.0,,228150.0,228150.0,,31325044.0,,107176.0,107176.0,0.0,,95344.0,31962.0,,10962.0,-282014.0,10962.0,,,,,0.0,,500000000.0,22237562.0,22237562.0,222.0,,,,,,,,710105.0,710105.0,710105.0,,-0.04,0.35,,,,,,621817.0,,,,-853168.0,,,,,,228150.0,,-62618.0,,,,,63382.0,-93934.0,-31316.0,,,6900.0,,,21000.0,,95344.0,367765.0,138051.0,138051.0,-420065.0,-853168.0,,-853168.0,138051.0,,846268.0,-846268.0,2028871.0,63382.0,,,,,-6900.0,0.0,25000000.0,,,,,,,21000.0,,,,138051.0,,,138051.0,,224451.0,-31618687.0,,,167303.0,,,750000.0,,,,-272421.0,,,60128.0,,,,,22169754.0,,
2018-03-31,2018-05-24,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,298159.0,,,,,,,,0.0,,,31328893.0,,,0.0,,,74961.0,11579.0,,3329.0,-7633.0,,,,,,0.0,,500000000.0,22237562.0,22237562.0,222.0,,,,,,,,,,,,0.0,,,,,,,105812.0,,,,-110705.0,,,,,,68445.0,,,,,,,,-12750.0,-12750.0,,,,,,,,74961.0,454238.0,,18028.0,-25661.0,-110705.0,,,156079.0,,110705.0,,,63382.0,,,,,,0.0,20000000.0,,,,,,,8250.0,,,,18028.0,,18028.0,18028.0,,4893.0,-31729392.0,,,,,,750000.0,,,,-379277.0,,,,,,,,22237562.0,,
2018-06-30,2018-09-06,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,1564.0,,,,,,342225.0,,342225.0,,,31334500.0,,,,,,68597.0,12215.0,,12215.0,,12215.0,,,,,0.0,,500000000.0,22237562.0,22237562.0,222.0,,,,,,,,,,,,0.0,,,,,,,82312.0,,,,-92201.0,,,,,,,,,,,,,,,,,,,,,,,68597.0,534468.0,,,,-92201.0,,,190679.0,,-92201.0,,,56382.0,,,,,,0.0,20000000.0,,,,,,,,,,,,,,,,9889.0,-31821593.0,,,,,,750000.0,,,,-465871.0,,,,,,,,22237562.0,,
2018-09-30,2019-01-02,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,1564.0,,,,,174425.0,,,174425.0,,33604992.0,,,,,,556890.0,538258.0,,538258.0,,538258.0,,,,,0.0,,500000000.0,,34546243.0,345.0,,,,,107503.0,2753030.0,,,,,,-0.06,,,156722.0,,,,1514327.0,,,,-1521745.0,,,,,,,,,,,,,,,,1294.0,,1294.0,,,,,556890.0,271185.0,,,,-1523039.0,,-1294.0,95196.0,,1521745.0,-1521745.0,,18632.0,,,,,,0.0,20000000.0,,,,,,,,,1795147.0,,,,,,,7418.0,-33340632.0,,,,,,750000.0,,0.1,,285705.0,9555468.0,,,,,,,24911947.0,,
2018-12-31,2019-04-16,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,27566.0,,157810.0,157810.0,,33781881.0,,,0.0,0.0,,395377.0,390495.0,,390495.0,379533.0,390495.0,379533.0,,,,0.0,,500000000.0,34546060.0,34546060.0,345.0,,,,,275303.0,2753030.0,,782630.0,782630.0,782630.0,107503.0,-0.08,0.21,,385552.0,,,315900.0,1567226.0,,,,-2013838.0,,,,,,125026.0,,,,125027.0,,,-58500.0,-21000.0,,13150.0,,13150.0,,,,,395377.0,224676.0,37736.0,1859794.0,-1480261.0,-2013838.0,,-2013838.0,37736.0,,-1684788.0,-1684788.0,3726809.0,4882.0,,,,,-329050.0,0.0,25000000.0,,,,,,,,,1795146.0,1795146.0,,,37736.0,64648.0,,117562.0,-33632525.0,,,,15058498.0,0.0,750000.0,,0.1,,170701.0,9555468.0,275303.0,,1795147.0,,,,26680834.0,,
2019-03-31,2019-05-17,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,205195.0,,,33782811.0,,,,,,252074.0,252074.0,,252074.0,-138421.0,252074.0,-138421.0,,,,0.0,,500000000.0,34546060.0,34546060.0,345.0,,,,,,,,,,,,0.0,,,,,,,119541.0,,,,-164052.0,,,,,,19819.0,,,,,,,,-4882.0,,930.0,,,,,,,252074.0,244495.0,,,-138421.0,-164052.0,,930.0,37736.0,,163122.0,,,,,,,,,0.0,25000000.0,,,,,,,,,,,,,,,,43581.0,-33796577.0,,,,,,750000.0,,,,7579.0,,,,,,,,34546060.0,,
