end,filed,form,Name,Ticker,CIK,Currency,AccretionOfDiscount,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,DepreciationAmortizationAndAccretionNet,DerivativeAssets,DerivativeGainLossOnDerivativeNet,DerivativeInstrumentsGainLossRecognizedInIncomeNet,DerivativeInstrumentsGainRecognizedInIncome,DueToRelatedPartiesCurrentAndNoncurrent,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerage,GainLossOnInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsIssued,GeneralPartnersCapitalAccountUnitsOutstanding,IncreaseDecreaseInAccruedLiabilities,InterestIncomeOperating,InvestmentIncomeNet,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsIssued,LimitedPartnersCapitalAccountUnitsOutstanding,MarketableSecuritiesRealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherInvestmentsAndSecuritiesAtCost,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountSaleOfUnits,PartnersCapitalAccountUnitsContributed,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForPurchaseOfSecuritiesOperatingActivities,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonLimitedPartnersUnits,ProceedsFromSaleOfSecuritiesOperatingActivities,RealizedInvestmentGainsLosses,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnSecurities
2012-06-30,2012-08-07,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,1164381.0,512649086.0,,32090283.0,,,,480558803.0,-59164455.0,,-59164455.0,341594.0,479990670.0,32399.0,-39652985.0,,,903.0,1422.0,50.0,,,90769.0,-1106011.0,,568133.0,,936507.0,512649086.0,511711157.0,18000000.0,18000000.0,,,,,,-40758996.0,1196780.0,479979394.0,511712579.0,,,,,594913.0,,,,,903.0,19505930.0,19510567.0,4637.0
2012-09-30,2012-11-08,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,1083522.0,517282370.0,,13505254.0,,,,503777116.0,14511408.0,,14511408.0,356700.0,479985400.0,23992.0,37730430.0,,,,1529.0,50.0,,,96791.0,-1010723.0,,23791716.0,,607228.0,517282370.0,516673613.0,16900000.0,16900000.0,,,,,,36719707.0,1107514.0,479978685.0,516675142.0,,,,,250528.0,,,,,,23223583.0,23219022.0,-4561.0
2012-12-31,2013-02-26,10-K,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,4637997.0,479691588.0,,22210626.0,-596868868.0,,,457480962.0,-55222884.0,-55222884.0,,354469.0,469995420.0,377195.0,-22718144.0,,,1429.0,1443.0,50.0,,-666087.0,331044.0,-4684148.0,,-12514458.0,,5083488.0,479691588.0,474606657.0,16450000.0,16450000.0,,,-76317728.0,,-520551140.0,-27402292.0,5015192.0,469979439.0,474608100.0,101149075.0,180296699.0,,,401297.0,2089638671.0,,101149075.0,1629991694.0,,32487331.0,32503311.0,15980.0
2013-03-31,2013-05-08,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,998920.0,480941693.0,,37705732.0,15495106.0,,,443235961.0,-4444555.0,,-4444555.0,344394.0,459990580.0,235040.0,-8691003.0,,,,1413.0,50.0,,-180749.0,84009.0,-1149951.0,,-16754619.0,,575017.0,480941693.0,480365263.0,17000000.0,17000000.0,,,11271808.0,,4223298.0,-9840954.0,1233960.0,459980886.0,480366676.0,25704700.0,-10105170.0,,,230623.0,459917438.0,,25704700.0,470000000.0,,-4240161.0,-4246448.0,-6287.0
2013-06-30,2013-08-08,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,949009.0,404966975.0,,34026311.0,,,,370940664.0,-27057865.0,,,297631.0,399996510.0,223297.0,-39362444.0,,,1390.0,1288.0,50.0,,,61443.0,-1110863.0,,-29055846.0,,478452.0,404966975.0,404487235.0,15700000.0,15700000.0,,,,,,-40473307.0,1172306.0,399991558.0,404488523.0,,,,,180821.0,,,,,,-12301227.0,-12305969.0,-4742.0
2013-09-30,2013-11-06,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,815413.0,355232668.0,,8666593.0,,,,346566075.0,-18349415.0,,,252125.0,344996250.0,191861.0,12273002.0,,,533.0,1324.0,50.0,,,30080.0,-977194.0,,1569825.0,,393671.0,355232668.0,354837673.0,13400000.0,13400000.0,,,,,,11295808.0,1007274.0,344995085.0,354838997.0,,,,,141546.0,,,,,,30625671.0,30621884.0,-3787.0
2013-12-31,2014-03-04,10-K,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,3500487.0,320361211.0,,124417599.0,102206973.0,,,-4055188.0,-53539832.0,,,241143.0,199998800.0,823644.0,-45104484.0,,-10376.0,-10376.0,1285.0,50.0,,-387139.0,189643.0,-4134488.0,,-4055188.0,,368627.0,320361211.0,319991299.0,12450000.0,12450000.0,,,-109704266.0,,211911239.0,-49238972.0,4324131.0,199996365.0,319992584.0,25704701.0,131081245.0,,,127484.0,1484819380.0,,25704701.0,1754981721.0,,8459270.0,8445724.0,-13546.0
2014-03-31,2014-05-07,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,690079.0,352879536.0,,134973068.0,10555469.0,,,217906468.0,8746949.0,,,253628.0,199997600.0,162372.0,30712698.0,,,,1410.0,50.0,,98574.0,10011.0,-842440.0,,17908868.0,,4696132.0,352879536.0,348181994.0,12350000.0,12350000.0,,,2549493.0,,8005976.0,29870258.0,852451.0,199993472.0,348183404.0,16702869.0,18382307.0,,,213573.0,199987096.0,,16702869.0,200000000.0,,21964056.0,21965749.0,1693.0
2014-06-30,2014-08-07,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,755603.0,360354115.0,,131960877.0,,,,228393238.0,15116976.0,,,248407.0,228492300.0,177789.0,-2892040.0,,,,1395.0,50.0,,,15419.0,-917973.0,,-99062.0,,375786.0,360354115.0,359976934.0,12900000.0,12900000.0,,,,,,-3810013.0,933392.0,228489258.0,359978329.0,,,,,127379.0,,,,,,-18007930.0,-18009016.0,-1086.0
2014-09-30,2014-11-06,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,739176.0,321330869.0,,247825537.0,,,,73505332.0,-13600852.0,,,232843.0,99998500.0,173923.0,-39995805.0,,,,1239.0,50.0,,,8256.0,-904843.0,,-26493168.0,,313463.0,321330869.0,321016167.0,12950000.0,12950000.0,,,,,,-40900648.0,913099.0,99996305000.0,321017406.0,,,,,80620.0,,,,,,-26394106.0,-26394953.0,-847.0
2014-12-31,2015-03-06,10-K,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,2835654.0,267179248.0,,94433074.0,-29984525.0,,,172746174.0,-12125640.0,,,205492.0,199995250.0,667213.0,-35320782.0,,,,1140.0,50.0,,-87513.0,44304.0,-3458563.0,,-27249076.0,,281114.0,267179248.0,266896994.0,11700000.0,11700000.0,,,-14315105.0,,-15669420.0,-38779345.0,3502867.0,199994069.0,266898134.0,43387949.0,57703054.0,,,75622.0,778448400.0,,43387949.0,778495000.0,,-23193888.0,-23195142.0,-1254.0
2015-03-31,2015-05-13,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,534030.0,244063771.0,,60768219.0,-33664855.0,,,141274033.0,-28433985.0,,,177535.0,199996950.0,125654.0,-17884786.0,,,,1060.0,50.0,,-27957.0,10326.0,-649358.0,,-16701398.0,,298237.0,244063771.0,243764474.0,11500000.0,11500000.0,,,-4598456.0,,-29066399.0,-18534144.0,659684.0,199994248.0,243765534.0,5487716.0,10086172.0,,,120702.0,199989853.0,-10086172.0,5487716.0,200000000.0,,10547678.0,1521.0,10549199.0
2015-06-30,2015-08-07,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,538432.0,329497417.0,,274770349.0,,,,54727068.0,-10169680.0,,,182376.0,49998400.0,126690.0,11259980.0,,2000.0,,1103.0,50.0,,,9418.0,-655704.0,,4728668.0,,50213721.0,329497417.0,279282593.0,12650000.0,12650000.0,,,,,,10604276.0,665122.0,49998104.0,279283696.0,,,,,33241.0,,,,,,21430066.0,21427660.0,-2406.0
2015-09-30,2015-11-06,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,536536.0,240849897.0,,202743894.0,,,,38106003.0,-14978887.0,,,168789.0,50000000.0,126244.0,-31600348.0,,1500.0,,974.0,50.0,,,4883.0,-657897.0,,-11893997.0,,239507.0,240849897.0,240609416.0,12350000.0,12350000.0,,,,,,-32258245.0,662780.0,50000000.0,240610390.0,,,,,70718.0,,,,,,-16622665.0,-16622961.0,-296.0
2015-12-31,2016-03-15,10-K,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,2121828.0,233420007.0,,83440007.0,-10993067.0,83440007.0,,141274033.0,-67922804.0,,,166759.0,149980000.0,499254.0,-49361047.0,,3500.0,,928.0,50.0,,-85599.0,45979.0,-2575103.0,,-8705967.0,8705967.0,8901482.0,233420007.0,224517597.0,11350000.0,12100000.0,,,9556541.0,,-20549608.0,-51936150.0,2621082.0,149963671.0,224518525.0,45167597.0,35611056.0,,,28756.0,649921623.0,,45167597.0,700001500.0,,18543109.0,18558257.0,15148.0
2016-03-31,2016-05-10,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,447661.0,212773928.0,17643027.0,31942906.0,-51497101.0,14299879.0,,180831022.0,-12473222.0,,,153661.0,174962390.0,105332.0,2117241.0,,,,934.0,50.0,,-13098.0,89300.0,-463693.0,5868632.0,,,216962.0,212773928.0,212556032.0,11350000.0,12100000.0,,,-13615107.0,,-37881994.0,1653548.0,552993.0,174930197.0,212556966.0,,13615107.0,,,63301.0,174877226.0,,,150000000.0,,14574599.0,15864.0,14590463.0
