end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,Assets,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeposits,InterestPaid,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingLossCarryforwards,ProceedsFromIssuanceOfCommonStock,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesPurchasedForAward,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodValueNewIssues,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,EarningsPerShareBasic,EarningsPerShareDiluted
2013-09-30,2013-11-12,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,23483.0,,5675.0,5675.0,,,,,30000000.0,13171981.0,13171981.0,33844784.0,,,,,,0.0,,,,4684.0,,-4684.0,0.0,,,,,,,,,5675.0,23483.0,,,-4684.0,,,-33862592.0,,0.0,,,,-17808.0,,,,,,13171981.0,,,
2013-12-31,2014-03-31,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,26468.0,0.0,4807.0,4807.0,,,-3309.0,0.0,30000000.0,13533747.0,13533747.0,33855637.0,0.0,0.0,104000.0,104000.0,0.0,,0.0,-0.34,0.34,35151.0,,-35151.0,0.0,0.0,,,,20989.0,0.0,0.0,0.0,4807.0,26468.0,,-14162.0,-35151.0,307000.0,10853.0,-33877298.0,,0.0,0.0,0.0,,-21661.0,,10853.0,,12000.0,13226494.0,13226494.0,,,
2014-03-31,2014-05-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,16031.0,6500.0,5190.0,5190.0,,,383.0,0.0,30000000.0,14053347.0,14053347.0,33871029.0,,,,,,0.0,,,,11072.0,,-11072.0,0.0,0.0,,,,-10437.0,6500.0,,0.0,5190.0,22531.0,,-15009.0,-11072.0,,15392.0,-33888370.0,,0.0,,,,-17341.0,,,,,,13686686.0,,,
2014-06-30,2014-08-12,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,23930.0,,5166.0,5166.0,,,,0.0,30000000.0,,14053347.0,33871029.0,,,,,,0.0,,,,1423.0,,-1423.0,0.0,,,,,,,,,5166.0,23930.0,,,-1423.0,,,-33889793.0,,0.0,,,,-18764.0,,,,,,14053347.0,,,
2014-09-30,2014-11-12,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,20513.0,1500.0,3972.0,3972.0,,,,0.0,30000000.0,,14267047.0,33877440.0,,,,,,0.0,,,,5687.0,,-5687.0,0.0,,,,,,,,,3972.0,22013.0,,,-5687.0,,,-33895481.0,,0.0,,,,-18041.0,,,,,,14181102.0,,,
2014-12-31,2015-03-27,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,23118.0,,2356.0,2356.0,,,-2451.0,0.0,30000000.0,14267047.0,14267047.0,33877440.0,0.0,0.0,112000.0,112000.0,,,0.0,-0.34,0.34,20904.0,,-20904.0,0.0,0.0,,,,-3350.0,,,0.0,2356.0,23118.0,,-24254.0,-20904.0,328000.0,21803.0,-33898202.0,,0.0,0.0,0.0,250000.0,-20762.0,,21803.0,,8000.0,,14049003.0,,,
2015-03-31,2015-05-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,19887.0,,899.0,899.0,,,-1457.0,0.0,30000000.0,14536303.0,14536303.0,33888210.0,,,,,,0.0,,,,8996.0,,-8996.0,0.0,0.0,,,,-3231.0,0.0,,0.0,899.0,19887.0,,-12227.0,-8996.0,,10770.0,-33907198.0,,0.0,,,,-18988.0,,,,,,14311923.0,,,
2015-06-30,2015-08-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,21551.0,,891.0,891.0,,,,0.0,30000000.0,14536303.0,14536303.0,33888210.0,,,,,,0.0,,,,1673.0,,-1673.0,0.0,,,,,,,,,891.0,21551.0,,,-1673.0,,,-33908870.0,,0.0,,,,-20660.0,,,,,,14860093.0,,,
2015-09-30,2015-11-09,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,22126.0,,882.0,882.0,,,,0.0,30000000.0,,14610203.0,33891166.0,,,,,,0.0,,,,3541.0,,-3541.0,0.0,,,,,,,,,882.0,22126.0,,,-3541.0,,,-33912410.0,,0.0,,,,-21244.0,,,,,,14581285.0,,,
2015-12-31,2016-03-29,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,22780.0,0.0,872.0,872.0,,,-1484.0,0.0,30000000.0,14661553.0,14661553.0,33893220.0,0.0,0.0,117000.0,117000.0,,,0.0,0.34,0.34,16926.0,,-16926.0,0.0,0.0,,,,-338.0,,,0.0,872.0,22780.0,,-17294.0,-16926.0,345000.0,15780.0,-33915128.0,,0.0,0.0,0.0,250000.0,-21908.0,,15780.0,,5000.0,,14519382.0,,,
2016-03-31,2016-05-12,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,20895.0,1000.0,838.0,838.0,,,-34.0,0.0,30000000.0,14949620.0,14949620.0,33904366.0,,,,,,0.0,,,,10295.0,,-10295.0,0.0,0.0,,,,-1885.0,1000.0,,0.0,838.0,21895.0,,-11180.0,-10295.0,,11146.0,-33925423.0,,0.0,,,,-21057.0,,,,,,14726276.0,,,
2016-06-30,2016-08-12,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,24646.0,,321.0,321.0,,,,0.0,30000000.0,,14987287.0,33905496.0,,,,,,0.0,,,,4399.0,,-4399.0,0.0,,,,,,,,,321.0,24646.0,,,-4399.0,,,-33929821.0,,0.0,,,,-24325.0,,,,,,14981078.0,,,
2016-09-30,2016-11-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,23316.0,,312.0,312.0,,,,0.0,30000000.0,,15143920.0,33910195.0,,,,,,0.0,,,,3378.0,,-3378.0,0.0,,,,,,,,,312.0,23316.0,,,-3378.0,,,-33933199.0,,0.0,,,,-23004.0,,,,,,15094976.0,,,
2016-12-31,2017-03-29,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,24543.0,,303.0,303.0,,,-569.0,0.0,30000000.0,15185420.0,15185420.0,33911855.0,0.0,0.0,125000.0,125000.0,,,0.0,0.34,0.34,20967.0,,-20967.0,0.0,0.0,7100.0,0.0,-7100.0,1763.0,,,0.0,303.0,24543.0,-19204.0,-19204.0,-20967.0,366000.0,18635.0,-33936095.0,,0.0,0.0,0.0,250000.0,-24240.0,,18635.0,,8000.0,,14994308.0,,,
2017-03-31,2017-05-15,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,22383.0,,294.0,294.0,,,-9.0,0.0,30000000.0,15799770.0,15799770.0,33924142.0,,,,,,0.0,,,,10136.0,,-10136.0,0.0,0.0,,,,-2160.0,0.0,,0.0,294.0,22383.0,-12296.0,-12296.0,-10136.0,,12287.0,-33946231.0,,0.0,,,,-22089.0,,,,,,15450373.0,,,
2017-06-30,2017-08-11,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,22289.0,,297.0,297.0,,,,0.0,30000000.0,,15946270.0,33927072.0,,,,,,0.0,,,,2833.0,,-2833.0,0.0,,,,,,,,,297.0,22289.0,,,-2833.0,,,-33949064.0,0.0,0.0,,,,-21992.0,,,,,,15841627.0,,,
2017-09-30,2017-11-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,21786.0,,291.0,291.0,,,,0.0,30000000.0,,16110670.0,33930360.0,,,,,,0.0,,,,2790.0,,-2790.0,0.0,,,,,,,,,291.0,21786.0,,,-2790.0,,,-33951855.0,0.0,0.0,,,,-21495.0,,,,,,16086090.0,,,
2017-12-31,2018-03-27,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,21826.0,,270.0,270.0,270.0,,-33.0,0.0,30000000.0,16141303.0,16141303.0,33933117.0,0.0,0.0,82000.0,81000.0,,,,0.34,,18578.0,,-18578.0,0.0,0.0,-43700.0,50000.0,-6300.0,-2717.0,,,0.0,270.0,21826.0,-21295.0,,-18578.0,385000.0,21262.0,-33954673.0,0.0,0.0,0.0,0.0,250000.0,-21556.0,,21262.0,,43000.0,,15876484.0,,,
2018-03-31,2018-05-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,22003.0,,236.0,236.0,,,-34.0,0.0,30000000.0,16504636.0,16504636.0,33944017.0,,,,,,0.0,,,,11111.0,,-11111.0,0.0,0.0,,,,177.0,,,0.0,236.0,22003.0,-10934.0,,-11111.0,,10900.0,-33965784.0,0.0,0.0,,,,-21767.0,,10900.0,10900.0,,,16218007.0,,,
2018-06-30,2018-08-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,21634.0,,227.0,227.0,,,,0.0,30000000.0,,16586561.0,33947294.0,,,,,,0.0,,,,2917.0,,-2917.0,0.0,,,,,,,,,227.0,21634.0,,,-2917.0,,,-33968701.0,0.0,,,,,-21407.0,,3277.0,3277.0,,,16552351.0,,,
2018-09-30,2018-11-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,24556.0,,218.0,218.0,218.0,,,0.0,30000000.0,,16586561.0,33947294.0,,,,,,0.0,,,,2931.0,,-2931.0,0.0,,,,,,,,,218.0,24556.0,,,-2931.0,,,-33971632.0,0.0,,,,,-24338.0,,,,,,16586561.0,,,
2018-12-31,2019-03-27,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,23507.0,,209.0,209.0,209.0,-61.0,-61.0,0.0,30000000.0,16665661.0,16665661.0,33951249.0,0.0,0.0,85000.0,84000.0,,,,0.34,,19874.0,,-19874.0,0.0,0.0,4200.0,0.0,-4200.0,1681.0,,,0.0,209.0,23507.0,-18193.0,,-19874.0,405000.0,18132.0,-33974547.0,0.0,,0.0,0.0,250000.0,-23298.0,,18132.0,,4000.0,,16501501.0,,,
2019-03-31,2019-05-10,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,22180.0,,200.0,200.0,200.0,-9.0,-9.0,0.0,30000000.0,16980186.0,16980186.0,33963830.0,,,,,,0.0,,,,11263.0,,-11263.0,0.0,0.0,,,,-1327.0,,,0.0,200.0,22180.0,-12590.0,,-11263.0,,12581.0,-33985810.0,0.0,,,,,-21980.0,,12581.0,12581.0,,,16728566.0,,,
2019-06-30,2019-08-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,23202.0,,197.0,197.0,197.0,,,0.0,30000000.0,,17031161.0,33965869.0,,,,,,0.0,,,,3064.0,,-3064.0,0.0,,,,,,,,,197.0,23202.0,,,-3064.0,,,-33988874.0,0.0,,,,,-23005.0,,2039.0,2039.0,,,17013984.0,,,
2019-09-30,2019-11-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,26245.0,,197.0,197.0,197.0,,,0.0,30000000.0,,17031161.0,33965869.0,,,,,,0.0,,,,3043.0,,-3043.0,0.0,,,,,,,,,197.0,26245.0,,,-3043.0,,,-33991917.0,0.0,,,,,-26048.0,,,,,,17031161.0,,,
2019-12-31,2020-03-27,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,23926.0,,197.0,197.0,197.0,-12.0,,0.0,30000000.0,17195683.0,17195683.0,33971238.0,0.0,0.0,88000.0,88000.0,,,,0.21,,20420.0,,-20420.0,0.0,0.0,4200.0,0.0,-4200.0,419.0,,,0.0,197.0,23926.0,-20001.0,,-20420.0,425000.0,19989.0,-33994967.0,0.0,,0.0,0.0,250000.0,-23729.0,0.2,19989.0,,4000.0,,16974868.0,,,
2020-03-31,2020-05-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,22206.0,,197.0,197.0,197.0,0.0,,0.0,30000000.0,17420683.0,17420683.0,33984738.0,,,,,,0.0,,,,11780.0,,-11780.0,0.0,0.0,,,,-1720.0,,,0.0,197.0,22206.0,-13500.0,,-11780.0,,13500.0,-34006747.0,0.0,,,,,-22009.0,,13500.0,,,,17249786.0,,,
2020-06-30,2020-08-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,24514.0,,203.0,203.0,203.0,,,0.0,30000000.0,17451600.0,17451600.0,33986718.0,,,,,,0.0,,,,4282.0,,-4282.0,0.0,,,,,,,,,203.0,24514.0,,,-4282.0,,,-34011029.0,0.0,,,,,-24311.0,,1980.0,,,,17446467.0,,,
2020-09-30,2020-11-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,23638.0,,203.0,203.0,203.0,,,0.0,30000000.0,17518572.0,17518572.0,33991406.0,,,,,,0.0,,,,3812.0,-3812.0,-3812.0,0.0,,,,,,,,,203.0,23638.0,,,-3812.0,,,-34014841.0,0.0,,,,,-23435.0,,4688.0,,,17487250.0,17487250.0,17487250.0,,
2020-12-31,2021-03-29,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,13682.0,,203.0,203.0,203.0,6.0,,0.0,30000000.0,17707472.0,17707472.0,34006218.0,0.0,0.0,94500.0,93500.0,,,,0.21,,24730.0,-24730.0,-24730.0,0.0,0.0,5200.0,,-5200.0,-10244.0,,,0.0,203.0,13682.0,-34974.0,,-24730.0,450000.0,34980.0,-34019697.0,0.0,,0.0,0.0,250000.0,-13479.0,,34980.0,,5200.0,17431226.0,17431226.0,17431226.0,0.0,0.0
2021-03-31,2021-05-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,25459.0,,203.0,203.0,203.0,0.0,,0.0,30000000.0,17707472.0,17707472.0,34006218.0,,,,,,,,,,11777.0,,-11777.0,0.0,0.0,,,,11777.0,,,0.0,203.0,25459.0,0.0,,-11777.0,,0.0,-34031474.0,0.0,,,,,-25256.0,,,,,,17707472.0,,,
2021-06-30,2021-08-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,22726.0,,203.0,203.0,203.0,,,0.0,30000000.0,,17841098.0,34013207.0,,,,,,,,,,4256.0,,-4256.0,0.0,,,,,,,,,203.0,22726.0,,,-4256.0,,,-34035730.0,0.0,,,,,-22523.0,,6989.0,,,,17796754.0,,,
2021-09-30,2021-11-12,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,25393.0,,203.0,203.0,203.0,,,0.0,30000000.0,,17866871.0,34015951.0,,,,,,,,,,5411.0,-5411.0,,0.0,,,,,,,,,203.0,25393.0,,,-5411.0,,,-34041141.0,0.0,,,,,-25190.0,,2744.0,,,17858329.0,,17858329.0,,
