end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DeferredFederalIncomeTaxExpenseBenefit,DistributionMadeToLimitedPartnerCashDistributionsPaid,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmount,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageRateForeignDeposit
2012-07-31,2012-09-10,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,328398165.0,,,328398165.0,,,,,,,3250000.0,328284494.0,-342233.0,,,,,-0.1,,,,,,,,,,,320335990.0,328398165.0,,,,,,,,328398165.0,113671.0,,,,,-348518.0,348518.0,113671.0,6285.0,6285.0,,,,,,,,,,,,,348518.0,,,,,,328284494.0,,,,,29500000.0,3250000.0,4550000.0,,3363043.0,0.0
2012-10-31,2013-01-14,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,139.0,,,,333082495.0,,,333082495.0,-234559515.0,,,0.0,29500000.0,3150000.0,3150000.0,332968198.0,-1897330.0,,,,,-0.52,,-37889912.0,,15850.0,,,,,139.0,114158.0,310166419.0,333082495.0,272.0,,,,0.0,,,333082495.0,114297.0,-195055165.0,,-1614438.0,,-1886237.0,1886237.0,114158.0,-11093.0,-11093.0,,1614438.0,242487969.0,,242487969.0,,47432804.0,,,,,0.0,1885965.0,450000.0,47432804.0,1850000.0,194989127.0,,332968198.0,,,,,29500000.0,3150000.0,3150000.0,,6889315.0,0.0
2013-01-31,2013-03-08,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,307905579.0,,,307905579.0,-25176915.0,,,0.0,,,2850000.0,307795430.0,-337756.0,,,,,-0.11,,6943582.0,,-2469.0,,139.0,,,,110149.0,280348030.0,307905579.0,32.0,,,,0.0,,,307905579.0,110149.0,-31782611.0,,-337886.0,,-331269.0,331269.0,110149.0,-6487.0,-6487.0,,337886.0,31782611.0,,31782611.0,,,,,,,0.0,331237.0,,,300000.0,31782611.0,,307795430.0,,,,,29500000.0,2850000.0,2850000.0,,3096739.0,0.0
2013-04-30,2013-06-07,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,290913690.0,,,290913690.0,,,,0.0,29500000.0,2750000.0,2750000.0,290813137.0,-305236.0,,,,,-0.1,,,,,,,,,,,270244273.0,290913690.0,,,,,0.0,,,290913690.0,100553.0,,,,,-303414.0,303414.0,100553.0,,-1822.0,,,,,,,,,,,,0.0,303414.0,,,,,,,,,,,,,,,2956742.0,0.0
2013-07-31,2013-09-06,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,274707021.0,,,274707021.0,,,,0.0,29500000.0,2600000.0,2600000.0,274614405.0,-284544.0,,,,,-0.1,,,,,,,,,,,255244028.0,274707021.0,,,,,0.0,,,274707021.0,92616.0,,,,,-279517.0,279517.0,92616.0,,-5027.0,,,,,,,,,,,,0.0,279517.0,,,,,,,,,,,,,,,2667935.0,0.0
2013-10-31,2014-01-14,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,281580951.0,,,281580951.0,-51501544.0,,,0.0,29500000.0,2600000.0,2600000.0,281487323.0,-1484986.0,,,,,-0.53,,7739635.0,,-2574.0,,,,,,,254985630.0,281580951.0,32.0,,,,0.0,,,281580951.0,93628.0,-58028558.0,-58028558.0,-1212621.0,-1212621.0,-1464556.0,1464556.0,93628.0,,-20430.0,,1212621.0,,,110751399.0,,52722841.0,,,281487323.0,0.0,0.0,1464524.0,500000.0,52722841.0,1050000.0,110751399.0,,,,,,,,,2600000.0,,5369434.0,0.0
2014-01-31,2014-03-12,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,259632969.0,,,259632969.0,-21947982.0,,,0.0,29500000.0,2400000.0,2400000.0,259543949.0,-274502.0,0.0,,,,-0.11,,25927.0,,-2.0,,,,,,,235136599.0,259632969.0,,,,,0.0,,,259632969.0,89020.0,-21694083.0,,-279826.0,,-275216.0,275216.0,89020.0,,714.0,,279826.0,,,21694083.0,,,,,,,0.0,275216.0,,,200000.0,21694083.0,,,,,,,,,,,2514130.0,0.0
2014-04-30,2014-06-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,261241649.0,,,261241649.0,,,,0.0,29500000.0,2350000.0,2350000.0,261155775.0,-254417.0,,,,,-0.11,,,,,,,,,,,230010210.0,261241649.0,,,,,0.0,,,261241649.0,85874.0,,,,,-252909.0,252909.0,85874.0,,-1508.0,,,,,,,,,,,,0.0,252909.0,,,,,,,,,,,,,,,2345506.0,0.0
2014-07-31,2014-09-08,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,236571893.0,,,236571893.0,,,,0.0,29500000.0,2200000.0,2200000.0,236490712.0,-247693.0,,,,,-0.11,,,,,,,,,,,215114823.0,236571893.0,,,,,0.0,,,236571893.0,81181.0,,,,,-251933.0,251933.0,81181.0,,4240.0,,,,,,,,,,,,0.0,251933.0,,,,,,,,,,,,,,,2281522.0,0.0
2014-10-31,2015-01-14,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,68948.0,0.0,,202983199.0,195361180.0,202983199.0,202983199.0,-78597752.0,,,0.0,29500000.0,2000000.0,2000000.0,202914251.0,-1197894.0,0.0,,,,-0.54,,-12656089.0,,5600.0,,,,68948.0,,,195361180.0,202983199.0,,,,,0.0,,,202983199.0,68948.0,-64925305.0,-64925305.0,-1016358.0,-1016358.0,-1214498.0,1214498.0,68948.0,,16604.0,918989.0,1016358.0,,63599295.0,70337641.0,4893834.0,5412336.0,,,202914251.0,0.0,0.0,1214498.0,50000.0,5412336.0,650000.0,70337641.0,,,-13647767.0,,,,,,2000000.0,5412336.0,4354882.0,0.0
2015-01-31,2015-03-12,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,10602926.0,,,0.0,,185610990.0,,,185610990.0,-17372209.0,,,0.0,29500000.0,1650000.0,1650000.0,174942520.0,-205537.0,0.0,,,,-0.1,,8226156.0,,-2899.0,,,,65544.0,,,161016170.0,185610990.0,,,,,0.0,,,185610990.0,10668470.0,-25395202.0,-25395202.0,-203163.0,-203163.0,-196860.0,196860.0,65544.0,,-8677.0,,203163.0,,,25395202.0,,,,,,0.0,0.0,196860.0,,,350000.0,35550543.0,,,,,,,,,,,1916304.0,0.0
2015-04-30,2015-06-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,110487.0,,0.0,,176773452.0,,,176773452.0,,,,0.0,29500000.0,1700000.0,1700000.0,176604874.0,-390194.0,,,,,-0.23,,,,,,,,,,,165619048.0,176773452.0,216160.0,,,,0.0,,,176773452.0,168578.0,,,,,-381321.0,381321.0,58091.0,,-8873.0,,,,,,,,,,,0.0,0.0,165161.0,,,,,,,,,,,,,,,1668539.0,0.0075
2015-07-31,2015-09-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,106231.0,,0.0,,166763362.0,,,166763362.0,,,,0.0,29500000.0,1650000.0,1650000.0,166601222.0,-498677.0,,,,,-0.31,,,,,,,,,,,160276267.0,166763362.0,336133.0,,,,0.0,,,166763362.0,162140.0,,,,,-510251.0,510251.0,55909.0,,11574.0,,,,,,,,,,,0.0,0.0,174118.0,,,,,,,,,,,,,,,1669565.0,
2015-10-31,2016-01-14,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,61724.0,0.0,,181772227.0,179181973.0,181772227.0,181772227.0,-21210972.0,181772227.0,,0.0,29500000.0,1850000.0,1850000.0,181593105.0,-2094212.0,0.0,,0.0,61724.0,-1.2,,-4306565.0,,6419.0,,,,61724.0,117398.0,,179181973.0,181772227.0,1217775.0,,,117398.0,0.0,,,181772227.0,179122.0,,-15424392.0,,-1480015.0,-2104784.0,2104784.0,,,10572.0,1416522.0,1480015.0,,58464164.0,61084698.0,43701479.0,45660306.0,0.0,,181593105.0,0.0,0.0,887009.0,,,600000.0,61084698.0,,,-5896754.0,,,,29500000.0,1850000.0,1850000.0,45660306.0,3497698.0,
2016-01-31,2016-03-11,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,169648245.0,173830074.0,169648245.0,169648245.0,-12123982.0,,,0.0,,,,,-505647.0,,,0.0,57450.0,-0.28,,-6793406.0,,6699.0,0.0,,,57450.0,109975.0,,,169648245.0,338718.0,,,109975.0,0.0,,,169648245.0,167425.0,,-4809531.0,,-521045.0,-516047.0,516047.0,,,10400.0,523130.0,521045.0,,4828769.0,4809531.0,0.0,,0.0,,169480820.0,0.0,0.0,177329.0,,,,,,,-7302754.0,,,,29500000.0,1800000.0,1800000.0,,1832065.0,
2016-04-30,2016-06-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,165761741.0,158882629.0,165761741.0,165761741.0,,,,0.0,,,,,-488130.0,,,0.0,54324.0,-0.28,,,,,,,,,,,,165761741.0,314041.0,,,103611.0,0.0,,,165761741.0,157935.0,,,,,-478055.0,478055.0,,,-10075.0,,,,,,,,,,165603806.0,0.0,0.0,164014.0,,,,,,,,,,,29500000.0,1650000.0,1650000.0,,1692222.0,
2016-07-31,2016-09-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,163923528.0,158423894.0,163923528.0,163923528.0,,,,0.0,,,,,-479416.0,,,0.0,55512.0,-0.29,,,,,,,,,,,,163923528.0,311308.0,,,105880.0,0.0,,,163923528.0,161392.0,,,,,-474531.0,474531.0,,,-4885.0,,,,,,,,,,163762136.0,0.0,0.0,163223.0,,,,,,,,,,,29500000.0,1650000.0,1650000.0,,1650000.0,
2016-10-31,2017-01-12,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,154893571.0,153174252.0,154893571.0,154893571.0,-26878656.0,154893571.0,-26878656.0,0.0,,,,,-2391601.0,,,0.0,52453.0,-1.43,-342.0,-453417.0,-453417.0,-342.0,0.0,,,52453.0,100045.0,,,154893571.0,1573947.0,,,100045.0,0.0,,,154893571.0,152498.0,-24465081.0,-24465081.0,-1960158.0,-1960158.0,-2397751.0,2397751.0,,,6150.0,1929188.0,1960158.0,,24078533.0,24465081.0,0.0,,0.0,,154741073.0,0.0,0.0,823804.0,,,,,,,-2386951.0,,0.0,,29500000.0,1600000.0,1600000.0,0.0,3318062.0,
2017-01-31,2017-03-13,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,149963465.0,147953955.0,149963465.0,149963465.0,-4930106.0,,,0.0,,,,,-448584.0,,,0.0,50923.0,-0.28,,246706.0,,-252.0,0.0,,,50923.0,97160.0,,,149963465.0,287820.0,,,97160.0,0.0,,,149963465.0,148083.0,,-4733259.0,,-443553.0,-438886.0,438886.0,,,-9698.0,447279.0,443553.0,,4773018.0,4733259.0,0.0,,0.0,,149815382.0,0.0,0.0,151066.0,,,,,,,-192432.0,,,,29500000.0,1550000.0,1550000.0,0.0,1581522.0,
2017-04-30,2017-06-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,148205106.0,147530773.0,148205106.0,148205106.0,,148205106.0,,0.0,,,,,-419691.0,,,0.0,48703.0,-0.27,,,,,,,,,,,,148205106.0,273462.0,,,92637.0,0.0,,,148205106.0,141340.0,,,,,-417239.0,417239.0,,,-2452.0,,,,,,,,,,148063766.0,0.0,0.0,143777.0,,,,,,,,,0.0,,29500000.0,1550000.0,1550000.0,,1550000.0,
2017-07-31,2017-09-11,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,157379891.0,151847987.0,157379891.0,157379891.0,,157379891.0,,0.0,,,,,-462425.0,,,0.0,53225.0,-0.29,,,,,,,,,,,,157379891.0,303040.0,,,106266.0,0.0,,,157379891.0,159491.0,,,,,-459260.0,459260.0,,,-3165.0,,,,,,,,,,157220400.0,0.0,0.0,156220.0,,,,,,,,,0.0,,29500000.0,1600000.0,1600000.0,,1580978.0,
2017-10-31,2018-01-11,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,151886127.0,151400092.0,151886127.0,151886127.0,-3007444.0,151886127.0,-3007444.0,0.0,,,,,-2219960.0,,,0.0,51576.0,-1.4100000000000001,1887.0,-1211008.0,-1211008.0,1887.0,0.0,,,51576.0,98099.0,,,151886127.0,1463384.0,,,98099.0,0.0,,,151886127.0,149675.0,-23106.0,-23106.0,-1773330.0,-1773330.0,-2229403.0,2229403.0,,,9443.0,1751340.0,1773330.0,,28503512.0,28861393.0,28480692.0,28838287.0,0.0,,151736452.0,0.0,0.0,766019.0,,,,,,,-2981515.0,,,,29500000.0,1600000.0,1600000.0,28838287.0,3178356.0,
2018-01-31,2018-03-12,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,157315103.0,146240120.0,157315103.0,157315103.0,5428976.0,,,0.0,,,,,-461541.0,,,0.0,53420.0,-0.28,,10694791.0,,-10540.0,0.0,,,,,,,157315103.0,287041.0,,,101606.0,,,,157315103.0,155026.0,,-4822777.0,,-443038.0,,,,,-23692.0,434133.0,,,4725839.0,,0.0,,,,,0.0,,,,,,,,,10246402.0,,,,29500000.0,1550000.0,,,1551087.0,
2018-04-30,2018-06-11,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,156814239.0,155230416.0,156814239.0,,,,,0.0,,,,,-428843.0,,,0.0,51532.0,,,,,,,,,,,,,156814239.0,,,,98015.0,,,,156814239.0,149547.0,,,,,,,,,17541.0,,,,,,,,,,,0.0,,,,,,,,,,,,,29500000.0,1650000.0,,,,
2018-07-31,2018-09-07,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,0.0,,165815843.0,164157685.0,165815843.0,,,,,0.0,,,,,-449122.0,,,0.0,54750.0,,,,,,,,,,,,,161082637.0,,,,104038.0,,,,165815843.0,158788.0,,,,,,,,,-1852.0,,,,,,,,,,165657055.0,0.0,,,,,,,,,,,,,29500000.0,1750000.0,1750000.0,,,
2018-10-31,2019-01-11,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,176670999.0,177713358.0,176670999.0,,,,24784872.0,0.0,,,,,,,,0.0,59992.0,-1.11,-2134723.0,,-2136824.0,,0.0,,,8416.0,113716.0,,,176670999.0,1206494.0,,1190877.0,113716.0,0.0,,,176670999.0,173708.0,28737015.0,,-1817420.0,,-1841453.0,1841453.0,,,,1774292.0,1815319.0,,14121783.0,14448315.0,42209341.0,43185330.0,0.0,1841453.0,176497291.0,0.0,0.0,634959.0,,,,,,,-3976176.0,,,,29500000.0,1900000.0,1900000.0,43185330.0,1651644.0,
2019-03-31,2019-05-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,149551411.0,148938249.0,149551411.0,,,149551411.0,-25644826.0,,,,,,,,0.0,0.0,50885.0,-0.27,-1612200.0,,,,0.0,0.0,,-10576.0,,,,149551411.0,295940.0,,295940.0,97083.0,0.0,,,149551411.0,147968.0,-23550864.0,,-481762.0,,-451167.0,451167.0,,,,478390.0,,,32604681.0,32867039.0,9312870.0,9316175.0,,451167.0,149403443.0,0.0,0.0,155227.0,,,,,,,,-2063367.0,,,29500000.0,1600000.0,1600000.0,9316175.0,1678889.0,
2019-06-30,2019-08-08,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,147555865.0,,143866968.0,147555865.0,,,147555865.0,,,,,,,,,,,50470.0,-0.27,,,,,,,,,,,,147555865.0,281876.0,,,96000.0,0.0,,146470.0,147555865.0,,,,,,-430071.0,430071.0,,,,,,,,,,,,430071.0,147409395.0,0.0,0.0,148195.0,,,,,,,,,,,29500000.0,1550000.0,1550000.0,,1602198.0,
2019-09-30,2019-11-12,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,143854054.0,,143444069.0,143854054.0,,,143854054.0,,,,,,,,,,,48595.0,-0.27,,,,,,,,,,,,143854054.0,285889.0,,,92429.0,0.0,0.0075,141024.0,143854054.0,,,,,,-433703.0,433703.0,,,,,,,,,,,,433703.0,143713030.0,0.0,0.0,147814.0,,,,,,,,,,,29500000.0,1550000.0,1550000.0,,1585870.0,
