end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccruedFeesAndOtherRevenueReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CustodyFees,DebtInstrumentCollateralAmount,DebtSecuritiesTradingRealizedGainLoss,Deposits,DepositsMoneyMarketDeposits,DividendIncomeOperating,DividendsReceivable,DueFromRelatedParties,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueFromOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInInsuranceLiabilities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentCompanyRegistrationExpense,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentsFairValueDisclosure,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,OtherPayablesToBrokerDealersAndClearingOrganizations,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,RestrictedCashAndCashEquivalents,RestrictedCashAndCashEquivalentsAtCarryingValue,Revenues,TradingLiabilities,TradingSecuritiesRealizedGainLoss,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding,DebtInstrumentInterestRateStatedPercentage
2012-06-30,2012-08-09,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,207183.0,112043942.0,25989702.0,94385491.0,,,,,4422.0,,,,48232821.0,74142372.0,8308.0,2209.0,,,52108.0,1789753.0,6454.0,-6014750.0,,,,,,,,,,,,,,,,,,,2430.0,,,,,,2137460.0,112043942.0,,109906482.0,2900000.0,,,,,,,,,,-26030159.0,-7.85,-7.91,-7.91,-7.85,,,265297.0,128800.0,11806.0,,5250.0,9617.0,,,109906482.0,,,,,,,37488.0,,,,,,,-19766100.0,3316484.0,
2012-09-30,2012-11-09,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,188943.0,115490718.0,12212476.0,103067786.0,,,,,4202.0,,,,23131913.0,92148349.0,5988.0,2220.0,,,60447.0,,6319.0,227490.0,,,,,,,,,,,,,,,,,,,3078.0,18.0,,,,,355394.0,115490718.0,,115135324.0,2850000.0,,,,,,,,,,8544131.0,2.76,2.5,2.5,2.76,,,248705.0,116298.0,10836.0,,2100.0,8585.0,,,115135324.0,,,,,,,33309.0,,,,,,,8554180.0,3093478.0,
2012-12-31,2013-03-13,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,807686.0,99884893.0,11533441.0,86708443.0,-37027969.0,,,,3642.0,,,,12085820.0,86156064.0,28563.0,2669.0,,,49895.0,,21804.0,-6954520.0,0.0,,0.0,,-14.0,,753.0,,-1619.0,-30603108.0,,0.0,-44010.0,0.0,-2380.0,-44043.0,,-33.0,9817.0,,,,92755785.0,,363111.0,99884893.0,20192.0,99521782.0,2500000.0,,,,,,-59569320.0,,22541351.0,,-12467716.0,-3.24,-4.24,-4.24,-3.24,25332.0,20000.0,1271038.0,83430.0,12094.0,150000.0,12950.0,153.0,,,99521782.0,101599752.0,161169072.0,2550000.0,3950000.0,,101599752.0,130520.0,,,-9348400.0,0.0,,-2445210.0,-2445210.0,3205464.0,
2013-03-31,2013-05-10,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,153776.0,102860232.0,6995702.0,91933163.0,5224720.0,,,,3642.0,20000.0,,,26772801.0,72156064.0,5612.0,1846.0,,,50442.0,,3982.0,1165190.0,0.0,,,,0.0,,-823.0,,,-4537739.0,,,-23379.0,233.0,,,,0.0,2195.0,,,,77175447.0,,281787.0,102860232.0,3844.0,102578445.0,2500000.0,,,,,,-184249.0,,5408969.0,,3240912.0,1.26,1.22,1.22,1.26,,,247095.0,60051.0,9157.0,200000.0,2450.0,7277.0,,,102578445.0,20455450.0,20639699.0,500000.0,500000.0,,20455450.0,50818.0,,,3488007.0,,,2312560.0,2312560.0,2567222.0,
2013-06-30,2013-08-09,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,129566.0,72365739.0,6076826.0,65813839.0,,,,,2762.0,,,,9734601.0,62156064.0,4817.0,1521.0,,,37660.0,,2289.0,1133470.0,0.0,,,,,,,,,,,,,,,,,,1619.0,,,,66155111.0,,244627.0,72365739.0,,72121112.0,1800000.0,,,,,,,,,,-2501871.0,-1.15,,-0.96,,,,220417.0,28243.0,8916.0,,2800.0,6548.0,,,72121112.0,,,,,,,49959.0,,,-2281454.0,,,,-3424160.0,2182418.0,
2013-09-30,2013-11-12,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,122169.0,78027624.0,477584.0,73975422.0,,,,,2762.0,,,,12296941.0,62156065.0,3978.0,1285.0,,,39769.0,,2066.0,2762210.0,0.0,,,,,,,,,,,,,,,,,,1236.0,,,,66155725.0,,290768.0,78027624.0,,77736856.0,1800000.0,,,,,,,,,,5687856.0,3.05,,3.12,,,,205028.0,3613.0,7799.0,,1050.0,6153.0,,,77736856.0,,,,,,,50508.0,,,5892884.0,,,,3124410.0,1864130.0,
2013-12-31,2014-03-10,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,153.0,,,291402.0,510978.0,64576370.0,3548144.0,59384208.0,-27324235.0,,,,2212.0,,,,11776288.0,51156064.0,18055.0,1218.0,,,32864.0,,9848.0,6302760.0,0.0,,350.0,,0.0,,-1451.0,-81536.0,79.0,-7985297.0,,0.0,-81960.0,0.0,-1430.0,-81536.0,,2141524.0,6576.0,,,,,,2472004.0,64576370.0,12774.0,62104366.0,1450000.0,,,,,1062.0,-40854136.0,,13529901.0,,4729591.0,2.71,,2.66,,19340.0,20000.0,1012934.0,1820.0,9780.0,150000.0,8050.0,5472.0,,350.0,62104366.0,26960147.0,69955807.0,650000.0,1700000.0,,26960147.0,207412.0,,,5742525.0,2141524.0,,85540.0,85540.0,2061096.0,
2014-03-31,2014-05-12,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,86453.0,57590167.0,3086894.0,51746053.0,-7638155.0,,,,2212.0,,,,18676882.0,36156065.0,3037.0,1009.0,,,29806.0,,1400.0,525150.0,0.0,,-350.0,,,,-209.0,5205.0,-1062.0,-461250.0,,,5731.0,-654.0,0.0,,,-2141524.0,1828.0,,,,,,260976.0,57590167.0,2161.0,57329191.0,1300000.0,,,,,,-6266516.0,,-1371639.0,,1491341.0,1.09,,1.27,,4177.0,20000.0,145584.0,7551.0,6338.0,175000.0,700.0,4818.0,,,57329191.0,,6266516.0,,150000.0,,0.0,51393.0,,,1636925.0,0.0,,1106210.0,1106210.0,1371667.0,
2014-06-30,2014-08-11,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,188406.0,86481.0,59185131.0,601117.0,53303006.0,,,,,2212.0,,,,17748058.0,36156065.0,2499.0,829.0,,,28643.0,,1116.0,1515340.0,0.0,,,,,,,,,,,,,,,,,,1326.0,,,,,,223953.0,59185131.0,2162.0,58961178.0,1250000.0,,,,,,,,,,3912676.0,3.06,,3.07,,4268.0,,132839.0,5519.0,7280.0,,350.0,4692.0,,,58961178.0,,,,,,,37462.0,,,4045515.0,0.0,,,2526000.0,1279121.0,
2014-09-30,2014-11-10,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,208712.0,81958.0,48305757.0,2403642.0,47506972.0,,,,,2212.0,,,,13754549.0,36156065.0,2460.0,829.0,,,25223.0,,1076.0,454600.0,0.0,,,,,,,,,,,,,,,,,,1506.0,,,,,,240297.0,48305757.0,2050.0,48065460.0,1150000.0,,,,,,,,,,-6540319.0,-5.36,,-5.37,,3861.0,,115775.0,3464.0,5911.0,,700.0,4150.0,,,48065460.0,,,,,,,26830.0,,,-6424544.0,0.0,,,-6883810.0,1219565.0,
2014-12-31,2015-03-16,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,0.0,0.0,,230056.0,316392.0,37484692.0,19785491.0,33464533.0,-25919675.0,,,,2012.0,,,,29250024.0,24000000.0,10129.0,640.0,,,17971.0,,4643.0,402190.0,0.0,,0.0,,0.0,,-578.0,0.0,-1046.0,16237347.0,,-153.0,,,0.0,0.0,,-2141524.0,5708.0,,,,,,251767.0,37484692.0,10071.0,37232925.0,1400000.0,,,,,16.0,-9536630.0,-9536630.0,-16383045.0,-16383045.0,-36475844.0,-14.92,,-31.45,,15649.0,20000.0,583282.0,,,169000.0,3150.0,,,350.0,37232925.0,6837236.0,12902604.0,250000.0,300000.0,,5507498.0,142796.0,,,-35892562.0,0.0,,-18738510.0,-18738510.0,1260685.0,
2015-03-31,2015-05-07,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,1659.0,,129296.0,92815.0,72053646.0,21607192.0,66299966.0,32835433.0,,,,4262.0,,,,63907158.0,24000000.0,1776.0,612.0,,,37491.0,,6437.0,-6344216.0,0.0,,-350.0,,,,-28.0,1659.0,-16.0,1821701.0,,,,,2250.0,,,0.0,4053.0,,,,,,173548.0,72053646.0,2320.0,71880098.0,3000000.0,,,,,0.0,41194167.0,,-8358734.0,,-5217256.0,-2.08,,-2.63,,2905.0,20000.0,125096.0,,,175000.0,5950.0,,,0.0,71880098.0,39864429.0,,1600000.0,,,41194167.0,20619.0,,,-5092160.0,,,1240277.0,1240277.0,2506111.0,
2015-06-30,2015-08-05,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,572.0,,130492.0,127382.0,80694583.0,8457363.0,73520846.0,,,,,4262.0,,,,57978209.0,24000000.0,1795.0,591.0,,,40160.0,,3728.0,-5696095.0,0.0,,,,,,,,,,,,,,,,,,8891.0,,,,,,178284.0,80694583.0,3186.0,80516299.0,3000000.0,,,,,0.0,,,,,8713790.0,2.75,,2.88,,2458.0,,174595.0,,,,2800.0,,,0.0,80516299.0,,,,,,,37841.0,,,8888385.0,,,,14570994.0,3170330.0,
2015-09-30,2015-11-06,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,144535.0,108930.0,70728873.0,21063388.0,62656498.0,,,,,5162.0,,,,70719886.0,13000000.0,1254.0,366.0,,,34979.0,,5205.0,-7454670.0,0.0,,,,,,,,,,,,,,,,,,11401.0,,,,,,187680.0,70728873.0,2722.0,70541193.0,3450000.0,,,,,87.0,,,,,-19286166.0,-5.78,,-6.39,,2311.0,,141411.0,,,,3850.0,,,0.0,70541193.0,,,,,,,22243.0,,,-19144755.0,,,,-11706590.0,3335870.0,
2015-12-31,2016-03-11,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,0.0,,153445.0,433957.0,70729815.0,29320958.0,61380282.0,27915749.0,,,,5162.0,,,,83701240.0,7000000.0,5737.0,204.0,,0.0,34039.0,,19025.0,-24569061.0,0.0,,-350.0,,0.0,,-436.0,0.0,726.0,9535467.0,,0.0,,,0.0,,,,43003.0,,,,,,196218.0,70729815.0,10849.0,70533597.0,4150000.0,,,,,742.0,62585356.0,62585356.0,-34669607.0,-34669607.0,-40120260.0,-8.87,,-13.04,,9808.0,20000.0,709910.0,,,100000.0,16450.0,,,0.0,70533597.0,87966232.0,-26710614.0,3850000.0,1100000.0,,89295970.0,101867.0,,,-39410350.0,,,-2875569.0,-2875569.0,3151781.0,
2016-03-31,2016-05-04,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,1872.0,,79778.0,131164.0,111332837.0,21816415.0,98622206.0,37241924.0,,,,7362.0,,,,108438621.0,12000000.0,5400.0,2463.0,,,55466.0,,8669.0,-9396160.0,0.0,,0.0,1872.0,,,2259.0,1872.0,-742.0,-7504543.0,,,,,0.0,,,,44057.0,,,,,,146401.0,111332837.0,3279.0,111186436.0,6800000.0,,,,,0.0,39299030.0,39299030.0,-2057106.0,-2057106.0,1353809.0,0.24,,-0.65,,2281.0,20000.0,168348.0,,,143000.0,7350.0,,,,111186436.0,39299030.0,,2650000.0,,,39299030.0,22955.0,,,1522157.0,,,10861510.0,10861510.0,5659890.0,
2016-06-30,2016-08-05,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,570.0,,46502.0,177299.0,125186796.0,7995769.0,103845732.0,,,,,7362.0,,,,90841501.0,21000000.0,13521.0,4521.0,,4220012.0,59809.0,,3747.0,-2593212.0,0.0,,,,,,,,,,,,,,,,,,74966.0,,,,,,4338634.0,125186796.0,4433.0,120848162.0,6250000.0,,,,,0.0,,,,,19739794.0,3.04,,2.99,,2754.0,,208254.0,,,,2450.0,,,,120848162.0,,,,,,,20021.0,,,19948048.0,,,,22450323.0,6497802.0,
2016-09-30,2016-11-07,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,61562.0,174407.0,130379668.0,7994581.0,112343004.0,,,,,7362.0,,,,83337585.0,37000000.0,20080.0,8505.0,,7411179.0,55832.0,,4869.0,501686.0,0.0,,,,,,,,,,,,,,,,,,77074.0,,,,,,7541245.0,130379668.0,4360.0,122838423.0,6550000.0,,,,,434.0,,,,,-2911692.0,-0.45,,-0.59,,2860.0,,206706.0,,,,2800.0,,,,122838423.0,,,,,,,20210.0,,,-2704986.0,,,,-3306626.0,6411413.0,
2016-12-31,2017-03-10,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,0.0,,80375.0,668511.0,141659167.0,6997275.0,117373323.0,33669358.0,124370598.0,,,7362.0,,,,87370598.0,37000000.0,69128.0,10794.0,,15112791.0,64286.0,,22207.0,-7435894.0,0.0,,0.0,,0.0,,10590.0,,697.0,-22323683.0,,0.0,,,15112791.0,,,,280850.0,0.0,,,,,15271359.0,141659167.0,16713.0,126387808.0,6200000.0,,,,668511.0,1439.0,26480846.0,26480846.0,7188512.0,29512195.0,40564819.0,4.69,,5.03,,10843.0,20000.0,1028438.0,,,85000.0,15750.0,,,,126387808.0,56075976.0,29595130.0,3600000.0,1550000.0,,56075976.0,87599.0,,,41593257.0,,0.0,37249404.0,37249404.0,6263251.0,
2017-03-31,2017-05-05,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,3443.0,,53271.0,173067.0,108451901.0,8418848.0,99926087.0,-16025663.0,,,,7362.0,,,,78344935.0,30000000.0,43025.0,13817.0,,0.0,54740.0,,4132.0,6144519.0,0.0,,,3443.0,0.0,,3023.0,,-1439.0,1421573.0,,,,,-15112791.0,,,,108478.0,,,71384450.0,,,118769.0,108451901.0,4327.0,108333132.0,5850000.0,,,,,0.0,-6907733.0,-6907733.0,-9117930.0,-10539503.0,-11146943.0,-1.85,,-1.87,,3120.0,20000.0,256646.0,,,150000.0,1750.0,,,,108333132.0,2967754.0,9875487.0,150000.0,500000.0,,2967754.0,72000.0,,,-10890297.0,,,-17188069.0,-17188069.0,6039444.0,
2017-06-30,2017-08-07,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,2146.0,,48418.0,159419.0,114257393.0,25688812.0,98798423.0,,,,,7362.0,,,,101787235.0,22700000.0,43444.0,13921.0,,0.0,52525.0,,4709.0,474575.0,0.0,,,,,,,,,,,,,,,,,,144453.0,,,,,,111423.0,114257393.0,3985.0,114145970.0,6800000.0,,,,159419.0,0.0,,,,,-9895724.0,-1.63,,-1.73,,3468.0,,225381.0,,,,2800.0,,,,114145970.0,,,,,,,53800.0,,,-9670343.0,,,,-10335615.0,6056044.0,
2017-09-30,2017-11-06,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,353.0,,72717.0,168628.0,109095456.0,19614897.0,89534920.0,,,,,7362.0,,19614897.0,,86449817.0,22700000.0,51363.0,16316.0,,0.0,54271.0,,4643.0,-390455.0,0.0,,,,,,,,,,,,,,,,,,219011.0,9844.0,,,,,1968927.0,109095456.0,4216.0,107126529.0,5850000.0,,,,168628.0,0.0,,,,,9832876.0,1.53,,1.52,,3844.0,,214528.0,,,,2800.0,,,,107126529.0,,,,,,,33197.0,,,10047404.0,,,,10164685.0,6439130.0,
