end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTrade,AccountsPayableTradeCurrent,AccountsPayableTradeCurrentAndNoncurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdvancesToAffiliate,AmortizationOfFinancingCosts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalizedComputerSoftwareAmortization1,CapitalizedComputerSoftwareImpairments1,CapitalizedContractCostAccumulatedAmortization,CapitalizedSoftwareDevelopmentCostsForSoftwareSoldToCustomers,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtDefaultLongtermDebtAmount,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,DepositLiabilitiesAccruedInterest,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,ExtinguishmentOfDebtGainLossNetOfTax,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestExpense,InterestPayableCurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LitigationReserveCurrent,LoansPayable,LongTermDebt,LongTermNotesPayable,MarketingExpense,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAccruedLiabilitiesCurrent,OtherLaborRelatedExpenses,OtherLiabilitiesCurrent,OtherNoncashIncomeExpense,OtherPrepaidExpenseCurrent,PaymentsForSoftware,PaymentsOfDebtIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SellingAndMarketingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,ShortTermBorrowings,StockholdersEquity,StockholdersEquityOther,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueDividendReinvestmentPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2013-03-31,2014-04-14,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,12068.0,,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,,,18780.0,,,,,,,,,,,,,,,,,16500.0,,,,,,,,,,2280.0,,,,321601.0,,321601.0,,,,,,,,,0.0,,-18780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-367901.0,,0.0,,,,,,,,,,,,,,,,,,,,
2013-06-30,2014-04-14,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,12818.0,,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,,,17030.0,,,,,,,,,,-0.02,,,,,,,14750.0,,,,,,,,,,2280.0,,,,,,338631.0,,,,,,,,,,,-17030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-384931.0,,0.0,,,,,,,,,,,,,,,,,,,,1088740.0
2013-09-30,2014-04-14,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,13568.0,,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,,,17030.0,,,,,,,,,,-0.02,,,,,,,14750.0,,,,,,,,,,2280.0,,,,,,355661.0,,,,,,,,,,,-17030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-401961.0,,0.0,,,,,,,,,,,,,,,,,,,,1088740.0
2013-12-31,2014-05-12,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,2250.0,2250.0,,,38760.0,46191.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,109.0,,,331681.0,,69870.0,,,,,,,,,,-0.06,,,,,,,60750.0,,,,,,,,,,9120.0,,,,372691.0,0.0,372691.0,,,,,,,,12068.0,0.0,-12068.0,-69870.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-418991.0,,0.0,,,,,,,,,-372691.0,,,,,,,,,,,1088740.0
2014-03-31,2014-05-12,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,4750.0,,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,109.0,,,,,10324.0,,,,,,,,,,-0.01,,,,,,,7500.0,,,,,,,,,,2824.0,,,,321601.0,,321601.0,,,,,,,,0.0,0.0,0.0,-10324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-429315.0,,0.0,,,,,,,,,,,,,,,,,,,,1088740.0
2014-06-30,2014-08-19,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,8625.0,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,,,9793.0,,,,,,,,,,-0.01,,,,,,,6875.0,,,,,,,,,,2918.0,,,,,0.0,392808.0,,,,,,,,,,,-9793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-439108.0,,0.0,,,,,,,,,-392808.0,,,,,,,,,,,1088740.0
2014-09-30,2014-11-14,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,7625.0,,,47406.0,46191.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,109.0,,,331681.0,,8779.0,,,,,,,,,,-0.01,,,,,,,5875.0,,,,,,,,,,2904.0,,,,401587.0,0.0,401587.0,,,,,,,,,,,-8779.0,,,,,,14875.0,,,,,,,,,,,,,,,,,,,,,,-447887.0,,0.0,,,,,,,,,-401587.0,,,,,,,,,,,1088740.0
2014-12-31,2015-04-07,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,12800.0,12800.0,,,46191.0,,,18375.0,,,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,,,109.0,,,331681.0,,40475.0,,,,,,,,,,-0.04,,,,,,,28925.0,,,,,,,,,,11550.0,50310.0,,,413166.0,0.0,413166.0,,,,,,,,18375.0,0.0,-18375.0,-40475.0,,,,,,,,,,,,,,,,,,,,,,,,,18375.0,,,-459466.0,,0.0,,,,,,,,,-413166.0,,,,,,,,,,,1088740.0
2015-03-31,2015-05-14,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10800.0,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,,,,109.0,,,,,10577.0,,,,,,,,,,-0.01,,,,,,,7738.0,,,,,,,,,,2839.0,,,,423743.0,0.0,423743.0,,,,,,,,9738.0,0.0,-9738.0,-10577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-470043.0,,0.0,,,,,,,,,-423743.0,,,,,,,,,,,1088740.0
2015-06-30,2015-08-19,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,8655.0,,,,46191.0,,,41282.0,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,331681.0,,13895.0,,,,,,,,,,-0.01,,,,,,,11024.0,,,,,,,,,,2871.0,,,,437639.0,0.0,437639.0,,,,,,,,,,,-13895.0,,,,-13895.0,,,,,,,,,,,,,,,,,,,,,,,,-483939.0,,0.0,,,,,,,,,-437639.0,,,,,,,,,,,1088740.0
2015-09-30,2015-11-23,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,11170.0,,,,1368701.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,-648000.0,,,,599.0,,,,,687108.0,,,,,,,,,,-0.16,,,,,,,11714.0,,,,,,,,,,2894.0,,,,449747.0,0.0,449747.0,,,,,,,,,,,-687108.0,,,,-687108.0,,,,,,,,,,,,,,,,,,,,,,,,-1171047.0,,0.0,,,,,,,,,-449747.0,,,,,,,,,,,4337653.0
2015-12-31,2016-04-14,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,12906.0,12906.0,,61783.0,1368701.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0001,648000.0,900000000.0,5988740.0,5988740.0,599.0,,,,,722114.0,2500.0,,,,,,61783.0,,56410.0,-0.23,,,,,,,38142.0,,,11579.0,,,,,,,11472.0,61783.0,,,460280.0,0.0,131099.0,329181.0,,,329181.0,,,,38035.0,,-38035.0,-722114.0,,,,-722114.0,,,,,,,,,,0.0001,10000000.0,,,,,,,,38035.0,,56410.0,,,-1181580.0,,0.0,,,,,,,,,-460280.0,,,,675000.0,,,,,,,3142713.0
2016-03-31,2016-05-26,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,,19857.0,,,720941.0,,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,0.0,,,,359.0,,,,,13597.0,,,,,,,64620.0,,,0.0,,,,,,,10760.0,,,9788.0,,,,,,,2837.0,,,,473877.0,0.0,144696.0,,,,329181.0,,,,3809.0,0.0,-3809.0,-13597.0,,,,-13597.0,,,,,,,,,,,,,,,,,,,3809.0,,,,,-1195177.0,,0.0,,,,,,,,,-473877.0,,,,,,,,,,,5988740.0
2016-06-30,2018-07-16,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10943.0,,,,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3588740.0,3588740.0,359.0,,,,,2915.0,,,,,,,,,69243.0,0.0,,,,,,,110.0,,,,,,,,,,2805.0,67393.0,,,476760.0,0.0,147579.0,329181.0,,,,,,,,,,-2915.0,,,,-2915.0,1198092.0,,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,-1198060.0,,,,,,,,,,,-476760.0,,,,,,,,,,,3588740.0
2016-09-30,2018-07-20,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10943.0,,,70229.0,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3588740.0,3588740.0,359.0,,,,,3638.0,,,,,,,,,70045.0,0.0,,,,,,,802.0,,,,,,,,,,2836.0,,,,480398.0,0.0,151217.0,329181.0,,,,,,,,,,-3638.0,,,,-3638.0,1201698.0,,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,-1201698.0,,,,,,,,,,,-480398.0,,,,,,,,,,,3588740.0
2016-12-31,2018-08-07,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10943.0,,,73065.0,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3588740.0,3588740.0,359.0,,,,,23248.0,,,,,,,,,70339.0,0.0,,,,,,,11966.0,,,9319.0,,,,,,,11282.0,73065.0,,,483528.0,0.0,154347.0,329181.0,,,,,,,13929.0,,-13929.0,-23248.0,,,,-23248.0,1204828.0,,,,,,,,,0.0001,10000000.0,,,,,,,,13929.0,,,,,-1204828.0,,,,,,,,,,,-483528.0,,,,,,,,,,,4188740.0
2017-03-31,2018-08-17,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10943.0,,,,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3588740.0,3588740.0,359.0,,,,,2879.0,,,,,,,,,70444.0,0.0,,,,,,,105.0,,,2774.0,,,,,,,2774.0,75839.0,,,486407.0,0.0,157226.0,329181.0,,,,,,,105.0,,-105.0,-2879.0,,,,-2879.0,1207707.0,,,,,,,,,0.0001,10000000.0,,,,,,,,105.0,,,,,-1207707.0,,,,,,,,,,,-486407.0,,,,,,,,,,,3588740.0
2017-06-30,2018-08-20,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10943.0,,,,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3588740.0,3588740.0,359.0,,,,,2805.0,,,,,,,,,70444.0,0.0,,,,,,,,,,,,,,,,,2805.0,78644.0,,,489212.0,0.0,160031.0,329181.0,,,,,,,,,,-2805.0,,,,-2805.0,1210512.0,,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,-1210512.0,,,,,,,,,,,-489212.0,,,,,,,,,,,3588740.0
2017-09-30,2018-08-22,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10943.0,,,,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3588740.0,3588740.0,359.0,,,,,2836.0,,,,,,,,,70444.0,0.0,,,,,,,,,,,,,,,,,2836.0,81480.0,,,492048.0,0.0,162867.0,329181.0,,,,,,,,,,-2836.0,,,,-2836.0,1213348.0,,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,-1213348.0,,,,,,,,,,,-492048.0,,,,,,,,,,,3588740.0
2017-12-31,2018-08-27,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,10943.0,,,10943.0,,,,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3588740.0,3588740.0,359.0,,413494.0,,,105.0,,,,,,,,,70444.0,0.0,,,,,,,105.0,,,11251.0,,,,,,,11251.0,84316.0,,,494884.0,0.0,165703.0,329181.0,,,,,,,105.0,,-105.0,-11356.0,,,,-105.0,1216184.0,,,,,,,,,0.0001,10000000.0,,,,,,,,105.0,105.0,,,,-1216184.0,,,,,,,,,,,-494884.0,,,,,,,,,,,3588740.0
2018-03-31,2018-08-29,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10943.0,,,,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3588740.0,3588740.0,359.0,,,,,2774.0,,,,,,,,,70444.0,0.0,,,,,,,,,,2774.0,,,,,,,2774.0,87090.0,,,497658.0,0.0,168477.0,329181.0,,,,,,,,,,-2774.0,,,,-2774.0,1218958.0,,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,-1218958.0,,,,,,,,,,,-497658.0,,,,,,,,,,,3588740.0
2018-06-30,2018-09-10,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,,,,,720941.0,,,,,,0.0,,,,,,,,,,,,0.0001,,900000000.0,3590135.0,3590135.0,359.0,,,,,22481.0,,,1522.0,,,,,,99541.0,-0.01,,,,,,,19676.0,,,,,,,,,,2805.0,89895.0,,,518617.0,0.0,189436.0,329181.0,,,,,,,,,,-20959.0,,,,-19676.0,1239917.0,,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,-1239917.0,,,,,,,,,,,-518617.0,,,,,,,,,,,3590135.0
