end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetNoncurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2012-11-09,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,258167.0,,494491065.0,,0.0,0.0,,8050000.0,8050000.0,508390190.0,4.52,,,-33000.0,23000.0,-11389000.0,0.0,,,,,,,,258167.0,494491065.0,,,0.0,37075000.0,,,,,756000.0,,0.0,28552000.0,0.0,18765000.0,,,-14157292.0,,755706.0,,,,,,,,8204891.0
2012-12-31,2013-02-28,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,254522.0,,445038000.0,,0.0,0.0,,7250000.0,7250000.0,497765000.0,-0.29,,78000.0,78000.0,60000.0,,0.0,510475000.0,,,,717967.6,,,255000.0,445038000.0,,,0.0,-2250000.0,,,,,2944000.0,,0.0,98852000.0,0.0,194997000.0,,,-52982000.0,,2943626.0,,2900000.0,194997000.0,1600000.0,98852000.0,1600000.0,98852000.0,7737568.0
2013-03-31,2013-05-08,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,301152.0,,486147000.0,,0.0,0.0,,7800000.0,7800000.0,589047000.0,-0.01,,97000.0,97000.0,46000.0,,,,,,,,,,301000.0,486147000.0,,,0.0,-92000.0,,,,,821000.0,,0.0,6767000.0,0.0,47922000.0,,,-103201000.0,,821098.0,,650000.0,47922000.0,,,100000.0,6767000.0,7582222.0
2013-06-30,2013-08-08,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,249391.0,,512703000.0,,0.0,0.0,,8150000.0,8150000.0,513194000.0,0.61,,105000.0,105000.0,-52000.0,0.0,6297000.0,,,,,,,,249000.0,512703000.0,,,0.0,4854000.0,,,,,805000.0,,0.0,49415000.0,0.0,71169000.0,,,-740000.0,,804952.0,,,,,,,,7998901.0
2013-09-30,2013-11-08,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,273955.0,,490327000.0,,0.0,0.0,,7800000.0,7800000.0,553714000.0,0.35,,97000.0,97000.0,25000.0,0.0,-6297000.0,,,,,,,,274000.0,490327000.0,,,0.0,2812000.0,,,,,888000.0,,0.0,28757000.0,0.0,3544000.0,,,-63661000.0,,887982.0,,,,,,,,7964674.0
2013-12-31,2014-02-28,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,260849.0,,463598000.0,463337000.0,0.0,0.0,0.0,7350000.0,7350000.0,510214000.0,1.54,,387000.0,387000.0,6000.0,0.0,0.0,410663000.0,,463598000.0,510475000.0,514615.5,1.0006,,261000.0,463598000.0,,,0.0,11928000.0,,,,,3297000.0,,0.0,133958000.0,0.0,140584000.0,,,-46877000.0,7350000.0,3297191.0,463337000.0,2000000.0,140584000.0,1900000.0,133958000.0,1900000.0,133958000.0,7721918.0
2014-03-31,2014-05-12,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,254423.0,,500836000.0,500581000.0,,,,6600000.0,6600000.0,500581000.0,6.26,,82000.0,,,,,500836000.0,,417667000.0,500836000.0,643747.6,1.0005,,255000.0,,,,,43615000.0,,46877000.0,,,754000.0,0.0,,,,,8077000.0,,0.0,6600000.0,753558.0,500581000.0,150000.0,11436000.0,900000.0,64684000.0,,,6966111.0
2014-06-30,2014-08-11,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,260484.0,,530170000.0,529910000.0,,,,6600000.0,6450000.0,529910000.0,6.31,,141000.0,,,,,530170000.0,,408418000.0,530170000.0,628163.3,1.0005,,260000.0,,,,,40695000.0,,,,,771000.0,0.0,,,,,,,,6450000.0,771352.0,529910000.0,,,,,,,6453846.0
2014-09-30,2014-11-10,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,231994.0,,448419000.0,444421000.0,,,,5900000.0,5900000.0,444421000.0,-6.52,,198000.0,,,,,448419000.0,,377237000.0,448419000.0,578605.4,1.009,,3998000.0,,,,,-41508000.0,,,,,788000.0,0.0,,,,,,,,5900000.0,788041.0,444421000.0,,,,,,,6362500.0
2014-12-31,2015-03-02,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,212592.0,,410663000.0,398834000.0,,,0.0,5150000.0,5150000.0,398834000.0,8.66,,550000.0,,,,,410663000.0,,335517000.0,410663000.0,514615.5,1.0297,,11829000.0,,0.0,77.44,,54947000.0,46877000.0,,-11829000.0,-0.0297,2983000.0,,,,,,29661000.0,,0.0,5150000.0,2983221.0,398834000.0,250000.0,19757000.0,2450000.0,186274000.0,,,6346438.0
2015-03-31,2015-05-08,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,173824.0,,335725000.0,335551000.0,,,0.0,4750000.0,4750000.0,,-6.57,,102000.0,,,,,335725000.0,,300253000.0,335725000.0,460527.9,1.0005,,174000.0,,0.0,,,-32666000.0,,,,,548000.0,0.0,,,,,7557000.0,,,4750000.0,548386.0,335551000.0,0.0,0.0,400000.0,30427000.0,,,4970556.0
2015-06-30,2015-08-06,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,151459.0,,301474000.0,298048000.0,,,0.0,4550000.0,4550000.0,,-5.01,,89000.0,,,,,301474000.0,,290331000.0,301474000.0,445309.4,1.0115,,3426000.0,,0.0,,,-23664000.0,,,,,524000.0,0.0,,,,,,,,4550000.0,524002.0,298048000.0,,,,,,,4722527.0
2015-09-30,2015-11-06,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,120644.0,,226824000.0,226703000.0,,,0.0,3550000.0,3550000.0,,-2.59,,3000.0,,,,,226824000.0,,223727000.0,226824000.0,343151.9,1.0005,,121000.0,,0.0,,,-10769000.0,,,,,398000.0,0.0,,,,,,,,3550000.0,398004.0,226703000.0,,,,,,,4157609.0
2015-12-31,2016-02-29,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,97509.0,,184779000.0,182043000.0,,,0.0,3450000.0,3450000.0,,-24.27,,183000.0,,,,,184779000.0,184779000.0,218668000.0,184779000.0,337804.6,1.015,2736000.0,2736000.0,,0.0,52.77,,-105575000.0,,,-2736000.0,-0.015,1778000.0,0.0,,,,,5238000.0,,,3450000.0,1777708.0,182043000.0,150000.0,7799000.0,1850000.0,118825000.0,,,4350137.0
2016-03-31,2016-05-06,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,92529.0,,178213000.0,178121000.0,,,0.0,3250000.0,3250000.0,,1.86,,-63000.0,,,,,178213000.0,178213000.0,201847000.0,178213000.0,313204.0,1.0005,92000.0,92000.0,,0.0,54.81,,6171000.0,,,,,253000.0,0.0,,,,,-3831000.0,,,3250000.0,252741.0,178121000.0,100000.0,5301000.0,300000.0,15394000.0,,,3322527.0
2016-06-30,2016-08-05,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,90186.0,,181363000.0,181273000.0,,,0.0,3200000.0,3200000.0,,1.86,,-33000.0,,,,,181363000.0,181363000.0,197395000.0,181363000.0,307917.6,1.0005,90000.0,90000.0,,0.0,56.65,,6002000.0,,,,,270000.0,0.0,,,,,,,,3200000.0,269749.0,181273000.0,,,,,,,3222527.0
2016-09-30,2016-11-04,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,100920.0,,204638000.0,204537000.0,,,0.0,2950000.0,2950000.0,,12.96,,-4000.0,,,,,204638000.0,204638000.0,181698000.0,204638000.0,283431.4,1.0005,,101000.0,,0.0,69.33,,39308000.0,,,-101000.0,-0.0005,298000.0,0.0,,,,,,,,2950000.0,297956.0,204537000.0,,,,,,,3033696.0
2016-12-31,2017-02-27,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,89977.0,,178342000.0,178252000.0,,,0.0,2750000.0,2750000.0,,12.85,,-82000.0,,,,,178342000.0,,169185000.0,178342000.0,263819.3,1.0005,,90000.0,,0.0,64.82,,40026000.0,,,-90000.0,-0.0005,1100000.0,0.0,,,,,-1919000.0,,,2750000.0,1099935.0,178252000.0,400000.0,22809000.0,1100000.0,66626000.0,,,3114344.0
2017-03-31,2017-05-04,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,103513.0,,202573000.0,202469000.0,,,0.0,2650000.0,2650000.0,,11.85,,34000.0,,,,,202573000.0,,162793000.0,202573000.0,253850.5,1.0005,,104000.0,,0.0,76.4,,31503000.0,,,-104000.0,-0.0005,292000.0,0.0,,,,,1172000.0,,,2650000.0,291896.0,202469000.0,,,100000.0,7286000.0,,,2658889.0
2017-06-30,2017-08-07,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,101501.0,,205121000.0,205019000.0,,,0.0,2550000.0,2550000.0,,3.49,,54000.0,,,,,205121000.0,,161306000.0,205121000.0,243901.2,1.0005,,102000.0,,0.0,80.4,,9103000.0,,,-102000.0,-0.0005,301000.0,0.0,,,,,,,,2550000.0,301354.0,205019000.0,,,,,,,2609341.0
2017-09-30,2017-11-06,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,112086.0,,227701000.0,227589000.0,,,0.0,2550000.0,2550000.0,,8.71,,78000.0,,,,,227701000.0,,163698000.0,227701000.0,243530.7,1.0005,,112000.0,,0.0,89.25,,21801000.0,,,-112000.0,-0.0005,330000.0,0.0,,,,,,,,2550000.0,329748.0,227589000.0,,,,,,,2503804.0
2017-12-31,2018-02-27,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,124409.0,,241679000.0,241555000.0,,,0.0,2400000.0,2400000.0,,35.37,,266000.0,,,,,241679000.0,,155318000.0,241679000.0,228863.1,1.0005,,124000.0,,0.0,100.65,,90530000.0,,,-124000.0,-0.0005,1278000.0,0.0,,,,,14603000.0,,,2400000.0,1278403.0,241555000.0,450000.0,37402000.0,800000.0,64629000.0,,,2559726.0
2018-03-31,2018-05-04,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,117990.0,,230903000.0,230785000.0,,,0.0,2500000.0,2500000.0,,-8.44,,127000.0,,,,,230903000.0,,166734000.0,230903000.0,238044.7,1.0005,,118000.0,,0.0,92.32,,-20747000.0,,,-118000.0,-0.0005,357000.0,0.0,,,,,1801000.0,,,2500000.0,357192.0,230785000.0,150000.0,14926000.0,50000.0,4949000.0,,,2458333.0
2018-06-30,2018-08-09,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,268312.0,,145165000.0,144896000.0,,,0.0,1600000.0,1600000.0,,-1.61,,89000.0,,,,,145165000.0,,108535000.0,145165000.0,152323.9,1.0019,,269000.0,,0.0,90.56,,-3163000.0,,,-269000.0,-0.0019,275000.0,0.0,,,,,24652000.0,,,1600000.0,274820.0,144896000.0,100000.0,9351000.0,1000000.0,92077000.0,,,1963187.0
2018-09-30,2018-11-09,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,71899.0,,145394000.0,145322000.0,,,0.0,1400000.0,1400000.0,,12.11,,52000.0,,,,,145394000.0,,94652000.0,145394000.0,132901.1,1.0005,,72000.0,,0.0,103.8,,17867000.0,,,-72000.0,-0.0005,210000.0,0.0,,,,,3966000.0,,,1400000.0,210347.0,145322000.0,,,200000.0,17441000.0,,,1475000.0
2018-12-31,2019-02-28,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,89688.0,,185555000.0,185465000.0,,,,1550000.0,1550000.0,,8.91,,340000.0,,,,,185555000.0,,112344000.0,185555000.0,146915.9,1.0005,,90000.0,,0.0,119.66,,16266000.0,,,-90000.0,-0.0005,1074000.0,0.0,,,,,30490000.0,,,1550000.0,1073755.0,185465000.0,400000.0,42111000.0,1250000.0,114467000.0,,,1826301.0
2019-03-31,2019-05-09,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,119380.0,,236804000.0,230110000.0,,,,1750000.0,1750000.0,,9.68,,118000.0,,,,,236804000.0,,152383000.0,236804000.0,170362.8,1.0291,,6694000.0,,0.0,131.5,,16407000.0,,,-6694000.0,-0.0291,329000.0,0.0,,,,,5526000.0,,,1750000.0,329045.0,230110000.0,350000.0,48313000.0,150000.0,19896000.0,,,1695000.0
2019-06-30,2019-08-09,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,103570.0,,208833000.0,208729000.0,,,,1450000.0,1450000.0,,10.62,,127000.0,,,,,208833000.0,,122568000.0,208833000.0,137029.7,1.0005,,104000.0,,0.0,143.96,,16829000.0,,,-104000.0,-0.0005,329000.0,0.0,,,,,15314000.0,,,1450000.0,329053.0,208729000.0,,,300000.0,38388000.0,,,1584341.0
2019-09-30,2019-11-08,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,112223.0,11841000.0,236932000.0,236820000.0,,,,1500000.0,1500000.0,,14.14,,120000.0,,,,,225091000.0,,123154000.0,225091000.0,134463.4,0.9505,,112000.0,,0.0,157.88,,20177000.0,,,11729000.0,0.0495,312000.0,0.0,,,,,4816000.0,,,1500000.0,312415.0,236820000.0,125000.0,18994000.0,75000.0,11080000.0,,,1427174.0
2019-12-31,2020-02-28,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,152293.0,,300638000.0,300485000.0,,,0.0,1675000.0,1675000.0,,55.78,,520000.0,,,,,300638000.0,,170040000.0,300638000.0,157815.0,1.0005,,153000.0,,0.0,179.39,,88748000.0,,,-153000.0,-0.0005,1392000.0,0.0,,,,,32753000.0,,,1675000.0,1392218.0,300485000.0,750000.0,112464000.0,625000.0,86192000.0,,,1590959.0
2020-03-31,2020-05-08,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,169297.0,,303865000.0,303696000.0,,,,1400000.0,1400000.0,,28.84,,258000.0,,,,,303865000.0,,164557000.0,303865000.0,131714.5,1.0006,,169000.0,,0.0,216.93,,47659000.0,,,-169000.0,-0.0006,548000.0,0.0,,,,,39496000.0,,,1400000.0,547590.0,303696000.0,250000.0,53808000.0,525000.0,98256000.0,,,1652473.0
2020-06-30,2020-08-07,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,129211.0,,263945000.0,263816000.0,,,0.0,1475000.0,1475000.0,,-37.93,,160000.0,,,,,263945000.0,,182502000.0,263945000.0,138553.8,1.0005,,129000.0,,0.0,178.86,,-53435000.0,,,-129000.0,-0.0005,376000.0,0.0,,,,,4807000.0,,,1475000.0,376185.0,263816000.0,150000.0,27196000.0,75000.0,13641000.0,,,1408791.0
2020-09-30,2020-11-06,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,195763.0,,394214000.0,383073000.0,,,0.0,1750000.0,1750000.0,,38.35,,145000.0,,,,,394214000.0,,248677000.0,394214000.0,168828.2,1.0291,,11141000.0,,0.0,218.9,,65609000.0,,,-11141000.0,-0.0291,530000.0,0.0,,,,,6085000.0,,,1750000.0,530099.0,383073000.0,350000.0,69945000.0,75000.0,16297000.0,,,1710870.0
2020-12-31,2021-03-01,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,185515.0,,356424000.0,356238000.0,,,0.0,1625000.0,1625000.0,,37.51,,773000.0,,,,,356424000.0,,224166000.0,356424000.0,152187.5,1.0005,,186000.0,,0.0,219.22,,60608000.0,,,-186000.0,-0.0005,2013000.0,0.0,,,,,60961000.0,,,1625000.0,2012865.0,356238000.0,750000.0,150950000.0,800000.0,155805000.0,,,1615779.0
2021-03-31,2021-05-07,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,212429.0,,405039000.0,404827000.0,,,0.0,1650000.0,1650000.0,,26.57,,199000.0,,,,,405039000.0,,238049000.0,405039000.0,154300.3,1.0005,,212000.0,,0.0,245.35,,43879000.0,,,-212000.0,-0.0005,563000.0,0.0,,,,,9709000.0,,,1650000.0,562747.0,404827000.0,125000.0,28524000.0,100000.0,23814000.0,,,1651389.0
2021-06-30,2021-08-06,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,232913.0,,505502000.0,505269000.0,,,0.0,2000000.0,2000000.0,,6.65,,269000.0,,,,,492870000.0,,317018000.0,492870000.0,182072.1,0.9755,,233000.0,,0.0,252.63,,11808000.0,,,12399000.0,0.0245,679000.0,0.0,,,,,3466000.0,,,2000000.0,678513.0,505269000.0,375000.0,95640000.0,25000.0,7006000.0,,,1774725.0
2021-09-30,2021-11-05,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,164835.0,,327537000.0,327372000.0,,,0.0,1850000.0,1850000.0,,-73.38,,236000.0,,,,,327537000.0,,315649000.0,327537000.0,172478.7,1.0005,,165000.0,,0.0,176.96,,-139854000.0,,,-165000.0,-0.0005,649000.0,0.0,,,,,24918000.0,,,1850000.0,648684.0,327372000.0,200000.0,45144000.0,350000.0,83187000.0,,,1905978.0
2021-12-31,2022-03-01,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,189455.0,,358161000.0,357971000.0,,,0.0,1950000.0,1950000.0,,-39.95,,743000.0,,,,,358161000.0,,334434000.0,358161000.0,181531.1,1.0005,,190000.0,,0.0,183.58,,-72918000.0,,,-190000.0,-0.0005,2447000.0,0.0,,,,,38060000.0,,,1950000.0,2447225.0,357971000.0,900000.0,205730000.0,575000.0,131079000.0,,,1825342.0
