end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanBenefitsPaid,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherNoncashIncomeTaxExpense,OtherNonoperatingIncome,PrepaidExpenseCurrent,ProceedsFromContributedCapital,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainageDeposit,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,UnrecognizedTaxBenefits,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,EarningsPerShareBasic,EarningsPerShareDiluted
2012-11-30,2013-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,52977.0,37449.0,19509.0,106388682.0,,1600000.0,5542.0,2636.0,2636.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,277812.0,,,171.0,-0.01,,99164.0,-1529741.0,0.0,,-19231.0,-520112.0,-520112.0,19231.0,,,,,,,,,,90426.0,5542.0,,,,,,,-1529741.0,1529741.0,,,,,,,,,,672332.0,,,,,,2906.0,1430406.0,,-106605015.0,,-84884.0,,,131448444.0,,,
2013-02-28,2013-05-29,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,47501.0,41089.0,19679.0,107883768.0,,1600000.0,3928.0,1192.0,1192.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,259770.0,0.0,211858.0,-616.0,42603.0,5925.0,259770.0,,507.0,683.0,-0.05,0.34,450697.0,-6498806.0,0.0,0.0,51160.0,-2209594.0,-2209594.0,,-51160.0,,35236.0,-8610.0,,,,159896.0,256198.0,88590.0,3928.0,88590.0,-16105.0,,655182.0,,-671287.0,-6498806.0,6499056.0,-6499056.0,,,129614.0,37440.0,20172.0,34562.0,37440.0,151695.0,623111.0,,250.0,,655182.0,22415.0,2736.0,6047676.0,,-108099879.0,0.0,-84662.0,0.0,,131448444.0,,,
2013-05-31,2013-07-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,39938.0,97254.0,19850.0,109192128.0,,1600000.0,3845.0,1280.0,1280.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,276323.0,,,171.0,-0.01,0.34,143838.0,-1357045.0,0.0,,-16553.0,-461395.0,-461395.0,16553.0,,0.0,-7563.0,56165.0,,,,,,137192.0,3845.0,,88.0,,162700.0,,-162612.0,-1357045.0,1357045.0,,,,,,,,,,671779.0,,0.0,,162700.0,,2565.0,1213036.0,,-109456924.0,,-133347.0,,,131448444.0,,,
2013-08-31,2013-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,153033.0,26093.0,20021.0,110256100.0,,1600000.0,3240.0,846.0,846.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,290787.0,,,171.0,-0.01,0.34,85627.0,-1106511.0,,,-14464.0,-376214.0,-376214.0,14464.0,,,,,,,,,,179126.0,3240.0,,,,,,,-1106511.0,1106511.0,,,,,,,,,,714299.0,,,,,,2394.0,1020713.0,,-110563435.0,,-175886.0,,,131448444.0,,,
2013-11-30,2014-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,163068.0,31760.0,20192.0,111222333.0,,1600000.0,2307.0,84.0,84.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,296442.0,,,171.0,-0.01,0.34,45226.0,-982868.0,,,-5655.0,-334175.0,-334175.0,5655.0,,,,,,,,,,194828.0,2307.0,,,,,,,-982868.0,982868.0,-982868.0,,,,,,,,,730916.0,,0.0,,,,2223.0,937471.0,,-111546303.0,,-192521.0,,,131448444.0,,,
2014-02-28,2014-05-30,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,114320.0,38583.0,20363.0,112089593.0,,1600000.0,2281.0,229.0,229.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,282196.0,0.0,237916.0,-591.0,42603.0,2268.0,282196.0,,699.0,684.0,-0.03,0.34,307683.0,-4271785.0,0.0,0.0,22426.0,-1452407.0,-1452407.0,,-22426.0,,66819.0,-2506.0,,,,,269401.0,152903.0,2281.0,152903.0,-963.0,,437400.0,,-438363.0,-4271785.0,4271785.0,-4271785.0,,,92174.0,37440.0,,20172.0,34562.0,90752.0,699753.0,,,,437400.0,22415.0,2052.0,3963418.0,,-112371664.0,0.0,-150622.0,0.0,,131448444.0,,,
2014-05-31,2014-07-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,108420.0,25561.0,20534.0,112950887.0,,1600000.0,3765.0,1884.0,1884.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,275259.0,,,171.0,-0.01,0.34,60427.0,-840888.0,,,6937.0,-285902.0,-285902.0,-6937.0,,,-5900.0,-13022.0,,,,,,133981.0,3765.0,,1655.0,,130675.0,,-129020.0,-840888.0,840888.0,-840888.0,,,,,,,,,679329.0,,,,130675.0,,1881.0,780290.0,,-113212552.0,,-130216.0,,,131448444.0,,,
2014-08-31,2014-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,113440.0,23738.0,20705.0,113678134.0,,1600000.0,7519.0,5809.0,5809.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,275068.0,,,171.0,-0.01,0.34,22343.0,-726690.0,,,191.0,-247075.0,-247075.0,-191.0,,,,,,,,,,137178.0,7519.0,,,,,,,-726690.0,726690.0,-726690.0,,,,,,,,,678754.0,,,,,,1710.0,704176.0,,-113939242.0,,-129659.0,,,131448444.0,,,
2014-11-30,2015-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,90989.0,23907.0,20876.0,114404014.0,,1600000.0,3535.0,1996.0,1996.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,268743.0,,,171.0,-0.01,0.34,53218.0,-707582.0,,,6325.0,-240577.0,-240577.0,-6325.0,,,,,,,,,,114896.0,3535.0,,,,,,,-707582.0,707649.0,-707649.0,,,,,,,,,659979.0,,67.0,,,,1539.0,654260.0,,-114646824.0,,-111361.0,,,131448444.0,,,
2015-02-28,2015-05-29,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,99893.0,42098.0,21047.0,114993920.0,2548598.0,1600000.0,3648.0,2280.0,2280.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,278021.0,0.0,235514.0,-462.0,42603.0,366.0,278021.0,192041.0,420.0,684.0,-0.02,0.34,182836.0,-2892048.0,0.0,0.0,-4175.0,-983296.0,-983296.0,,4175.0,,-14427.0,3515.0,,,,,279743.0,141991.0,3648.0,141991.0,2051.0,,355729.0,,-353678.0,-2892048.0,2892115.0,-2892115.0,,,54734.0,34562.0,,,20172.0,92034.0,692689.0,,67.0,,355729.0,22415.0,1368.0,2708595.0,,-115263712.0,0.0,-138343.0,0.0,,131448444.0,,,
2015-05-31,2015-07-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,81523.0,50976.0,21218.0,115625966.0,555263.0,1600000.0,1677.0,480.0,480.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,275464.0,,,171.0,0.0,0.34,24617.0,-510301.0,,,308.0,173502.0,-173502.0,-308.0,,,-18370.0,8878.0,,,,,,132499.0,1677.0,,-1800.0,,76783.0,,-78583.0,-510301.0,510301.0,-510301.0,,,,,,,,,684997.0,,,,76783.0,,1197.0,485513.0,,-115888237.0,0.0,-130822.0,,,131448444.0,,,
2015-08-31,2015-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,92747.0,42114.0,21389.0,116133756.0,,,1528.0,502.0,502.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,276318.0,,,171.0,0.0,,24617.0,-510301.0,,,308.0,-173502.0,-173502.0,-308.0,,,,,,,,,,134861.0,1528.0,,,,,,,-510301.0,510301.0,-510301.0,,,,,,,,,688414.0,,,,,,1026.0,485513.0,,-116398538.0,,-133333.0,,,131448444.0,,,
2015-11-30,2016-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,87407.0,40490.0,21560.0,116600830.0,,1600000.0,1445.0,590.0,590.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,273978.0,,,171.0,0.0,,27041.0,-460193.0,,,1178.0,156465.0,-156465.0,-1178.0,,,,,,,,,,127897.0,1445.0,,,,,,,-460193.0,460193.0,-460193.0,,,,,,,,,681362.0,,,,,,855.0,432981.0,,-116858731.0,,-126452.0,,,131448444.0,,,
2016-02-29,2016-06-13,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,64393.0,40612.0,21731.0,117036345.0,1790386.0,1600000.0,3987.0,3303.0,3303.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,265330.0,0.0,222957.0,,42603.0,,265330.0,22016.0,66.0,684.0,-0.02,0.34,157071.0,-2005100.0,0.0,,-12691.0,681734.0,-681734.0,,12691.0,,-35500.0,-1486.0,,,,,280303.0,105005.0,3987.0,105005.0,1023.0,,252039.0,,-251016.0,-2005100.0,2005100.0,-2005100.0,,,20172.0,20172.0,,,,93325.0,655757.0,,,,252039.0,22415.0,684.0,1847345.0,,-117268812.0,0.0,-101018.0,0.0,,131448444.0,,,
2016-05-31,2016-07-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,46240.0,17074.0,21902.0,117445374.0,333437.0,1600000.0,1372.0,859.0,859.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,252044.0,,,171.0,0.0,0.34,20325.0,-369953.0,,,13286.0,125784.0,-125784.0,-13286.0,,,-18153.0,-23538.0,,,,,,63314.0,1372.0,,-2444.0,,75592.0,,-78036.0,-369953.0,369953.0,-369953.0,,,,,,,,,616510.0,,,,75592.0,,513.0,349457.0,,-117638765.0,0.0,-61942.0,,,131448444.0,,,
2016-08-31,2016-10-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,78550.0,31329.0,22073.0,117800018.0,,1600000.0,766.0,424.0,424.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,268199.0,,,171.0,0.0,,91699.0,-401815.0,,,-16155.0,136617.0,-136617.0,16155.0,,,,,,,,,,109879.0,766.0,,,,,,,-401815.0,401815.0,-401815.0,,,,,,,,,663852.0,,,,,,342.0,309945.0,,-118040580.0,,-109113.0,,,131448444.0,,,
2016-11-30,2017-01-17,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,48911.0,23669.0,22244.0,118220743.0,,1600000.0,1053.0,882.0,882.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,265505.0,,,171.0,0.0,,35001.0,-383139.0,,,2694.0,130267.0,-130267.0,-2694.0,,,,,,,,,,72580.0,1053.0,,,,,,,-383139.0,383139.0,-383139.0,,,,,,,,,655757.0,,,,,,171.0,347967.0,,-118423719.0,,-71527.0,,,131448444.0,,,
2017-02-28,2017-05-11,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,19652.0,24080.0,22415.0,118609079.0,1260791.0,1600000.0,10731.0,10731.0,731.0,731.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,242202.0,,199599.0,,42603.0,,242202.0,28875.0,0.0,684.0,-0.01,0.34,179072.0,-1504717.0,,400.0,-23128.0,511604.0,-511604.0,,23128.0,,-44741.0,-16532.0,10000.0,,81688.0,,258159.0,43732.0,10731.0,43732.0,-2572.0,311943.0,311943.0,-314515.0,-314515.0,-1504717.0,1504717.0,-1504717.0,,,,,,,,89229.0,587056.0,,,,311943.0,22415.0,,1324961.0,10000.0,-118773529.0,0.0,-33001.0,0.0,,131448444.0,,,
2017-05-31,2017-07-17,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,60167.0,29080.0,,119014431.0,351135.0,1600000.0,382.0,382.0,382.0,382.0,-349.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,261196.0,,,,0.0,0.34,94686.0,-461216.0,,,-18994.0,156813.0,-156813.0,18994.0,,,40515.0,5000.0,-10000.0,,,,,89247.0,382.0,,-349.0,54217.0,54217.0,-54566.0,-54566.0,-461216.0,462216.0,-462216.0,,,,,,,,,642921.0,,1000.0,,54217.0,,,367530.0,,-119234745.0,0.0,-88865.0,,,131448444.0,,,
2017-08-31,2017-10-16,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,60720.0,67846.0,,119400977.0,297029.0,,504.0,504.0,504.0,504.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,274523.0,,,,0.0,0.34,100633.0,-425743.0,,,-13327.0,144753.0,-144753.0,13327.0,,,,,,,,,,128566.0,504.0,,,,,,,-425743.0,425743.0,-425743.0,,,,,,,,,682118.0,,,,,,,325110.0,,-119660488.0,,-128062.0,,,131448444.0,,,
2017-11-30,2018-01-16,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,68093.0,95037.0,,119803121.0,329627.0,,36087.0,36087.0,3442.0,3442.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,274177.0,,,,0.0,0.34,57676.0,-401125.0,,,346.0,136383.0,-136383.0,-346.0,,,,,,,,,,163130.0,36087.0,,,,,,,-401125.0,401125.0,-401125.0,,,,,,,,,681099.0,,,32645.0,,,,343449.0,,-120061613.0,,-127043.0,,,131448444.0,,,
2018-02-28,2018-05-22,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,41941.0,94688.0,22415.0,120146481.0,1218134.0,1600000.0,28929.0,28929.0,506.0,506.0,-225.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,181572.0,,138969.0,,42603.0,,181572.0,41213.0,,0.0,-0.01,0.42,332631.0,-1612101.0,,400.0,60630.0,338541.0,-338541.0,,-60630.0,,22289.0,70608.0,-10000.0,28423.0,31471.0,,154506.0,136629.0,28929.0,136629.0,,319268.0,,-319493.0,,-1612101.0,1613701.0,-1613101.0,,,,,,,,69978.0,661756.0,,1000.0,28423.0,319268.0,22415.0,,1280470.0,,-120385630.0,0.0,-107700.0,0.0,,131448444.0,,,
2018-05-31,2018-07-16,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,65125.0,88330.0,,120527218.0,264720.0,1600000.0,16915.0,16915.0,206.0,206.0,-300.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,187628.0,,,,0.0,0.21,128840.0,-409577.0,,,-6056.0,86011.0,-86011.0,6056.0,,,23184.0,-6358.0,,-11714.0,,,,153455.0,16915.0,,,116017.0,,-116317.0,,-409577.0,409577.0,-409577.0,,,,,,,,,690596.0,,,16709.0,116017.0,,,280737.0,,-120795207.0,0.0,-136540.0,,,131448444.0,,,
2018-08-31,2018-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,95597.0,117073.0,,120946062.0,292377.0,,45303.0,45303.0,409.0,409.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,194102.0,,,,0.0,0.21,141211.0,-449671.0,,,-6474.0,94431.0,-94431.0,6474.0,,,,,,,,,,212670.0,45303.0,,,,,,,-449671.0,449671.0,-449671.0,,,,,,,,,721423.0,,,44894.0,,,,308460.0,,-121244878.0,,-167367.0,,,131448444.0,,,
