end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,Assets,AssetsNet,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValueOutstanding,CostMethodInvestmentsRealizedGains,CostMethodInvestmentsRealizedLosses,CostOfGoldProductsAndServices,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentQuotedMarketValue,GainLossOnInvestments,GainLossOnSaleOfInvestments,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingAssets,InvestmentCompanyDistributableEarnings,InvestmentCompanyDistributableEarningsLossAccumulatedAppreciationDepreciation,InvestmentCompanyDistributableEarningsLossAccumulatedLongTermCapitalGainLoss,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,InvestmentIncomeNet,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedDepreciation,LegalFees,Liabilities,NetIncomeLoss,NetInvestmentIncome,OperatingExpenses,OperatingIncomeLoss,OtherLiabilities,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,SponsorFees,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,SubsidiaryOrEquityMethodInvesteeCumulativeNumberOfSharesIssuedForAllTransactions,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesOutstanding,UnrealizedGainLossOnInvestments
2018-07-31,2018-09-07,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,7.0,,-146229987.0,,138667422.0,138667415.0,,11550404.0,146229987.0,,,,0.0466,6480490.0,,,,,3329364.0,-10576281.0,,,,,-144889.0,,141508590.0,138667422.0,,-2841168.0,,,7.0,-10431392.0,,144889.0,-144889.0,,,144889.0,,,,,,,,,12.01,11550404.0,-10431392.0
2018-10-31,2018-12-07,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,3.0,,-142229584.0,,133807256.0,133807253.0,,11211949.0,142229584.0,,,,0.8,6421332.0,,,,-4136768.0,136365.0,-859759.0,-8422331.0,,,,-136358.0,,137223187.0,133807256.0,,,,,3.0,-723401.0,,136358.0,-136358.0,,,136358.0,,,,,,,,,11.93,11211949.0,-574763.0
2019-01-31,2019-04-12,10-K,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,2.0,,-150490404.0,,154177919.0,154177917.0,,11873295.0,150490404.0,,,,0.0453,6959132.0,,,,-4136768.0,19053855.0,-2907415.0,3687513.0,,,,-563414.0,154177919.0,145342210.0,154177919.0,,,,100000.0,2.0,-2344001.0,,563414.0,-563414.0,,,563414.0,,,1495408.0,,19053855.0,350000.0,4136768.0,,12.99,11873295.0,-2195363.0
2019-04-30,2019-06-07,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,5.0,,-145618262.0,,144345816.0,144345811.0,,11482339.0,145618262.0,,,,0.0416,6013113.0,,,,-5019765.0,147623.0,-4959964.0,-1272451.0,,,,-147619.0,144345816.0,140419053.0,144345816.0,,,,100000.0,5.0,-4812345.0,,147619.0,-147619.0,,,147619.0,,,11593.0,,147623.0,402549.0,-5019765.0,,12.57,11482339.0,-4908946.0
2019-07-31,2019-09-06,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,7.0,,-145771316.0,,160696304.0,160696297.0,,11493707.0,145771316.0,,,,0.035,5570724.0,,,,,153054.0,16197432.0,14924981.0,,,,-153056.0,160696304.0,140419053.0,160696304.0,,,,,7.0,16350488.0,,153056.0,-153056.0,,,153056.0,,,,,,,,,13.98,11493707.0,16350488.0
2019-10-31,2019-12-09,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,10.0,,-150396328.0,,174523033.0,174523023.0,,11805476.0,150396328.0,,,,0.021,3663574.0,,,,,4625012.0,9201714.0,24126695.0,,,,-173817.0,174523033.0,144870251.0,174523033.0,,,,,10.0,9375531.0,,173817.0,-173817.0,,,173817.0,,,,,,,,,14.78,11805476.0,9375531.0
2020-01-31,2020-04-10,10-K,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,9.0,9.0,-165051803.0,,198479752.0,198479743.0,,12817945.0,165051803.0,,,,0.0194,3845856.0,,,,-5019764.0,19581163.0,29740427.0,-33427940.0,,,,-660166.0,198479752.0,159340051.0,198479752.0,,,,100000.0,9.0,30400593.0,,660166.0,-660166.0,,,660166.0,,,1347199.0,,19581163.0,402549.0,5019764.0,,15.48,12817945.0,30303992.0
2020-04-30,2020-06-05,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,2.0,,204186858.0,,253914695.0,253914693.0,,15271116.0,204186858.0,,,,0.0123,3096822.0,,,,-160950.0,39296005.0,16299895.0,49727835.0,,,,-215094.0,,198290461.0,253914695.0,,,,100000.0,2.0,16514989.0,,215094.0,-215094.0,,,215094.0,,,2463412.0,,39296005.0,-10241.0,-160950.0,,16.63,15271116.0,16484533.0
2020-07-31,2020-09-04,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,1.0,,275382336.0,,369590557.0,369590556.0,,19280650.0,275382336.0,,,,0.0084,3138784.0,,,,-22632682.0,93828160.0,,94208220.0,,,,,,273809621.0,369590557.0,,,,,1.0,,,,-278138.0,,,,,,,,,,,,19.17,19280650.0,
2020-10-31,2020-12-08,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,,,340377281.0,,416830640.0,416830640.0,,22719117.0,340377281.0,,,,0.0072,2982496.0,,,,-5064495.0,70059440.0,-17754861.0,76453359.0,,,,-252814.0,,339545608.0,416830640.0,,,,,,-17502047.0,-252814.0,252814.0,-252814.0,,,252814.0,,,,,,,,,18.35,22719117.0,-18495904.0
2021-01-31,2021-04-16,10-K,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,,11.0,-370737948.0,,449959433.0,442483105.0,,24366372.0,370737948.0,,,,0.0046,1997835.0,,,,-38837609.0,244523754.0,38317217.0,-71745157.0,,,,-1013291.0,442483116.0,371338269.0,442483116.0,,,,100000.0,7476328.0,39330508.0,,1013291.0,-1013291.0,11.0,,1013291.0,,,13807611.0,,244523754.0,2259184.0,38837609.0,,18.16,24366372.0,32005146.0
2021-04-30,2021-06-07,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,,2.0,-399638994.0,,447555113.0,447555111.0,,26002321.0,399638994.0,,,,0.0024,1055586.0,,,,-511150.0,29412196.0,-23829040.0,-47916117.0,,,,-269000.0,447555113.0,400020346.0,447555113.0,,,,100000.0,2.0,-23560040.0,,269000.0,-269000.0,,,269000.0,,,1665940.0,,29412196.0,29991.0,511150.0,,17.21,26002321.0,-23610080.0
2021-07-31,2021-09-09,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,,10.0,-440421312.0,,502216316.0,502216306.0,,28267310.0,440421312.0,,,,0.0022,1081945.0,,,,-7884284.0,48666602.0,13878877.0,-61794994.0,,,,-303240.0,502216316.0,441359313.0,502216316.0,,,,,10.0,14182117.0,,303240.0,-303240.0,,,303240.0,,,,,,,,,17.77,28267310.0,13322236.0
2021-10-31,2021-12-08,10-Q,VanEck Merk Gold Trust,OUNZ,CIK0001546652,USD,,,-519656861.0,,565682896.0,565682896.0,,32878894.0,519656861.0,,,,0.0019,1062329.0,,,,-129603.0,79365152.0,-15768959.0,-46026035.0,,,,-329573.0,565682896.0,520277191.0,565682896.0,,,,,,-15439386.0,-329573.0,329573.0,,,,329573.0,,,,,,,,,17.21,32878894.0,-15451298.0
