end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AccountsReceivableNetCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOtherRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPaid,InterestPayable,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LegalFees,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherNonoperatingIncome,OtherReceivablesNetCurrent,PaymentsOfStockIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProfitLoss,RepaymentsOfNotesPayable,ResultsOfOperationsIncomeTaxExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SellingGeneralAndAdministrativeExpense,SharesIssued,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueIssuedForServices,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsReceivableRelatedParties
2012-09-30,2012-12-20,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,4350.0,,,21922.0,21922.0,,662.0,662.0,662.0,,,,-2212.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,0.0,,0.0,,22270.0,,4239.0,65500.0,,,,0.0,10157.0,-12467.0,,,,,,250.0,,,,,-2310.0,,,,,2310.0,,,,,1458.0,,,662.0,41735.0,,1000.0,,-3212.0,-12467.0,,3774.0,25100.0,,-10157.0,65500.0,-7195.0,,,,,,,,,,,,,,,,,,0.0,,,,,,2505000.0,-41073.0,,,,,2505000.0,,,,
2013-03-31,2013-05-10,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4270.0,,,,27452.0,,614.0,614.0,614.0,614.0,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,,,,72153.0,,,,,1444.0,,,,,,,,,,,,,,,,,578.0,,,,,,,,614.0,42810.0,,,,,-2022.0,,,25100.0,,-1444.0,65500.0,,,,,,,,,,,,,,,,,,,,,,,,,,-42196.0,,,,,2505000.0,,,,
2013-06-30,2013-07-31,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4750.0,,,29767.0,,,590.0,590.0,590.0,,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,75549.0,,,,,2819.0,,,,,,,,,,,,,,,,,578.0,,,,,1685.0,,,590.0,43867.0,,,,,-3397.0,,3774.0,25100.0,,-2819.0,65500.0,,,,,,,,,,,,,,,,,,,,,,,,,,-43277.0,,,,,2505000.0,,,,
2013-09-30,2013-12-18,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,5250.0,,,30787.0,30787.0,,565.0,565.0,565.0,,,,-97.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,26418.0,,4148.0,77701.0,,,,,9861.0,-12201.0,,,,,,-900.0,,,,,-2339.0,,,,,2340.0,,,,,1760.0,,,565.0,44974.0,,,,-97.0,-12201.0,,3774.0,25100.0,,-9861.0,77701.0,-8865.0,,,,,,,,,,,,,,,,,,,,,,,,2505000.0,-44409.0,,,,,2505000.0,,,,
2013-12-31,2014-02-05,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,3750.0,,,37267.0,,,542.0,542.0,542.0,,,,-23.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,83282.0,,,,,5004.0,,,,,,,-1500.0,,,,,579.0,,,,,578.0,,,,,1835.0,,,542.0,44052.0,,,,-23.0,-5582.0,,3774.0,25100.0,,-5004.0,77701.0,,,,,,,,,,,,,,,,,,,,,,,,,,-43510.0,,,,,2505000.0,,,,
2014-03-31,2014-05-07,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4250.0,,,38277.0,,,518.0,518.0,518.0,,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,85394.0,,,,,1534.0,,,,,,,,,,,,,,,,,578.0,,,,,1911.0,,,518.0,45130.0,,,,,-2112.0,,3774.0,25100.0,,-1534.0,77701.0,,,,,,,,,,,,,,,,,,,,,,,,,,-44612.0,,,,,2505000.0,,,,
2014-06-30,2014-08-06,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,5970.0,,,38277.0,,,494.0,494.0,494.0,,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,87715.0,,,,,1744.0,,,,,,,,,,,,,,,,,578.0,,,,,1987.0,,,494.0,47427.0,,,,,-2322.0,,3774.0,25100.0,,-1744.0,77701.0,,,,,,,,,,,,,,,,,,,,,,,,,,-46933.0,,,,,2505000.0,,,,
2014-09-30,2014-12-17,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,6050.0,,,40327.0,40327.0,,470.0,470.0,470.0,,,,-95.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,30752.0,,4334.0,90447.0,,,-0.01,,10436.0,-12746.0,,,,,,-800.0,,,,,-2311.0,,,,,2310.0,,,,,2063.0,,,470.0,48085.0,,,,-95.0,-12746.0,,3774.0,25100.0,,-10436.0,90447.0,-9540.0,,,,,,,,,,,,,,,,,,,-90447.0,,,,,,-47615.0,,,,,2505000.0,,,,
2014-12-31,2015-02-12,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4970.0,,,46377.0,,,446.0,446.0,446.0,,,,-24.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,96018.0,,,,,4994.0,,,,,,,1080.0,,,,,-578.0,,,,,578.0,,,,,2138.0,,,446.0,47582.0,,,,-24.0,-5572.0,,3774.0,25100.0,,-4994.0,90447.0,-6050.0,,,,,,,,,,,,,,,,,,,,,,,,,-47136.0,,,,,2505000.0,,,,
2015-03-31,2015-05-12,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4350.0,,,58607.0,,,8755.0,8755.0,422.0,,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,99897.0,,,,,3301.0,,,,,,,,,,,,,,,,,578.0,,,,,2214.0,,,8755.0,47540.0,,,,,-3879.0,,3774.0,25100.0,,-3301.0,90447.0,,,,,,,,,,8333.0,,,,,,,,,,,,,,,,-38785.0,,,,,2505000.0,,,,
2015-06-30,2015-08-10,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4950.0,,,59952.0,,,6231.0,6231.0,398.0,,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,,,4469.0,,,,,,,,,,,,,,,,,578.0,,,,,2289.0,,,6231.0,48717.0,,,,,-5047.0,,3774.0,25100.0,,-4469.0,90447.0,,,,,,,,,,5833.0,,,,,,,,,,104943.0,,,,,,-42486.0,,,,,2505000.0,,,,
2015-09-30,2015-12-16,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,5550.0,,,60972.0,60972.0,,3692.0,3692.0,359.0,,,,-111.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,37291.0,,6539.0,,,,-0.01,,16923.0,-19233.0,,,,,,500.0,,,,,-2310.0,,,,-3333.0,2310.0,,,,,2364.0,,,3692.0,49895.0,,,,-111.0,-19233.0,,3774.0,25100.0,,-16923.0,109680.0,-20645.0,,,,,,,,,3333.0,,,,,,,,,,-109680.0,,,,,,-46203.0,,,,,2505000.0,,,,
2015-12-31,2016-02-09,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,5550.0,,,60972.0,,,3692.0,3692.0,320.0,,,,-39.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,,,7449.0,,,,,,,640.0,,,,,-578.0,,,,-7500.0,578.0,,,,,2364.0,,,3692.0,49895.0,,,,-39.0,-8027.0,,3774.0,25100.0,,-7449.0,109680.0,-15550.0,,,,,,,,,3333.0,,,,,,,,,,-109680.0,,,,,,-46203.0,,,,,2505000.0,,,,
2016-03-31,2016-04-29,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4350.0,,,78812.0,,,8614.0,8614.0,281.0,,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,,,4269.0,,,,,,,,,,,,,,,,,578.0,,,,,2515.0,,,8614.0,49850.0,,,,,-4847.0,,3774.0,25100.0,,-4269.0,109680.0,,,,,,,,,,8333.0,,,,,,,,,,-122553.0,,,,,,-41236.0,,,,,2505000.0,,,,
2016-06-30,2016-08-05,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,5200.0,,,80462.0,,,6075.0,6075.0,242.0,,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,-0.01,,5039.0,,,,,,,,,,,,,,,,,578.0,,,,,2590.0,,,6075.0,51277.0,,,,,-5617.0,,3774.0,25100.0,,-5039.0,132832.0,,,,,,,,,,5833.0,,,,,,,,,,-128169.0,,,,,,-45202.0,,,,,2505000.0,,,,
2016-09-30,2016-10-31,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,5800.0,,,81412.0,,,3536.0,3536.0,203.0,203.0,,,-156.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,45164.0,,7873.0,,,,-0.01,,20846.0,-23156.0,,,,,,-250.0,,,,,-2310.0,,-20440.0,,,2310.0,,,,,2666.0,,,3536.0,52455.0,,,,-156.0,-23156.0,,3774.0,25100.0,,-20846.0,132836.0,-20440.0,,,,,,,,,3333.0,,,,,,,,,,-132836.0,,,,,,-48919.0,,,,,2505000.0,,,,
2016-12-31,2017-02-10,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4600.0,,,90952.0,,,997.0,997.0,164.0,164.0,-39.0,,-39.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,0.0,,10879.0,,,0.0,,,9540.0,1200.0,,,,-578.0,-578.0,,,,2500.0,578.0,578.0,,0.0,,2729.0,,,997.0,51832.0,,0.0,0.0,-39.0,-11457.0,,3774.0,25100.0,,-10879.0,,-9540.0,,,,,,,,,833.0,,,,,,,,,,-144292.0,0.0,,,,,-50835.0,,,,,2505000.0,,,,
2017-03-31,2017-05-10,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,4600.0,,,101932.0,,,8458.0,8458.0,125.0,125.0,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,0.0,,3519.0,,,,,,,,,,,,,,,,,578.0,578.0,,,,2817.0,,,8458.0,52410.0,,,,,-4097.0,,3774.0,25100.0,,-3519.0,,,,,,,,,,,8333.0,,,,,,,,,,-148389.0,0.0,,,,,-43952.0,,,,,2505000.0,,,,
2017-06-30,2017-08-11,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,108792.0,,,5919.0,5919.0,86.0,86.0,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,0.0,,4799.0,,,,,,,,,,,,,,,,,578.0,578.0,,,,2892.0,,,5919.0,48387.0,,,,,-5377.0,,3774.0,25100.0,,-4799.0,132832.0,,,,,,,,,,5833.0,,,,,,,,,,-153765.0,0.0,,,,,-42468.0,,,,,2505000.0,,,,
2017-09-30,2017-12-27,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,1200.0,0.08,,109672.0,,,3379.0,3379.0,46.0,46.0,-157.0,,-157.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,54047.0,54047.0,,8883.0,,,,-0.01,,23816.0,-26126.0,,,8883.0,-8883.0,,-4600.0,,,,,2310.0,,28259.0,,,2310.0,,,,,2968.0,,,3379.0,50164.0,,,,-157.0,-26126.0,3774.0,3774.0,25100.0,,-23816.0,158962.0,,,,,,,,,,3333.0,3333.0,,,,,,,,,-158962.0,,,,23816.0,,-46785.0,,,,,2505000.0,,,,
2017-12-31,2018-02-07,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,6660.0,,,121672.0,,,12841.0,12841.0,,8.0,-38.0,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,0.0,,7999.0,-8577.0,,0.0,,,12000.0,5460.0,,,,-579.0,579.0,,12000.0,,9500.0,578.0,578.0,,0.0,,3044.0,,,12841.0,56202.0,,0.0,0.0,-38.0,-8577.0,3774.0,,25100.0,,-7999.0,158962.0,,,,,,,,,,,12833.0,,,,,,,,,-167538.0,0.0,,,7999.0,,-43361.0,,,,,2505000.0,,,,
2018-03-31,2018-05-09,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,6150.0,,,123792.0,,,10000.0,10000.0,,0.0,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,,,,,,,,,,,,,,,,,,,0.0,,4451.0,,,,,,,,,,,,,,,,,578.0,578.0,,,,3120.0,,,10000.0,56270.0,,,,,-5029.0,3774.0,,25100.0,,-4451.0,158962.0,,,,,,,,,,,10000.0,,,,,,,,,-172567.0,0.0,,,4451.0,,-46270.0,,,,,2505000.0,,,,
2018-09-30,2018-12-26,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,,0.08,,129600.0,,,4000.0,4000.0,,,-46.0,,,0.0001,450000000.0,2505000.0,2505000.0,251.0,,,,44048.0,,,0.025,,,,-6457.0,,26429.0,,125851.0,,,,,-0.01,,,-33111.0,,,-44048.0,44048.0,-17674.0,-1200.0,,,,,-20090.0,,17674.0,,667.0,2136.0,,,,,,,,4000.0,,,13900.0,,-13946.0,33111.0,0.0,0.0,,57871.0,-22624.0,,,,,,0.0001,50000000.0,0.0,0.0,,4000.0,,,,,,-3774.0,-33111.0,3774.0,,-125851.0,,,,22624.0,,4000.0,,,,,2505000.0,,,,
2018-12-31,2019-02-14,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,16222.0,,,129601.0,,,1000.0,1000.0,,,,,,0.0001,450000000.0,2505000.0,2505000.0,250.0,,,,-64762.0,,,,,,,60762.0,,,,125851.0,,,,,,,,-19222.0,,,-64189.0,-64189.0,,16222.0,,,,,,,,,-3000.0,,,,,,,,,1000.0,16222.0,,,,,-19222.0,,,,,19222.0,,,,,,0.0001,50000000.0,0.0,0.0,,1000.0,,,,,,,-19222.0,,,-145073.0,,,,-19222.0,,15222.0,,,,,2505000.0,,,,
2019-03-31,2019-05-03,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,13255.0,,,137947.0,,,44647.0,44647.0,,44647.0,,,,0.0001,450000000.0,448977607.0,448977607.0,44897.0,,,,,,,,,,,,,,,195502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44647.0,13255.0,,,,,-6379.0,,,,,-6379.0,,,,,,0.0001,50000000.0,0.0,0.0,,,,,,,,,-6379.0,,,-151452.0,,,,6379.0,,31392.0,,,,,186054850.0,,,,
2019-06-30,2019-08-14,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,9793.0,,,137947.0,,,31166.0,31166.0,,31166.0,,,,0.0001,450000000.0,448977607.0,448977607.0,44897.0,,,,,,,,,,,,,,,195502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31166.0,9793.0,,,,,-10019.0,,,,,-10019.0,,,,,,0.0001,50000000.0,0.0,0.0,,,,,,,,,-10019.0,,,-161471.0,,,,10019.0,,21373.0,,,,,448977607.0,,,,
