end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfGoodsAndServicesSold,CostOfGoodsSold,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromOfficersOrStockholdersCurrent,DueToEmployeesCurrent,DueToOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FeesAndCommissionsTransferAgent,GainLossOnSaleOfLeasedAssetsNetOperatingLeases,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInInventories,IncreaseDecreaseInInventoriesAndOtherOperatingAssets,IncreaseDecreaseInPrepaidRent,InterestPaid,InventoryGross,InventoryNet,InvestmentIncomeNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherLiabilitiesCurrent,OtherOperatingIncome,PaymentsForRent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Revenues,SalesAndExciseTaxPayableCurrent,SellingGeneralAndAdministrativeExpense,SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect
2018-09-30,2018-11-09,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,8350.0,190860.0,1994.0,1994.0,,,1994.0,-400.0,,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,,,,318113.0,318113.0,,,146933.0,,,0.0,,,,,,,,-8550.0,,,-1795.0,1795.0,8150.0,,,,,,,,,,155283.0,1994.0,155283.0,,,-400.0,-8550.0,,8550.0,-8550.0,318113.0,,,,,,,,,,,,-8550.0,,,-352113.0,,,8550.0,,,-153289.0,,,,7964090.0,7964090.0,
2018-12-31,2019-02-12,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190860.0,1219.0,1219.0,,,1219.0,,1219.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,,,,67333.0,67333.0,,,156933.0,,,0.0,,,,,,,,-2525.0,,,,,,,,,,,,,,,157033.0,1219.0,157033.0,,,,-2525.0,,2525.0,-2525.0,320638.0,320638.0,,,,,,,,,,,-2525.0,,,-354638.0,,,2525.0,,,-155814.0,,,,7964090.0,7964090.0,
2019-03-31,2019-05-13,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190860.0,3686.0,3686.0,,,3686.0,,3686.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,,,,67866.0,67866.0,,,161933.0,,,0.0,,,,,,,,-2533.0,,,,,,,,,,,,,,,162033.0,3686.0,162033.0,,,,-2533.0,,2533.0,-2533.0,323171.0,323171.0,,,,,,,,,,,-2533.0,,,-357171.0,,,2533.0,,,-155814.0,,,,7964090.0,7964090.0,
2019-06-30,2019-09-26,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,850.0,190860.0,966.0,966.0,966.0,,966.0,-1428.0,966.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,0.0,,0.0,68594.0,-68594.0,161933.0,,161933.0,,,0.0,,0.21,,,,0.0,,-17078.0,0.0,0.0,-3586.0,3586.0,650.0,,,,,0.0,,,0.0,,162783.0,966.0,162783.0,15000.0,0.0,-16428.0,-17078.0,,17078.0,-17078.0,326641.0,,,0.0,,,,,15000.0,,,,-17078.0,,,-360641.0,0.0,,17078.0,,,-161817.0,,,,7964090.0,,
2019-09-30,2019-11-12,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,8350.0,190860.0,4916.0,4916.0,,,4916.0,3950.0,,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,0.0,,0.0,70390.0,-70390.0,,,166933.0,,,0.0,,0.21,,,,0.0,,-8550.0,0.0,0.0,-1796.0,1796.0,7500.0,,,,,0.0,,,0.0,,175283.0,4916.0,175283.0,5000.0,0.0,-1050.0,-8550.0,,8550.0,-8550.0,335191.0,,,0.0,,,,,5000.0,,,,-8550.0,,,-369191.0,0.0,,8550.0,,,-170367.0,,,,7964090.0,,
2019-12-31,2020-02-14,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190860.0,,4133.0,4133.0,,4133.0,,4133.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,0.0,,0.0,72717.0,-72717.0,176933.0,,,,,0.0,,,,,,0.0,,-2533.0,0.0,,,,,,,,,,,,0.0,,177033.0,4133.0,177033.0,,,,-2533.0,,2533.0,-2533.0,335191.0,,,0.0,,,,,,,,,-2533.0,,,-371724.0,0.0,,2533.0,,,-172900.0,,,,7964090.0,,
2020-03-31,2020-05-13,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190860.0,,1592.0,1592.0,,1592.0,,1592.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,0.0,,0.0,71455.0,-71455.0,176933.0,,,,,0.0,,,,,,0.0,-2541.0,-2541.0,0.0,,,,,,,,,,,,0.0,,177033.0,1592.0,177033.0,,,,-2541.0,,2541.0,-2541.0,340265.0,,,0.0,,,,,,,,,-2541.0,,,-374265.0,0.0,,2541.0,,,-175441.0,,,,7964090.0,,
2020-06-30,2020-09-24,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190860.0,5121.0,5121.0,5121.0,,5121.0,4155.0,5121.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,0.0,,0.0,79318.0,79318.0,,,,,,0.0,,0.21,,,,0.0,-17095.0,-17095.0,0.0,0.0,-3590.0,3590.0,-750.0,,,,,0.0,,,0.0,,184033.0,5121.0,184033.0,22000.0,0.0,-17845.0,-17095.0,,17095.0,-17095.0,343736.0,,,0.0,,,,,22000.0,,,,-17095.0,,,-377736.0,0.0,,17095.0,,,-178912.0,,,,7964090.0,,
2020-09-30,2020-11-05,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190860.0,,6571.0,6571.0,,6571.0,1450.0,6571.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,0.0,,0.0,81114.0,81114.0,,,,,,0.0,,0.21,,,,0.0,-8550.0,-8550.0,0.0,0.0,-1796.0,1796.0,0.0,,,,,0.0,,,0.0,,194033.0,6571.0,194033.0,10000.0,0.0,-8550.0,-8550.0,,8550.0,-8550.0,352286.0,,,0.0,,,,,10000.0,,,,-8550.0,,,-386286.0,0.0,,8550.0,,,-187462.0,,,,7964090.0,,
2020-12-31,2021-02-10,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190860.0,4046.0,4046.0,,,4046.0,,4046.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,0.0,,0.0,81644.0,81644.0,,,,,,0.0,,,,,,0.0,-2525.0,-2525.0,0.0,,,,,,,,,,,,0.0,,194033.0,4046.0,194033.0,,,,-2525.0,,2525.0,-2525.0,354811.0,,,0.0,,,,,,,,,,,,-388811.0,0.0,,2525.0,,,-189987.0,,,,7964090.0,,
2021-03-31,2021-05-11,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,0.0,190860.0,1413.0,1413.0,,,1413.0,,,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,0.0,,0.0,75046.0,-75046.0,,,,,,0.0,,,,,,0.0,-2533.0,,0.0,,,,,,,,,,,,0.0,,193933.0,1413.0,193933.0,,,,-2533.0,,2533.0,-2533.0,357344.0,,,0.0,,,,,,,,,,,,-391344.0,0.0,,2533.0,,,-192520.0,,,,7964090.0,,
