end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentForAmortization,AdministrativeFeesExpense,AdvertisingExpense,AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,AllowanceForLoanAndLeaseLossesWriteoffsNet,AmortizationOfAdvanceRoyalty,AssetManagementFees,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,ClosedBlockOperationsResultsBeforeIncomeTaxes,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockAmountIssued1,ConversionOfStockSharesIssued1,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNetNoncurrent,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,FeesAndCommissionsTransferAgent,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionLossBeforeTax,GeneralAndAdministrativeExpense,GeneralContractorCosts,GoodwillAndIntangibleAssetImpairment,GoodwillWrittenOffRelatedToSaleOfBusinessUnit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInFinishedGoodsAndWorkInProcessInventories,InterestExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherExtraordinaryGainLoss,OtherGeneralAndAdministrativeExpense,OtherOperatingIncomeExpenseNet,PaymentForAdministrativeFees,PaymentsToAcquireAssetsInvestingActivities,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SaleOfStockPercentageOfOwnershipAfterTransaction,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationGross,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllocatedShareBasedCompensationExpense,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,PaymentsToAcquireLand,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromLoans,PropertyPlantAndEquipmentOtherNet,RepaymentsOfNotesPayable
2014-06-30,2014-09-30,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,3372.0,,,-705714.0,712244.0,,,0.0,,100000.0,,,63.0,63.0,63.0,63.0,63.0,63.0,-141009.0,0.0,0.001,150000000.0,103046.0,103046.0,0.0,103.0,,,0.0,,,,,,0.0,,698493.0,,791923.0,-1.37,,,,-14736.0,,,4106.0,,,,-141009.0,-141009.0,-141009.0,0.0,,0.0,-141009.0,0.0,0.0,3372.0,3372.0,,,37700.0,,0.0,0.0,0.0,,795295.0,63.0,795295.0,0.0,,0.0,,63.0,-141009.0,18108.0,,0.0,141009.0,,316592.0,,,4106.0,,,,0.0,,,,0.0,0.0,,18795.0,-141009.0,,,100000.0,-1507579.0,0.0,,,,,-795232.0,,,,,,,0.0,,,,,103046.0,,,,,,,,
2014-09-30,2019-12-12,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,5870.0,,,,712244.0,,,0.0,,,,,102.0,102.0,,102.0,,39.0,-130959.0,0.0,0.001,150000000.0,103073.0,,,103.0,,,,,,,,,,,,,228497.0,-1.27,,,,,,,130959.0,,,,,,-130959.0,,,,,,,2498.0,,,,28500.0,,,0.0,,,234367.0,102.0,234367.0,15000.0,,,,39.0,-130959.0,4370.0,,,130959.0,,,,,89.0,,,,,,,,,,,11500.0,-130959.0,,,100000.0,-1638538.0,,,,,,-234265.0,,,,,,,,,691926.0,,,103073.0,,,,,,,,
2015-06-30,2020-12-23,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,6265.0,,,,815996.0,,,0.0,,100000.0,,,234026.0,26.0,26.0,26.0,,-37.0,,0.0,0.001,150000000.0,103046.0,103046.0,1058174.0,103.0,,377000.0,,691926.0,,,,,0.0,,,,89850.0,-2.74,,,,,,,,,,,-279933.0,-282683.0,,0.0,,0.0,-282683.0,0.0,0.0,,2893.0,,,,,2750.0,0.0,36000.0,,150015.0,234026.0,150015.0,113900.0,,103900.0,,-103937.0,-282683.0,9598.0,,53900.0,279933.0,-375955.0,375955.0,60000.0,,232.0,,,,234000.0,,,,50000.0,53900.0,,20203.0,-282683.0,,,100000.0,-1790262.0,0.0,,,,,84011.0,,,,450000.0,,,270000.0,,,270000.0,,103046.0,,,,,,,,
2016-06-30,2021-01-25,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,12610.0,,,,815996.0,36000.0,,0.0,,0.0,,,162000.0,0.0,0.0,0.0,,-26.0,,0.0,0.001,150000000.0,103073.0,103073.0,1058174.0,103.0,,377000.0,,,,405579.0,,,0.0,,,,152546.0,-1.37,,,,,,,,,,,-138371.0,-141067.0,,0.0,,0.0,141067.0,0.0,0.0,,6345.0,,,62696.0,,2696.0,0.0,72000.0,,219056.0,162000.0,219056.0,60000.0,,0.0,,-26.0,-141067.0,6345.0,53900.0,53900.0,138371.0,-138371.0,405579.0,60000.0,,26.0,,,,162000.0,,,,,0.0,,0.0,,,,0.0,-1931329.0,0.0,,,,,-57056.0,,,,450000.0,,,72000.0,,,,,103073.0,,,,,,,,
2017-06-30,2021-02-19,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,16207.0,,,,815996.0,57000.0,,,,,,,105000.0,0.0,,0.0,,0.0,,0.0,0.001,150000000.0,103073.0,103073.0,1058174.0,103.0,,377000.0,,,,431471.0,,,0.0,,,,215243.0,-1.2,,0.21,,,,,,,,,,-123294.0,,0.0,0.0,0.0,,,,,3597.0,,,62697.0,,2696.0,0.0,57000.0,,285350.0,105000.0,285350.0,60000.0,,0.0,,0.0,-123294.0,3598.0,53900.0,,120598.0,-120598.0,,,,0.0,-2069623.0,,,105000.0,105000.0,,,,0.0,0.0,,,,,,-2054623.0,0.0,,,,,-180350.0,,,,450000.0,,,57000.0,,,,,103073.0,,,,,,,,
2018-06-30,2021-05-12,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,3748.0,,,,815996.0,42000.0,,,,,,,63000.0,0.0,,0.0,,0.0,,0.0,0.001,150000000.0,103073.0,103073.0,1105674.0,103.0,,187500.0,,,,462777.0,,,0.0,,,9338.0,287278.0,-1.45,,0.21,,,,,,,,,,-149076.0,,0.0,0.0,,,,,,-12459.0,,,72035.0,,2696.0,0.0,42000.0,,344926.0,63000.0,344926.0,60000.0,,0.0,,0.0,-149076.0,3120.0,53900.0,,98880.0,-98880.0,-2203699.0,,,0.0,,,,,63000.0,,,,,0.0,,,,,,-2203699.0,0.0,,,,,-281926.0,,,,450000.0,,,42000.0,,,,,103073.0,,,,,,,,
2019-06-30,2021-06-24,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,3148.0,,,,815996.0,42000.0,,,,,,,21000.0,0.0,,0.0,,0.0,,0.0,0.001,150000000.0,103073.0,103073.0,1105674.0,103.0,,187500.0,,,,485319.0,,,0.0,,,9338.0,353220.0,-1.04,0.21,0.21,,,,,,,,,,-107342.0,,0.0,0.0,,,,,,-600.0,,,65942.0,,2692.0,0.0,42000.0,,410268.0,21000.0,410268.0,60000.0,,0.0,,0.0,-107342.0,,53900.0,,104650.0,-104650.0,2311041.0,,,,,0.0,,,21000.0,,,,,0.0,,,,,,-2311041.0,0.0,,,,,-389268.0,,,,450000.0,,,42000.0,,,,,103073.0,,,,,,,,
2020-06-30,2021-09-02,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,3227.0,,,,815996.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,0.0,0.001,150000000.0,103073.0,103073.0,1105674.0,103.0,,187500.0,,,,503709.0,503709.0,0.0,0.0,503709.0,,3800.0,419716.0,-0.85,0.42,0.21,,,,,,,,,,-87575.0,,0.0,,0.0,,,,,79.0,,,66496.0,,2696.0,0.0,21000.0,,476843.0,0.0,476843.0,60000.0,,0.0,,0.0,-103249.0,,53900.0,,84879.0,-84879.0,2398616.0,,,,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,,,-2398616.0,0.0,,1.0,0.0,,-476843.0,,0.0,,450000.0,,,,,,,,103073.0,,,,,,,,
2021-06-30,2021-10-06,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,1124.0,,,,2805766.0,,2750.0,,,,,,0.0,0.0,,0.0,,0.0,,0.0,0.001,150000000.0,14669106.0,14669106.0,0.0,14669.0,598662.0,187500.0,,,,,503709.0,0.0,,503709.0,,3800.0,45000.0,-0.04,,0.21,,,,,,,,,,-467943.0,,0.0,,0.0,,,,,-2103.0,,,170046.0,,0.0,0.0,0.0,,46124.0,0.0,46124.0,60000.0,,0.0,,0.0,-513967.0,,0.0,,467943.0,-467943.0,2866559.0,,,,,,,,0.0,,0.0,,0.0,,94000.0,,,,,-2866559.0,0.0,,1.0,300000.0,,-46124.0,,598662.0,,,598662.0,,300000.0,0.0,,,,10949180.0,,,,,,,0.0,
2021-09-30,2021-11-15,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,29837.0,,,,2849266.0,,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,0.001,150000000.0,16169106.0,16169106.0,,16169.0,598662.0,187500.0,,,,,601977.0,0.0,,601977.0,,29334.0,44344.0,0.0,,0.11,,,,,,,,,,-73057.0,,0.0,,0.0,,,,,28713.0,,,-656.0,,0.0,0.0,0.0,,74181.0,0.0,74181.0,15000.0,,0.0,,0.0,-73057.0,4133.0,,,73057.0,-73057.0,2866559.0,,,,,,,,,,,,0.0,,53924.0,,,,,-2939616.0,0.0,,1.0,,,-74181.0,,45000.0,,,,,,,,,,15533236.0,,,,,,,,
2021-12-31,2022-02-22,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,22971.0,,,,3620116.0,,116.0,,,,,,357760.0,1360.0,,1360.0,,,,0.0,0.001,150000000.0,16169106.0,16169106.0,478925.0,16169.0,,,,,,,793888.0,0.0,,793888.0,,43050.0,0.0,-0.05,,,,,,,,,,,,-840805.0,,0.0,,,,,,,,,,,,0.0,,,,22971.0,357760.0,22971.0,815850.0,,,,,-840805.0,4433.0,,,840805.0,-840805.0,,,,,,,,,,,,,,,20406.0,,,,0.0,-3780421.0,0.0,,,,,334789.0,,118050.0,,,,,,,,,,16169106.0,,,,,,,356400.0,
