end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOther,AccountsPayableOtherCurrent,AccountsPayableOtherCurrentAndNoncurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccountsReceivableRelatedPartiesCurrent,AccruedIncomeTaxesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdjustmentForAmortization,AdministrativeFeesExpense,Assets,BusinessCombinationAcquisitionRelatedCosts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpensesRelatedParty,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsNet,DueFromOtherRelatedPartiesCurrent,DueFromRelatedParties,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,ExplorationExpenseMining,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnSaleOfOtherAssets,GainLossOnSaleOfProperties,GainOnSaleOfInvestments,GainsLossesOnSalesOfAssets,GainsLossesOnSalesOfOtherAssets,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInNotesReceivableRelatedParties,IncreaseDecreaseInNotesReceivableRelatedPartiesCurrent,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InterestAndOtherIncome,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestIncomeOperating,InterestIncomeOther,InterestIncomeRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentsInAndAdvancesToAffiliatesDividendOrInterestCreditedToIncome,LandAvailableForSale,Liabilities,LiabilitiesAndStockholdersEquity,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoncurrentAssets,NotesAndLoansReceivableGrossCurrent,NotesAndLoansReceivableNetCurrent,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableToBank,NotesReceivableNet,NotesReceivableRelatedParties,NotesReceivableRelatedPartiesCurrent,NotesReceivableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesIncomeStatementLeaseRevenue,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherReceivablesNetCurrent,PaymentsOfFinancingCosts,PaymentsToAcquireLand,PaymentsToAcquireRealEstateHeldForInvestment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromBankDebt,ProceedsFromCollectionOfLoansReceivable,ProceedsFromCollectionOfNotesReceivable,ProceedsFromLongTermCapitalLeaseObligations,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfOtherRealEstate,ProfessionalFees,ProfitLoss,RealEstateGrossAtCarryingValue,ReceivablesNetCurrent,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,StockholdersEquity,UnsecuredDebtCurrent,UnsecuredLongTermDebt,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-06-30,2012-08-14,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,48708.0,,,,42500.0,,,,,1376682.0,,,3022352.0,,432.0,432.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,0.26,,0.26,,,,,,259071.0,259071.0,,18871.0,31533.0,273113.0,273113.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17511.0,,,,,,,,,,60024.0,,0.0,2210223.0,3022352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28471.0,273113.0,,,,0.0,18871.0,0.0,,,,,0.01,4960000.0,,,0.0,,,,,,,,,9600.0,273113.0,,,,,,,-575129.0,60024.0,,812129.0,,,,,1057628.0
2012-09-30,2012-11-14,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,16245.0,,,,50000.0,,,,,1376682.0,,,3046641.0,,353.0,353.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,0.03,,0.03,,,,0.0,,,,,3632.0,49250.0,31547.0,31547.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17703.0,,,,,,,,,,60683.0,,0.0,2202965.0,3046641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11433.0,31547.0,,,,0.0,3632.0,0.0,,,,,0.01,4960000.0,,,0.0,,,,,,,,,7801.0,31547.0,,,,,,,-543582.0,60683.0,,843676.0,,,,,1057628.0
2012-12-31,2013-04-01,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,21927.0,,424616.0,,,,0.0,7372.0,1376682.0,7372.0,,3102775.0,,,1542.0,1034.0,,1542.0,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,0.21,0.21,,,0.0,,259071.0,,-259071.0,,30000.0,134032.0,222625.0,222625.0,134032.0,0.0,0.0,0.0,,,,130203.0,,130203.0,,0.0,-241413.0,0.0,,,0.0,,,70428.0,0.0,0.0,,105890.0,,105890.0,-35000.0,,,,,-241413.0,,-35349.0,,241514.0,241514.0,,,-135129.0,40950.0,,,,,,2233850.0,3102775.0,,,,,,,,0.0,,105890.0,,-104856.0,,222625.0,,,,,0.0,,1787307.0,,,,,,107482.0,222625.0,,,,0.0,37534.0,,,0.0,0.0,0.0,0.01,4960000.0,,,0.0,,,,0.0,,,,-259071.0,39948.0,241514.0,0.0,3101233.0,,,,,-518333.0,241514.0,,868925.0,,,,,
2013-03-31,2013-05-13,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,15496.0,,65000.0,,,,3029.0,0.0,1376682.0,,,3151038.0,,,957.0,-585.0,,957.0,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,,0.03,,,,,,,,,7500.0,47195.0,29877.0,,,-3029.0,,,,,,-359616.0,,-359616.0,,3029.0,-48849.0,,,,,,,384434.0,0.0,,,,,0.0,-6431.0,,,,0.0,,,,,,59364.0,59364.0,,-17318.0,0.0,,,,,,2255266.0,3151038.0,,,,,,,,0.0,,0.0,,-585.0,,26848.0,,,,,,,2171741.0,,,,,,12169.0,26848.0,,,,,3093.0,0.0,,,,,0.01,4960000.0,,,0.0,,,,,,,,,1576.0,26848.0,,3150081.0,,,,,-491486.0,59364.0,,895772.0,,,1057628.0,,
2013-06-30,2013-08-06,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,22338.0,,15000.0,,,,,,1376682.0,,,2698877.0,,,765.0,,,765.0,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,,-0.02,,,,,,0.0,,,15000.0,8166.0,-28315.0,,,3029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36481.0,,,,60024.0,60024.0,,1828392.0,2698877.0,,,,,,,,,,,,,,,,,,,,,1791054.0,,,,,,51858.0,-25286.0,,,,,8703.0,0.0,,,,,0.01,4960000.0,,,0.0,,,,,,,,,28155.0,,,2698112.0,,,,,-516773.0,60024.0,,870485.0,,,1057628.0,,
2013-09-30,2013-11-12,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,14709.0,,397115.0,,,,,,1376682.0,,,2746061.0,,,316.0,,,316.0,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,0.01,0.01,,,,0.0,,,,,15000.0,39862.0,5327.0,5327.0,39862.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34535.0,-34535.0,60683.0,,,,,,,,60683.0,,,1870299.0,2746061.0,,,,,,,,,,,,,,5327.0,,,,,,,1458475.0,,,,,,20821.0,5327.0,,,,,3106.0,0.0,,,,,0.01,4960000.0,,,0.0,,,,,,,,,2715.0,,,2745745.0,,,,,-511496.0,60683.0,,875762.0,,,,1057628.0,
2013-12-31,2014-04-14,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,3015.0,,318822.0,,,,,,1376682.0,0.0,,2694379.0,,346.0,346.0,-1196.0,,346.0,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,45739.0,,,,,0.01,0.0,,0.0,,,,0.0,,52500.0,133477.0,10607.0,10607.0,133477.0,0.0,0.0,,,0.0,10607.0,-105794.0,,-105794.0,,0.0,,0.0,,,,,,-11829.0,-282468.0,0.0,,,,165787.0,-18912.0,,,,,241413.0,,0.0,,240754.0,,240754.0,,-122870.0,134699.0,122870.0,240754.0,,,,1814847.0,2694379.0,0.0,0.0,0.0,0.0,1860125.0,0.0,,-282468.0,,165787.0,,115485.0,,10607.0,,,,2407540.0,1493010.0,1493010.0,1493010.0,,2694033.0,,2694033.0,,107277.0,10607.0,,,,,18788.0,,,0.0,0.0,,0.01,4960000.0,,,0.0,,,,0.0,,,,,35989.0,10604.0,,2694033.0,2694033.0,,,,-507726.0,240754.0,,879532.0,1370140.0,,,1057628.0,
2014-03-31,2014-05-15,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,0.0,,277802.0,,,,,,1376682.0,,,2405638.0,,154443.0,154443.0,154097.0,,,0.01,,1057628.0,1057628.0,10576.0,,,,,,,,,,,,,,,,,,15000.0,30947.0,-2837.0,-2837.0,30947.0,0.0,,,,,,15623.0,,15623.0,,0.0,-57162.0,,,,,,,-179512.0,-119000.0,,,,,500000.0,-3015.0,,,,,-57162.0,,,,57162.0,,57162.0,,-33784.0,153296.0,,,,,,1528943.0,2405638.0,,,0.0,0.0,837149.0,,,-119000.0,,500000.0,,-226903.0,,-2837.0,,,,,,,1251141.0,,2251195.0,,,,26215.0,-2837.0,,,,,2083.0,,,,,,0.01,4960000.0,,,0.0,,,,,,,,,9132.0,-2837.0,,,,,,,-510563.0,57162.0,,876695.0,,,1057628.0,1057628.0,
2014-06-30,2014-08-14,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,3390.0,,303460.0,,,,,,1376682.0,,,2259890.0,,874.0,874.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,,-0.01,,,,,,,,,15000.0,21226.0,-5130.0,-5130.0,21226.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53560.0,,-26356.0,,157674.0,,,53560.0,,1388325.0,2259890.0,,,0.0,0.0,857501.0,,,,,,,,,,,,,,,,1081475.0,,2259016.0,,,,32334.0,-5130.0,,,,,3872.0,,,,,,0.01,4960000.0,,,,,,,,,,,,13462.0,-5130.0,,,,,,,-515693.0,53560.0,,871565.0,,,1057628.0,1057628.0,
2014-09-30,2014-11-06,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,3244.0,,337460.0,,,,,,1376682.0,,,2316807.0,,,3642.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,0.0,,,,0.0,0.0,,,,,,,,,15000.0,,,-3558.0,23063.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26621.0,54149.0,,54149.0,,-26621.0,,51956.0,164871.0,,,,1448800.0,2316807.0,,,0.0,0.0,836953.0,,1108096.0,,,,,,,-3558.0,,,,2148294.0,1108096.0,1108096.0,,,,,2313165.0,,31086.0,,,,,,5037.0,,,,,,0.01,4960000.0,,,0.0,,,,,,,,,11049.0,,,,2313165.0,,,,-519251.0,54149.0,,868007.0,1056140.0,251957.0,,1057628.0,
2014-12-31,2015-03-31,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,3177.0,,417555.0,,0.0,,,,1376682.0,0.0,60000.0,2174528.0,,1776.0,1776.0,1430.0,,1776.0,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,60000.0,,,-3586.0,105905.0,0.0,,,,538.0,-538.0,98733.0,,98733.0,,0.0,,,,,,,,-101160.0,-514000.0,,,,,334179.0,162.0,,,,,187102.0,,0.0,,218524.0,,218524.0,,109491.0,,,,,,,1298582.0,2174528.0,0.0,,0.0,0.0,856140.0,21710.0,,-514000.0,,334179.0,,181251.0,,-3586.0,,,,,,877850.0,,,,,2172752.0,,112619.0,,,,,,14356.0,,,,,,0.01,4960000.0,0.0,0.0,0.0,,,,,,,,,38263.0,-3586.0,,2172752.0,,,,,-511312.0,218524.0,0.0,875946.0,,,,1057628.0,
2015-03-31,2015-05-14,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,18848.0,,426554.0,,,,,,1376682.0,,,2153297.0,,1207.0,1207.0,-569.0,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,,-0.01,,,,,,,,,15000.0,,,-5200.0,16592.0,0.0,,,,,,,,8999.0,,0.0,,,,,,,,-936.0,-39765.0,,,,,19100.0,15671.0,,,,,1562.0,,,,52090.0,,52090.0,,21792.0,,,,,,,1282551.0,2153297.0,,,0.0,0.0,837149.0,,,-39765.0,,19100.0,,20096.0,,-5200.0,-5200.0,,,,,837149.0,,,,,2152090.0,,35498.0,,,,,,4896.0,,,,,,0.01,4960000.0,,,0.0,,,,,,,,,15602.0,-5200.0,,,,,,,-516512.0,52090.0,,870746.0,,,,1057628.0,
2015-06-30,2015-08-13,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,661.0,,482038.0,,,,,,1376682.0,,15000.0,2211548.0,,7102.0,7102.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,0.0,,,,,,,,,,15000.0,,,602.0,20955.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20353.0,,,52356.0,52356.0,-20353.0,,,,,,,1340200.0,2211548.0,,,0.0,0.0,857501.0,,,,,,,,,,602.0,,,,,857501.0,,,,,2204446.0,,31401.0,,,,,,2776.0,,,,,,0.01,4960000.0,,,0.0,,,,,,,,,13625.0,602.0,,,,,,,-515910.0,52356.0,0.0,871348.0,,,,1057628.0,
2015-09-30,2015-11-13,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,3788.0,,387038.0,,,,,,1376682.0,,15000.0,2107847.0,,1618.0,1618.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,0.01,0.01,,,,,,,,,7486.0,,,-22486.0,29297.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20577.0,,,51783.0,51783.0,-20577.0,,,,,,,1227779.0,2107847.0,,,0.0,0.0,836953.0,,,,,,,,,8720.0,8720.0,,,,,836953.0,,,,,2106229.0,,22486.0,,,,,,3248.0,,,,,,0.01,4960000.0,0.0,0.0,0.0,,,,,,,,,4238.0,,,,,,,,-507190.0,51783.0,,880068.0,,,,1057628.0,
2015-12-31,2016-03-29,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,669.0,,381958.0,,0.0,,,,1376682.0,,60000.0,2107096.0,,867.0,867.0,-909.0,,,0.01,4960000.0,0.0,0.0,10576.0,,,,,,,,0.01,0.01,0.0,,0.0,,,,,,16365.0,,,11570.0,-113142.0,0.0,,,,0.0,1736.0,,,-35597.0,,0.0,,,-1870.0,,,,,-1132.0,-39765.0,,,,,64653.0,-2508.0,,,,,1870.0,,,83300.0,,,208012.0,208012.0,-83300.0,,,,,,,1219580.0,2107096.0,,,836953.0,0.0,0.0,,,-39765.0,-39765.0,64653.0,64653.0,-25797.0,,11570.0,7448.0,,,,,836953.0,,,,,2106229.0,,113142.0,,,-12882.0,,,16365.0,,,,,,0.01,40000000.0,1057628.0,1057628.0,0.0,,64653.0,,,,-39765.0,,,36777.0,11570.0,,2106229.0,,,,,-499742.0,0.0,0.0,887516.0,,,,1057628.0,
2016-03-31,2016-06-06,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,31859.0,,368957.0,,,,,,1376682.0,,15000.0,2107382.0,,1716.0,1716.0,849.0,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,-0.02,,-0.02,,,,,,,,,2718.0,,,-48547.0,-48547.0,0.0,,,,,,,,-13001.0,,0.0,,,,,,,,-223.0,0.0,,,,,0.0,31190.0,,,,,563.0,51220.0,20353.0,-20353.0,,,51220.0,,20353.0,,,,,,,1237546.0,2107382.0,,,,,,,,0.0,,0.0,,849.0,,-17680.0,,,,,,836730.0,,,,,2105666.0,,48547.0,,,,,,2718.0,,,,,,0.01,4960000.0,0.0,0.0,0.0,,,,,,,,,30829.0,-17680.0,,,,,,,-517422.0,0.0,0.0,869836.0,,,,1057628.0,
2016-06-30,2016-08-12,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,2513.0,,419608.0,,,,,,1376682.0,,15000.0,2157489.0,,602.0,602.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,0.01,0.01,,,,,,,,,,7418.0,,,-22418.0,-22418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51221.0,20354.0,20354.0,,,,51221.0,,,,,,,,1279204.0,2157489.0,,,,,,,,,,,,,,8449.0,8449.0,,,,,857083.0,,,,,2156887.0,,22418.0,,,,,,,,,,,,0.01,4960000.0,,,0.0,,,,,,,,,,,,,,,,,-508973.0,0.0,0.0,878285.0,,,,1057628.0,
2016-09-30,2016-11-14,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,3902.0,,379608.0,,,,,,1376682.0,,15000.0,2106254.0,,55.0,55.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,0.01,0.01,,,,,,,,,,8700.0,,,-23700.0,-23700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51783.0,20577.0,20577.0,,,,51783.0,,,,,,,,1220463.0,2106254.0,,,,,,,,,,,,,,7506.0,7506.0,,,,,836953.0,,,,,2106199.0,,23700.0,,,,,,,,,,,,0.01,4960000.0,,,0.0,,,,,,,,,,,,,,,,,-501467.0,0.0,0.0,885791.0,,,,1057628.0,
2016-12-31,2017-03-31,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,4732.0,,375728.0,,0.0,,,,1376682.0,,63000.0,2107129.0,,900.0,900.0,33.0,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,,0.0,0.0,,0.0,,,,,,17041.0,,,-27281.0,-121946.0,0.0,,,,,330.0,,,-6230.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,0.0,4063.0,,,,,0.0,51783.0,20577.0,81861.0,,,206007.0,206007.0,-81861.0,,20577.0,51783.0,,,,1217413.0,2107129.0,,,,,,,,0.0,0.0,0.0,0.0,33.0,,2200.0,,,2106229.0,,,816376.0,,,2106229.0,2054446.0,,,149227.0,,,-4898.0,,,17041.0,,,,,,0.01,4960000.0,0.0,0.0,0.0,,0.0,,,,0.0,,,41905.0,2200.0,,2106229.0,,,,,-497542.0,0.0,0.0,889716.0,,,,1057628.0,
2017-03-31,2017-05-15,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,29226.0,,368542.0,,,,,,1376682.0,,18000.0,2105941.0,,838.0,838.0,-62.0,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,18000.0,,,,,,-0.02,-0.02,-0.02,,,,,,,,,2026.0,,,-48577.0,-48577.0,,,,,,,,,-7186.0,,0.0,,,,,,,-1126.0,-447.0,0.0,,,,,0.0,24494.0,,,,,1126.0,50658.0,20130.0,20130.0,,,50658.0,50658.0,,,,,,,,1234274.0,2105941.0,,,,,,,,0.0,,0.0,,-62.0,,-18049.0,,,,,,836506.0,,,2105103.0,,,,48577.0,,,,,,,,,,,,0.01,4960000.0,,,0.0,,0.0,,,,0.0,,,28551.0,-18049.0,,,,,,,-515591.0,0.0,0.0,871667.0,,,,1057628.0,
2017-06-30,2017-08-14,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,0.0,,392193.0,,,,,,1376682.0,,18000.0,2105982.0,,,316.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,18000.0,,,,,,0.01,0.01,,,,,,,,,,7474.0,,,-25474.0,-25474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51221.0,20354.0,20354.0,,,,51221.0,,,20353.0,51220.0,,,,1228922.0,2105982.0,,,,,,,,,,,,,,5393.0,,,2105666.0,,,816376.0,,,,2054446.0,,,25474.0,,,,,,,,,,,,0.01,4960000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,-510198.0,0.0,0.0,877060.0,,,,1057628.0,
2017-09-30,2017-11-14,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,,392192.0,,,,,,1376682.0,,18000.0,2110258.0,,,4029.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,18000.0,,,,,,,0.0,,,,,,,,,,9154.0,,,-27154.0,-27154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51783.0,20577.0,20577.0,,,,51783.0,,,20577.0,51783.0,,,,1229145.0,2110258.0,,,,,,,,,,,,,,4052.0,,,2106229.0,,,816376.0,,,,2054446.0,,,27154.0,,,,,,,,,,,,0.01,4960000.0,0.0,0.0,,,,,,,,,,,,,,,,,,-506145.0,0.0,0.0,881113.0,,,,1057628.0,
2017-12-31,2018-03-29,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,669.0,,383413.0,,,0.0,,,1376682.0,,72000.0,2107143.0,,,914.0,14.0,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,,,0.0,,,,,,,,16601.0,,,-26210.0,-127415.0,0.0,,,,541.0,-541.0,,,7685.0,,,,,0.0,,,,,0.0,,,,,,,-4063.0,,,,,,51783.0,20577.0,81638.0,,,,205445.0,,,20577.0,51783.0,,,,1221035.0,2107143.0,,,,,,,,,0.0,,0.0,14.0,,-3608.0,,,2106229.0,,,816376.0,,,,2054446.0,,,153625.0,,,4898.0,367115.0,,,,1702.0,,,,0.01,4960000.0,0.0,0.0,0.0,,0.0,,,,0.0,,,38814.0,,,,,,,,-501150.0,0.0,0.0,886108.0,,,,1057628.0,
2018-03-31,2018-05-15,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,29025.0,,18660.0,,,,,,1376682.0,,,2109433.0,,,1750.0,836.0,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,18000.0,,,,,,-0.03,-0.03,,,,,,,,,,3026.0,,,-50426.0,-50426.0,,,,,,,,,660.0,508960.0,,,,,,,,-9208.0,-447.0,,,,,,,28356.0,,,,,,42575.0,20130.0,20130.0,,,,42575.0,,,20130.0,42575.0,,,,1251306.0,2109433.0,,,,,,,,0.0,,500000.0,,-499164.0,,-27981.0,,,1597021.0,,,816376.0,,,,1554446.0,,,50426.0,,,,367115.0,,,,510662.0,,,,0.01,4960000.0,0.0,0.0,0.0,,500000.0,,,,0.0,,,29400.0,,,,,,,,-529131.0,0.0,,858127.0,,,,1057628.0,
2018-06-30,2018-08-13,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,3376.0,,367115.0,,,249562.0,,,1376682.0,,,1843447.0,,,685.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,18000.0,,,,249562.0,367115.0,,0.0,,,,,,,,,,5125.0,,,-26575.0,-26575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38755.0,16894.0,16894.0,,,,38755.0,,,10184.0,38754.0,,,,990035.0,1843447.0,,,,,,,,,,,,,,-4714.0,,,1593200.0,,,609360.0,,,,1554446.0,,,26575.0,,,,,,,,,,,,0.01,4960000.0,0.0,0.0,0.0,,,,,,,,,3450.0,,,,,,,,-533846.0,0.0,,853412.0,,,,1057628.0,
