end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,BusinessCombinationConsiderationTransferred1,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ConvertibleDebtNoncurrent,CurrentFederalTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOtherLossCarryforwards,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EquityMethodInvestmentRealizedGainLossOnDisposal,EquityMethodInvestments,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainLossOnSaleOfPropertyPlantEquipment,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GoodwillImpairmentLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInSecurityDeposits,IncrementalCommonSharesAttributableToEquityUnitPurchaseAgreements,InterestExpense,InterestPaid,InvestmentOwnedBalanceOtherMeasure,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansReceivableNet,LongTermInvestments,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetImpairmentCharges,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherComprehensiveIncomeLossNetOfTax,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsToAcquireLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromSaleOfLoansReceivable,ProfitLoss,PropertyPlantAndEquipmentNet,ReclassificationFromAociCurrentPeriodBeforeTaxAttributableToParent,RetainedEarningsAccumulatedDeficit,ShareBasedGoodsAndNonemployeeServicesTransactionQuantityOfSecuritiesIssued,SharePrice,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-12-31,2020-02-05,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2013-03-31,2020-02-06,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,23825.0
2013-06-30,2020-02-06,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2013-09-30,2020-02-06,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2013-12-31,2020-02-11,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2014-03-31,2020-02-12,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,23825.0
2014-06-30,2020-02-13,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2014-09-30,2020-02-13,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2014-12-31,2020-02-14,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2015-03-31,2020-02-19,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,23825.0
2015-06-30,2020-02-19,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2015-09-30,2020-02-21,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2015-12-31,2020-02-24,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2016-03-31,2020-02-24,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,23825.0
2016-06-30,2020-02-24,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2016-09-30,2020-02-24,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2016-12-31,2020-02-24,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2017-03-31,2020-02-24,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,23825.0
2017-06-30,2020-02-24,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2017-09-30,2020-02-25,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2017-12-31,2020-02-25,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2018-03-31,2020-02-25,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,23825.0
2018-06-30,2020-02-25,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2018-09-30,2020-02-25,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2018-12-31,2020-02-25,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2019-03-31,2020-02-26,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4340490.0,4340490.0,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2019-06-30,2020-02-26,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4340490.0,4340490.0,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2019-09-30,2020-02-06,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4340000.0,4340000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,33011.0
2019-12-31,2020-02-26,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20668967.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2020-03-31,2020-05-22,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,16889.0,,,20458967.0,,0.0,,,,,,0.001,270000000.0,220033011.0,220033011.0,220033.0,,,,-6118.0,6118.0,,20698134.0,,,,2245.0,-0.88,0.21,,,,,,,,29134.0,,-29134.0,,16889.0,12245.0,,,,,,,,,19134.0,0.0,19134.0,,,,,,,,-29134.0,,,29134.0,-29134.0,4346608.0,4346608.0,,,,,,,,0.001,30000000.0,,,,,,-29134.0,,,-20698134.0,,,-19134.0,10000.0,,,10000.0,33011.0
2020-06-30,2020-08-14,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,17389.0,,,20458967.0,,0.0,,,,,,0.001,270000000.0,220033011.0,220033011.0,220033.0,,,,,,,20698134.0,,,,2245.0,0.0,,,,,,,,,500.0,,-500.0,,,,,,,,,,,,19634.0,0.0,19634.0,,,,,,,,-500.0,,,500.0,-500.0,4346713.0,4346713.0,,,,,,,,0.001,30000000.0,,,,,,-500.0,,,-20698634.0,,,-19634.0,,,,,220033011.0
2020-09-30,2020-11-17,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,28456.0,,,20458967.0,,0.0,,,,,,0.001,270000000.0,220033011.0,220033011.0,220033.0,,,,,,,20669134.0,,,,9660.0,0.0,,,,,,,,,18482.0,,-18482.0,,,,,,,,,,,,38116.0,0.0,38116.0,,,,,,,,-18482.0,,,18482.0,-18482.0,4350594.0,4350594.0,,,,,,,,0.001,30000000.0,,,,,,-18482.0,,,-20717116.0,,,-38116.0,,,,,220033011.0
2020-12-31,2021-04-21,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,26361.0,,,20458967.0,,0.0,0.0,,,,,0.001,270000000.0,220033011.0,220033011.0,220033.0,,,,-14329.0,14329.0,,,,,,31873.0,0.0,0.21,,,,,,,,68234.0,,-68234.0,,26361.0,41873.0,,,,,,,,,58234.0,0.0,58234.0,,,,,,,,-68234.0,,,68234.0,-68234.0,4355000.0,4355000.0,,,,,,,,0.001,30000000.0,0.0,0.0,,,,,,,-20737234.0,,,-58234.0,10000.0,,,10000.0,189978366.0
2021-03-31,2021-05-25,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,27361.0,,,20458967.0,,0.0,0.0,,,,,0.001,270000000.0,220033011.0,220033011.0,220033.0,,,,-210.0,210.0,,,,,,31873.0,0.0,0.21,,,,,,,,1000.0,,-1000.0,,1000.0,,,,,,,,,,59234.0,0.0,59234.0,,,,,,,,-1000.0,,,1000.0,-1000.0,4355000.0,4355000.0,,,,,,,,0.001,30000000.0,,,,,,-1000.0,,,-20738234.0,,,-59234.0,,,,,220033011.0
2021-06-30,2021-09-24,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,26361.0,,,20458967.0,,,,,,,,0.001,270000000.0,220033011.0,220033011.0,220033.0,,,,,,20746148.0,,,,,40787.0,0.0,,,,,,,,,7914.0,,-7914.0,,,,,,,,,,,,67148.0,,67148.0,,,,,,,,-7914.0,,,7914.0,-7914.0,4355000.0,4355000.0,,,,,,,,0.001,30000000.0,0.0,0.0,,,,-7913.0,,,-20746148.0,,,-67148.0,,,,,220033011.0
2021-09-30,2021-11-22,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,27067.0,,,20458967.0,,,,,,,,0.001,270000000.0,220033011.0,220033011.0,220033.0,,,,,,20746148.0,,,,,42586.0,0.0,,,,,,,,,2505.0,,-2505.0,,,,,,,,,,,,69653.0,,69653.0,,,,,,,,-2505.0,,,2505.0,-2505.0,4355000.0,4355000.0,,,,,,,,0.001,30000000.0,0.0,0.0,,,,-2505.0,,,-20748653.0,,,-69653.0,,,,,220033011.0
