end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,BeneficialInterest,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountIssued1,ConvertibleDebt,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DueToOfficersOrStockholdersNoncurrent,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EmployeeBenefitsAndShareBasedCompensationNoncash,EquityIssuanceNumberOfEquitySecuritiesIssuedForNoncashConsiderations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,InterestExpense,InterestPaid,InterestPaidCapitalized,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCredit,LoansPayable,LoansPayableCurrent,LongTermDebt,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NoncashContributionExpense,NonoperatingIncomeExpense,OperatingExpenses,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherLongTermDebtNoncurrent,OtherMaterialNoncashItems,OtherNoncashExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherShortTermBorrowings,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedGoodsAndNonemployeeServicesTransactionExpense,SharesIssued,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityOther,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2012-12-31,2013-05-17,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,1361.0,,,4000.0,64389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,7500.0,,,,,,590.0,,,,,,,,,,,600.0,0.0,7500.0,,-20086.0,,,,,,4250.0,-454.0,,204.0,,,,,19701.0,,,17500.0,,,,7500.0,,-7500.0,8132.0,,,,10350.0,,-18482.0,,,,,,,,,,,,,,,,7500.0,9750.0,,,-92595.0,,,,-19702.0,,-19701.0,-9701.0,,-4382.0,,,,,,,8505000.0,
2013-03-31,2013-05-17,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,1361.0,,,,64389.0,,-7500.0,,,,,,,,,,8505.0,,,,,,,,,,,,747.0,,,,,,,,,,,,0.0,,,,,,,,,156.0,-156.0,,,,,,,6108.0,,,7500.0,,,,,,,-156.0,,,,,,-156.0,,,,,,,,,,,,,,,,,,,,-89002.0,,,,,,-16108.0,,,,,,,,,,8505000.0,
2013-06-30,2013-08-14,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,1360.0,,,4000.0,64389.0,,-7500.0,,,,,,,,,,8505.0,,,,,,,,,,,,903.0,,,,,,,,,,,,0.0,,,,,,,,,,-156.0,,,,,,,6263.0,,,7500.0,,,,,,,-156.0,,,,,,-156.0,,,,,,,,,,,,,,,,,,,,-89157.0,,,,,,-16263.0,,,,,,,,,,8505000.0,
2013-12-31,2014-09-25,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,74389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,1215.0,,10000.0,17500.0,10000.0,,,,,,,,0.0,7500.0,,7350.0,,,,,,625.0,-625.0,,,,,,,17676.0,,,17500.0,17500.0,,,,,,-7975.0,,,,7350.0,,-625.0,,,,,,,,,,,,,,,,,7350.0,,,-100570.0,,,,-19702.0,,-17676.0,-9702.0,,-7975.0,,,,,,,8505000.0,
2014-03-31,2014-12-02,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,64389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,1371.0,,10000.0,7500.0,,,,,,,,,0.0,7500.0,,,,,,,,156.0,-156.0,,,,,,,10332.0,,,,,,,,,,-156.0,,,,,,-156.0,,,,,,,,,,,,,,,,,,,,-93226.0,,,,,,-20332.0,,,,,,,,,,8505000.0,
2014-06-30,2014-12-04,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,64389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,1528.0,,,7500.0,10000.0,,,,,,,,0.0,,,,,,,,,,-156.0,,,,,,,10489.0,,,,,,,,,,-156.0,,,,,,-156.0,,,,,,,,,,,,,,,,,,,,-93383.0,,,,,,-20489.0,,,,,,,,,,8505000.0,
2014-09-30,2014-12-04,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,64389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,1684.0,,,17500.0,,,,,,,,,0.0,,,,,,,,,,-156.0,,,,,,,20645.0,,,,,,,,,,-156.0,,,,,,-156.0,,,,,,,,,,,,,,,,,,,,-93539.0,,,,,,-20645.0,,,,,,,,,,8505000.0,
2014-12-31,2015-08-18,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,74389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,-10000.0,,,,,1840.0,,,,,,,,,,,,0.0,7500.0,,3750.0,,,,,,625.0,-625.0,,,,,,,22051.0,,,,7500.0,,,,,,-4375.0,,,,3750.0,,-625.0,,,,,,,,,,,,,,,,,3750.0,,,-104945.0,,,,-27677.0,,-22051.0,-22051.0,,-4375.0,,,,,,,8505000.0,
2015-03-31,2016-01-22,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,64389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,1996.0,,,,,,,,,,,,0.0,,,600.0,,,,,,155.0,-155.0,,,,,,,32806.0,,,,17500.0,,,,,,-755.0,,,,600.0,,-155.0,,,,,,,,,,,,,,,,,600.0,,,105700.0,,,,,,-32051.0,,,,,,,,,,8505000.0,
2015-06-30,2016-01-25,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,64389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,2152.0,,,,,,,,,,,,0.0,,,,,,,,,,-155.0,,,,,,,33563.0,,,,17500.0,,,,,,-755.0,,,,600.0,,-155.0,,,,,,,,,,,,,,,,,600.0,,,-106457.0,,,,,,33653.0,,,,,,,,,,8505000.0,
2015-09-30,2016-01-25,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,64389.0,,-7500.0,,,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,2310.0,,,,,,,,,,,,0.0,,,,,,,,,,-157.0,,,,,,,34321.0,,,,17500.0,,,,,,-757.0,,,,600.0,,-157.0,,,,,,,,,,,,,,,,,600.0,,,107215.0,,,,,,34321.0,,,,,,,,,,8505000.0,
2015-12-31,2016-08-18,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,74389.0,,-17500.0,,0.0,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,2468.0,,,,,,,,,,,,0.0,,,5805.0,,,,,,627.0,-627.0,,,,,,,28483.0,,,,17500.0,,,,,,-6432.0,,,,5805.0,,-627.0,,,,,,,,,,,,,,,,,5805.0,,,-111377.0,,,,,,-28483.0,-28483.0,,-6432.0,,,,,,,8505000.0,
2016-03-31,2016-08-18,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,74389.0,,-17500.0,,0.0,0.0,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,2625.0,,,,,0.0,,,,,,,0.0,0.0,0.0,600.0,,600.0,0.0,,158.0,158.0,158.0,0.0,,,0.0,,,29240.0,,,,17500.0,,0.0,0.0,0.0,0.0,-758.0,,0.0,-158.0,600.0,0.0,-158.0,,,,0.0,,,0.0,0.0,,,,,,0.0,,0.0,600.0,-758.0,,-112134.0,0.0,,,,,-29240.0,,,,,,,,9595200.0,,8505000.0,
2016-06-30,2016-08-23,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,74389.0,,-17500.0,,0.0,,,,,75000000.0,8505000.0,8505000.0,8505.0,8505.0,,,,,,,,,,,2783.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,158.0,,,,,,,29998.0,,,,17500.0,,,,,,-758.0,,,-158.0,600.0,0.0,-158.0,,,,0.0,,,,,,,,,,,,,600.0,,,-112892.0,,,,,,-29998.0,,,,,,,,9595200.0,,8505000.0,
2016-09-30,2017-01-24,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,,-758.0,,,-158.0,600.0,0.0,,,,,0.0,,,,,,,,,,,,,600.0,,,,0.0,,,,,,,,,,,,,9595200.0,,8505000.0,
2016-12-31,2017-04-17,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,31815.0,27815.0,4000.0,74389.0,0.0,-17500.0,,0.0,0.0,,,0.001,750000000.0,8505000.0,8505000.0,8505.0,8505.0,0.0,,,,,,0.0,113649.0,,-113649.0,3098.0,,,,,0.0,,,,,,,,0.0,0.0,,5800.0,,,,630.0,,630.0,0.0,,3098.0,,34913.0,0.0,34913.0,0.0,10000.0,,17500.0,,,,,0.0,-6430.0,-6430.0,,-630.0,5800.0,5800.0,,-10000.0,,,,,17500.0,,,,,,,,,,,,-6430.0,,-117807.0,0.0,,,,,-34913.0,-34913.0,,-6430.0,,,,,,8505000.0,,
2017-03-31,2017-11-20,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,31415.0,30814.0,600.0,74389.0,0.0,-17500.0,,0.0,0.0,,,0.001,750000000.0,8505000.0,8505000.0,8505.0,,,,,,,,0.0,117564.0,,-117564.0,,,,,,0.0,,,,,,,,0.0,0.0,,,-400.0,-4000.0,0.0,158.0,,158.0,0.0,,3256.0,0.0,34670.0,0.0,34670.0,0.0,10000.0,,,,0.0,0.0,0.0,0.0,242.0,,0.0,842.0,600.0,600.0,,-10000.0,,,1000.0,,17500.0,0.0,0.0,,,,,,0.0,,0.0,600.0,242.0,,-117564.0,0.0,,,,,-34670.0,,,,,,,,9595200.0,8505000.0,8505000.0,
2017-06-30,2017-11-20,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,32015.0,32015.0,0.0,74389.0,0.0,-17500.0,,0.0,,,,0.001,750000000.0,8505000.0,8505000.0,8505.0,,,,,,,,0.0,118822.0,,-118822.0,,,,,,-0.01,,,,,,,,,,,,,,,,,158.0,,,3413.0,,35428.0,0.0,35428.0,0.0,10000.0,,,,,,,,-758.0,,,-158.0,600.0,600.0,,-10000.0,,,0.0,,17500.0,,,,,,,,,,,600.0,,,-118322.0,,,,,,-35428.0,,,,,,,,9595200.0,85050.0,8505000.0,
2017-09-30,2017-11-20,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,32615.0,23215.0,4000.0,74389.0,0.0,-17500.0,,0.0,0.0,,,0.001,750000000.0,8505000.0,8505000.0,8505.0,,,,,,,,0.0,119079.0,,-119079.0,,,,,,-0.01,,,,,,,,,0.0,,,4800.0,-4000.0,,473.0,,158.0,0.0,,2783.0,0.0,29998.0,0.0,29998.0,0.0,10000.0,,,,,0.0,0.0,0.0,-758.0,,0.0,-158.0,600.0,600.0,,-10000.0,,,0.0,,17500.0,0.0,0.0,,,,,,0.0,,0.0,600.0,-1273.0,,-112892.0,0.0,,,,,-29998.0,,,,,,,,9595200.0,85050.0,8505000.0,
2017-12-31,2018-04-17,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,36815.0,,,82809.0,0.0,-17500.0,,0.0,0.0,,,0.001,50000000.0,85050.0,85050.0,85.0,,0.0,0.0,17500.0,0.0,,,0.0,26427.0,0.0,26427.0,,,,0.0,,-0.07,0.0,0.34,-0.21,0.0,,,,,0.0,,10000.0,,,0.0,1250.0,,625.0,0.0,,3723.0,,40538.0,0.0,40538.0,,,,,,,,,0.0,-5625.0,-5625.0,,-625.0,5000.0,5000.0,,,,,,,0.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-11250.0,,-123432.0,0.0,,,,,-40538.0,-40538.0,,,,,,,,85050.0,,
2018-03-31,2018-05-21,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,6554.0,,,98697.0,0.0,0.0,,0.0,0.0,,,0.001,750000000.0,18735000.0,18735000.0,18735.0,,,,,,,,,,,,,,,4800.0,,-0.03,0.0,0.21,-0.21,,,,,,0.0,,,554.0,,4800.0,0.0,,0.0,0.0,,0.0,,,0.0,11354.0,,,,,,,,,0.0,-5354.0,-5354.0,,0.0,,5354.0,,,,,0.0,,0.0,34538.0,,,,,,,,,,,-5354.0,,-128786.0,,,,,,-11354.0,-11354.0,,,,,34538.0,,,153250.0,,
2018-06-30,2018-08-17,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,6864.0,,,117245.0,0.0,,,0.0,,,,0.001,50000000.0,187350.0,187350.0,187.0,,,,,,,,,,,,,,,14867.0,,-0.06,0.0,0.21,-0.21,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,21731.0,,,,,,,,,,-10377.0,,,0.0,,10377.0,,,,,0.0,,0.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,-139163.0,,,,,,-21731.0,-21731.0,,,,,,,,187350.0,,
2018-09-30,2018-11-14,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,8132.0,,,117245.0,0.0,,,0.0,,,,0.001,50000000.0,187350.0,187350.0,187.0,,,,,,,,,,,,,,,22482.0,,-0.05,0.0,0.21,-0.21,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,30614.0,,,,,,,,,,-8883.0,,,0.0,,8883.0,,,,,0.0,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,-148046.0,,,,,,-30614.0,-30614.0,,,,,,,,187350.0,,
2018-12-31,2019-04-01,10-K,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,10203.0,,,620334.0,0.0,,,0.0,0.0,,0.0,0.001,50000000.0,1805001.0,1805001.0,1805.0,,,504707.0,,69076.0,,,0.0,33022.0,0.0,33022.0,,,,27201.0,,-1.71,0.0,0.21,-0.21,1009414.0,,,,,0.0,,8406.0,,,54402.0,0.0,,0.0,0.0,,0.0,,37404.0,0.0,37404.0,,,,,,,,,0.0,-536111.0,-536111.0,,,536111.0,536111.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-1072222.0,,-659543.0,0.0,,,,504707.0,-37404.0,-37404.0,,,,,34538.0,,,313629.0,,
2019-03-31,2019-05-15,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,17172.0,,,620334.0,0.0,,,0.0,0.0,,,0.001,50000000.0,1805000.0,1805000.0,1805.0,,,,,,,,0.0,34486.0,,34486.0,,,,27201.0,,0.0,0.0,0.21,-0.21,,,,,,0.0,,,6969.0,,0.0,,,,0.0,,,,,0.0,44373.0,,,,,,,,,0.0,-6969.0,-6969.0,,,,6969.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-6969.0,,-666512.0,,,,,,-44373.0,-44373.0,,,,,,,,1805000.0,,
2019-06-30,2019-08-14,10-Q,ZHONG YA INTERNATIONAL LTD,ZYJT,CIK0001442101,USD,,9989.0,,,620334.0,0.0,,,,,,,0.001,50000000.0,1805001.0,1805001.0,1805.0,,,,,,,,0.0,37165.0,,37165.0,,,,47140.0,,-0.01,0.0,0.21,-0.21,,,,,,,,,,,,,,,,,,,,0.0,57129.0,,,,,,,,,,-12756.0,,,,,12756.0,,,,,,,,,,,,,,,,,,,,,-679268.0,,,,,,-57129.0,-57129.0,,,,,,,,1805001.0,,
