end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableFairValueDisclosure,AccruedLiabilitiesCurrent,Assets,AssetsFairValueDisclosure,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CostOfTrustAssetsSoldToPayExpenses,EarningsPerShareBasic,FairValueNetAssetLiability,FairValueOfAssetsAcquired,GainLossOnDispositionOfAssets,GainLossOnInvestments,GainLossOnSaleOfInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,InventoryValuationReserves,InventoryWriteDown,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesFairValueDisclosure,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OperatingIncomeLoss,OtherInventory,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,PaymentsForFees,ProceedsFromSaleOfOtherAssets,ProceedsFromSaleOfTrustAssetsToPayExpenses,RealizedInvestmentGainsLosses,Revenues,SaleOfTrustAssetsToPayExpenses,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquityOtherChanges,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionPricePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments,WeightedAverageNumberOfSharesOutstandingBasic
2011-09-30,2011-11-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1974000.0,6130368000.0,,,,,,3372000.0,0.22,,,1619000.0,,,1619000.0,,,,,,,,,1974000.0,,,,116722000.0,,5539000.0,,6141161000.0,,,,,,,4991000.0,,,,,,,,,,,,,,,,,529401087.0
2011-12-31,2012-02-29,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1938000.0,6572102000.0,,0.0,0.0,,,12188000.0,0.54,,3660287000.0,5570000.0,,,5570000.0,,871000.0,,0.0,,,,,1938000.0,6572102000.0,,0.0,258847000.0,,18629000.0,,6629203000.0,644033000.0,17758000.0,17758000.0,17758000.0,,277476000.0,17758000.0,563850000.0,-1846637000.0,239050000.0,,62150000.0,915939000.0,8416801000.0,-356503000.0,915939000.0,,,8416801000.0,563850000.0,563850000.0,3660287000.0,,481399041.0
2012-03-31,2012-05-09,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,2079000.0,7137395000.0,,,,,,4215000.0,0.03,,630526000.0,,,,1636000.0,,141000.0,,,,,,,2079000.0,7137395000.0,,,16992000.0,,5992000.0,,7151752000.0,61018000.0,5851000.0,,5851000.0,,,5851000.0,,,,,,,,697360000.0,,,,9662321000.0,596450000.0,596450000.0,630526000.0,,587501648.0
2012-06-30,2012-08-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1887000.0,7228945000.0,,,,,,4447000.0,0.12,,,,,,1526000.0,,,,,,,,,1887000.0,7228945000.0,,,71611000.0,,5781000.0,,7252656000.0,,,,,,,5973000.0,,,,,,,,-382245000.0,,,,9300207000.0,597450000.0,597450000.0,368304000.0,,592018132.0
2012-09-30,2012-11-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,2229000.0,8369443000.0,,0.0,,,,4547000.0,0.06,,,,,,1362000.0,,,,0.0,,,,,2229000.0,8369443000.0,,,38965000.0,,6251000.0,,8298576000.0,,,,,,45216000.0,5909000.0,,,,,,,,,,,,11478573000.0,664100000.0,664100000.0,1303832000.0,,619476630.0
2012-12-31,2013-02-28,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,2485000.0,9315055000.0,,0.0,0.0,,,18552000.0,0.22,,3303091000.0,,,,6263000.0,,547000.0,0.0,0.0,11647783000.0,9315055000.0,,,2485000.0,9315055000.0,,0.0,136332000.0,,25362000.0,,9315055000.0,541586000.0,24815000.0,,24815000.0,,161694000.0,24815000.0,719550000.0,-2332728000.0,200400000.0,,44700000.0,697017000.0,11645298000.0,-622423000.0,,,,11645298000.0,719550000.0,719550000.0,3303091000.0,,624899044.0
2013-03-31,2013-05-09,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,2314000.0,9190784000.0,,0.0,0.0,,,5819000.0,0.2,,672521000.0,,,,1370000.0,,-171000.0,,,,,,,2314000.0,9190784000.0,,0.0,144994000.0,,7018000.0,,9131393000.0,790973000.0,7189000.0,,7189000.0,,,7189000.0,701600000.0,,42750000.0,,-60700000.0,941615000.0,,476814000.0,,,,10899390000.0,701600000.0,701600000.0,672521000.0,,717346111.0
2013-06-30,2013-08-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1645000.0,6861395000.0,,0.0,,,,5627000.0,-1.33,,,,,,568000.0,,,894628000.0,894628000.0,,,,,1645000.0,6861395000.0,,,-845267000.0,,5526000.0,,7756023000.0,,,,,,-839741000.0,6195000.0,592450000.0,,,,-109150000.0,1483453000.0,,,,,,6859750000.0,592450000.0,592450000.0,,,637836264.0
2013-09-30,2013-11-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1589000.0,7576618000.0,,0.0,,,,4958000.0,1.3,,,,,,-112000.0,,,111955000.0,-782673000.0,,,,,1589000.0,7576618000.0,,,767323000.0,,4790000.0,,7706868000.0,,,,,,772113000.0,4846000.0,,-2332728000.0,14000000.0,,18200000.0,227490000.0,,,,,,7575029000.0,588250000.0,588250000.0,175446000.0,,590370652.0
2013-12-31,2014-02-28,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1393000.0,6272422000.0,,0.0,0.0,,,21261000.0,-1.0,6271029069.0,928370000.0,,,,1573000.0,-1092000.0,-1092000.0,,750591000.0,6272422250.0,6272422250.0,6272422000.0,,1393000.0,6272422000.0,,0.0,-1256132000.0,,21742000.0,,6329194000.0,3199151000.0,22834000.0,,22834000.0,,-606324000.0,22834000.0,,0.0,63250000.0,,244800000.0,3341845000.0,6271029000.0,5921588000.0,,,11.66,6271029000.0,538000000.0,538000000.0,928370000.0,,627129863.0
2014-03-31,2014-05-12,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1510000.0,6860967000.0,,0.0,0.0,,,,0.85,,202435000.0,,467506000.0,4062000.0,234000.0,117000.0,117000.0,,,6860967000.0,6397523000.0,6860967000.0,1.0002,1510000.0,6860967000.0,,0.0,463322000.0,,4184000.0,-4184000.0,,77329000.0,4067000.0,,4067000.0,4062000.0,,,,6859457000.0,16000000.0,9700000.0,,,,125106000.0,,,12.52,,547700000.0,547700000.0,202435000.0,463444000.0,542006667.0
2014-06-30,2014-08-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1377000.0,6965884000.0,,0.0,,,,,0.21,,,,120464000.0,5576000.0,222000.0,,,,,6965884000.0,6387552000.0,6965884000.0,1.0002,1377000.0,6965884000.0,,,116233000.0,,4231000.0,-4231000.0,,,,,,5576000.0,,,,6964507000.0,23600000.0,8600000.0,,,,113923000.0,,,12.74,,546600000.0,546600000.0,298177000.0,114888000.0,543390110.0
2014-09-30,2014-11-07,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,,1349000.0,6352888000.0,,0.0,,,,,-0.96,,,,-523402000.0,6123000.0,293000.0,,,,,6352888000.0,6304081000.0,6352888000.0,1.0002,1349000.0,6352888000.0,,,-527695000.0,,4293000.0,-4293000.0,,,,,,6123000.0,,,,6351539000.0,,,,,,,,,11.78,,539200000.0,539200000.0,,-529525000.0,548120652.0
2014-12-31,2015-02-27,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1323000.0,1323000.0,6214710000.0,6214710000.0,0.0,0.0,,,,-0.08,6213387199.0,590756513.0,,-25788970.0,28738000.0,698688.0,-69968.0,-70000.0,,,6214710412.0,6254868124.0,6214710000.0,1.0002,1323000.0,6214710000.0,1323000.0,0.0,-42416645.0,0.0002,16627675.0,-16627675.0,,605981738.0,16697643.0,,16697643.0,14368742.0,,,,6213387000.0,48100000.0,-2600000.0,,,,-15225225.0,,,11.61,,535400000.0,535400000.0,590756513.0,-40157712.0,542329726.0
2015-03-31,2015-05-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1328000.0,,,6293810000.0,0.0,0.0,,,,-0.15,6292482000.0,412281000.0,,-77499000.0,,33000.0,5000.0,,,,6293810000.0,6411164000.0,6293810000.0,1.0002,,,1328000.0,0.0,-81491000.0,-0.0002,3992000.0,-3992000.0,,-251695000.0,3987000.0,,3987000.0,-303000.0,,,,,34300000.0,12750000.0,,,,160586000.0,,,11.48,,548150000.0,548150000.0,412281000.0,-77196000.0,549776667.0
2015-06-30,2015-08-07,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1306000.0,,,6317125000.0,0.0,,,,,-0.16,6315819000.0,,,-87129000.0,,-60000.0,,,,,6317125000.0,6521548000.0,6317125000.0,1.0002,,,1306000.0,,-91101000.0,-0.0002,3972000.0,-3972000.0,,,,,,-60000.0,,,,,,,,,,,,,11.32,,558050000.0,558050000.0,,-87069000.0,552975275.0
2015-09-30,2015-11-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1191000.0,,,5753973000.0,0.0,,,,,-0.59,5752782000.0,,,-313652000.0,,-256000.0,,,,,5753973000.0,6238712000.0,5753973000.0,1.0002,,,1191000.0,,-317366000.0,-0.0002,3714000.0,-3714000.0,,,,,,-33336000.0,,,,,,,,,,,,,10.76,,534650000.0,534650000.0,,-280316000.0,541303261.0
2015-12-31,2016-02-29,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1137298.0,,,5210940144.0,0.0,0.0,,0.0,,-1.4,5209802846.0,830130993.0,,-746870233.0,,-611193.0,-185915.0,,,,5210940144.0,5910175908.0,5210940144.0,1.0002,,5210940000.0,1137298.0,0.0,-762115999.0,0.0002,15245766.0,-15245766.0,,1071599347.0,15431681.0,,15431681.0,-87792181.0,,,,5209803000.0,72050000.0,-27300000.0,,,,-241468354.0,,0.0,10.25,,508100000.0,508100000.0,830130993.0,-659078052.0,543391507.0
2016-03-31,2016-05-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1624000.0,,,7410267000.0,0.0,0.0,,,,1.59,7408643000.0,1593830000.0,,942102891.0,,-157862.0,486709.0,,,,7410267384.0,7174407233.0,7410267000.0,1.0002,,,1624000.0,0.0,937920385.0,0.0002,4182506.0,-4182506.0,,332909854.0,3695797.0,,3695797.0,7006976.0,,,,,140950000.0,112750000.0,,,,1260920000.0,,0.0,11.93,,620850000.0,620850000.0,1593830000.0,935095915.0,591374725.0
2016-06-30,2016-08-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1672000.0,,,8839732000.0,0.0,,,0.0,,0.78,8838060000.0,,,515128265.0,,146955.0,,,,,8839732130.0,8091223134.0,8839732000.0,1.0002,,,1672000.0,,510236028.0,0.0002,4892237.0,-4892237.0,,,,,,2479420.0,,,,,,,,,,,,0.0,12.73,,694100000.0,694100000.0,,512648845.0,650145604.0
2016-09-30,2016-11-07,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1968000.0,,,9638096000.0,0.0,,,0.0,,-0.01,9636128000.0,,,-586069.0,,494979.0,,,,,9638096266.0,8897325981.0,9638096000.0,1.0002,,,1968000.0,,-6539934.0,0.0002,5953865.0,-5953865.0,,,,,,7152642.0,,,,,,,,,,,,0.0,12.74,,756250000.0,756250000.0,,-7738711.0,738552717.0
2016-12-31,2017-02-24,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1543829.0,,,7311674849.0,0.0,0.0,,0.0,,0.46,7310131020.0,3784339342.0,,329056074.0,,632155.0,406531.0,,,,7311674849.0,7706923343.0,7311674849.0,1.0002,,,1543829.0,0.0,308743920.0,0.0002,20312154.0,-20312154.0,,1992755088.0,19905623.0,,19905623.0,25068804.0,,,,,314850000.0,146900000.0,,,,1791584254.0,,0.0,11.16,,655000000.0,655000000.0,3784339342.0,303987270.0,
2017-03-31,2017-05-05,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1665642.0,,,7998734500.0,0.0,0.0,,0.0,,0.82,7997068858.0,431456784.0,,548577802.0,,-93902.0,121813.0,,,,7998734500.0,7847423443.0,7998734500.0,1.0002,,,1665642.0,0.0,543778629.0,0.0002,4799173.0,-4799173.0,,288297575.0,4677360.0,,4677360.0,2018251.0,,,,,36950000.0,12600000.0,,,,143159209.0,,0.0,11.98,,667600000.0,667600000.0,431456784.0,546559551.0,
2017-06-30,2017-08-08,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1723222.0,,,8401202679.0,0.0,,,0.0,,-0.04,8399479457.0,,,-25216751.0,,136474.0,,,,,8401202679.0,8277677317.0,8401202679.0,1.0002,,,1723222.0,,-30357030.0,0.0002,5140279.0,-5140279.0,,,,,,2568944.0,,,,,,,,,,,,0.0,11.95,,703100000.0,703100000.0,,-27785695.0,
2017-09-30,2017-11-07,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,1921601.0,,,9428726089.0,0.0,,,0.0,,0.37,9426804488.0,,,272795270.0,,204104.0,,,,,9428726089.0,9047063229.0,9428726089.0,1.0002,,,1921601.0,,267220767.0,0.0002,5574503.0,-5574503.0,,,,,,14657772.0,,,,,,,,,,,,0.0,12.33,,764450000.0,764450000.0,,258137498.0,
2017-12-31,2018-02-28,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,2097290.0,,,10149604427.0,0.0,0.0,,0.0,,1.23,10147507137.0,2782113163.0,,903493993.0,,445799.0,553461.0,,,,10149604427.0,9663574842.0,10149604427.0,1.0002,,,2097290.0,0.0,881863362.0,0.0002,21630631.0,-21630631.0,,826600408.0,21077170.0,,21077170.0,22215914.0,,,,,228250000.0,159900000.0,,,,1955512755.0,,0.0,12.45,,814900000.0,814900000.0,2782113163.0,881278079.0,
2018-03-31,2018-05-07,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,2416775.0,,,11550842235.0,0.0,0.0,,0.0,,0.23,11548425460.0,1237667439.0,,208065064.0,,401147.0,319485.0,,,,11550842235.0,10859308652.0,11550842235.0,1.0002,,,2416775.0,0.0,201208206.0,0.0002,6856858.0,-6856858.0,,37957322.0,6537373.0,,6537373.0,2561066.0,,,,,96900000.0,93900000.0,,,,1199710117.0,,0.0,12.71,,908800000.0,908800000.0,1237667439.0,205503998.0,
2018-06-30,2018-08-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,2348296.0,,,10801014832.0,0.0,,,0.0,,-0.71,10798666536.0,,,-667975429.0,,353659.0,,,,,10801014832.0,10806316895.0,10801014832.0,1.0002,,,2348296.0,,-675386914.0,0.0002,7411485.0,-7411485.0,,,,,,28860217.0,,,,,,,,,,-74372010.0,,0.0,12.0,,900250000.0,900250000.0,918575987.0,-696835646.0,
2018-09-30,2018-11-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,2102113.0,,,10214299135.0,0.0,,,0.0,,-0.61,10212197022.0,,,-536227476.0,,-172528.0,,,,,10214299135.0,10751660254.0,10214299135.0,1.0002,,,2102113.0,,-542716180.0,0.0002,6488704.0,-6488704.0,,,,,,-4168420.0,,,,,,,,,,-43753334.0,,0.0,11.38,,897250000.0,897250000.0,326017394.0,-532059056.0,
2018-12-31,2019-02-28,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,2340020.0,,,11547078166.0,0.0,0.0,0.0,,,-0.22,11544738146.0,3078649161.0,,-170589369.0,,409457.0,242730.0,,,,11547078166.0,11255129376.0,11547078166.0,1.0002,,,2340020.0,0.0,-198122480.0,0.0002,27533111.0,-27533111.0,,1483295672.0,27290381.0,,27290381.0,23491426.0,,,,,247000000.0,125300000.0,,,,1595353489.0,,0.0,24.56,,940200000.0,940200000.0,3078649161.0,-194080795.0,
2019-03-31,2019-05-07,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,2673796.0,,,12559005466.0,0.0,0.0,,,,0.11,12556331670.0,1064902289.0,,120023927.0,,298039.0,333776.0,,,,12559005466.0,12152880181.0,12559005466.0,1.0002,,,2673796.0,0.0,112404575.0,0.0002,7619352.0,-7619352.0,,165713340.0,7285576.0,,7285576.0,5847432.0,,,,,85500000.0,72150000.0,,,,899188949.0,,0.0,12.4,,1012350000.0,1012350000.0,1064902289.0,114176495.0,
2019-06-30,2019-08-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,2559780.0,,,13348992576.0,0.0,,,,,1.05,13346432796.0,,,1034909635.0,,262548.0,,,,,13348992576.0,11930367963.0,13348992576.0,1.0002,,,2559780.0,,1027288230.0,0.0002,7621405.0,-7621405.0,,,,,,22410307.0,,,,,,,,,,-237187104.0,,0.0,13.48,,989900000.0,989900000.0,739781522.0,1012499328.0,
2019-09-30,2019-11-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,3305611.0,,,16356103991.0,0.0,,,,,0.68,16352798380.0,,,725333054.0,,1062683.0,,,,,16356103991.0,14230489101.0,16356103991.0,1.0002,,,3305611.0,,715945824.0,0.0002,9387230.0,-9387230.0,,,,,,18342777.0,,,,,,,,,,2290419760.0,,0.0,14.2,,1151300000.0,1151300000.0,2411110878.0,706990277.0,
2019-12-31,2020-02-27,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,3629955.0,,,17632155037.0,0.0,0.0,0.0,,,4.3,17628525082.0,5226042788.0,,2311320507.0,,2902791.0,1289935.0,,,,17632155037.0,15094673874.0,17632155037.0,1.0002,,,3629955.0,0.0,2276002127.0,0.0002,35318380.0,-35318380.0,,1418257979.0,34028445.0,,34028445.0,65788134.0,,,,,191675000.0,135475000.0,,,,3807784809.0,,0.0,29.12,,1211150000.0,1211150000.0,5226042788.0,2245532373.0,
2020-03-31,2020-05-07,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,4163163.0,,,20227343435.0,0.0,0.0,0.0,,,0.77,20223180272.0,2615209304.0,,982660342.0,,1813190.0,533208.0,,,,20227343435.0,16858848412.0,20227343435.0,1.0002,,,4163163.0,0.0,970842173.0,0.0002,11818169.0,-11818169.0,,991396287.0,11284961.0,,11284961.0,151646482.0,,,,,171400000.0,104850000.0,,,,1623813017.0,,0.0,30.74,,1316000000.0,1316000000.0,2615209304.0,831013860.0,
2020-06-30,2020-08-05,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,5101796.0,,,25917726586.0,0.0,,,,,2.94,25912624790.0,,,2137297465.0,,2481003.0,,,,,25917726586.0,20470354346.0,25917726586.0,1.0002,,,5101796.0,,2122665019.0,0.0002,14632446.0,-14632446.0,,,,,,58420248.0,,,,,,,,,,3566779499.0,,0.0,33.76,,1535400000.0,1535400000.0,3865881490.0,2078877217.0,
2020-09-30,2020-11-05,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,6535329.0,,,31436617757.0,0.0,,,,,2.0,31430082428.0,,,1698591370.0,,4403639.0,,,,,31436617757.0,24368528904.0,31436617757.0,1.0002,,,6535329.0,,1679513321.0,0.0002,19078049.0,-19078049.0,,,,,,77874757.0,,,,,,,,,,3837944317.0,,0.0,36.0,,1746150000.0,1746150000.0,4165602762.0,1620716613.0,
2020-12-31,2021-03-01,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,6622260.0,,,31924891396.0,0.0,,0.0,,,6.24,31918269136.0,12103493289.0,,4869455562.0,,12881172.0,2992305.0,,,,31924891396.0,25014142586.0,31924891396.0,1.0002,,,6622260.0,0.0,4804011813.0,0.0002,65443749.0,-65443749.0,,2617761048.0,62451444.0,,62451444.0,496187915.0,,,,,359650000.0,279650000.0,,,,9485732241.0,,0.0,36.06,,885225000.0,885225000.0,12103493289.0,4373267647.0,
2021-03-31,2021-05-04,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,5968228.0,,,27398975237.0,0.0,,0.0,,,-1.93,27393007009.0,533856902.0,,-3360555385.0,,3764720.0,-654032.0,,,,27398975237.0,24106918759.0,27398975237.0,1.0002,,,5968228.0,0.0,-3379092041.0,0.0002,18536656.0,-18536656.0,,1680026988.0,19190688.0,,19190688.0,258136947.0,,,,,30450000.0,-70200000.0,,,,-1146170086.0,,0.0,32.22,,1700250000.0,1700250000.0,533856902.0,-3618692332.0,
2021-06-30,2021-08-06,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,6111849.0,,,28617437101.0,0.0,,,,,1.33,28611325252.0,,,1136835419.0,,3160923.0,,,,,28617437101.0,24271632748.0,28617437101.0,1.0002,,,6111849.0,,1118663564.0,0.0002,18171855.0,-18171855.0,,,,,,83087544.0,,,,,,,,,,99654679.0,,0.0,33.58,,852150000.0,852150000.0,614040347.0,1053747875.0,
2021-09-30,2021-11-03,10-Q,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,5858034.0,,,27909324999.0,0.0,,,,,-0.41,27903466965.0,,,-325153165.0,,3099118.0,,,,,27909324999.0,24019749178.0,27909324999.0,1.0002,,,5858034.0,,-343212422.0,0.0002,18059257.0,-18059257.0,,,,,,131075367.0,,,,,,,,,,-364645865.0,,0.0,33.17,,841300000.0,841300000.0,428654583.0,-456228532.0,
2021-12-31,2022-03-01,10-K,ISHARES GOLD TRUST,IAU,CIK0001278680,USD,6025058.0,,,28729048695.0,0.0,,0.0,,,-1.65,28723023637.0,1853104516.0,,-1326360144.0,,12824248.0,-597202.0,,,,28729048695.0,23722912868.0,28729048695.0,1.0002,,,6025058.0,0.0,-1399133475.0,0.0002,72773331.0,-72773331.0,,3649216540.0,73370533.0,,73370533.0,578252839.0,,,,,53075000.0,-55475000.0,,,,-1796112024.0,,0.0,34.62,,829750000.0,829750000.0,1853104516.0,-1904612983.0,
