end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetNoncurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2012-11-09,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,437587.0,,744221654.0,,0.0,0.0,,5300000.0,5300000.0,869637318.0,1.09,,,18000.0,101000.0,0.0,0.0,,,,,,,437587.0,744221654.0,,,0.0,5614000.0,,,,,1164000.0,,0.0,55850000.0,0.0,111870000.0,,,-125853251.0,,1163758.0,,,,,,,,5137500.0
2012-12-31,2013-02-28,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,389474.0,,724360000.0,,0.0,0.0,,5150000.0,5150000.0,770400000.0,3.32,,375000.0,375000.0,86000.0,0.0,7480000.0,716880000.0,,,501188.2,,,390000.0,724360000.0,,,0.0,16563000.0,,,,,4589000.0,,0.0,174638000.0,0.0,274782000.0,,7480000.0,-46430000.0,,4973343.0,,1800000.0,274782000.0,1100000.0,174638000.0,1100000.0,174638000.0,4989754.0
2013-03-31,2013-05-08,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,436798.0,,812494000.0,,0.0,0.0,,5700000.0,5700000.0,881040000.0,-0.03,,130000.0,130000.0,47000.0,0.0,-7480000.0,,,,,,,437000.0,812494000.0,,,0.0,-180000.0,,,,,1266000.0,,0.0,7984000.0,0.0,96251000.0,,,-68983000.0,,1266253.0,,600000.0,96251000.0,,,50000.0,7984000.0,5350000.0
2013-06-30,2013-08-08,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,403071.0,,819383000.0,,0.0,0.0,,6250000.0,6250000.0,806082000.0,-14.77,,54000.0,54000.0,-34000.0,12898000.0,0.0,,,,,,,13301000.0,819383000.0,,,0.0,-86730000.0,,,,,1231000.0,,0.0,27096000.0,0.0,107851000.0,,,0.0,,1230786.0,,,,,,,,5871978.0
2013-09-30,2013-11-08,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,388749.0,,779914000.0,,0.0,0.0,,5650000.0,5650000.0,779525000.0,10.14,,-13000.0,-13000.0,-15000.0,-12898000.0,0.0,,,,,,,389000.0,779914000.0,,,0.0,60347000.0,,,,,1303000.0,,0.0,86903000.0,0.0,0.0,,,0.0,,1303343.0,,,,,,,,5952174.0
2013-12-31,2014-02-28,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,373364.0,,729594000.0,715960000.0,0.0,0.0,0.0,5400000.0,5400000.0,715960000.0,-9.84,,151000.0,151000.0,-15000.0,13259000.0,-7480000.0,729594000.0,729594000.0,729594000.0,537256.0,1.019,,13634000.0,729594000.0,,,0.0,-56019000.0,,,,,4973000.0,0.0,0.0,162799000.0,0.0,210808000.0,,,0.0,5400000.0,4973343.0,715960000.0,1400000.0,210808000.0,1150000.0,162799000.0,1150000.0,162799000.0,5693973.0
2014-03-31,2014-05-12,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,376173.0,,733038000.0,732661000.0,,,,5300000.0,5300000.0,,5.83,,29000.0,,,,,733038000.0,702394000.0,733038000.0,516951.9,1.0005,,377000.0,,,,,31184000.0,,0.0,,,1097000.0,0.0,,,,,1637000.0,,,5300000.0,1097108.0,732661000.0,100000.0,13629000.0,200000.0,28112000.0,,,5348333.0
2014-06-30,2014-08-11,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,384900.0,,778341000.0,777956000.0,,,,5400000.0,5400000.0,,5.84,,69000.0,,,,,778341000.0,715235000.0,778341000.0,525906.2,1.0005,,385000.0,,,,,31380000.0,,,,,1152000.0,0.0,,,,,,,,5400000.0,1151603.0,777956000.0,,,,,,,5370330.0
2014-09-30,2014-11-10,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,341327.0,,695281000.0,694940000.0,,,,5500000.0,5500000.0,,-17.77,,83000.0,,,,,695281000.0,727869000.0,695281000.0,534831.4,1.0005,,341000.0,,,,,-96740000.0,,,,,1129000.0,0.0,,,,,,,,5500000.0,1128575.0,694940000.0,,,,,,,5442935.0
2014-12-31,2015-03-02,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,320608.0,,622683000.0,610620000.0,,,0.0,5200000.0,5200000.0,,-15.37,,113000.0,,,,,622683000.0,699924000.0,622683000.0,514614.2,1.0198,12063000.0,12063000.0,,0.0,117.43,,-83011000.0,0.0,,,,4376000.0,0.0,,,,,-1394000.0,,,5200000.0,4376182.0,610620000.0,350000.0,47428000.0,550000.0,69738000.0,,,5400822.0
2015-03-31,2015-05-08,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,293016.0,,569192000.0,568899000.0,,,0.0,5200000.0,5200000.0,,-7.98,,-107000.0,,,,,569192000.0,683288000.0,569192000.0,504155.8,1.0005,,293000.0,,0.0,,,-41290000.0,,,,,885000.0,0.0,,,,,-3549000.0,,,5200000.0,885125.0,568899000.0,150000.0,17347000.0,150000.0,17797000.0,,,5175000.0
2015-06-30,2015-08-06,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,272821.0,,553089000.0,552816000.0,,,0.0,5300000.0,5300000.0,,-5.16,,-160000.0,,,,,553089000.0,688413000.0,553089000.0,513069.6,1.0005,,273000.0,,0.0,,,-26753000.0,,,,,849000.0,0.0,,,,,,,,5300000.0,848577.0,552816000.0,,,,,,,5187912.0
2015-09-30,2015-11-06,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,218962.0,,430061000.0,425456000.0,,,0.0,4850000.0,4850000.0,,-16.48,,-241000.0,,,,,430061000.0,635503000.0,430061000.0,473635.8,1.0108,,4605000.0,,0.0,,,-85142000.0,,,,,739000.0,0.0,,,,,,,,4850000.0,739213.0,425456000.0,,,,,,,5166304.0
2015-12-31,2016-02-29,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,205938.0,,403969000.0,399557000.0,,,0.0,4750000.0,4750000.0,,-33.34,,-791000.0,,,,,403969000.0,614675000.0,403969000.0,463267.0,1.011,4412000.0,4412000.0,,0.0,84.12,,-169291000.0,,,-4412000.0,-0.011,3123000.0,0.0,,,,,-32703000.0,,,4750000.0,3123275.0,399557000.0,600000.0,62044000.0,1050000.0,103816000.0,,,5077671.0
2016-03-31,2016-05-06,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,239499.0,,474984000.0,474744000.0,,,0.0,5050000.0,5050000.0,,9.61,,-299000.0,,,,,474984000.0,629783000.0,474984000.0,486664.0,1.0005,240000.0,240000.0,,0.0,94.01,,46405000.0,,,,,640000.0,0.0,,,,,-8862000.0,,,5050000.0,640270.0,474744000.0,450000.0,41460000.0,150000.0,12697000.0,,,4831319.0
2016-06-30,2016-08-05,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,241615.0,,499859000.0,499617000.0,,,0.0,5200000.0,5200000.0,,2.1,,-215000.0,,,,,499859000.0,637622000.0,499859000.0,500359.6,1.0005,242000.0,242000.0,,0.0,96.08,,10682000.0,,,,,737000.0,0.0,,,,,,,,5200000.0,736833.0,499617000.0,,,,,,,5087912.0
2016-09-30,2016-11-04,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,253786.0,,516594000.0,516340000.0,,,0.0,5200000.0,5200000.0,,3.08,,-154000.0,,,,,511629000.0,625619000.0,511629000.0,494805.7,0.9909,,254000.0,,0.0,99.3,,16159000.0,,,4711000.0,0.0091,820000.0,0.0,,,,,,,,5200000.0,820346.0,516340000.0,,,,,,,5240761.0
2016-12-31,2017-02-27,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,241661.0,,474220000.0,473978000.0,,,0.0,5450000.0,5450000.0,,1.49,,-869000.0,,,,,474220000.0,649850000.0,474220000.0,522844.9,1.0005,,242000.0,,0.0,86.97,,7688000.0,,,-242000.0,-0.0005,2942000.0,0.0,,,,,-24447000.0,,,5450000.0,2941798.0,473978000.0,1500000.0,143689000.0,800000.0,76975000.0,,,5144809.0
2017-03-31,2017-05-04,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,263533.0,,517758000.0,517495000.0,,,0.0,5750000.0,5750000.0,,2.7,,-219000.0,,,,,517758000.0,672442000.0,517758000.0,550807.1,1.0005,,263000.0,,0.0,90.0,,15144000.0,,,-263000.0,-0.0005,773000.0,0.0,,,,,-5029000.0,,,5750000.0,773634.0,517495000.0,500000.0,47124000.0,200000.0,18751000.0,,,5615000.0
2017-06-30,2017-08-07,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,250102.0,,502667000.0,502417000.0,,,0.0,5700000.0,5700000.0,,-1.92,,-221000.0,,,,,502667000.0,660279000.0,502667000.0,545192.3,1.0005,,250000.0,,0.0,88.14,,-11014000.0,,,-250000.0,-0.0005,781000.0,0.0,,,,,,,,5700000.0,781228.0,502417000.0,,,,,,,5750549.0
2017-09-30,2017-11-06,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,251788.0,,509601000.0,509349000.0,,,0.0,5800000.0,5800000.0,,-0.18,,-220000.0,,,,,505210000.0,658371000.0,505210000.0,549141.6,0.9919,,252000.0,,0.0,87.82,,-1025000.0,,,4139000.0,0.0081,793000.0,0.0,,,,,,,,5800000.0,793532.0,509349000.0,,,,,,,5820109.0
2017-12-31,2018-02-27,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,285960.0,,565745000.0,565459000.0,,,0.0,6400000.0,6400000.0,,1.21,,-873000.0,,,,,565745000.0,712727000.0,565745000.0,610296.7,1.0005,,286000.0,,0.0,88.36,,7075000.0,,,-286000.0,-0.0005,3186000.0,0.0,,,,,-18387000.0,,,6400000.0,3185762.0,565459000.0,1650000.0,148038000.0,700000.0,63632000.0,,,5846164.0
2018-03-31,2018-05-04,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,270973.0,,530288000.0,530017000.0,,,0.0,5950000.0,5950000.0,,1.17,,-176000.0,,,,,530288000.0,661635000.0,530288000.0,566547.0,1.0005,,271000.0,,0.0,89.08,,7115000.0,,,-271000.0,-0.0005,834000.0,0.0,,,,,-7686000.0,,,5950000.0,834155.0,530017000.0,0.0,0.0,450000.0,42557000.0,,,6071667.0
2018-06-30,2018-08-09,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,675987.0,,437361000.0,436685000.0,,,0.0,5400000.0,5400000.0,,-8.14,,-198000.0,,,,,433318000.0,591997000.0,433318000.0,509186.9,0.9923,,676000.0,,0.0,80.87,,-45270000.0,,,3367000.0,0.0077,716000.0,0.0,,,,,-17222000.0,,,5400000.0,715430.0,436685000.0,150000.0,12666000.0,700000.0,60728000.0,,,5560989.0
2018-09-30,2018-11-09,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,247537.0,,495155000.0,494907000.0,,,0.0,6400000.0,6400000.0,,-3.26,,-244000.0,,,,,495155000.0,669168000.0,495155000.0,607552.4,1.0005,,248000.0,,0.0,77.33,,-20369000.0,,,-248000.0,-0.0005,742000.0,0.0,,,,,-4293000.0,,,6400000.0,741934.0,494907000.0,1150000.0,90222000.0,150000.0,11631000.0,,,6243478.0
2018-12-31,2019-02-28,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,249291.0,0.0,496718000.0,496469000.0,,,,6600000.0,6600000.0,,-11.84,,-869000.0,,,,,496718000.0,675473000.0,496718000.0,625590.0,1.0005,,249000.0,,0.0,75.22,,-72021000.0,,,-249000.0,-0.0005,3051000.0,0.0,,,,,-37198000.0,,,6600000.0,3050913.0,496469000.0,1800000.0,141279000.0,1600000.0,-138248000.0,,,6083151.0
2019-03-31,2019-05-09,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,302750.0,,595326000.0,591003000.0,,,,7350000.0,7350000.0,,5.26,,-247000.0,,,,,595326000.0,733893000.0,595326000.0,700383.8,1.0073,,4323000.0,,0.0,80.41,,37178000.0,,,-4323000.0,-0.0073,819000.0,0.0,,,,,-2190000.0,,,7350000.0,819077.0,591003000.0,900000.0,69367000.0,150000.0,12011000.0,,,7073333.0
2019-06-30,2019-08-09,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,276386.0,15453000.0,583629000.0,583353000.0,,,,7550000.0,7550000.0,,-2.82,,-196000.0,,,,,568176000.0,717619000.0,568176000.0,694592.4,0.974,,276000.0,,0.0,77.27,,-20004000.0,,,15177000.0,0.026,849000.0,0.0,,,,,-8280000.0,,,7550000.0,848947.0,583353000.0,650000.0,49801000.0,450000.0,37447000.0,,,7097253.0
2019-09-30,2019-11-08,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,339539.0,,696371000.0,696032000.0,,,,8200000.0,8200000.0,,7.44,,-200000.0,,,,,696371000.0,784994000.0,696371000.0,773746.3,1.0005,,339000.0,,0.0,84.88,,58426000.0,,,-339000.0,-0.0005,971000.0,0.0,,,,,-1423000.0,,,8200000.0,970563.0,696032000.0,800000.0,67441000.0,150000.0,13188000.0,,,7853261.0
2019-12-31,2020-02-28,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,363272.0,,713082000.0,712719000.0,,,0.0,7950000.0,7950000.0,,15.14,,-771000.0,,,,,713082000.0,758352000.0,713082000.0,749035.9,1.0005,,363000.0,,0.0,89.65,,114086000.0,,,-363000.0,-0.0005,3705000.0,0.0,,,,,-15693000.0,,,7950000.0,3705285.0,712719000.0,2500000.0,199325000.0,1150000.0,97161000.0,,,7535068.0
2020-03-31,2020-05-08,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,273098.0,,540313000.0,540040000.0,,,,7900000.0,7900000.0,,-20.83,,-50000.0,,,,,540313000.0,739385000.0,540313000.0,743209.1,1.0005,,273000.0,,0.0,68.36,,-165107000.0,,,-273000.0,-0.0005,995000.0,0.0,,,,,-10310000.0,,,7900000.0,994697.0,540040000.0,1000000.0,82027000.0,1050000.0,89599000.0,,,7925275.0
2020-06-30,2020-08-07,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,344722.0,,741673000.0,741328000.0,,,0.0,9700000.0,9700000.0,,7.38,,-247000.0,,,,,741673000.0,874401000.0,741673000.0,911146.4,1.0005,,345000.0,,0.0,76.43,,62690000.0,,,-345000.0,-0.0005,951000.0,0.0,,,,,-2704000.0,,,9700000.0,951400.0,741328000.0,1900000.0,145455000.0,100000.0,6857000.0,,,8489011.0
2020-09-30,2020-11-06,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,526386.0,,1090297000.0,1089771000.0,,,0.0,13150000.0,13150000.0,,4.44,,-112000.0,,,,,1082010000.0,1161687000.0,1082010000.0,1223993.5,0.9929,,526000.0,,0.0,82.87,,51488000.0,,,7761000.0,0.0071,1470000.0,0.0,,,,,-130000.0,,,13150000.0,1470009.0,1089771000.0,3500000.0,301395000.0,50000.0,4440000.0,,,11590217.0
2020-12-31,2021-03-01,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,665333.0,,1330272000.0,1329607000.0,,,0.0,13300000.0,13300000.0,,16.96,,-522000.0,,,,,1330272000.0,1181607000.0,1330272000.0,1245573.6,1.0005,,665000.0,,0.0,99.97,,174917000.0,,,-665000.0,-0.0005,5187000.0,0.0,,,,,-13831000.0,,,13300000.0,5187040.0,1329607000.0,7050000.0,586640000.0,1700000.0,144669000.0,,,10311475.0
2021-03-31,2021-05-07,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,775716.0,,1525364000.0,1524588000.0,,,0.0,13800000000.0,13800000000.0,,10.53,,311000.0,,,,,1525364000.0,1241278000.0,1525364000.0,1290494.1,1.0005,,776000.0,,0.0,110.48,,143301000.0,,,-776000.0,-0.0005,2188000.0,0.0,,,,,10068000.0,,,13800000.0,2187594.0,1524588000.0,900000.0,97223000.0,400000.0,45543000.0,,,13603889.0
2021-06-30,2021-08-06,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,666971.0,,1359615000.0,1358948000.0,,,0.0,13750000.0,13750000.0,,-11.64,,457000.0,,,,,1359615000.0,1238585000.0,1359615000.0,1283867.5,1.0005,,667000.0,,0.0,98.83,,-158323000.0,,,-667000.0,-0.0005,2209000.0,0.0,,,,,6941000.0,,,13750000.0,2208592.0,1358948000.0,250000.0,26148000.0,300000.0,33465000.0,,,13607143.0
2021-09-30,2021-11-05,10-Q,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,588597.0,,1180631000.0,1180042000.0,,,0.0,13150000.0,13150000.0,,-9.06,,207000.0,,,,,1180631000.0,1182751000.0,1180631000.0,1225992.8,1.0005,,589000.0,,0.0,89.74,,-122074000.0,,,-589000.0,-0.0005,1985000.0,0.0,,,,,3062000.0,,,13150000.0,1985102.0,1180042000.0,,,600000.0,56832000.0,,,13466848.0
2021-12-31,2022-03-01,10-K,Aberdeen Standard Platinum ETF Trust,PPLT,CIK0001460235,USD,595693.0,,1138264000.0,1133207000.0,,,0.0,12700000.0,12700000.0,,-10.77,,1049000.0,,,,,1138264000.0,1145807000.0,1138264000.0,1186927.7,1.0045,,5057000.0,,0.0,89.23,,-144840000.0,,,-5057000.0,-0.0045,8241000.0,0.0,,,,,19609000.0,,,12700000.0,8241060.0,1133207000.0,1300000.0,137616000.0,1900000.0,189176000.0,,,13446986.0
