end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AdministrativeFeesAmountPaid,AllocatedShareBasedCompensationExpense,AllowanceForLoanAndLeaseLossesProvisionForLossNet,AssetManagementFees,AssetManagementFees1,Assets,AssetsCurrent,CapitalExpendituresIncurredButNotYetPaid,CapitalizedCostsUnprovedProperties,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ContractRevenueCost,CustomerAdvancesCurrent,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesNoncurrent,DepositLiabilitiesReclassifiedAsLoansReceivable1,Deposits,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,ExplorationCosts,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfOilAndGasProperties,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInCustomerAdvances,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InterestExpense,InterestExpenseOther,InterestPaid,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,ManagementFeeAmountPaid,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OfficersCompensation,OperatingExpenses,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherIncome,OtherLaborRelatedExpenses,OtherOperatingIncome,PaymentForAdministrativeFees,PaymentsToAcquireOilAndGasPropertyAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProvisionForDoubtfulAccounts,ReceivablesNetCurrent,RepaymentsOfLongtermLoansFromVendors,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,TravelAndEntertainmentExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-09-30,2012-11-14,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,153822.0,-8915.0,25813579.0,15000.0,104874.0,,,,16675788.0,46626.0,,16629162.0,28137.0,,,,,,,0.001,150000000.0,110242156.0,110242156.0,110242.0,-501366.0,,,0.0,0.0,,,,,,,,4913368.0,,,0.0,0.0,,0.0,,-3428.0,,-102242.0,,0.0,211745.0,0.0,-504794.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5067190.0,16675788.0,153822.0,,,,,,-504794.0,,254518.0,1000569.0,,,,495775.0,0.0,,,,0.001,10000000.0,0.0,13624.0,,,,,,,61256.0,,4865.0,,-14306308.0,,,,,,,,,,,,,,11608598.0,,,,87463.0,109629274.0
2012-12-31,2013-04-01,10-K,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,212769.0,-8898.0,25828544.0,60000.0,104874.0,,111525.0,111525.0,17647169.0,1018007.0,,16629162.0,1009882.0,0.0,1009882.0,998245.0,0.0,0.0,0.0,0.001,150000000.0,110276978.0,110276978.0,110277.0,-600181.0,-600181.0,40094.0,0.0,0.0,3070492.0,252040.0,1353256.0,277616.0,16889.0,-2818452.0,-4909617.0,4909617.0,543806.0,,0.0,0.0,0.0,-0.01,0.35,-3445.0,,-98491.0,101666.0,0.0,1099401.0,0.0,-603626.0,-603626.0,-0.01,0.0,0.0,,,152307.0,27917.0,-214506.0,84467.0,-7160.0,,,0.0,-1918.0,2418.0,,,1190.0,,6122386.0,17647169.0,1212769.0,,,1000000.0,5773.0,-7529.0,-603626.0,1000000.0,271393.0,,3886445.0,,3445.0,495775.0,0.0,7160.0,60000.0,31567.0,0.001,10000000.0,0.0,6657.0,0.0,1000000.0,,100000.0,-100000.0,,100964.0,3395.0,1468.0,,-14405140.0,416624.0,3300000.0,1.1,,0.75,3300000.0,1800000.0,0.0,3300000.0,1.1,,0.93,0.0,11524783.0,204379.0,204379.0,350000.0,115068.0,109784955.0
2013-03-31,2013-05-14,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,184004.0,-9147.0,25843508.0,15000.0,0.0,0.0,,,17531682.0,888327.0,,16643355.0,878354.0,0.0,,-131528.0,0.0,0.0,0.0,0.001,150000000.0,110313011.0,110313011.0,110313.0,-126470.0,,,,0.0,,,,,,,,4934365.0,,,0.0,0.0,0.0,0.0,,249.0,,-24748.0,24499.0,0.0,,0.0,-126221.0,-126221.0,0.0,0.0,0.0,0.0,,,,,-27958.0,0.0,0.0,0.0,,-1841.0,-7.0,11237.0,,0.0,,6118369.0,17531682.0,1184004.0,,,0.0,0.0,-131528.0,-126221.0,1000000.0,35078.0,114984.0,,,,0.0,0.0,,,0.0,0.001,10000000.0,0.0,8498.0,0.0,0.0,,0.0,0.0,,4550.0,0.0,1475.0,,-14531361.0,0.0,,,,,,,,,,,,,11413313.0,,,,35608.0,110277378.0
2013-06-30,2013-08-14,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,544597.0,-5163.0,25858477.0,,0.0,,,,17801373.0,735799.0,,17065574.0,726453.0,,,,,,,0.001,150000000.0,110344382.0,110344382.0,110344.0,529710.0,,,,0.0,,,,,,,,4298753.0,,,0.0,0.0,,0.0,,-3984.0,,636226.0,,0.0,,0.0,525726.0,525726.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11396.0,11396.0,,10338.0,5843350.0,17801373.0,1544597.0,,,,,,525726.0,1000000.0,35925.0,-537122.0,,,,0.0,0.0,,15000.0,,0.001,10000000.0,0.0,8053.0,,,,,,,20304.0,0.0,1293.0,,-14005635.0,,,,,,,,,,,,,,11958023.0,,,,27875.0,110313356.0
2013-09-30,2013-11-14,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,157296.0,-5545.0,25873438.0,,0.0,,,,17240836.0,100895.0,,17139941.0,87570.0,,,,,,,0.001,150000000.0,110383172.0,110383172.0,110383.0,-215621.0,,,,0.0,,,,,,,,4386138.0,,,0.0,0.0,,0.0,,382.0,,-87068.0,,0.0,,0.0,-215239.0,-215239.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11178.0,,,,5483434.0,17240836.0,1097296.0,,,,,,-215239.0,940000.0,32850.0,204061.0,,,,0.0,0.0,,15000.0,,0.001,10000000.0,0.0,12007.0,,,,,,,38649.0,0.0,1318.0,,-14220874.0,,,,,,,,,,,,,,11757402.0,,,,30494.0,110344804.0
2013-12-31,2014-03-31,10-K,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,237133.0,-2401.0,25888388.0,,0.0,,,118028.0,17218581.0,32963.0,,17185618.0,23260.0,0.0,,-986622.0,0.0,0.0,0.0,0.001,150000000.0,110433321.0,110433321.0,110433.0,-535771.0,,,,0.0,3764715.0,0.0,1509626.0,814822.0,17536.0,-3764715.0,-4992436.0,4992436.0,543806.0,0.0,0.0,0.0,0.0,0.0,0.35,-6497.0,,746669.0,-739259.0,0.0,-330957.0,0.0,286307.0,286307.0,0.0,0.0,0.0,828575.0,,946263.0,-220870.0,103182.0,31508.0,0.0,828575.0,,,-1790.0,212.0,44650.0,,44965.0,,6169569.0,17218581.0,1177133.0,,,-60000.0,-503600.0,-423022.0,-542268.0,940000.0,118028.0,,4313217.0,,,0.0,0.0,488615.0,75000.0,503600.0,0.001,10000000.0,0.0,8447.0,0.0,0.0,,0.0,0.0,,114364.0,0.0,1256.0,60000.0,-14947408.0,0.0,3300000.0,1.1,,,,,0.0,3300.0,1.1,,,0.0,11049012.0,156343.0,,,122002.0,110330146.0
2014-03-31,2014-05-15,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,298669.0,-6389.0,25903340.0,,0.0,,,,16274475.0,12934.0,,16261541.0,2536.0,0.0,,-20724.0,0.0,0.0,0.0,0.001,150000000.0,110481360.0,110481360.0,110481.0,-283628.0,,,,0.0,,,,,,,,5195422.0,,,0.0,0.0,0.0,0.0,,3988.0,,-203012.0,-198998.0,0.0,,0.0,-279640.0,-279640.0,0.0,0.0,0.0,0.0,,,,,60613.0,0.0,0.0,,,642.0,53.0,5513.0,,10612.0,15993.0,5494091.0,16274475.0,298669.0,,,0.0,0.0,-20724.0,-279640.0,0.0,16650.0,274127.0,,,,0.0,0.0,,15000.0,0.0,0.001,10000000.0,0.0,9089.0,0.0,0.0,,0.0,0.0,,3867.0,0.0,1309.0,,-15227048.0,0.0,,,,,,,,,,,,,10780384.0,,,,28075.0,110433855.0
2014-06-30,2014-08-14,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,275087.0,-7581.0,26050744.0,,0.0,,,,16313870.0,54735.0,,16259135.0,34449.0,,,,,,,0.001,150000000.0,111063961.0,111063961.0,111064.0,-190602.0,,,,0.0,,,,,,,,5301014.0,,,0.0,0.0,,0.0,,1192.0,,-105562.0,,0.0,,0.0,-189410.0,-189410.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,195.0,,,,5576101.0,16313870.0,275087.0,,,,,,-189410.0,0.0,11625.0,189215.0,,,,0.0,0.0,,,,0.001,10000000.0,0.0,15147.0,,,,,,,25423.0,0.0,5139.0,,-15416458.0,,,,,,,,,,,,,,10737769.0,,,,28785.0,110926181.0
2014-09-30,2014-11-13,10-Q,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,327832.0,67.0,26065702.0,,0.0,,,,16289929.0,26825.0,,16263104.0,14091.0,,,,,,,0.001,150000000.0,111105884.0,111105884.0,111106.0,284234.0,,,,0.0,,,,,,,,4925094.0,,,0.0,0.0,,0.0,,-7648.0,,374911.0,,0.0,,0.0,276586.0,276586.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,194.0,,,,5252926.0,16289929.0,327832.0,,,,,,276586.0,0.0,6398.0,-276780.0,,,,0.0,0.0,,15000.0,,0.001,10000000.0,0.0,10817.0,,,,,,,51181.0,0.0,1917.0,,-15139872.0,,,,,,,,,,,,,,11037003.0,,,,30130.0,111064417.0
2014-12-31,2015-03-31,10-K,HOLLOMAN ENERGY CORP,HENC,CIK0001324736,USD,237122.0,-94.0,26256682.0,,0.0,,,30900.0,16296432.0,68947.0,,16227485.0,50883.0,0.0,,27623.0,0.0,0.0,0.0,0.001,150000000.0,111952623.0,111952623.0,111874.0,326143.0,,,,0.0,3228714.0,0.0,1626291.0,203311.0,20300.0,-3228714.0,-4314420.0,4314420.0,499887.0,0.0,0.0,0.0,0.0,0.0,0.35,-2307.0,,387858.0,-387649.0,0.0,-41872.0,0.0,35776.0,35776.0,0.0,0.0,0.0,-288060.0,,-536002.0,235420.0,12522.0,152857.0,0.0,-288060.0,,,-6733.0,-1628.0,6096.0,,6096.0,,4551542.0,16296432.0,237122.0,0.0,,235000.0,0.0,-207377.0,323836.0,0.0,46955.0,,4646547.0,,,0.0,0.0,,60000.0,0.0,0.001,10000000.0,0.0,15180.0,235000.0,0.0,,0.0,0.0,,131491.0,0.0,2884.0,0.0,-14623572.0,0.0,,,3300000.0,1.1,3300.0,,,,0.75,0.8,,,11744890.0,186097.0,,,116775.0,111022420.0
