end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,AmortizationOfDeferredPropertyTaxes,Assets,AssetsCurrent,BuildingsAndImprovementsGross,BusinessAcquisitionsProFormaNetIncomeLoss,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,CostOfGoodsSold,CostOfPropertyRepairsAndMaintenance,CostOfRevenue,CustomerDepositsNoncurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredRentAssetNetCurrent,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGrossNoncurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,Depreciation,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DividendsSharebasedCompensationStock,DueFromRelatedParties,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestIncomeOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,Land,LandAndLandImprovements,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,NotesReceivableNet,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OtherAssetsCurrent,OtherComprehensiveIncomeLossTax,OtherIncome,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsForDepositsOnRealEstateAcquisitions,PaymentsToAcquireNotesReceivable,PaymentsToAcquireRealEstate,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromCollectionOfLeaseReceivables,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromDepositsFromCustomers,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromPartnershipContribution,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionCarryingCosts,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,SaleOfStockPercentageOfOwnershipAfterTransaction,ShareBasedCompensation,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,StockIssuedDuringPeriodValueStockOptionsExercised,TaxesPayableCurrent,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-06-30,2017-08-23,10-K,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,2722.0,38108.0,6000.0,59849.0,,,,17329.0,17329.0,60000.0,,17329.0,17329.0,,8654.0,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,13241.0,,,,,20978.0,,-29801.0,,20663.0,86660.0,29464.0,29400.0,-87649.0,,29801.0,2000.0,,,,,,0.0,0.34,0.34,1608.0,64799.0,-51170.0,16629.0,,,-0.01,67799.0,,0.01,,,,5654.0,-2162.0,,2282.0,-3400.0,-7752.0,,,,100.0,,3400.0,,,,,,,,,15000.0,45123.0,17329.0,133108.0,4500.0,45123.0,85000.0,,,8654.0,16629.0,,,,10000.0,,,47770.0,-51170.0,,,3000.0,3400.0,,,,,,0.0,8000000.0,0.0,0.0,,100.0,,,,,,,,,,46162.0,,69000.0,,-178641.0,,78040.0,,,-27794.0,,,,,,,,,,29801.0,5740000.0
2017-09-30,2017-11-17,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,,28094.0,6500.0,59849.0,,,,110401.0,41901.0,60000.0,,27315.0,,,9986.0,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,500.0,,,,,11346.0,,,,14586.0,76059.0,25860.0,25860.0,,,-25860.0,500.0,,,,,,0.0,0.0,0.34,3489.0,26848.0,-16247.0,10601.0,,,0.0,26848.0,,0.0,,,,3604.0,,,-2723.0,-857.0,-10872.0,,,,-100.0,,857.0,,,,,,,,,15000.0,127594.0,110401.0,123094.0,4500.0,,85000.0,,,9986.0,-16247.0,,,,10000.0,,,15390.0,-16247.0,,,,857.0,,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,11901.0,,68500.0,,-77048.0,,27348.0,,,-1015.0,,,,,,,,,,,5740000.0
2017-12-31,2018-02-21,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,,,,,76027.0,,,,,,,,,,,,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,500.0,,,,,,,,,,,,,,,,,11590.0,,,,,0.0,,,1005.0,11007.0,-10575.0,,,,0.0,11590.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10575.0,,,,,,,10575.0,-10575.0,,,583.0,,,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,9570.0,,,,-205463.0,,11507.0,,,,,,,,,,,,,,5740000.0
2018-03-31,2018-05-18,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,5583.0,,,,76027.0,,,,448.0,448.0,,,,,,,0.0,92000000.0,5740000.0,5740000.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6156.0,0.0,,,,,-11291.0,,,,0.0,-3144.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,11739.0,448.0,,,,,,,,-14435.0,,,,,,,11291.0,-11291.0,,,,,,,,,,0.0,8000000.0,0.0,0.0,,448.0,,,,,,,,,,11291.0,,,,-213610.0,,,,,-11291.0,,,,,,,,,,,5740000.0
2018-06-30,2018-10-11,10-K,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,20983.0,,,,74517.0,,,,3005.0,3005.0,,2968.0,3005.0,3005.0,-14324.0,-14324.0,0.0,92000000.0,5760000.0,5760000.0,6.0,,,,,,,3725.0,,,,,,,-22151.0,,,,,,-105479.0,,22151.0,,,,,,12978.0,0.0,0.21,,2717.0,2192.0,-53124.0,-53124.0,,-53124.0,-0.01,35294.0,35294.0,0.01,,,,,2318.0,19473.0,,,,,,,,,-857.0,,,,,,,,,,33961.0,3005.0,,,,,12978.0,,-27302.0,-17830.0,,,,,,,57472.0,-53124.0,,,3013.0,-2156.0,3013.0,2156.0,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,12978.0,54755.0,,,,-217711.0,,5917.0,,,-30956.0,,,-1510.0,,,,,,,22151.0,5742959.0
2018-09-30,2018-11-19,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,21606.0,,,,74517.0,,,,,,,2968.0,,,-3005.0,-3005.0,0.0,92000000.0,5760000.0,5760000.0,6.0,,,,,,,1919.0,,,,,,,,,,,,,,,,,,,,,21908.0,0.0,,,1318.0,127.0,-12558.0,,,,0.0,-2121.0,,0.0,,,,,,623.0,,,,,,,,,,,,,,,,,,,43514.0,,,,,,8930.0,,-11935.0,-12558.0,,,,,,,12685.0,-12558.0,,,,,,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,8930.0,11367.0,-10437.0,,,-244323.0,,2046.0,,,-43514.0,,,,,,,,,,,5760000.0
2018-12-31,2019-02-12,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,16507.0,,,,74517.0,,,,,,,,,,,,0.0,92000000.0,5760000.0,5760000.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33171.0,-0.06,,,,,-5981.0,,,,0.0,-183.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49678.0,,,,,,,,,-6164.0,,,,,,,5981.0,-5981.0,,,,,,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,5981.0,-5981.0,,,-234129.0,,,,,-49678.0,,,,,,,,,,,96000.0
2019-03-31,2019-05-09,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,12427.0,,,,74517.0,,,,,,,,,,,,0.0,92000000.0,5760000.0,5760000.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45491.0,-0.07,,,,,-6655.0,,-6655.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,57918.0,,,,,,,,,-6655.0,,,,,,,6655.0,-6655.0,,,,,,,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,6655.0,-8217.0,,,-242346.0,,,,,-57918.0,,,,,,,,,,,96000.0
2019-06-30,2019-09-30,10-K,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,12427.0,,,,74523.0,0.0,0.0,,0.0,0.0,,,,0.0,-3005.0,,0.0,92000000.0,96000.0,96000.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,-138546.0,-29095.0,-29095.0,,,,,-138546.0,,29095.0,,,,,51596.0,51596.0,-0.34,0.21,,1562.0,0.0,-30740.0,-2327.0,-30740.0,-2327.0,-0.01,-2327.0,-30740.0,0.0,0.0,0.0,,,21.0,-8556.0,,,,,,,,,0.0,,,,0.0,,,,,,64023.0,0.0,,,,,38618.0,,-41623.0,-33067.0,,,,,,,30740.0,273055.0,,,,,,0.0,,,,0.0,8000000.0,0.0,0.0,0.0,,,,,0.0,,,,,38618.0,29178.0,,,,-248451.0,,0.0,,0.0,-64023.0,,0.0,,,,,,,0.0,,96000.0
2019-09-30,2019-11-14,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,15173.0,,,,74517.0,,0.0,,,,,,,0.0,0.0,,0.0,92000000.0,96000.0,96000.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,62546.0,62546.0,-0.14,,,,,-13696.0,,,,,,,,,0.0,,,,479.0,,,2267.0,,,,,,0.0,,,,0.0,,,,,,77719.0,,,,,,10950.0,,-10950.0,-13696.0,,,,,,,13696.0,-13696.0,,,,0.0,,,,,,0.0,8000000.0,0.0,0.0,,,,,,0.0,,,,,10950.0,13696.0,-13696.0,,,-25382960.0,,,,,-77719.0,,0.0,,,,,,,,,96000.0
2019-12-31,2020-03-10,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,17931.0,,134.0,,143295.0,,,,,,,,,0.0,,,0.0,92000000.0,96000.0,96000.0,,,,-68772.0,68772.0,,,,,,,,,,,,,,,,,,,,,,,68772.0,68772.0,-0.81,,,1165.0,,-77756.0,,,,,,,,,,,,,,,,,,,,,,68906.0,,-68906.0,,,,,,,,86703.0,,,,,,,,,-77756.0,-68906.0,,,,,,8850.0,-77756.0,,,,,,-68906.0,,,,0.0,8000000.0,0.0,0.0,,,,,,,,,,,,8850.0,-77756.0,,,-25382960.0,109905.0,,,,-86703.0,,,,,,,,,,,96000.0
2020-03-31,2020-05-20,10-Q,Fritzy Tech Inc.,FRFR,CIK0001622408,USD,26647.0,,6291.0,,149514.0,,,,,,,,,0.0,,,0.0,92000000.0,96000.0,96000.0,0.0,,74991.0,0.0,74991.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,-0.22,,,0.0,,-21154.0,,-21154.0,,,,,,,,,,,,,,,,,,,,12376.0,,,,,,,,,,101638.0,,,,,,,,,-21154.0,-12376.0,,,,,,8778.0,,,,,,,,,,,0.0,8000000.0,0.0,0.0,0.0,,,,,,,,,,,8778.0,-21154.0,,,-361057.0,,,,,-101638.0,,,,,,,,,,,96000.0
