end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableInterestBearingCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,Assets,AssetsCurrent,CarryingCostsPropertyAndExplorationRights,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedParties,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainsLossesOnExtinguishmentOfDebt,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,InterestAndDividendsPayableCurrent,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,LongTermDebt,LongTermDebtCurrent,LongTermLoansPayable,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherGeneralExpense,OtherIncome,OtherLoansPayable,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherNonrecurringIncomeExpense,OtherOperatingIncome,OtherOperatingIncomeExpenseNet,OtherPrepaidExpenseCurrent,PaymentOfFinancingAndStockIssuanceCosts,PaymentsForProceedsFromDepositOnLoan,PaymentsToAcquireMiningAssets,PrepaidExpenseCurrent,PrepaidInterest,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfMediumTermNotes,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoanOriginations1,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentOther,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,TradingSecuritiesDebt,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,GainLossOnDispositionOfAssets,NotesPayableRelatedPartiesClassifiedCurrent
2019-07-31,2020-03-05,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,0.0,,,28988.0,22610.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,1860.0,,,,,,12221.0,0.0,2600.0,,,,,-2845.0,,0.0,0.0,,0.0,,,,262.0,2583.0,,,262.0,262.0,,,,0.0,,,59072.0,0.0,56472.0,,,,,,,0.0,,0.0,0.0,,-2845.0,,,2583.0,-2845.0,,,2583.0,0.0,,,-262.0,,,,0.0,,,,,263.0,,,,,,0.0,0.0,,,,2583.0,,,,,-85872.0,0.0,2583.0,,4050.0,-59072.0,,,,,10709.0,,4190000.0,,,,
2019-10-31,2020-03-25,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,0.0,,,28988.0,22610.0,,,0.0,,,0.0,0.0,,,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,,,,,,18419.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,525.0,263.0,,,,,,,65082.0,0.0,65082.0,,,,,,,,,,,,-6010.0,,,5747.0,-6010.0,,,,0.0,,,-263.0,,,,0.0,,,,,-525.0,,,,,,,,,,,,,,,,-91882.0,,5747.0,,4050.0,-65082.0,,,,,504.0,,4190000.0,,,,
2020-01-31,2020-04-20,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,,1570.0,,,35189.0,22610.0,,,0.0,,,0.0,0.0,,,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,,,,,,22482.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,788.0,263.0,,,,,,,76600.0,0.0,76600.0,,,,,,,,,,,,-11518.0,,,11255.0,-11518.0,,,,0.0,,,-263.0,,,,0.0,,,,,-788.0,,,,,,,,,,,,,,,,-103400.0,,11255.0,,4050.0,-76600.0,,,,,504.0,,4190000.0,,,,
2020-04-30,2020-12-28,10-K,BOXXY INC.,BXXY,CIK0001680689,USD,41187.0,,,,,22610.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,,21145.0,0.0,,,,,22482.0,-0.01,0.21,0.0,,,-26661.0,-0.01,0.0,0.0,,21145.0,,1044.0,,15356.0,,0.0,,1044.0,,,0.0,,1860.0,,82888.0,0.0,75915.0,6973.0,6336.0,6336.0,6336.0,,,10261.0,,0.0,-10261.0,,-26661.0,-1044.0,,25617.0,-25617.0,100690.0,,,,4050.0,,,,,-1044.0,,,,,,,,,0.0,,,10261.0,,,,,-26661.0,0.0,,,,-109688.0,,25617.0,,,-82888.0,,,,,,,4190000.0,,,,
2020-07-31,2021-01-25,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,43798.0,,,,,22610.0,,,0.0,0.0,,,0.0,,0.0,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,1674.0,,,,,,,,22532.0,,,-4184.0,1261.0,,,0.0,0.0,,0.0,,,262.0,262.0,2611.0,,,,262.0,,0.0,,0.0,1674.0,,81627.0,0.0,74654.0,6973.0,,,2600.0,,,50.0,,0.0,-50.0,,1261.0,,,2661.0,-2661.0,,,,4184.0,4050.0,,3922.0,,,3922.0,,,,,,,,,50.0,0.0,,50.0,50.0,,,,,,,,,-108427.0,,2661.0,,,-81627.0,,,,,,,4190000.0,,,,
2020-10-31,2021-02-12,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,44046.0,,,,,22610.0,,,0.0,0.0,,,0.0,,,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,0.06,,,,,,,4223.0,0.0,,25394.0,20787.0,,,0.0,0.0,,,,,,,,,,,186.0,,0.0,,,1548.0,,60840.0,0.0,53867.0,,,,0.0,,,,,,,,20787.0,,,4421.0,-4421.0,,,,25394.0,4050.0,,25208.0,,,25208.0,,,,,,,,,,,,,,,,,,,,,,-87640.0,,4421.0,,,-60840.0,,,,,,,4190000.0,,,,
2021-01-31,2021-03-31,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,50331.0,,,,,22610.0,,,125000.0,0.0,,,0.0,,,0.0,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,0.06,,,,,,,129680.0,0.0,,4293.0,-2561.0,,,0.0,0.0,,,,,,,,,,,112.0,,0.0,,,1417.0,,188401.0,125000.0,181428.0,6973.0,,,0.0,,,,,,,,-2561.0,,,6742.0,-6742.0,,,,4293.0,0.0,,4181.0,,,4181.0,,,,,,,,,,,,,,,,,,125000.0,,,,-90201.0,,6742.0,,,-63401.0,,,,,,,4190000.0,,,,
2021-04-30,2021-07-29,10-K,BOXXY INC.,BXXY,CIK0001680689,USD,39921.0,,0.0,,1279.0,22610.0,,,125000.0,0.0,125000.0,,0.0,,0.0,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,0.06,19926.0,0.0,,,,,153913.0,,0.21,34114.0,,,5802.0,0.0,0.0,,,19926.0,,665.0,,-1266.0,,,,262.0,,,,,1279.0,,202086.0,125000.0,195113.0,6973.0,,6336.0,0.0,0.0,,153913.0,,-125000.0,-28913.0,,5802.0,,,27647.0,-27647.0,94888.0,,,,0.0,,,,,33449.0,,,,,,,,,,,,153913.0,,,,,,125000.0,,,,-103886.0,,27647.0,,,-77086.0,,,,,,,4190000.0,,,,
2021-07-31,2021-09-14,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,43870.0,,253.0,253.0,1385.0,22610.0,,,125000.0,0.0,,,0.0,,0.0,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,,,,,,,,0.0,,,0.0,-7130.0,,,0.0,0.0,,0.0,,,359.0,,3949.0,,,,105.0,,253.0,,0.0,1385.0,253.0,209216.0,125000.0,45508.0,6973.0,,,,156735.0,,2822.0,,,-2822.0,,-7130.0,,,6772.0,-6772.0,,,,,156735.0,,,,,-358.0,,,,,,,,,2822.0,153913.0,,,,,,,,125000.0,,,,-111016.0,,6772.0,,,-84216.0,,,,,,,4190000.0,,,,
2021-10-31,2021-12-10,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,38218.0,,1043.0,1043.0,1490.0,22610.0,,,125000.0,0.0,,,0.0,,,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,,,,,,,,0.0,,,0.0,-6693.0,,,0.0,0.0,,,,,,,,,,,106.0,,790.0,,,1490.0,1043.0,215909.0,125000.0,40751.0,6973.0,,,,168185.0,,,,,,,-6693.0,,,5797.0,-5797.0,,,,,168185.0,,,,,-896.0,,,,,,,,,,,,,,,,,,125000.0,,,,-117709.0,,5797.0,,,-90909.0,,,,,,,4190000.0,,,,11450.0
2022-01-31,2022-03-15,10-Q,BOXXY INC.,BXXY,CIK0001680689,USD,36493.0,,1917.0,1917.0,1596.0,22610.0,,,125000.0,0.0,,,0.0,,,,0.001,,75000000.0,4190000.0,4190000.0,4190.0,,,,,,,,,,,,,175206.0,,,0.0,-6276.0,,,0.0,0.0,,,,,,,,,,,105.0,,874.0,,,1596.0,1917.0,222185.0,125000.0,215212.0,6973.0,,,,,,,,,,,-6276.0,,,5297.0,-5297.0,,,,,175206.0,,,,,-979.0,,,,,,,,,,,,,,,,,,125000.0,,,,-123985.0,,5297.0,,,-97185.0,,,,,,,4190000.0,,,,7021.0
