end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpensesRelatedParty,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,DisposalGroupIncludingDiscontinuedOperationOperatingExpense,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingLossCarryforwards,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,StockIssued1,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount
2018-02-28,2018-04-13,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,6811.0,,,23972.0,,8493.0,8493.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,,,,118583.0,,0.0,,5312.0,,-19612.0,,,,,,,125394.0,8493.0,125394.0,,,,-19612.0,19612.0,,0.0001,75000000.0,,,8493.0,,,,14300.0,,-141401.0,,-116901.0,,,,5280000.0,,
2018-05-31,2018-07-12,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,3200.0,,,23972.0,,6161.0,6161.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,,,,138276.0,,0.0,,4114.0,,-18414.0,,,,,,,141476.0,6161.0,141476.0,,,,-18414.0,18414.0,,0.0001,75000000.0,,,6161.0,,,,14300.0,,-159815.0,,-135315.0,,,,5280000.0,,
2018-08-31,2018-11-27,10-K,VISIBER57 CORP.,VCOR,CIK0001627041,USD,3200.0,,,23180.0,,14163.0,14163.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,61638.0,37200.0,37200.0,37200.0,,,,163607.0,,-0.01,0.21,16785.0,,-77410.0,,,,61853.0,,-15557.0,166807.0,14163.0,166807.0,,,,-77410.0,77410.0,,0.0001,75000000.0,,,14163.0,,,,60625.0,,-177144.0,,-152644.0,,,,13200000.0,,
2018-11-30,2019-01-10,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,6100.0,,,23972.0,,11497.0,11497.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,,,,181278.0,,0.0,,4437.0,,-23237.0,,,,18906.0,,-4331.0,187378.0,11497.0,187378.0,,0.0,,-23237.0,23237.0,,0.0001,75000000.0,,,11497.0,,,,18800.0,,-200381.0,,-175881.0,,,,13200000.0,,
2019-02-28,2019-04-12,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,4138.0,,,23972.0,,9660.0,9660.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,,,,195516.0,,0.0,,4575.0,,-14113.0,,,,,,,199654.0,9660.0,199654.0,,,,-14113.0,14113.0,,0.0001,75000000.0,,,9660.0,,,,9538.0,,-214494.0,,-189994.0,,,,13200000.0,,
2019-05-31,2019-07-12,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,5784.0,,,23972.0,,6827.0,6827.0,,,,,,0.0001,425000000.0,5280000.0,5280000.0,528.0,,,,,,,,207935.0,,0.0,,4602.0,,-16898.0,-16898.0,,,,,,213719.0,6827.0,213719.0,,,,-16898.0,16898.0,,0.0001,75000000.0,,,6827.0,,,,12296.0,,-231392.0,,-206892.0,,,,13200000.0,,
2019-08-31,2019-11-26,10-K,VISIBER57 CORP.,VCOR,CIK0001627041,USD,3800.0,,,23180.0,,14330.0,14330.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,,51654.0,51654.0,51654.0,,,,232000.0,,-0.01,,18176.0,,-68826.0,,,,47003.0,,-21823.0,235800.0,14330.0,235800.0,,,,-68826.0,68826.0,,0.0001,75000000.0,,,14330.0,,,,50650.0,,-245970.0,,-221470.0,,,,13200000.0,,
2019-11-30,2020-01-13,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,3600.0,,,23180.0,,11498.0,11498.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,,,,,,,,246574.0,,0.0,,5106.0,-17206.0,-17206.0,,,,12709.0,,-4497.0,250174.0,11498.0,250174.0,,,,-17206.0,17206.0,,0.0001,75000000.0,,,11498.0,,,,12100.0,,-263176.0,,,,,,13200000.0,,
2020-02-29,2020-04-09,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,2600.0,,,23180.0,,11325.0,11325.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,,,,,,,,257276.0,,0.0,,4575.0,-9875.0,-9875.0,,,,,,,259876.0,11325.0,259876.0,,,,-9875.0,9875.0,,0.0001,75000000.0,,,11325.0,,,,5300.0,,-273051.0,,-248551.0,,,,13200000.0,,
2020-05-31,2020-07-09,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,2684.0,,,23180.0,,6827.0,6827.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,,,,,,,,263265.0,,0.0,,4836.0,,-10571.0,-10571.0,,,,,,265949.0,6827.0,265949.0,,,,-10571.0,10571.0,,0.0001,75000000.0,,,6827.0,,,,5735.0,,-283622.0,,-259122.0,,,,13200000.0,,
2020-08-31,2020-11-30,10-K,VISIBER57 CORP.,VCOR,CIK0001627041,USD,5285.0,,,23180.0,,2330.0,2330.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,,61626.0,61626.0,61626.0,,,,266003.0,,0.0,,19053.0,,-47488.0,,,,29498.0,,-17990.0,271288.0,2330.0,271288.0,,,,-47488.0,47488.0,,0.0001,75000000.0,,,2330.0,,,,28435.0,,-293458.0,,-268958.0,,,,13200000.0,,
2020-11-30,2021-01-12,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,6285.0,,,23180.0,,10667.0,10667.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,,,,,,,,285842.0,,0.0,,4702.0,-12502.0,-12502.0,,,,7839.0,,-4663.0,292127.0,10667.0,292127.0,,,,-12502.0,12502.0,,0.0001,75000000.0,,,10667.0,,,,7800.0,,-305960.0,,,,,,13200000.0,,
2021-02-28,2021-04-09,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,5080.0,,,23180.0,,8579.0,8579.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,,,,,,,,289355.0,,0.0,,4096.0,-4396.0,-4396.0,,,,,,,294435.0,8579.0,294435.0,,,,-4396.0,4396.0,,0.0001,75000000.0,,,8579.0,,,,300.0,,-310356.0,,-281460.0,,,,13200000.0,,
2021-05-31,2021-07-13,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,3880.0,,,23180.0,,4664.0,4664.0,,,,,,0.0001,425000000.0,13200000.0,13200000.0,1320.0,,,,,,,,297381.0,,0.0,,3941.0,,-10741.0,,,,,,,301261.0,4664.0,301261.0,,,,-10741.0,10741.0,,0.0001,75000000.0,,,4664.0,,,,6800.0,,-321097.0,,-296597.0,,,,13200000.0,,
2021-08-31,2022-01-05,10-K,VISIBER57 CORP.,VCOR,CIK0001627041,USD,2942.0,,,23800.0,,1247.0,1247.0,,,,,,0.0001,425000000.0,7000000.0,7000000.0,700.0,,69273.0,69273.0,69273.0,,,,303678.0,,0.0,,18658.0,,-36415.0,,,,34084.0,,-2331.0,306620.0,1247.0,306620.0,,,,-36415.0,36415.0,,0.0001,75000000.0,0.0,0.0,1247.0,,,,17757.0,,-329873.0,,-305373.0,,,0.0,11773151.0,620.0,
2021-11-30,2022-01-14,10-Q,VISIBER57 CORP.,VCOR,CIK0001627041,USD,5071.0,,,23800.0,,1000.0,1000.0,,,,,,0.0001,425000000.0,7000000.0,7000000.0,700.0,,,,,,,,310204.0,,0.0,,4602.0,,-8902.0,,,,8655.0,,-247.0,315275.0,1000.0,315275.0,,,,-8902.0,8902.0,,0.0001,75000000.0,0.0,0.0,1000.0,,,,4300.0,,-338775.0,,-314275.0,,,,7000000.0,,0.0
