end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeCollateralObligationToReturnCash,DerivativeCollateralObligationToReturnSecurities,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiability,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DerivativeLiabilityFairValueGrossAsset,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringExpense,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,PaymentsToMinorityShareholders,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,DueFromCorrespondentBrokers,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2012-06-30,2012-08-03,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,165108.0,367049937.0,576390.0,281162925.0,,,,12122008.0,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,-0.41,,5052855.0,263988062.0,30111.0,-7348460.0,,-16783379.0,,701.0,986.0,,281162925.0,,,,,,,-64842962.0,,,,,,52705.0,,,,,,,,,,,,,,-553796.0,,,,,,,,,165198.0,281162925.0,,,,,,,,,,,,-7902256.0,,,606501.0,,,,,,,,,,,,,,,,,,,-7902256.0,,-16782678.0,,,,,11223522.0,,-86053196.0,11400000.0,11400000.0,280997727.0,-56940706.0,1000000.0,-2400000.0,24342562.0,,,3400000.0,81283268.0,,,9435050.0,9434218.0,,-832.0,,,,,,
2012-09-30,2012-11-02,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,412798.0,406612391.0,603538.0,329951446.0,,,,25280942.0,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,0.7,,689403.0,303981101.0,40883.0,9555488.0,,13917923.0,,254.0,1014.0,,329951446.0,,,,,,,48540879.0,,,,,,67358.0,,,,,,,,,,,,,,-577063.0,,,,,,,,,412840.0,329951446.0,,,,,,,,,,,,8978425.0,,,644421.0,,,,,,,,,,,,,,,,,,,8978425.0,,13918177.0,,,,,9542512.0,,-77074799.0,13000000.0,13000000.0,329538606.0,39562454.0,2400000.0,1600000.0,59693330.0,,,-800000.0,20130876.0,,,-4363452.0,-4362689.0,,763.0,,,,,,
2012-12-31,2013-02-22,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,216151.0,,2429713.0,345338679.0,0.0,,26203938.0,26203938.0,22250989.0,,,,0.0,,,593.0,-217437.0,,,,,,,,,,,,,0.0,,,,,0.8,,142320.0,318992421.0,157576.0,40342740.0,858.0,34325005.0,,858.0,1046.0,40.0,345338679.0,29954.0,,,283.0,,,15583329.0,,283.0,,,,293308.0,,,,,,,,,,,,,,-2966484.0,,142320.0,0.0004,633640.0,,142320.0,,,216744.0,345338679.0,345120889.0,13200000.0,,,,,,32240924.0,32240924.0,-9989935.0,-9989935.0,37376256.0,,,2587289.0,,,,,,,,,141657854.0,,,1257755688.0,,173898778.0,1215997800.0,,,,26883033.0,,34325863.0,,,,,8221754.0,,,,13200000.0,345121935.0,59123957.0,7000000.0,1200000.0,173898778.0,-32240924.0,59123957.0,5800000.0,141657854.0,,,-5092493.0,-5072978.0,,19515.0,5581483.0,5439163.0,,,,
2013-03-31,2013-05-03,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,220061.0,,636386.0,348298948.0,0.0,,,44712144.0,18508206.0,,,,,,,565.0,-64196.0,,,,,,,,,,,,,0.0,,,,,1.04,,1599190.0,301987614.0,42911.0,14244132.0,712.0,12795336.0,,712.0,1088.0,,348298948.0,3910.0,,,-28.0,,,2956387.0,,,,,,64196.0,,,,,,,,,,,,,,-615101.0,,,,,,,,,220626.0,348298948.0,,,,,,,,-10672644.0,-10672644.0,29180850.0,29180850.0,13629031.0,,,679297.0,,,,,,,,,21343956.0,,,322937860.0,,10671312.0,339998789.0,,,,13629031.0,,12796048.0,,,,,7147456.0,,,,12800000.0,348078322.0,-10672644.0,400000.0,-400000.0,10671312.0,10672644.0,2956387.0,800000.0,21343956.0,,,1456870.0,1448084.0,,-8786.0,4742595.0,3143405.0,,,,
2013-06-30,2013-08-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,129209.0,,630586.0,264663162.0,0.0,,,8294118.0,,,,,0.0,,,6019.0,,,,,,,,,,,,,,,,,,,-1.76,,-3712570.0,254995630.0,50447.0,-21373701.0,,-16063170.0,,4600.0,1017.0,,259577178.0,,,,,,,-88692145.0,,,,,,45109.0,,,,,,,,,,,,,,-635924.0,,-3712570.0,-0.0143,-3865243.0,,,,,5276985.0,264663162.0,,,,,,,,,,,,-22009625.0,,,681033.0,,,,,,,,,,,,,,,,,,,-22009625.0,,-16058570.0,,,,,7783864.0,,,,10200000.0,259386177.0,-88692145.0,1400000.0,-2600000.0,37624430.0,,,4000000.0,104306950.0,,,-5311760.0,-5315131.0,,-3371.0,,,,,,
2013-09-30,2013-11-05,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,140681.0,,468085.0,229906661.0,0.0,,7382276.0,7328276.0,,,,,0.0,,,3862.0,,,,,,,,,,,,,,,,,,,0.12,,-3418670.0,225997055.0,30446.0,1997956.0,,1706326.0,,1861.0,1022.0,,229906661.0,,,,,,,-39623806.0,,,,,,24875.0,,,,,,,,,,,,,,-473656.0,,-3418670.0,-0.0086,-2966930.0,,-3418670.0,3418670.0,,10144290.0,229906661.0,,,,,,,,,,,,1524300.0,,,498531.0,,,,,,,,,,,,,,,,,,,1524300.0,,1708187.0,,,,,8465871.0,,,,8600000.0,219762371.0,-39623806.0,1200000.0,-1600000.0,30417222.0,,,-2800000.0,71565328.0,,,293900.0,289769.0,,-4131.0,,,,,,
2013-12-31,2014-03-04,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,129209.0,,2144741.0,203291139.0,0.0,,5081666.0,5081666.0,-21122272.0,,,,0.0,,,1033.0,-152768.0,445827.0,0.0,0.0,,,2661410.0,2215583.0,2215583.0,445827.0,,,445827.0,0.0,,,,,-0.86,,,195993890.0,149579.0,-6876791.0,7492.0,-8070576.0,-8070576.0,7492.0,1017.0,40.0,203291139.0,-86942.0,-86942.0,,440.0,,,-26599831.0,,440.0,,,,168570.0,1393.0,,,,,,,,,,,,,-2561209.0,,,,,,2215583.0,,,10128599.0,203291139.0,193161523.0,7600000.0,,7492.0,-14381.0,,,-143812248.0,-143812248.0,122689976.0,122689976.0,-9438000.0,,,2294320.0,-2142945.0,,,,,9998357.0,,1117852114.0,238089610.0,,,1117852114.0,,94277362.0,1250994881.0,,1250994881.0,2144741.0,-8147147.0,-8063084.0,-8063084.0,,,,,6839551.0,,,,,193162540.0,-151959395.0,,,94277362.0,143812248.0,-151959395.0,200000.0,238089610.0,,10000000.0,2073263.0,2073263.0,2058882.0,-14381.0,,,,,,
2014-03-31,2014-05-09,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,116587.0,,341771.0,177849138.0,0.0,,,4471583.0,-610083.0,,,,0.0,,,3246.0,-20090.0,,,,,,,,,,,,,0.0,,,,,0.72,,,168996036.0,26342.0,5085074.0,,2920110.0,,340.0,1046.0,40.0,177849138.0,-12622.0,,,2213.0,,,-15433235.0,,2213.0,,,,20084.0,,,,,,,,,,,,,,-348029.0,,,,,,4381519.0,,,119833.0,177849138.0,177728259.0,6800000.0,,,,,,,-20170280.0,,19560197.0,4737045.0,,,368113.0,-348029.0,,,,,,,,30460065.0,,,183980851.0,,10289785.0,200999466.0,,,,4737045.0,,2920450.0,,,,,5837111.0,,,,,177729305.0,-15433235.0,,,10289785.0,20170280.0,-15433235.0,200000.0,30460065.0,,,2165936.0,2164624.0,,-1312.0,,,,,,
2014-06-30,2014-08-06,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,63760.0,,242257.0,104525406.0,0.0,,,3515990.0,,,,,0.0,,,29.0,,,,,,,,,,,,,,0.0,,,,,-0.02,,,96998899.0,14481.0,188313.0,,5559504.0,,2360.0,1045.0,40.0,99525406.0,,,,,,,-78490722.0,,,,,,10495.0,,,,,,,,,,,,,,-246243.0,,,,,,-989483.0,,,5286823.0,104525406.0,99237538.0,3800000.0,,,,,,,,,,-57930.0,,,256738.0,-246243.0,,,,,,,,,,,,,,,,,,,,5561864.0,,,,,2497203.0,,,,,99238583.0,-78490722.0,,,20925291.0,,,,99358083.0,,,-5371001.0,-5373551.0,,-2550.0,,,,,,
2014-09-30,2014-11-05,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,58391.0,,178696.0,97820032.0,0.0,,,1792660.0,,,,,0.0,,,4568.0,,2267969.0,,,971626.0,,2267969.0,,,3239595.0,971626.0,,2267969.0,0.0,,,,,-0.39,,,96998998.0,16296.0,-1275817.0,,-1293220.0,,77.0,1029.0,40.0,97820032.0,,,,,,,-1481510.0,,,,,,6333.0,,,,,,,,,,,,,,-188659.0,,,,,,-971626.0,,,62959.0,97820032.0,97756044.0,3800000.0,,,,,,,,,,-1464476.0,,,194992.0,-188659.0,,,,,,,,,,,,,,,,,,,,-1293143.0,,,,,2545977.0,,,,,97757073.0,-1481510.0,,,10378671.0,,,,10395705.0,,,17857.0,17326.0,,-531.0,,,,,,
2014-12-31,2015-03-09,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,56722.0,,935270.0,86606279.0,0.0,86606279.0,2885535.0,2885535.0,-2196131.0,,,,0.0,-2196131.0,2885535.0,5212.0,-41542.0,1314345.0,0.0,0.0,0.0,0.0,2036456.0,722111.0,2036456.0,1314345.0,0.0,1314345.0,1314345.0,0.0,,,,56722.0,-0.25,,,82998633.0,70921.0,2739148.0,,4863330.0,4863330.0,3296.0,1018.0,40.0,2949678.0,-72487.0,-72487.0,,,,,-11212728.0,,4179.0,41520.0,,,46128.0,21.0,,,,,,,,,,,,,-1146411.0,,,,,,722111.0,,,61934.0,86606279.0,86543327.0,3400000.0,56722.0,3296.0,-4795.0,,25.45,,-109021883.0,,106825752.0,1592737.0,,,1006191.0,-1146411.0,,,,,0.0,,503960190.0,160905640.0,,,503960190.0,,51883757.0,606997133.0,,606997133.0,935270.0,,4866626.0,4866626.0,0.0,,,,2949678.0,0.0341,,,,86544345.0,-106618195.0,,,51883757.0,,,,160905640.0,722111.0,,-1493472.0,-1493472.0,-1498267.0,-4795.0,,,0.0,,,
2015-03-31,2015-05-11,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,74728.0,,172144.0,151068615.0,,,,18916905.0,16031370.0,,,,0.0,,,4997.0,-4819.0,,,,,,,,1789475.0,,,-2739552.0,,0.0,,,,,-0.63,,,131997250.0,18596.0,-2701199.0,,-1031207.0,-1031207.0,773.0,993.0,40.0,20154460.0,18006.0,18006.0,,,,,52445379.0,,-215.0,,,,4813.0,,,,,,,,,,,,,,-185927.0,,,,,,-950077.0,,,12078891.0,151068615.0,138988731.0,5600000.0,,773.0,1423.0,,,,55332505.0,,-39301135.0,-2887126.0,,,190740.0,-185927.0,,,,,11999166.0,,129992182.0,34651550.0,,,129992182.0,,89984055.0,92999746.0,,92999746.0,172144.0,,-1030434.0,-1030434.0,,,,,20000000.0,,,,,138989724.0,52445379.0,,,89984055.0,,,,34651550.0,,,-1672188.0,-1672188.0,-1670765.0,1423.0,,,0.0,,,
2015-06-30,2015-08-10,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,58646.0,,231960.0,89315401.0,,,,4713172.0,,,,,,,,4998.0,,,,,,,,,702312.0,,,1281930.0,,0.0,,,,,-1.33,,,84000909.0,10546.0,-5783208.0,,-6154297.0,-6154297.0,427.0,940.0,40.0,10601320.0,,,,,,,-49737967.0,,,,,,5289.0,,,,,,,,,,,,,,-237217.0,,,,,,-579618.0,,,63644.0,89315401.0,89250817.0,3800000.0,,427.0,203.0,,,,,,,-6020425.0,,,242506.0,-237217.0,,,,,,,,,,,,,,,,,231960.0,,-6153870.0,-6153870.0,,,,,10000000.0,,,,,89251757.0,-49737967.0,,,,,,,43717542.0,,,370459.0,370459.0,370662.0,203.0,,,0.0,,,
2015-09-30,2015-11-06,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,164437.0,84464332.0,,,5859041.0,5859041.0,,,,,,,,351.0,,,,,,,,,570994.0,,,1205001.0,,0.0,0.0,,,,-1.28,,,78002638.0,3507.0,-4676982.0,,-4625910.0,-4625910.0,61.0,888.0,40.0,7602823.0,,,,,,,-4840106.0,,,5927.0,1107.0,,5927.0,,,,,,,,,,,,,,-163124.0,,,,,,,,,52681.0,84464332.0,84410763.0,3800000.0,52330.0,61.0,3256.0,,,,,,,-4840106.0,,,169051.0,-163124.0,,,,,,,,,,,,,,,,,164437.0,,-4625849.0,-4625849.0,,,,,7000170.0,,,,,84411651.0,-4840106.0,,,,,,,,-634007.0,,-54389.0,-54389.0,-51133.0,3256.0,,,0.0,,,
2015-12-31,2016-02-29,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,88562857.0,,7415075.0,4652970.0,4652970.0,1767435.0,,,,0.0,1767435.0,,4999.0,-26162.0,,,,,,,,,,,,,0.0,,,,56215.0,-1.08,84907090.0,,83494432.0,46017.0,-4749231.0,,,-9647822.0,,932.0,40.0,6999620.0,,-507.0,,,415455.0,,4089992.0,,-213.0,26162.0,2469.0,,35500.0,2469.0,,0.0,0.008,-1.98,733413.0,-2.16,-0.18,-0.0077,,,,-0.0849,,83493192.0,83494432.0,,,,1412658.0,,,61214.0,88562857.0,88500711.0,3800000.0,,1162.0,803.0,,23.29,,11668345.0,,-9900910.0,-5674437.0,,,781899.0,-925206.0,,,,,0.0,,413566736.0,82938215.0,,,,,94606560.0,,,413099064.0,733413.0,,-9646660.0,,0.0,415455.0,4652970.0,81147782.0,,0.079,,,,88501643.0,1957298.0,,,94606560.0,,,,82938215.0,,,,690547.0,691350.0,,,,,,,
2016-03-31,2016-05-10,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,84713237.0,,,3722463.0,3722463.0,-930507.0,,,,0.0,-930507.0,,5003.0,-42338.0,,,,,,,,,,,,,0.0,0.0,,,54055.0,0.16,,,80990774.0,8106.0,760836.0,,,2221916.0,,938.0,40.0,5779451.0,,-2160.0,,,,,,,4.0,42337.0,636.0,,42337.0,636.0,,,,,,,,,,,,,,,,,,,-54425.0,,,277851.0,84713237.0,84434448.0,3600000.0,,,6003.0,,23.45,,-4699609.0,,3769102.0,633352.0,,,169821.0,-127484.0,,,,,,,80948001.0,4699609.0,,,,,,,,83500000.0,161079.0,,2221916.0,,,,3722463.0,,,,,,,84435386.0,-4066257.0,,,,,,,4699609.0,,,,-1467083.0,-1461080.0,,,,,,,
2016-06-30,2016-08-09,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,72431510.0,,,4348304.0,4348304.0,,,,,0.0,,,609.0,,,,,,,,,,,,,,0.0,0.0,,,41273.0,0.68,,,67988581.0,5157.0,1473719.0,,,329424.0,,965.0,40.0,,,,,,,,,,,31984.0,219.0,,31984.0,,,,,,,,,,,,,,,,,,,,1092629.0,,,41882.0,72431510.0,72388663.0,3000000.0,,1880.0,-4639.0,,24.13,,,,,1394813.0,,,110890.0,-78906.0,,,,,,,,,,,,,,,,,105514.0,,331304.0,,,94625.0,4348304.0,,,,,,,72389628.0,-12045758.0,,,28107561.0,,,,41548132.0,,,,1147054.0,1142415.0,,,,,,,
2016-09-30,2016-11-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,54964857.0,,,,,,,,,,,,1784.0,,,,,,,,,,,,,,0.0,2426.0,,1466.0,36728.0,0.84,,,50990961.0,6912.0,2386732.0,,,2365946.0,,999.0,40.0,,,,,,,,,,,46118.0,123.0,,43692.0,,,1073.0,0.0078,0.88,130620.0,0.84,-0.04,-0.0052,,,,0.0348,,54686832.0,54695074.0,0.9958,,,1107551.0,,3704113.0,38512.0,54964857.0,54925346.0,2200000.0,,226.0,5638.0,,24.97,,,,,2296268.0,,,137655.0,-90464.0,,,,,,,,,,,,,,,,,130620.0,,2366172.0,,,268317.0,,,,,,,,54926345.0,-17463283.0,,,,,,,19759551.0,,,,14922.0,20560.0,,,,,,,
2016-12-31,2017-03-01,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,50024505.0,,,0.0,,,,,,0.0,-4652970.0,,5000.0,-166144.0,,,,,,,,,,,,,0.0,5335.0,,1421.0,31300.0,1.6,48890815.0,,43942608.0,32918.0,4364069.0,,,6913029.0,,996.0,40.0,,,-24915.0,,,,1421.0,,,1.0,171479.0,1140.0,,166144.0,1140.0,1140.0,2481.0,0.008,1.73,486756.0,1.6,-0.13,-0.0053,4364069.0,,,0.0687,,50027443.0,50023084.0,1.0049,,,-1132269.0,,6080476.0,244413.0,50024505.0,49779096.0,2000000.0,,1566.0,-5599.0,,24.89,-42738766.0,-42738766.0,38085796.0,38085796.0,4017215.0,,,520814.0,-346854.0,,,,,,6080476.0,284252978.0,126214271.0,,46922740.0,,,83475505.0,,40842264.0,323966913.0,486756.0,,6914595.0,6914595.0,,,,,,,,,,49780092.0,-38721551.0,,,83475505.0,,,,126214271.0,-1132269.0,,,-2544927.0,-2550526.0,,,,,,,
2017-03-31,2017-05-09,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,45472315.0,,,5021869.0,,,,,,,5021869.0,,5001.0,-51107.0,,,,,,,,,,,,,0.0,2876.0,,905.0,26866.0,0.37,40479153.0,,37985444.0,4939.0,723734.0,,,-631211.0,,1010.0,40.0,,,-4434.0,,,,-516.0,,,1.0,53983.0,125.0,,51107.0,125.0,,1018.0,0.0079,0.39,83853.0,0.37,-0.02,-0.003,,,,0.0149,,40260055.0,40258816.0,0.996,,,220337.0,,2273372.0,5053736.0,45472315.0,40417569.0,1600000.0,,-781.0,3120.0,,25.26,,-5029462.0,,10051331.0,689818.0,,,88917.0,-33916.0,,,,,,,8986793.0,10127161.0,,10058737.0,,,5097699.0,,13865841.0,14997403.0,83853.0,,-631992.0,,,190725.0,,,,,,,,40418579.0,-9361513.0,,,5097699.0,,,,15149030.0,,,,1352606.0,1355726.0,,,,,,,
2017-06-30,2017-08-08,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,43950519.0,,,0.0,,,,,,,,,4997.0,,,,,,,,,,,,,,0.0,4248.0,,1564.0,26489.0,-0.86,43200745.0,,41977954.0,4882.0,-1467899.0,,,-563055.0,,976.0,40.0,,,,,,,,,,,84532.0,172.0,-172.0,80284.0,,,1550.0,0.0078,-0.86,82952.0,-0.86,,-0.0002,,,,-0.0341,,43885465.0,43888265.0,0.9993,,,-687520.0,,1910311.0,31486.0,43950519.0,43918057.0,1800000.0,,-1026.0,4039.0,,24.4,,,,,-1469823.0,,,88006.0,-1924.0,,,,,,,,,,,,,,,,,82952.0,,-564081.0,,,60690.0,,,,,,,,43919033.0,3500454.0,,,15121332.0,,,,10151055.0,,,,-907857.0,-903818.0,,,,,,,
2017-09-30,2017-11-09,10-Q,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,43211962.0,,,0.0,,,,,,,,,4999.0,,,,,,,,,,,,,,0.0,4760.0,,1647.0,26214.0,,43135300.0,,40877736.0,4079.0,-873888.0,,,-1490542.0,,957.0,40.0,,,,,,,,,,,117358.0,126.0,,112598.0,,,994.0,0.0078,-0.49,82223.0,-0.47,0.02,0.0029,,,,-0.0193,,43203366.0,43210315.0,1.0031,,,-75015.0,,2332579.0,134893.0,43211962.0,43076112.0,1800000.0,,,4149.0,,23.93,,,,,-841964.0,,,86428.0,31924.0,,,,,,,,,,,,,,,,,,,-1490542.0,,,,,,,,,,,43077069.0,-841964.0,,,,,,,,,,,612505.0,616654.0,,,,,,,
2017-12-31,2018-02-28,10-K,INVESCO DB G10 CURRENCY HARVEST FUND,DBV,CIK0001354730,USD,,,,38114492.0,,,0.0,,,0.0,,,0.0,,,4999.0,-348092.0,,,,,,,,,,,,,30737.0,17024.0,1941.0,1941.0,23778.0,,37738681.0,,35956809.0,17715.0,-2080639.0,,,-2840667.0,,946.0,40.0,,,-7522.0,,,,520.0,,,-1.0,365115.0,566.0,,348091.0,566.0,566.0,4566.0,0.0078,-1.24,322328.0,-1.22,0.02,0.0007,-2080639.0,-0.02,,-0.0491,,38114327.0,38112551.0,1.0071,,439896.0,-373870.0,813766.0,2155742.0,270574.0,38114492.0,37842972.0,1600000.0,,-954.0,2583.0,,23.65,-9853870.0,-9853870.0,9853870.0,9853870.0,-2051567.0,,,340609.0,29072.0,,,30737.0,0.0192,,,107644017.0,30072902.0,30737.0,42429571.0,,,20219032.0,,46354305.0,115979537.0,,,-2841621.0,-2841621.0,,,,,,,,,,37843918.0,-11936174.0,,,20219032.0,,,,30072902.0,,,,758399.0,760982.0,,,,,,,
