end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockNoParValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CurrentFederalTaxExpenseBenefit,DividendsCommonStockCash,DividendsPayableAmountPerShare,DividendsPayableCurrentAndNoncurrent,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,InterestBearingDepositLiabilitiesForeign,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InterestReceivable,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestBearingDepositLiabilities,NoninterestBearingDepositLiabilitiesForeign,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfCapitalDistribution,PaymentsOfDividends,PreferredStockRedemptionAmount,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2014-04-30,2014-06-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,,,301701452.0,,,301114554.0,,,,0.41,,,38500000.0,3250000.0,3250000.0,301585296.0,1419944.0,,,0.1407,,,,0.41,,,,,,,,,,325000000.0,301128630.0,,,,,,,572822.0,1706535.0,,,301701452.0,116156.0,,,,,1398260.0,14076.0,,308275.0,102080.0,,,21684.0,,,,,,,,,,,,,,,1706535.0,308275.0,,,,,,,,,,,,,3439888.0
2014-07-31,2014-09-08,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,13967288.0,,,,284111482.0,,,283547274.0,,,,0.44,,,38500000.0,2900000.0,2900000.0,270034213.0,1372503.0,,,0.145,,,,0.44,,,,,,,,,,290000000.0,283558445.0,,,,,,,553037.0,1678854.0,,,284111482.0,14077269.0,,,,,1380622.0,11171.0,,298232.0,98810.0,,,-8119.0,,,,,,,,,,,,,,,1678854.0,298232.0,,,,,,,,,,,,,3154348.0
2014-10-31,2015-01-14,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,91009.0,0.0,,290599125.0,330000000.0,290070109.0,290103775.0,-136029532.0,,,2.06,,0.0,38500000.0,3300000.0,3300000.0,290508116.0,6730731.0,0.0,,0.1327,,33666.0,,2.05,,-26354927.0,,-34737.0,,-495350.0,91009.0,,,330000000.0,290070109.0,,,,,,,495350.0,8366725.0,,,290599125.0,91009.0,-115451707.0,-115451707.0,5777102.0,5777102.0,6843337.0,,,1523388.0,91009.0,,,-112606.0,,1300672.0,,220000000.0,201328373.0,5637628.0,,,100000000.0,91514294.0,7077774.0,,290508116.0,0.0,8366725.0,1523388.0,,,1000000.0,91514294.0,2200000.0,201328373.0,-26403651.0,,,,3300000.0,91514294.0,6369050.0
2015-01-31,2015-03-12,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,218513181.0,,,218025378.0,-72078397.0,,,0.4,,,38500000.0,2800000.0,2800000.0,218409432.0,1174956.0,0.0,,0.1282,,,,0.41,,-30430213.0,,-47876.0,,-463156.0,79102.0,,,280000000.0,218050025.0,,,,,,,463156.0,1516849.0,,,218513181.0,103749.0,-42875591.0,-42875591.0,1227407.0,1227407.0,1254996.0,24647.0,,261853.0,79102.0,,,-80040.0,,263485.0,,,45797763.0,1242198.0,,,,4164370.0,1490892.0,,,0.0,1516849.0,261853.0,,,50000.0,4164370.0,550000.0,45797763.0,,,,,,,3092391.0
2015-04-30,2015-06-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,19743643.0,,0.0,,221192307.0,,,220884997.0,,,,0.33,,0.0,38500000.0,2550000.0,2550000.0,201385132.0,762254.0,,,0.0998,,35024.0,,0.29,,,,,,,,,,255000000.0,220849973.0,,,,,,,307310.0,946190.0,,,221192307.0,19807175.0,,,,,748869.0,,,197321.0,63532.0,,,13385.0,,,,,,,,,,,,,,0.0,946190.0,197321.0,,,,,,,,,,,,,2578090.0
2015-07-31,2015-09-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,183881407.0,,,183583388.0,,,,0.27,,0.0,38500000.0,2500000.0,2500000.0,183813693.0,638617.0,,,0.0899,,,,0.26,,,,,,,,,,250000000.0,183587565.0,,,,,,,293842.0,863605.0,,,183881407.0,67714.0,,,,,666749.0,4177.0,,196856.0,63537.0,,,-28132.0,,,,,,,,,,,,,,0.0,863605.0,196856.0,,,,,,,,,,,,,2516304.0
2015-10-31,2016-01-14,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,61296.0,0.0,,182192182.0,255000000.0,181929740.0,181931636.0,-108172139.0,181931636.0,,1.48,,,38500000.0,2550000.0,2550000.0,182130886.0,3654489.0,0.0,,0.0788,,1896.0,61296.0,1.42,,-50162083.0,,-109216.0,,-260546.0,61296.0,,,255000000.0,181929740.0,,,,,,,260546.0,4773914.0,,,182192182.0,61296.0,,-61320071.0,,3310015.0,3757666.0,,,1016248.0,,,,-103177.0,,846019.0,,215000000.0,166357064.0,3292732.0,,,140000000.0,108329725.0,4156034.0,,182130886.0,0.0,4773914.0,1016248.0,,,,,2150000.0,166357064.0,-50349891.0,,38500000.0,2550000.0,2550000.0,108329725.0,5147288.0
2016-01-31,2016-03-11,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,3540594.0,,0.0,,177094115.0,245000000.0,173300786.0,176834144.0,-5097492.0,,,0.24,,,,,,,608313.0,,,0.0768,,,60998.0,0.24,,-1522670.0,,-1687.0,0.0,-256578.0,60998.0,,,,176837537.0,,,,,,,256578.0,797805.0,,,177094115.0,3604985.0,,-4190751.0,,615929.0,613946.0,3393.0,,183859.0,,,,-5633.0,,183632.0,,20000000.0,10715555.0,614995.0,,,10000000.0,7139799.0,799561.0,,173489130.0,0.0,797805.0,183859.0,,,,,,,-1492621.0,,38500000.0,2450000.0,2450000.0,7139799.0,2551087.0
2016-04-30,2016-06-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,179569758.0,235000000.0,179340302.0,179340302.0,,,,0.23,,,,,,,531448.0,,,0.0723,,,58829.0,0.22,,,,,,,,,,,179340302.0,,,,,,,229456.0,692867.0,,,179569758.0,58829.0,,,,,517694.0,,,175173.0,,,,13754.0,,,,,,,,,,,,,179510929.0,0.0,692867.0,175173.0,,,,,,,,,38500000.0,2350000.0,2350000.0,,2388333.0
2016-07-31,2016-09-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,178833769.0,235000000.0,178611738.0,178612456.0,,,,0.2,,,,,,,463630.0,,,0.0688,,718.0,60252.0,0.19,,,,,,,,,,,178611738.0,,,,,,,221313.0,627072.0,,,178833769.0,60252.0,,,,,452253.0,,,174819.0,,,,11377.0,,,,,,,,,,,,,178773517.0,0.0,627072.0,174819.0,,,,,,,,,38500000.0,2350000.0,2350000.0,,2345109.0
2016-10-31,2017-01-12,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,178980152.0,235000000.0,178823221.0,178822572.0,-3109064.0,178822572.0,-3109064.0,0.9600000000000001,,,,,,,2160575.0,,1972470.0,0.0405,,0.0,60936.0,0.89,21361.0,11691534.0,,21361.0,0.0,156931.0,60936.0,,,,178823221.0,,,,,,,156931.0,3034824.0,,,178980152.0,61585.0,-16787681.0,-16787681.0,1987083.0,1987083.0,2141041.0,649.0,,893783.0,,,,19534.0,,718687.0,,45000000.0,33314772.0,1972470.0,,,25000000.0,18499561.0,2705770.0,,178918567.0,0.0,3034824.0,893783.0,,,,,,,11602892.0,,38500000.0,2350000.0,2350000.0,18499561.0,4760103.0
2017-01-31,2017-03-13,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,178606400.0,235000000.0,178400213.0,178399404.0,-423168.0,,,0.15,,,,,,,391668.0,,,0.0613,,0.0,61054.0,0.16,,-423009.0,,791.0,0.0,-206187.0,61054.0,,,,178400213.0,,,,,,,206187.0,559049.0,,,178606400.0,61863.0,,-335405.0,,335246.0,383593.0,809.0,,175456.0,,,,8075.0,,175199.0,,20000000.0,14878149.0,340276.0,,,20000000.0,14883020.0,510445.0,,178544537.0,0.0,559049.0,175456.0,,,,,,,-378901.0,,38500000.0,2350000.0,2350000.0,14883020.0,2343478.0
2017-04-30,2017-06-09,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,168443433.0,225000000.0,168266193.0,168266193.0,,168266193.0,,0.17,,,,,,,351206.0,,,0.0542,,0.0,55345.0,0.16,,,,,,,,,,,168266193.0,,,,,,,177240.0,525897.0,,,168443433.0,55345.0,,,,,357147.0,,,168750.0,,,,-5941.0,,,,,,,,,,,,,168388088.0,0.0,525897.0,168750.0,,,,,,,,,38500000.0,2250000.0,2250000.0,,2269663.0
2017-07-31,2017-09-11,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,175835485.0,220000000.0,175637064.0,175637064.0,,175637064.0,,0.17,,,,,,,397172.0,,,0.0631,,0.0,59696.0,0.17,,,,,,,,,,,175637064.0,,,,,,,198421.0,547064.0,,,175835485.0,59696.0,,,,,377944.0,,,169120.0,,,,19228.0,,,,,,,,,,,,,175775789.0,0.0,547064.0,169120.0,,,,,,,,,38500000.0,2200000.0,2200000.0,,2205435.0
2017-10-31,2018-01-11,10-K,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,141992962.0,185000000.0,141848757.0,141846880.0,-36975692.0,141846880.0,-36975692.0,0.8400000000000001,,,,,,,1794252.0,,1460231.0,0.0502,,0.0,49258.0,0.81,2848.0,1185525.0,1185525.0,2848.0,0.0,144205.0,49258.0,,,,141848757.0,,,,,,,144205.0,2639654.0,,,141992962.0,51135.0,-39620435.0,-39620435.0,1459218.0,1459218.0,1791960.0,1877.0,,847694.0,,,,2292.0,,693136.0,,95000000.0,72530089.0,1460231.0,,,45000000.0,34369885.0,2152354.0,,141941827.0,0.0,2639654.0,847694.0,,,,,,,1183464.0,,38500000.0,1850000.0,1850000.0,34369885.0,4323871.0
2018-01-31,2018-03-12,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,133763593.0,165000000.0,133608756.0,133608325.0,-8238555.0,,,0.13,,,,,,,249726.0,,,0.0655,,0.0,45720.0,,,7247961.0,,5711.0,0.0,,,,,,133608756.0,,,,,,,154837.0,371216.0,,,133763593.0,46151.0,,-15716881.0,,230365.0,238824.0,431.0,,132392.0,,,,10902.0,,138418.0,,25000000.0,,,,,5000000.0,,,,,0.0,,,,,,,,,7264995.0,,38500000.0,1650000.0,,3872577.0,1688043.0
2018-04-30,2018-06-11,10-Q,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,CIK0001353614,USD,,,0.0,,128484915.0,170000000.0,128324453.0,,,,,,,,,,,,290634.0,,,0.0697,,1897.0,41592.0,,,,,,,,,,,,128324453.0,,,,,,,158565.0,,,,128484915.0,41592.0,,,,,,,,,,,,-8374.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,38500000.0,1700000.0,,,
