end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AuctionMarketPreferredSecuritiesStockSeriesLiquidationValue,BorrowedFunds,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfServices,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,DeferredRevenue,DeferredRevenueAdditions,DeferredRevenueCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DerivativeLiabilities,DerivativeLiabilityFairValueNet,DerivativeLiabilityFairValueNet1,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,EmbeddedDerivativeLossOnEmbeddedDerivative,EquityMethodInvestmentOwnershipPercentage,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FreshStartAdjustmentIncreaseDecreaseAdditionalPaidInCapital,FreshStartAdjustmentIncreaseDecreaseCurrentLiabilities,GainLossOnDispositionOfIntangibleAssets,GainLossOnSaleOfDerivatives,GrossProfit,HeldtomaturitySecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherFairValueVolatilityRate,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxesPaid,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestPaidNet,InterestPayableCurrent,LeaseAndRentalExpense,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityMaximumBorrowingCapacity,LitigationSettlementGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OfficersCompensation,OperatingIncomeLoss,OperatingLeasesRentExpenseMinimumRentals,OperatingLeasesRentExpenseNet,OperatingLeasesRentExpenseSubleaseRentals1,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherPrepaidExpenseCurrent,PreferredStockAdditionalSeriesNoParValue,PreferredStockAdditionalSeriesSharesIssued,PreferredStockAdditionalSeriesSharesOutstanding,PreferredStockDividendsAndOtherAdjustments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromLongTermLinesOfCredit,ProceedsFromSaleOfIntangibleAssets,ProceedsFromSecuredLinesOfCredit,ProceedsFromSecuredNotesPayable,ProfitLoss,ReceivablesNetCurrent,RelatedPartyTransactionAmountsOfTransaction,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeituresAndExpirations,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedGoodsAndNonemployeeServicesTransactionValuationMethodRiskFreeInterestRate,SharesIssued,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssued1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,TaxCreditCarryforwardValuationAllowance,TradingGainsLosses,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2011-12-31,2012-01-19,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,11318.0,,,,320664.0,2616.0,2568.0,,30212.0,22400286.0,,48.0,,,15092.0,600000.0,,5937.0,-4276.0,1055000.0,0.001,50000000.0,46033565.0,46033565.0,46034.0,46034.0,,147233.0,10275.0,260000.0,,,90322.0,,,20419.0,16207.0,5000.0,,0.0,,,0.0,,,134241.0,,,,0.0,22000.0,,,,,,,22000.0,75525.0,3.4,-201559.0,-0.02,0.0,-97664.0,320664.0,-32357.0,134241.0,181572.0,2793.0,,293760.0,-1697550.0,,293760.0,,,0.0,,,15092.0,1712642.0,,,30000.0,-34276.0,-473319.0,,,,,1200000.0,,,-5000.0,,-52000.0,,,,270000.0,6587.0,,,,0.0,0.001,,,48.0,0.0,,,,,1200000.0,,-473319.0,2568.0,30000.0,-24143870.0,222758.0,277084.0,,,,-5900101.0,1005332.0,0.29,0.0,0.0,,0.05,,-1697550.0,-1697550.0,260000.0,0.0,260000.0,,-22000.0,2237000.0,2237000.0,,,,
2012-03-31,2012-04-13,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,11521.0,,,,369852.0,,,,26601.0,22400286.0,,,,,21484.0,600000.0,,7762.0,1825.0,,0.001,50000000.0,46033565.0,,,46034.0,,33652.0,-5000.0,,,,,,,,17604.0,1397.0,,,,,,,,209500.0,,,,,,,,,,,,,6578.0,,-55785.0,0.0,0.0,,,-3408.0,,49188.0,433.0,,75259.0,,,75259.0,,,0.0,,,21484.0,1850078.0,,,15000.0,-13175.0,-131044.0,,,,,1215000.0,,,,,,,,,,11587.0,,,,,0.001,,,48.0,0.0,,,,,,,-131044.0,2135.0,15000.0,-24274914.0,40230.0,62363.0,,,,,,,,,,,,-1828594.0,,,,,,,,,,,,
2012-06-30,2012-07-12,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,11915.0,,,,417741.0,,,,19488.0,22400286.0,,,,,15529.0,600000.0,,3386.0,,130000.0,0.001,50000000.0,46033565.0,48008897.0,,46034.0,1450000.0,31639.0,,,,,,,,,17245.0,,,,,,,,,284954.0,,,,,,,,,,,,,4506.0,,-56766.0,0.0,,,,,,,,,,,,75454.0,,,,,,15529.0,1976343.0,,,,,-132220.0,,,,,1225000.0,,,,,,,,,,11587.0,,,,,0.001,,,48.0,,,,,,,,-132220.0,556.0,,-24407134.0,36145.0,61272.0,,,,,395332.0,,,,,,,-1960814.0,,,,,,,,,,,46033565.0,
2012-09-30,2012-10-05,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,11072.0,,,,469741.0,,,,17373.0,22400286.0,,,,,19557.0,,,5134.0,,130000.0,0.001,50000000.0,46033565.0,46033565.0,46034.0,,1450000.0,27123.0,,,,,,,,,12788.0,,,,,,,,,361290.0,,,,,,,,,,,,,8973.0,,-50514.0,0.0,,,,,,,,,,,,76336.0,,,,,,19557.0,2107264.0,,,,,-126850.0,,,,,1235000.0,,,,,,,,,,11587.0,,,,,,,,,,,,,,,,-126850.0,2836.0,,-24534027.0,36096.0,59487.0,,,,,370332.0,,,,,,,-2087707.0,,,,,,,,,,,46033565.0,
2012-12-31,2013-01-22,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,12435.0,,,519241.0,519241.0,3281.0,,,20837.0,22400286.0,,48.0,,,17430.0,,45000.0,3762.0,-2175.0,130000.0,0.001,50000000.0,46033565.0,46033565.0,46034.0,,,120331.0,-3848.0,,,,394132.0,,,20419.0,7813.0,-8394.0,7813.0,0.0,,,,,,438051.0,,,0.34,0.0,,,,,,,,,23003.0,3.4,-224587.0,-0.01,,-98741.0,-519241.0,-8258.0,438051.0,198577.0,-665.0,,303810.0,-2225947.0,,303810.0,,,,,12000.0,17430.0,2243377.0,,,45000.0,-47175.0,-528397.0,,,1245000.0,,1245000.0,,,-17000.0,,52000.0,6834000.0,438051.0,,-440000.0,10435.0,,,,,0.001,10000000.0,58.0,58.0,,0.0,,,,1245000.0,45000.0,-528397.0,3233.0,45000.0,-24672267.0,143334.0,247590.0,0.29,,0.0,-982000.0,23332.0,0.25,0.0,0.0,0.29,0.05,,-2225947.0,-2225947.0,,0.0,,2323000.0,,2323000.0,2323000.0,,,46033565.0,
2013-03-31,2013-04-10,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,11097.0,,,,568766.0,,,,7513.0,22400286.0,,,,,15261.0,,26600.0,2665.0,-1097.0,,0.001,50000000.0,46033565.0,46033565.0,46034.0,,1450000.0,26965.0,,,,,470380.0,,,20419.0,1035.0,-6778.0,,,,,,,,514299.0,,,,,,,,,,,,,5188.0,,-56853.0,0.0,,-98766.0,-568766.0,-14662.0,514299.0,49525.0,-1072.0,,76248.0,,,76249.0,,,,,,15261.0,2374310.0,1275000.0,,26600.0,-27697.0,-133102.0,,,,,1271600.0,,,-20000.0,,52000.0,,,,-502000.0,10435.0,,,,,0.001,9999942.0,0.0,0.0,,,,,,1271600.0,26600.0,-133102.0,2161.0,26600.0,-24805369.0,32153.0,62041.0,,,,,,,,,,,,-2359049.0,,,,,,,,,,,46033565.0,
2013-06-30,2013-07-10,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,11097.0,,,618266.0,,,,,8071.0,22400286.0,,,,,13601.0,,,1546.0,,,0.001,50000000.0,46033565.0,46033565.0,46034.0,,1450000.0,25390.0,,,,,,,,,1454.0,,,,,,,,,,,,,,,,,,,,,,-1382.0,,-62137.0,0.0,,,,,,,,,,,,77626.0,,,,,,13601.0,2512413.0,1285000.0,,,,-139763.0,,,1281600.0,,,,,,,,,591925.0,,,10435.0,,,,,,,,,,,,,,,,,1620.0,,-24945132.0,24008.0,60755.0,,,,,,,,,,,,-2498812.0,,,,,,,,,,,46033565.0,
2013-09-30,2013-10-08,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,11905.0,,,667766.0,,,,,2294.0,22400286.0,,,,,13587.0,,,954.0,,,0.001,50000000.0,46033565.0,46033565.0,46034.0,,1450000.0,24610.0,,,,,,,,,776.0,,,,,,,,,,,,,,,,,,,,,,-137.0,,-53867.0,0.0,,,,,,,,,,,,78714.0,,,,,,13587.0,2644980.0,1295000.0,,,,-132581.0,,,1291600.0,,,,,,,,,670639.0,,,10435.0,,,,,,,,,,,,,,,,,2198.0,,-25077713.0,24473.0,53730.0,,,,,,,,,,,,-2631393.0,,,,,,,,,,,46033565.0,
2013-12-31,2014-01-22,10-K,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,11097.0,,,717266.0,,2668.0,,,6228.0,22444018.0,,2311.0,,,14857.0,,,4723.0,961.0,0.0,0.001,200000000.0,2301849.0,2301849.0,2302.0,,1450000.0,102168.0,658.0,,,,,,,,2237.0,5576.0,2237.0,0.0,2420000.0,2420000.0,,,,,,,0.34,,,,,,,,,,-1705.0,,-244674.0,-0.24,,,,-15947.0,,198025.0,-2876.0,,311549.0,,,311550.0,,311550.0,,,12000.0,14857.0,2797028.0,1311000.0,,65600.0,-64639.0,-556224.0,,,1310600.0,,1310600.0,,,,12000.0,,7117000.0,749600.0,,,9777.0,,,,,0.001,10000000.0,58.0,58.0,,,,,,1310600.0,65600.0,,357.0,65600.0,-25228491.0,100463.0,242969.0,0.17,0.0,,23332.0,0.0,,,,0.25,,,-2782171.0,-2782171.0,,,,2420000.0,,2420000.0,,,,2301849.0,
2014-03-31,2014-04-25,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,17433.0,,,765066.0,,,,,4095.0,22400286.0,,,,,11182.0,,,857.0,-3866.0,,0.001,50000000.0,46033565.0,46033565.0,46034.0,,1450000.0,23513.0,,,,,,,,,1081.0,1156.0,,,,,,,,,,,,,,,,,,,,,-3985.0,,-64523.0,-0.06,,,,4203.0,,47800.0,191.0,,78658.0,,,78657.0,,,,,,11182.0,2936533.0,1321000.0,,10000.0,-13866.0,-143180.0,,,1320600.0,,,,,,,,,828258.0,,,9777.0,,,,,,,,,,,,,,,10000.0,,548.0,,-25371671.0,19528.0,60538.0,,,,,,,,,,,,-2925351.0,,,,,,,,,,,2301849.0,
2014-06-30,2014-07-25,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,,16697.0,,,812566.0,,,,,4451.0,22400286.0,,,,,9268.0,,,3262.0,,,0.001,50000000.0,46033565.0,46033565.0,46034.0,,1450000.0,20246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3187.0,,-64953.0,-0.06,,,,,,,,,,,,79770.0,,,,,,9268.0,3079342.0,1338000.0,,,,-144723.0,,,1337600.0,,,,,,,,,908028.0,,,5000.0,,,,,,,,,,,,,,,,,1006.0,,-25516394.0,17059.0,61766.0,,,,,,,,,,,,-3070074.0,,,,,,,,,,,2301849.0,
2014-09-30,2014-11-26,10-Q,"LOGICQUEST TECHNOLOGY, INC.",LOGQ,CIK0000768216,USD,,1781181.0,727500.0,,,,,,,,1053681.0,22444205.0,,,,,,,,,,,0.001,50000000.0,46033565.0,46033565.0,46034.0,,1450000.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-167.0,,-12051.0,-0.04,,,,,,,,,,,,80573.0,,,,,,,3118781.0,1338000.0,,,,-92624.0,,1337600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25609020.0,,11884.0,,,,,,,,,,,,-3118781.0,,,,,,,,,,,2301849.0,
