end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2016-12-31,2017-02-27,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,78954.0,311346000.0,311267000.0,,,0.0,,19600000.0,19600000.0,,2.07,,-127000.0,,,,,,311346000.0,,367554000.0,311346000.0,19171529.7,1.0003,,79000.0,,0.0,15.88,,39354000.0,,,-79000.0,-0.0003,957000.0,0.0,,,,,-2101000.0,,,19600000.0,957096.0,311267000.0,2000000.0,35054000.0,700000.0,11200000.0,,,18986339.0
2017-03-31,2017-05-04,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,91428.0,358338000.0,358247000.0,,,0.0,,20300000.0,20300000.0,,1.77,,-31000.0,,,,,,358338000.0,,377960000.0,358338000.0,19841553.2,1.0003,,91000.0,,0.0,17.65,,35729000.0,,,-91000.0,-0.0003,256000.0,0.0,,,,,-601000.0,,,20300000.0,255788.0,358247000.0,1100000.0,18133000.0,400000.0,6882000.0,,,20136667.0
2017-06-30,2017-08-07,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,83091.0,335390000.0,335307000.0,,,0.0,,20850000.0,20850000.0,,-1.55,,-24000.0,,,,,,335390000.0,,386296000.0,335390000.0,20363721.8,1.0002,,83000.0,,0.0,16.08,,-31907000.0,,,-83000.0,-0.0002,255000.0,0.0,,,,,,,,20850000.0,255654.0,335307000.0,,,,,,,20643956.0
2017-09-30,2017-11-06,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,85665.0,344718000.0,344632000.0,,,0.0,,20950000.0,20950000.0,,0.39,,-35000.0,,,,,,344718000.0,,385850000.0,344718000.0,20445915.6,1.0002,,86000.0,,0.0,16.45,,8363000.0,,,-86000.0,-0.0002,264000.0,0.0,,,,,,,,20950000.0,263555.0,344632000.0,,,,,,,21215217.0
2017-12-31,2018-02-27,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,89000.0,351140000.0,351051000.0,,,0.0,,21350000.0,21350000.0,,0.59,,-120000.0,,,,,,351140000.0,,391493000.0,351140000.0,20820654.4,1.0003,,89000.0,,0.0,16.44,,12220000.0,,,-89000.0,-0.0003,1040000.0,0.0,,,,,-2596000.0,,,21350000.0,1039540.0,351051000.0,3100000.0,50050000.0,1350000.0,22486000.0,,,20800822.0
2018-03-31,2018-05-04,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,82979.0,325224000.0,325141000.0,,,0.0,,20500000.0,20500000.0,,-0.57,,-28000.0,,,,,,325224000.0,,375223000.0,325224000.0,19976926.0,1.0003,,83000.0,,0.0,15.86,,-11757000.0,,,-83000.0,-0.0003,247000.0,0.0,,,,,-1864000.0,,,20500000.0,247459.0,325141000.0,200000.0,3259000.0,1050000.0,17412000.0,,,20502222.0
2018-06-30,2018-08-09,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,245210.0,328737000.0,328492000.0,,,0.0,,21050000.0,21050000.0,,-0.26,,-34000.0,,,,,,328737000.0,,383847000.0,328737000.0,20507599.6,1.0007,,245000.0,,0.0,15.61,,-5398000.0,,,-245000.0,-0.0007,252000.0,0.0,,,,,-34000.0,,,21050000.0,251362.0,328492000.0,550000.0,8749000.0,,,,,20975275.0
2018-09-30,2018-11-09,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,74636.0,302736000.0,302661000.0,,,0.0,,21750000.0,21750000.0,,-1.68,,-46000.0,,,,,,302736000.0,,393662000.0,302736000.0,21162945.3,1.0002,,75000.0,,0.0,13.92,,-36102000.0,,,-75000.0,-0.0002,240000.0,0.0,,,,,-46000.0,,,21750000.0,240405.0,302661000.0,700000.0,10271000.0,,,,,21514130.0
2018-12-31,2019-03-01,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,88000.0,339822000.0,339734000.0,,,,,22600000.0,22600000.0,,-1.31,,-179000.0,,,,,,339822000.0,,402801000.0,339822000.0,21973640.6,1.0003,,88000.0,,0.0,15.03,,-28164000.0,,,-88000.0,-0.0003,985000.0,0.0,,,,,-4553000.0,,,22600000.0,984811.0,339734000.0,3000000.0,44194000.0,1750000.0,27347000.0,,,21487534.0
2019-03-31,2019-05-09,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,83097.0,325686000.0,325603000.0,,,,,22200000.0,22200000.0,,-0.35,,-44000.0,,,,,,325686000.0,,394165000.0,325686000.0,21568648.5,1.0003,,83000.0,,0.0,14.67,,-7821000.0,,,-83000.0,-0.0003,250000.0,0.0,,,,,-2071000.0,,,22200000.0,249739.0,325603000.0,500000.0,7667000.0,900000.0,13977000.0,,,22395556.0
2019-06-30,2019-08-09,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,82637.0,334676000.0,334593000.0,,,,,22650000.0,22650000.0,,0.11,,-54000.0,,,,,,334676000.0,,400269000.0,334676000.0,21989192.6,1.0002,,83000.0,,0.0,14.77,,2585000.0,,,-83000.0,-0.0002,246000.0,0.0,,,,,-54000.0,,,22650000.0,245821.0,334593000.0,450000.0,6405000.0,,0.0,,,22491758.0
2019-09-30,2019-11-08,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,97114.0,394201000.0,394104000.0,,,,,23550000.0,23550000.0,,1.9,,-37000.0,,,,,,394201000.0,,415426000.0,394201000.0,22845614.8,1.0002,,97000.0,,0.0,16.73,,44049000.0,,,-97000.0,-0.0002,283000.0,0.0,,,,,-37000.0,,,23550000.0,282777.0,394104000.0,900000.0,15462000.0,,0.0,,,23147826.0
2019-12-31,2020-02-28,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,106796.0,418938000.0,407464000.0,,,0.0,,23300000.0,23300000.0,,2.45,,-150000.0,,,,,,418938000.0,,422010000.0,418938000.0,23216266.6,1.0282,,11474000.0,,0.0,17.49,,56421000.0,,,-11474000.0,-0.0282,1087000.0,0.0,,,,,-2399000.0,,,23300000.0,1087303.0,407464000.0,2250000.0,36430000.0,1550000.0,25205000.0,,,22988630.0
2020-03-31,2020-05-08,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,82504.0,335302000.0,335219000.0,,,,,24850000.0,24850000.0,,-3.95,,-3000.0,,,,,,335302000.0,,431446000.0,335302000.0,24070487.0,1.0002,,83000.0,,,13.49,,-93469000.0,,,-83000.0,-0.0002,283000.0,0.0,,,,,-115000.0,,,24850000.0,283484.0,335219000.0,1650000.0,22956000.0,100000.0,1649000.0,,,23676923.0
2020-06-30,2020-08-07,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,123639.0,507805000.0,507681000.0,,,0.0,,29400000.0,29400000.0,,3.72,,-43000.0,,,,,,502624000.0,,495642000.0,502624000.0,28166118.8,0.99,,124000.0,,0.0,17.27,,102626000.0,,,5057000.0,0.01,333000.0,0.0,,,,,-167000.0,,,29400000.0,333414.0,507681000.0,4600000.0,70566000.0,50000.0,730000.0,,,27586264.0
2020-09-30,2020-11-06,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,189568.0,769848000.0,769658000.0,,,0.0,,33550000.0,33550000.0,,5.06,,84000.0,,,,,,769848000.0,,602604000.0,769848000.0,32448800.9,1.0002,,190000.0,,0.0,22.94,,162819000.0,,,-190000.0,-0.0002,555000.0,0.0,,,,,3113000.0,,,33550000.0,555114.0,769658000.0,4650000.0,110878000.0,500000.0,11720000.0,,,32159783.0
2020-12-31,2021-03-01,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,219813.0,863884000.0,863664000.0,,,0.0,,33750000.0,33750000.0,,8.93,,174000.0,,,,,,863884000.0,,608877000.0,863884000.0,32617862.0,1.0003,,220000.0,,0.0,25.59,,261212000.0,,,-220000.0,-0.0003,1787000.0,0.0,,,,,4920000.0,,,33750000.0,1787310.0,863664000.0,11500000.0,218306000.0,1050000.0,23234000.0,,,29257514.0
2021-03-31,2021-05-07,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,226771.0,886550000.0,886323000.0,,,0.0,,38250000000.0,38250000000.0,,-2.5,,184000.0,,,,,,886550000.0,,736763000.0,886550000.0,36939582.4,1.0003,,227000.0,,0.0,23.17,,-92706000.0,,,-227000.0,-0.0003,681000.0,0.0,,,,,13195000.0,,,38250000.0,681313.0,886323000.0,6200000.0,160444000.0,1700000.0,45079000.0,,,37134444.0
2021-06-30,2021-08-06,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,255430.0,1043020000.0,1036550000.0,,,0.0,,41700000.0,41700000.0,,1.52,,173000.0,,,,,,1043020000.0,,831384000.0,1043020000.0,40482046.3,1.0062,,6470000.0,,0.0,24.86,,61245000.0,,,-6470000.0,-0.0062,777000.0,0.0,,,,,1434000.0,,,41700000.0,776575.0,1036550000.0,3700000.0,95196000.0,250000.0,6214000.0,,,40222527.0
2021-09-30,2021-11-05,10-Q,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,219154.0,895623000.0,895404000.0,,,0.0,,43150000.0,43150000.0,,-4.14,,153000.0,,,,,,895623000.0,,859490000.0,895623000.0,41608524.3,1.0002,,219000.0,,0.0,20.75,,-174835000.0,,,-219000.0,-0.0002,746000.0,0.0,,,,,153000.0,,,43150000.0,745792.0,895404000.0,1450000.0,33689000.0,,,,,42279348.0
2021-12-31,2022-03-01,10-K,Aberdeen Standard Silver ETF Trust,SIVR,CIK0001450922,USD,,252819.0,995405000.0,995152000.0,,,0.0,,44750000.0,44750000.0,,-3.5,,593000.0,,,,,,995405000.0,,895562000.0,995405000.0,43119101.1,1.0003,,253000.0,,0.0,22.24,,-143267000.0,,,-253000.0,-0.0003,2968000.0,0.0,,,,,14865000.0,,,44750000.0,2968351.0,995152000.0,12950000.0,326048000.0,1950000.0,51293000.0,,,40903425.0
