end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedIncomeTaxes,AccruedIncomeTaxesCurrent,AccruedRoyaltiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,CostOfRevenue,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilitiesNet,DeferredTaxLiabilities,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsPayableCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EquityIssuancePerShareAmount,FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,FinanceLeaseRightOfUseAsset,GeneralInsuranceExpense,GrossInvestmentIncomeOperating,GrossProfit,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRoyaltiesPayable,InterestExpense,InterestPayableCurrent,InvestmentCompanyDistributableEarningsLossAccumulatedAppreciationDepreciation,InvestmentCompanyDistributableEarningsLossAccumulatedLongTermCapitalGainLoss,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,InvestmentCompanyDistributionToShareholdersPerShare,InvestmentCompanyExpenseRatioAfterIncentiveAllocation,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTotalReturn,InvestmentIncomeDividend,InvestmentIncomeInterest,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,LaborAndRelatedExpense,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetInvestmentIncome,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,NoncashOrPartNoncashAcquisitionInventoryAcquired1,NoncashOrPartNoncashAcquisitionPayablesAssumed1,NoninterestExpenseDirectorsFees,NonoperatingIncomeExpense,NotesAssumed1,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,NotesReceivableNet,OccupancyNet,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherNoncashExpense,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividendsCommonStock,PaymentsToAcquireProductiveAssets,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,RealizedInvestmentGainsLosses,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShortTermLeaseCost,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodValue,UndistributedEarnings,UnsecuredDebt,VariableLeaseCost,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxLiabilitiesOther,DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,DefinedContributionPlanCostRecognized,DefinedContributionPlanEmployerMatchingContributionPercent,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchaseProgramNumberOfSharesAuthorizedToBeRepurchased
2012-06-30,2012-08-14,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,10532.0,,,619.0,,785540.0,,,15647.0,15647.0,,15647.0,,,,,,,,0.001,250000000.0,11800224.0,11800224.0,,11800.0,0.0,,0.12,,,,,1044943.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,6680.0,604.0,,,,,,,,,,,,0.0,,,,,,,,,,263250.0,15647.0,11755.0,251495.0,,,,,-27448.0,,,,,,-6680.0,,0.0,251495.0,,,,-20768.0,,,,,,984000.0,,,,,,,,,,,,,0.0,,20768.0,,,-247603.0,,,,,,,,,,,,,25000.0,,,11600224.0,,,,,,,,,,,,,,,,,,,,
2012-09-30,2012-11-14,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,36261.0,,,619.0,,808249.0,,,88.0,,,88.0,,,,,,,,0.001,250000000.0,1090930.0,1090930.0,,1091.0,,,,,,,,1105776.0,,,-0.06,,,,,,,,,,,,,,,,,,,7545.0,8149.0,,,,,,,,,,,,,,,,,,,,,,296524.0,88.0,45029.0,251495.0,,,,,-60833.0,,,,,,-7545.0,,,251495.0,,,,-53288.0,,,,,,1038000.0,,,,,,,,,,,,,,,53288.0,,,-296436.0,,,,,,,,,,,,,,,,1072748.0,,,,,,,,,,,,,,,,,,,,
2016-12-31,2017-03-28,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,2017-08-11,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,9555551.0,,,,,,,,,,,,12151493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,2017-11-14,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,9629215.0,,,,,,,,,,,,11067402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,2018-03-30,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,2018-08-10,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,11278889.0,,,,,,,,,,,,11067402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,2018-11-14,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,11278889.0,,,,,,,,,,,,11067402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,2019-06-19,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,2019-08-21,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,10588689.0,,,,,,,,,,,,11067402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,2019-11-14,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,10068533.0,,,,,,,,,,,,11067402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,2020-03-30,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,,,,8066656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10068533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,2020-05-15,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9786615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,2020-07-31,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,10221718.0,,,,4450990.0,,,,,,,,10696735.0,,,,,,,,,644.0,,,0.05,0.05,0.05,0.0,,,16569.0,20668.0,283456.0,,0.0,,,,,,,,,,,,,,,,,,,,523824.0,,7031.0,276425.0,,,,58080.0,,,,,,,,,,0.96,,,,,69546.0,,,,22500.0,,,,,,16569.0,213910.0,,,,,,,,4920.0,,,,,,,,,175222.0,,,,,,,,10221718.0,,,,,,,,,,,158267.0,69546.0,,,10882039.0,10882039.0,10882039.0,,,,,,,,,,,,,,,,,,,
2020-09-30,2020-10-30,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,10805062.0,,,,2120389.0,,,,,,,,10696735.0,,,,,,,,,643.0,,,0.05,,0.05,0.0,,,16562.0,20672.0,287034.0,,0.0,,,,,,,,,,,,,,,,,,,,477256.0,,1696.0,285338.0,,,,58191.0,,,,,,,,,,1.01,,,,,106088.0,,,,22500.0,,,,,,16562.0,180946.0,,,,,,,,3659.0,,,,,,,,,335440.0,,,,,,,,10805062.0,,,,,,,,,,,,106088.0,,,10696735.0,,10696735.0,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-03-10,10-K,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,32917.0,13722.0,13722.0,,10673014.0,,,,12510883.0,,11640887.0,,5440579.0,5440579.0,5440579.0,-2626077.0,,,,0.001,250000000.0,10785913.0,10785913.0,,10786.0,,,,271722.0,258000.0,258000.0,2071.0,,539296.0,0.2,,0.2,,,0.0,,85237.0,1297637.0,,288401.0,,-10993.0,,59411.0,,,-5197.0,,,,,1699321.0,2541850.0,-2124419.0,0.05,0.0716,0.18,0.05,0.0535,1940124.0,0.2308,15462.0,1282175.0,4968576.0,6667897.0,0.573,301494.0,66307.0,,,,,869996.0,12510883.0,,,1.08,-162920.0,,-2463157.0,,561847.0,,,,90000.0,,,,,250000.0,66307.0,735790.0,,19116.0,26061.0,,23345.0,0.045,1330000.0,15069.0,,162920.0,,,43838.0,,,,5330.0,,-1159665.0,,,,61000.0,29730.0,11640887.0,,,,,,,,,,,162920.0,273446.0,,17461.0,10869054.0,,10869054.0,,16679.0,258000.0,13722.0,180460.0,,488419.0,10550.0,,,0.0,0.0,16679.0,-446000.0,716966.0,-4222.0,,61000.0,
2021-03-31,2021-05-17,10-Q,"MILL CITY VENTURES III,Â LTD.",MCVT,CIK0001425355,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13391679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
