end,filed,form,Name,Ticker,CIK,Currency,AcceleratedShareRepurchaseProgramAdjustment,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForLoanAndLeaseLossesAdjustmentsNet,AmortizationAndDepreciationOfDecontaminatingAndDecommissioningAssets,Assets,AssetsCurrent,AssetsFairValueAdjustment,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ConversionOfStockAmountConverted1,CostsAndExpenses,CumulativeEarningsDeficit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentFairValue,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPaymentInterest,DebtInstrumentPeriodicPaymentPrincipal,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsPaidinkind,DueToAffiliateCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationTaxCredits,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,InterestAndDebtExpense,InterestExpense,InterestExpenseBorrowings,InterestPaid,InterestPaidNet,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NoncashContributionExpense,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherExpenses,OtherGeneralExpense,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,OtherPrepaidExpenseCurrent,PaidInKindInterest,PartnersCapitalAccountContributions,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionRate,RepaymentsOfLongTermDebt,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SeniorLongTermNotes,ShortTermDebtInterestRateIncrease,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockIssuedDuringPeriodSharesNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2013-12-31,2014-04-15,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,2802.0,,-67595.0,31556.0,,10033.0,,,1857.0,195.0,,,0.0,,,0.0,1000000000.0,99765275.0,99765275.0,99750.0,-10033.0,,10033.0,,,,,,,,,,11300.0,,,33100.0,33100.0,1000.0,,-33100.0,,,,0.0,,,,,1333.0,2995.0,1662.0,,5783.0,,,-10033.0,,,,,,,302.0,,,,,,195.0,1662.0,,,,,,,,2802.0,1857.0,2802.0,,,,,,-10033.0,,,,,,,10033.0,-10033.0,,,,,,,,,,,0.0,50000000.0,0.0,0.0,,195.0,,,,3250.0,,8926.0,8926.0,,,,-33100.0,,,,-945.0,,,,99750097.0,99750097.0
2014-03-31,2014-05-14,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,2302.0,,-64888.0,,,2651.0,,,1412.0,,,,,,,0.0,1000000000.0,99750097.0,99750097.0,99750.0,-2651.0,,2651.0,,,,,,,,,,,,,,,250.0,,,,,,0.0,,,,,,,,,2401.0,,,-2651.0,,,,,,,-500.0,,,,,,-195.0,1412.0,,,,,,,,2302.0,1412.0,2302.0,,,,,,-2651.0,,,,,,,2651.0,-2651.0,,,,,,,,2706.0,,,0.0,50000000.0,0.0,0.0,,,,,,,,,,,,,-35752.0,,,,-890.0,,,,99750097.0,99750097.0
2014-06-30,2014-08-04,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,1906.0,,-62586.0,,,,,,1162.0,,,,,,,0.0,1000000000.0,99750097.0,99750097.0,99750.0,,,,,,,,,,,,,,,,,,250.0,,,,,,0.0,,,,,,,,,1906.0,,,-2156.0,,,,,,,,,,,,,,1162.0,,,,,,,,1906.0,1162.0,1906.0,,,,,,-2156.0,,,,,,,2156.0,-2156.0,,,,,,,,,,,0.0,50000000.0,0.0,0.0,,,,,,,,,,,,,-37908.0,,,,-744.0,,,,99750097.0,
2014-09-30,2014-11-19,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,,1668.0,,-59358.0,,,,,,912.0,,,,0.0,,,0.0,1000000000.0,99750097.0,99750097.0,99750.0,-3240.0,,3240.0,,,,,,,,,,,,,,,250.0,,,,,,0.0,,,,,,,,,2990.0,,,-3240.0,,,,,,,,,,,,,,912.0,,,,,,,,1668.0,912.0,1668.0,,,,,,-3240.0,,,,,,,3240.0,-3240.0,,,,,,,,,,,0.0,50000000.0,0.0,0.0,,,,,,,,,,,,,-41148.0,,,,-756.0,,,,99750097.0,99750097.0
2014-12-31,2015-04-15,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,643.0,9243.0,39.0,,41209.0,,17174.0,,,1459.0,795.0,,,0.0,,,,,,,,,,,,,,,,0.12,,,,53400.0,,,18140.0,18140.0,998.0,998.0,-53352.0,,,,0.0,0.0,0.34,0.34,,2331.0,2995.0,664.0,,8472.0,,,-20252.0,,,,643.0,,-39.0,6441.0,,39.0,,,,600.0,,,39.0,,,,39.0,,13003.0,1459.0,13003.0,,3078.0,,,-3078.0,-20252.0,,,-39.0,3078.0,3078.0,,20213.0,-20213.0,,,,,39.0,-39.0,,,,,0.0,50000000.0,,,,795.0,3078.0,,,10743.0,,,12731.0,,,,-53352.0,,,,-11544.0,,,,99750097.0,
2015-03-31,2015-05-13,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,12563.0,5049.0,152.0,,41209.0,,9298.0,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,21660.0,,,64100.0,21790.0,250.0,,-64089.0,,,,0.0,,0.34,0.34,,,,,-414.0,3342.0,,,-10737.0,,,,11920.0,,-113.0,-4194.0,,113.0,,,,-795.0,,,113.0,,,,,,22281.0,,22281.0,,1439.0,,,-1439.0,-10737.0,,,-113.0,4517.0,1439.0,,10624.0,-10624.0,,,,,113.0,-527.0,,,,,0.0,50000000.0,,,,,1439.0,,,6618.0,,,,,,,,,,,-22281.0,,,,99750097.0,
2015-06-30,2015-08-10,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,5292.0,4300.0,988.0,,41209.0,,,,,7500.0,7500.0,,,,,,,,,,,,,,,,,,,0.12,,,,84700.0,,,28800.0,28800.0,,,,,,,0.0,,,,,,,,,4819.0,,,-20594.0,,,,,,,,,,,,,,,,836.0,,,,,,50375.0,7500.0,50375.0,,,,,,-20594.0,,,-836.0,39795.0,39795.0,,19758.0,-19758.0,,,,,836.0,-836.0,,,,,0.0,50000000.0,,,,7500.0,,,,14939.0,,,,,,,-84683.0,,,,-42875.0,,,,99750097.0,
2015-09-30,2015-11-13,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,3035.0,4300.0,2408.0,,41209.0,,,,,5000.0,5000.0,,,0.0,,,,,,,,,,,,,,,,0.12,,,,103000.0,,,35000.0,35000.0,,,,,,,0.0,,,,,,,,,9888.0,,,-18346.0,,,,,,,,,,,,,,,,1420.0,,,,,,66221.0,5000.0,66221.0,,,,,,-18346.0,,,-1420.0,56478.0,53400.0,,16926.0,-16926.0,,,,,1420.0,-1420.0,,,,,0.0,50000000.0,,,,5000.0,,,,7038.0,,,,,,,-103029.0,,,,-61221.0,,,,99750097.0,
2015-12-31,2016-03-22,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,3510.0,3510.0,,,,41209.0,,,,,2500.0,2500.0,,,0.0,,,,,,,,,,,,,,,,0.12,,,,,36922.0,,108594.0,36922.0,,250.0,,,,,0.0,0.34,0.34,0.34,,0.0,,,-414.0,22137.0,,,-55242.0,,,,2867.0,52131.0,,-9243.0,,4152.0,,,,1705.0,,,4152.0,,,,4191.0,,69286.0,2500.0,69286.0,,58507.0,,,-58507.0,-55242.0,,,-4152.0,61585.0,,,51090.0,-51090.0,108594.0,,,,,,,,,,0.0,50000000.0,0.0,0.0,,2500.0,58507.0,,,28289.0,,,,,,,-108594.0,,,,-66786.0,,,,99750097.0,
2016-03-31,2016-05-02,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,6671.0,400.0,,,41209.0,,,,,10000.0,10000.0,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,0.0,,,,,,,,,4535.0,,,-15993.0,,,,3161.0,21471.0,,400.0,,2022.0,,,,7500.0,,,2022.0,,,,6213.0,,92779.0,10000.0,92779.0,,17910.0,,,-17910.0,-15993.0,,,-2022.0,79495.0,,,13971.0,-13971.0,,,,,,,,,,,0.0,50000000.0,0.0,0.0,,10000.0,17910.0,,,9436.0,,,,,,,-124587.0,,,,-82779.0,,,,99750097.0,
2016-06-30,2016-08-12,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,4326.0,800.0,,,41209.0,,,,,9346.0,9346.0,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,0.0,,,,,,,,,2882.0,,,-10223.0,,,,,,,,,,,,,,,2541.0,2541.0,,,,8754.0,,102348.0,9346.0,102348.0,,,,,,-10223.0,,,-2541.0,88468.0,,,7682.0,-7682.0,,,,,,,,,,,0.0,50000000.0,0.0,0.0,,9346.0,,,,4800.0,,,,,,,-134810.0,,,,-93002.0,,,,99765421.0,
2016-09-30,2016-11-14,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,7947.0,,,,,41209.0,,,,,6846.0,6846.0,,,0.0,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,0.0,,,,,,,,,4361.0,,,-11047.0,,,,,,,,,,,,,,,2686.0,2686.0,,,,11440.0,,110895.0,6846.0,110895.0,,,,,,-11047.0,,,-2686.0,91508.0,,,8361.0,-8361.0,,,,,,,,,,,0.0,50000000.0,0.0,0.0,,6846.0,,,,4000.0,,,,,,,-145857.0,0.0,,,-104049.0,,,,99765421.0,
2016-12-31,2017-03-14,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,6113.0,,,41209.0,41209.0,,,,,4346.0,4346.0,,,0.0,0.0,,,,,,,,,,,,,,,0.12,,,,,52612.0,0.0,52612.0,52612.0,,,,,,,0.0,0.34,,,,,,,,14507.0,,,-46148.0,,,31.0,,37889.0,,,,10105.0,,,,1846.0,,,10105.0,,0.0,,14296.0,,117280.0,4346.0,117280.0,,,,,0.0,-46148.0,,,-10105.0,96871.0,,,36043.0,-36043.0,154742.0,,,,,,,,,,0.0,50000000.0,0.0,0.0,0.0,4346.0,35286.0,35286.0,,21536.0,,,,,,,-154742.0,,,,-112934.0,,,15690.0,99750097.0,
2017-03-31,2017-05-15,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,6144.0,,,,41209.0,,,,,10833.0,10833.0,,,0.0,0.0,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,0.0,,,,,,,,,3654.0,,,-17693.0,,,0.0,,21037.0,,,,3143.0,,0.0,,6487.0,,3143.0,3143.0,,0.0,,17439.0,,141460.0,10833.0,141460.0,,,,,0.0,-17693.0,,,-3143.0,117877.0,,,14550.0,-14550.0,,,,,,,,,,,0.0,50000000.0,,,,10833.0,21006.0,21006.0,,10896.0,-17693.0,,,,,,-172435.0,,,,-130627.0,,,,99750097.0,
2017-06-30,2017-08-04,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,9108.0,,,41209.0,,,,,,8333.0,8333.0,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,0.0,,,,,,,,,7805.0,-12768.0,,-16414.0,,,,,,,,,,,,,,,3646.0,-3646.0,,,,21085.0,,155374.0,8333.0,155374.0,,,,,,-16414.0,,,,125181.0,,,12768.0,-12768.0,,,3646.0,,,,,,,,0.0,50000000.0,0.0,0.0,,8333.0,,,,4963.0,-16414.0,,,,,,-188849.0,,,,-147041.0,,,,99765421.0,
2017-09-30,2017-11-13,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,233.0,,,41209.0,,,,,,5833.0,5833.0,,,0.0,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,0.0,,,,,,,,,2500.0,-1974.0,,-5809.0,,,,,,,,,,,,,,,3835.0,-3835.0,,,,24920.0,,158683.0,5833.0,158683.0,,,,,,-5809.0,,,,133530.0,,,1974.0,-1974.0,,,3835.0,,,,,,,,0.0,50000000.0,0.0,0.0,,5833.0,,,,-526.0,-5809.0,,,,,,-194658.0,0.0,,,-152850.0,,,,99765421.0,
2017-12-31,2018-04-17,10-K,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,1268.0,,1268.0,1241.0,,176438.0,,,,,,3333.0,3333.0,,0.0,0.0,0.0,,,,,,,,135310.0,,,135310.0,,0.01,,0.12,17433.0,117876.0,,,,0.0,41216.0,-41216.0,,,,,,,0.0,34.0,,,,,,,,16981.0,,,,,,400.0,,-4845.0,,4379.0,,4379.0,40980.0,,,1013.0,,,-4378.0,,0.0,,1241.0,,22484.0,3333.0,22484.0,,,,,0.0,-41527.0,,,-4378.0,19975.0,,,37149.0,-37149.0,196000.0,,4378.0,,,,,,,0.0,0.0,50000000.0,0.0,0.0,0.0,3333.0,40981.0,40981.0,,20168.0,-41527.0,,,,,,-196269.0,,,,-19151.0,,13531000.0,-11396.0,105808032.0,
2018-03-31,2018-05-15,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,,,7182.0,,,176438.0,,,,,,833.0,833.0,,,0.0,0.0,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,0.0,,,,,,,,,2572.0,,,,,,0.0,,5915.0,,616.0,,616.0,1339.0,1339.0,,2500.0,,616.0,616.0,,0.0,,1857.0,,30353.0,833.0,30353.0,,,,,0.0,-10370.0,,,,21314.0,,,9754.0,-9754.0,,,,,,-616.0,,,,,0.0,50000000.0,0.0,0.0,,833.0,1339.0,1339.0,,7182.0,-10370.0,,,,,,-206638.0,,,,-29521.0,,,,113296421.0,
2018-06-30,2020-05-07,10-Q,Qiansui International Group Co. Ltd.,QIAN,CIK0001499684,USD,,12997.0,,,2568.0,,176438.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,0.0,,,,,,,,,832.0,-9147.0,,,,,,,,,,,,,,,,,,711.0,,,,,,39379.0,,39379.0,,,,,,-9858.0,,,,23814.0,,,9147.0,-9147.0,,,711.0,,,-711.0,,,,0.0,,50000000.0,0.0,0.0,,,,,,8315.0,-9858.0,,,,,,-216497.0,,,,-39379.0,,,,113296421.0,
