end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedIncomeTaxesCurrent,AccruedIncomeTaxesPayable,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForDoubtfulAccountsReceivable,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ContractWithCustomerLiabilityCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtInstrumentPeriodicPayment,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DepositsAssetsCurrent,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToAffiliateCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,FederalIncomeTaxExpenseBenefitContinuingOperations,FinanceLeasePrincipalPayments,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPaid,InterestPayableCurrent,InventoryFinishedGoodsNetOfReserves,InventoryNet,InventoryRawMaterialsNetOfReserves,InvestmentIncomeInterest,LeaseCost,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwardsValuationAllowance,OtherAdditionalCapital,OtherAssets,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherIncome,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherReceivablesNetCurrent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpense,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionRate,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SellingAndMarketingExpense,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,TaxCreditCarryforwardValuationAllowance,TaxesPayableCurrent,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2012-12-31,2013-02-13,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,2300.0,,,,,,,,100.0,,,,,,,,,,,7560.0,7560.0,,,,7560.0,-1509.0,,,0.0,,100000000.0,,5251309.0,137413.0,,,,0.0,,-2759.0,,,,,,,0.0,,,136080.0,,,,0.0,,,,,,6009.0,0.0,,-7884.0,,0.0,0.0,100.0,,2759.0,,,,2300.0,,,0.0,,,1875.0,,,,2200.0,,1875.0,,0.0,17752.0,,,,,,110152.0,7560.0,40152.0,,0.0,,-1509.0,-7884.0,,,,20000.0,,70000.0,6009.0,,,,,,,,,,,0.0,,,-1875.0,,,,0.0,,,,0.0,,,0.0,,,,,,,,,-103925.0,,0.0,,100.0,-102592.0,,,380.0,,,,,136080.0,2759.0,,5251309.0,
2013-03-31,2013-05-10,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,,,,,,,,,0.0,,,,,,,,,,,18336.0,18336.0,,,,18336.0,,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-3091.0,,50719.0,,,,-50719.0,0.0,,,144912.0,,,,0.0,,,,,,6824.0,0.0,,-8832.0,,0.0,0.0,,,3091.0,,,,,,,,,,,,,,,2008.0,,,,19760.0,,,,,,129760.0,18336.0,39760.0,,,,,-8832.0,,,,20000.0,,90000.0,6824.0,,,,,,,,,,,0.0,,,-2008.0,,,,0.0,,,,,,,,,,,,,,,,-103925.0,,0.0,,,-111424.0,,,,,,,,144912.0,3091.0,,5251309.0,
2013-06-30,2013-08-09,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,0.0,,,,,,,,,,,,14493.0,14493.0,,,,14493.0,,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-2141.0,,50719.0,,,,-50719.0,,,,151030.0,,,,0.0,,,,,,3843.0,0.0,,-6118.0,,0.0,0.0,,,2141.0,,,,,,,,,,,,,,,2275.0,,,,22035.0,,,,,,132035.0,14493.0,82035.0,,,,,-6118.0,,,60000.0,,,50000.0,3843.0,,,,,,,,,,,0.0,,,-2275.0,,,,,,,0.0,,,,,,,,,,,,,-103925.0,,0.0,,,-117542.0,,,,,,,,151030.0,2141.0,,5251309.0,
2013-09-30,2013-11-12,10-K,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,800.0,,,,,,,100.0,,,,,,,,,,,,10580.0,10580.0,,,,10580.0,1511.0,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-10473.0,,44262.0,,,,-44262.0,0.0,,,158118.0,,,,-0.01,,,,,,21389.0,0.0,,-29822.0,,100.0,100.0,100.0,,,,,,800.0,,,0.0,,,8433.0,,,,2200.0,,8433.0,,0.0,24310.0,,,,,,135210.0,10580.0,85210.0,,20000.0,,-18489.0,-29922.0,,,60000.0,,,50000.0,21389.0,,,,,,,,,0.0,,0.0,,,-8433.0,,,,,,,0.0,0.0,,,20000.0,,,,,,,,,-103925.0,,0.0,,100.0,-124630.0,,,,,,10473.0,,,10473.0,,5251309.0,
2013-12-31,2014-02-07,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,0.0,,,,,,,,,,,,1975.0,1975.0,,,,1975.0,-8605.0,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-3493.0,,58834.0,,,,-58834.0,0.0,,,168098.0,,,,0.0,,,-3493.0,,,7705.0,0.0,,-9980.0,,0.0,0.0,100.0,,,,,,-800.0,,,-100.0,,,2275.0,,,,0.0,2275.0,2275.0,,0.0,26585.0,,,,,,136585.0,1975.0,86585.0,,0.0,,-8605.0,-9980.0,,,60000.0,,,50000.0,7705.0,,,,,,,,,,,0.0,,,-2275.0,,,,,,,,0.0,,,0.0,,,,,,,,,-103925.0,,0.0,,,-134610.0,,,380.0,,,3493.0,,,3493.0,,5251309.0,
2014-03-31,2014-05-13,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,0.0,,,,,,,,,,,,17834.0,17834.0,,,,17834.0,,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-2576.0,,61410.0,,,,-61410.0,0.0,,,175456.0,,,,0.0,,,,,,4142.0,0.0,,-7358.0,,0.0,0.0,,,,,,,,,,,,,,,,,,3217.0,3217.0,,,29802.0,,,,,,159802.0,17834.0,129802.0,,,,,-7358.0,,,100000.0,,,30000.0,4142.0,,,,,,,,,0.0,,1.0,,,-3216.0,,,,,,,0.0,,,,,,,,,,,,,-103925.0,,0.0,,,-141968.0,,,,,,2576.0,,,2576.0,,5251309.0,
2014-06-30,2014-08-14,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,0.0,,,,,,,,,,,,13565.0,13565.0,,,,13565.0,,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-2667.0,,64077.0,,,,-64077.0,0.0,,,183075.0,,,,0.0,,,,,,4271.0,0.0,,-7619.0,,0.0,0.0,,,,,,,,,,,,,,,,,,3350.0,,,,33152.0,,,,,,163152.0,13565.0,143152.0,,,,,-7619.0,,,110000.0,,,20000.0,4271.0,,,,,,,,,,,2.0,,,-3348.0,,,,,,,0.0,,,,,,,,,,,,,-103925.0,,0.0,,,-149587.0,,,,,,2667.0,,,2667.0,,5251309.0,
2014-09-30,2014-12-03,10-K,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,200.0,,,,,,,100.0,,,,,,,,,,,,9836.0,9836.0,,9836.0,,9836.0,-744.0,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-11318.0,,66659.0,,,,-66659.0,0.0,,,190454.0,,,,-0.01,,,,,,20044.0,0.0,,-32236.0,,100.0,,100.0,,,,,,-600.0,,,0.0,,,12192.0,,,,0.0,12192.0,12192.0,,0.0,36502.0,,,,,,166802.0,9836.0,146802.0,,20000.0,,-20744.0,-32336.0,,,110000.0,,,20000.0,20044.0,,,,,,,,,0.0,,0.0,,,-12192.0,,,,,,0.0,0.0,0.0,,,20000.0,,,,,,,,,-294379.0,,0.0,,100.0,-156966.0,,,,,,11318.0,,,11318.0,,5251309.0,
2014-12-31,2015-02-17,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,0.0,,,,,,,,,,,,31698.0,31698.0,,,,31698.0,21862.0,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-3986.0,,70645.0,,,,-70645.0,0.0,,,201842.0,,,,0.0,,,-3986.0,,,7839.0,0.0,,-11388.0,,0.0,,100.0,,,,,,-200.0,,,-100.0,,,3550.0,,,,0.0,3550.0,,,0.0,40052.0,,,,,,200052.0,31698.0,150052.0,,30000.0,,-8138.0,-11388.0,,,110000.0,,,50000.0,7839.0,,,,,,,,,0.0,,1.0,,,-3549.0,,,,,,,0.0,0.0,,,30000.0,,,,,,,,,-103925.0,,0.0,,,-168354.0,,,380.0,,,3986.0,,,3986.0,,5251309.0,
2015-03-31,2015-05-11,10-Q,China Foods Holdings Ltd.,CFOO,CIK0001310630,USD,,0.0,,,,,,,0.0,,,,,,,,,,,,19926.0,19926.0,,,,19926.0,,,,0.0,,100000000.0,5251309.0,5251309.0,137413.0,,,,0.0,,-5503.0,,76147.0,,,,-76147.0,0.0,,,,,,,0.0,,,,,,11776.0,0.0,,-15722.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,3950.0,,,44002.0,,,,,,204002.0,19926.0,174002.0,,,,,-15722.0,,,130000.0,,,30000.0,11776.0,,,,,,,,,,,4.0,,,-3946.0,,,,,,,,,,,,,,,,,,,,-321489.0,,0.0,,,-184076.0,,,,,,5503.0,,,5503.0,,5251309.0,
