end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableNetCurrent,AccruedLiabilitiesForCommissionsExpenseAndTaxes,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CurrentFederalTaxExpenseBenefit,DebtInstrumentUnusedBorrowingCapacityAmount,DebtIssuanceCostsLineOfCreditArrangementsNet,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOtherLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnInvestments,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,GeneralAndAdministrativeExpense,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,InventoryRealEstate,InvestmentCompanyDistributableEarningsLossAccumulatedAppreciationDepreciation,InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss,IssuanceOfStockAndWarrantsForServicesOrClaims,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCredit,LineOfCreditFacilityAverageOutstandingAmount,LineOfCreditFacilityFairValueOfAmountOutstanding,LineOfCreditFacilityInterestRateAtPeriodEnd,LineOfCreditFacilityInterestRateDuringPeriod,LineOfCreditFacilityMaximumBorrowingCapacity,LoansAndLeasesReceivableAllowance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetInvestmentIncome,NetInvestmentIncomeInsuranceEntity,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromIssuanceOfCommonStock,ProfitLoss,RealEstateInsurance,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RetainedEarningsAccumulatedDeficit,Revenues,SECScheduleIIIRealEstateInvestmentPropertyNet,SharesIssued,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsReceivableNet
2014-09-30,2014-11-04,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,55497.0,30497.0,30497.0,30497.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,29503.0,,,0.0,,,,,,,,,4200.0,,,,,,,,,,,,55497.0,,,,,,,,,,,-4200.0,,,,,29500.0,,0.0001,8888888888.0,0.0,0.0,,,,,29503.0,,25000.0,,55497.0,,,,,,,6000000.0,
2014-12-31,2015-03-27,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,54297.0,29297.0,29297.0,29297.0,,,-12872.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,4376.0,,,0.0,10439.0,,0.0,0.0,10439.0,,-10439.0,10439.0,30703.0,,,0.0,0.34,,,,,4376.0,,,12872.0,,,,,-4376.0,,,,,,,54297.0,,,,,,,100000.0,,,-12872.0,-12872.0,,,,30703.0,,,0.0001,8888888888.0,0.0,0.0,,-12872.0,,,-30703.0,,,,54297.0,,,,,,-4376.0,6000000.0,
2015-03-31,2015-05-13,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,53622.0,28622.0,28622.0,28622.0,,,-675.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,31378.0,,,0.0,,,,,,,,-675.0,675.0,,-675.0,,,,,,,,,,53622.0,,,,,,,,,,-675.0,-675.0,,,,31378.0,,,0.0001,8888888888.0,0.0,0.0,,,,,31378.0,,,,53622.0,,,,,,,6000000.0,
2015-06-30,2015-07-16,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,47387.0,22387.0,22387.0,22387.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,-2214.0,2214.0,,-2214.0,,,,,,,,,,47387.0,,,,,,,,,,,-2214.0,,,,37613.0,,,0.0001,8888888888.0,0.0,0.0,,,,,-37613.0,,,,47387.0,,,,,,,6000000.0,
2015-09-30,2015-11-13,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,45173.0,20173.0,20173.0,20173.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2214.0,,,,,,,,,,,,45173.0,,,,,,,,,,,-2214.0,,,,39827.0,,,0.0001,8888888888.0,0.0,0.0,,,,,-39827.0,,,,45173.0,,,,,,,6000000.0,
2015-12-31,2016-03-29,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,31202.0,6202.0,6202.0,6202.0,,,-23095.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,7852.0,,,0.0,18291.0,,0.0,,,,-18291.0,,,,,0.0,,,,,,,,-23095.0,23095.0,,-23095.0,,,,,,,,,,31202.0,,,,,,,,,,-23095.0,-23095.0,,,,53798.0,,,0.0001,8888888888.0,0.0,0.0,,-23095.0,,,-53798.0,,,,31202.0,,,,,,-7852.0,6000000.0,
2016-03-31,2016-05-10,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,31154.0,6154.0,6154.0,6154.0,,,-48.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,-48.0,1048.0,,1048.0,,,,,,,,,,31154.0,,,,,0.0,,,,,-48.0,-48.0,,,,53846.0,,1000.0,0.0001,8888888888.0,0.0,0.0,,,,,-53846.0,,,,31154.0,,,,,,,6000000.0,
2016-06-30,2016-08-05,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,26525.0,1525.0,1525.0,1525.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,-4629.0,6129.0,,-6129.0,,,,,,,,,,26525.0,,,,,,,,,,,-4629.0,,,,,,1500.0,0.0001,8888888888.0,0.0,0.0,,,,,-58475.0,,,,26525.0,,,,,,,6000000.0,
2016-09-30,2016-11-10,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,25199.0,199.0,199.0,199.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,-1326.0,1826.0,,,,0.0,,,,,,,,25199.0,,,,,,,,,,,-1326.0,,,1826.0,,39827.0,500.0,0.0001,8888888888.0,0.0,0.0,,,,,-59801.0,,,,25199.0,,,,,,,6000000.0,
2016-12-31,2017-03-27,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,25148.0,148.0,148.0,148.0,,,-6054.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,2058.0,100000.0,5200.0,0.0,20349.0,0.0,0.0,,,14430.0,-20349.0,,,,,0.0,,0.0,0.0,0.0,0.34,,,-6054.0,9854.0,,-9854.0,,0.0,,-6054.0,,,-59852.0,,,25148.0,,,,8800.0,0.0,,,14430.0,,-6054.0,-6054.0,,,-9854.0,59852.0,,3800.0,0.0001,8888888888.0,0.0,0.0,,-6054.0,,,-59852.0,,,,25148.0,,,,,,-2058.0,6000000.0,
2017-03-31,2017-05-03,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,25041.0,41.0,41.0,41.0,,,-107.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,-107.0,1507.0,,-1507.0,,,,,,,,,,25041.0,,,8800.0,,,,,,,-107.0,-107.0,,,,,69913.0,1400.0,0.0001,8888888888.0,0.0,0.0,,,,,-59959.0,,,,25041.0,,,,,,,6000000.0,
2017-06-30,2017-08-10,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,25130.0,130.0,130.0,130.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,,,5200.0,0.0,,,,,,,,-5111.0,5111.0,,-5111.0,,,,,,,,,,25130.0,5200.0,,,,,,,,,,-5111.0,,,,,65070.0,,0.0001,8888888888.0,0.0,0.0,,,,,65070.0,,,,19930.0,,,,,,,6000000.0,
2017-09-30,2017-11-01,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,25096.0,96.0,96.0,96.0,,,,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,,6700.0,,0.0,,,,,,,,-1534.0,1534.0,,-1534.0,,0.0,,,,,-66604.0,,,25096.0,6700.0,,,,,,,,,,-1534.0,,,-1534.0,,66604.0,,0.0001,8888888888.0,0.0,0.0,,,,,65070.0,,,,18396.0,,,,,,,6000000.0,
2017-12-31,2018-03-28,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,25087.0,87.0,87.0,87.0,-61.0,,-61.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,0.0,,,,14430.0,,,,8800.0,,,,-0.21,-0.13,0.0,0.34,,,-8861.0,8861.0,,,-8861.0,0.0,,8800.0,,,-68713.0,,,25087.0,8800.0,,,8800.0,,,,14430.0,,-61.0,-8861.0,,,-8861.0,,66604.0,,0.0001,8888888888.0,0.0,0.0,,,,8800.0,-68713.0,,,,16287.0,,,,,,,6000000.0,
2018-03-31,2018-05-07,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,25187.0,187.0,187.0,187.0,100.0,,100.0,0.0001,,9999999999.0,6000000.0,6000000.0,600.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,-1200.0,1200.0,,-1200.0,-1200.0,0.0,,1300.0,,,,,,25187.0,,100000.0,10100.0,,,,,,,100.0,-1200.0,,,-1200.0,,,,0.0001,8888888888.0,0.0,0.0,,,,10100.0,-69913.0,,,,-15087.0,,,,,,,6000000.0,
2018-06-30,2018-08-07,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,37916.0,416.0,416.0,416.0,,,,0.0001,,9999999999.0,300000000.0,300000000.0,600.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,-1200.0,1200.0,,-1200.0,-1200.0,0.0,,,,,,,,37916.0,,100000.0,,,,,,,,,-1200.0,,,-1200.0,,,,0.0001,8888888888.0,0.0,0.0,,,,,-76484.0,,,,37916.0,,,,,,,6000000.0,
2018-09-30,2018-11-13,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,53662.0,16162.0,16162.0,16162.0,,,,0.0001,,9999999999.0,500000000.0,500000000.0,50000.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,-4254.0,8168.0,,-4254.0,,0.0,,,,,,,,53662.0,,100000.0,,,,,,,,,-4254.0,,,-4254.0,,,,0.0001,8888888888.0,0.0,0.0,,,,,-80738.0,3914.0,,,53662.0,,,,,,,118553114.0,
2018-12-31,2019-04-02,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,63191.0,25691.0,25691.0,25691.0,25604.0,,,0.0001,48000.0,9999999999.0,1130000000.0,1130000000.0,113000.0,,,,,,,,,,,-18104.0,,,,,,,,-0.21,0.0,0.0,0.21,,,,24605.0,,,-17496.0,0.0,,8100.0,,,,,,63191.0,,,,0.0,,0.0,1000000.0,-18104.0,35000.0,-9396.0,-17496.0,,,-17496.0,,86209.0,,0.0001,8888888888.0,0.0,0.0,35000.0,,,,-86209.0,7109.0,,,111191.0,,12500.0,20000.0,16900.0,,,257191781.0,
2019-03-31,2019-05-15,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,780830.0,38830.0,38830.0,38830.0,13139.0,,,0.0001,48000.0,9999999999.0,8550000000.0,8550000000.0,855000.0,,,,,,,,,,,,,,,,,,,,,,,,,,8468.0,37500.0,,-24361.0,0.0,,,,,,,,780830.0,,,,0.0,,0.0,1000000.0,,,13139.0,-24361.0,,,13139.0,,110570.0,,0.0001,8888888888.0,0.0,0.0,,,,,-110570.0,21607.0,,,780830.0,,742000.0,,,,,1212444444.0,
2019-06-30,2019-08-16,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,770157.0,28157.0,28157.0,28157.0,,,,0.0001,48000.0,9999999999.0,8550000000.0,8550000000.0,855000.0,,,,,,,,,,,,,,,,,,,,,,,,,,11173.0,,,-10673.0,0.0,,,,,,,,770157.0,,,,0.0,,,1000000.0,,,,-10673.0,,,-10673.0,,121243.0,,0.0001,8888888888.0,0.0,0.0,,,,,-121243.0,500.0,,,770157.0,,,,,,,30000000.0,
2019-09-30,2019-11-12,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,814189.0,72189.0,72189.0,72189.0,,,,0.0001,,9999999999.0,8550000000.0,8550000000.0,855000.0,,,,,,,,,,,,,,,,,,,,,,,,,,4467.0,,,-3968.0,0.0,,,,,,,,814189.0,,,,0.0,,,1000000.0,,,,-3968.0,,,-3968.0,,,,0.0001,8888888888.0,0.0,0.0,,,,,-125211.0,500.0,,,814189.0,,,,,,,30000000.0,
2019-12-31,2020-03-19,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,0.0,,936400.0,812089.0,70089.0,70089.0,70089.0,44398.0,,,0.0001,,9999999999.0,30000000.0,30000000.0,3000.0,,,,,,,,,,,41102.0,,,,,,,,-0.21,0.0,0.0,0.21,,37500.0,,26604.0,37500.0,,,0.0,,,,,,,,812089.0,,,,0.0,,0.0,1000000.0,41102.0,48000.0,-3602.0,-41102.0,,,-3602.0,,127311.0,,0.0001,8888888888.0,0.0,0.0,48000.0,,,,-127311.0,23002.0,,,812089.0,,742000.0,,,,,30000000.0,
2020-03-31,2020-04-28,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,84400.0,806698.0,64698.0,64698.0,64698.0,-5391.0,-5391.0,,0.0001,,9999999999.0,8550000000.0,8550000000.0,855000.0,,,,,,,,,,,,,,,,,,,,,,,,,,5391.0,,,-5391.0,0.0,,,,,,,,806698.0,,,,0.0,,0.0,,,,-5391.0,-5391.0,,,-5391.0,,132702.0,,0.0001,8888888888.0,0.0,0.0,,,,,-132702.0,,,,806698.0,,,,,,,30000000.0,
2020-06-30,2020-07-31,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,936400.0,775283.0,33283.0,33283.0,33283.0,,,,0.0001,,9999999999.0,30000000.0,30000000.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,31415.0,,,-31415.0,0.0,,,,,,,,775283.0,,,,0.0,,,1000000.0,,,,-31415.0,,,-31415.0,,164117.0,,0.0001,8888888888.0,0.0,0.0,,,,,-164117.0,,,,775283.0,,,,,,,30000000.0,
2020-09-30,2020-10-29,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,936400.0,772397.0,30397.0,30397.0,30397.0,,,,0.0001,,9999999999.0,30000000.0,30000000.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2886.0,,,-2886.0,0.0,,,,,,,,772397.0,,,,0.0,,,1000000.0,,,,-2886.0,,,-2886.0,,167003.0,,0.0001,8888888888.0,0.0,0.0,,,,,-167003.0,,,,772397.0,,,,,,,30000000.0,
2020-12-31,2021-03-25,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,0.0,,936400.0,769759.0,27759.0,27759.0,27759.0,-42330.0,-42330.0,,0.0001,,9999999999.0,30000000.0,30000000.0,3000.0,,,,,,,42330.0,,,,42330.0,,,,,,,,-0.21,0.0,0.0,0.21,,,,42830.0,,,,0.0,,,,,,,,769759.0,,,,0.0,,0.0,1000000.0,42330.0,,-42330.0,-42330.0,,,-42330.0,,169641.0,,0.0001,8888888888.0,0.0,0.0,,42330.0,,,-169641.0,500.0,,,769759.0,,,,,,,30000000.0,0.0
2021-03-31,2021-05-04,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,936400.0,769170.0,27170.0,,27170.0,,-590.0,,0.0001,,9999999999.0,30000000.0,30000000.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,5187.0,,,-590.0,0.0,,,,,,,,769170.0,,,,0.0,,0.0,,,,-590.0,-590.0,,,-590.0,,170230.0,,0.0001,8888888888.0,0.0,0.0,,,,,-170230.0,4597.0,,,769170.0,,,,,,,30000000.0,
2021-06-30,2021-08-10,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,936400.0,757123.0,15123.0,,15123.0,,,,0.0001,,9999999999.0,30000000.0,30000000.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,12046.0,,,-12046.0,0.0,,,,,,182277.0,,757123.0,,,,0.0,,,1000000.0,,,,-12046.0,,,-12046.0,,182277.0,,0.0001,8888888888.0,0.0,0.0,,,,,-182277.0,,,,757123.0,,,,,,,30000000.0,
2021-09-30,2021-11-02,10-Q,Vanjia Corporation,VNJA,CIK0001532383,USD,,,936400.0,759896.0,17895.0,,17895.0,,,,0.0001,,9999999999.0,30000000.0,30000000.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,5609.0,,,,0.0,,,,,,,,759895.0,,,,0.0,,,1000000.0,,,,2772.0,,,2772.0,,167003.0,,0.0001,8888888888.0,0.0,0.0,,,,,-179504.0,8381.0,,,759895.0,,,,,,,30000000.0,
2021-12-31,2022-03-11,10-K,Vanjia Corporation,VNJA,CIK0001532383,USD,,,936400.0,771546.0,,,29546.0,,1787.0,,0.0001,,9999999999.0,30000000.0,30000000.0,3000.0,,,,,,,42330.0,,,,42330.0,,,,,,,,-0.21,0.0,0.0,0.21,,,,32373.0,,1787.0,,0.0,,,,,,,,771546.0,,,,0.0,,0.0,5000000.0,,,1787.0,1787.0,,,1787.0,,167854.0,,0.0001,,0.0,0.0,,-1787.0,,,-167854.0,34160.0,,,771546.0,,,,,,,30000000.0,0.0
